Orthogroup	BTRY.longest_only	DSIM.longest_only
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC120285806|XP_039154356.1|DSIM, LOC120285548|XP_039154138.1|DSIM, LOC120285275|XP_039152669.1|DSIM, LOC120285808|XP_039154358.1|DSIM, LOC120285276|XP_039152679.1|DSIM, LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM, LOC120285271|XP_039152664.1|DSIM, LOC120285267|XP_039152656.1|DSIM, LOC120285804|XP_039154354.1|DSIM, LOC6740385|XP_002077244.1|DSIM, LOC120285805|XP_039154355.1|DSIM, LOC120285550|XP_039154140.1|DSIM, LOC120285279|XP_039152693.1|DSIM, LOC120285268|XP_039152661.1|DSIM, LOC120285547|XP_039154137.1|DSIM, LOC120285807|XP_039154357.1|DSIM
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC120767507|XP_039949534.1|BTRY	LOC120285803|XP_039154353.1|DSIM
OG0000006	LOC120781340|XP_039969478.1|BTRY	LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC6736955|XP_002083802.1|DSIM
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC6736956|XP_002083803.1|DSIM, LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC6731020|XP_002078181.1|DSIM, LOC6733581|XP_002080635.1|DSIM, LOC6730230|XP_002105513.1|DSIM, LOC6740467|XP_002077312.3|DSIM, LOC6730231|XP_002105514.2|DSIM, LOC120284928|XP_039150400.1|DSIM, LOC6730135|XP_039150399.1|DSIM, LOC6731021|XP_002078182.1|DSIM, LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM, LOC6736957|XP_016030597.1|DSIM, LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC6736742|XP_002083598.1|DSIM
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC6726998|XP_016033494.2|DSIM
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC6726996|XP_002102397.1|DSIM
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC6726997|XP_002102398.2|DSIM
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC6726995|XP_002102396.1|DSIM
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC6727419|XP_002102801.1|DSIM
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC6727422|XP_002102804.2|DSIM, LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM, LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC6736062|XP_002082963.1|DSIM, LOC6728414|XP_016035007.1|DSIM, LOC6734157|XP_002081186.1|DSIM, LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC120285551|XP_039154142.1|DSIM, LOC120285283|XP_039152704.1|DSIM, LOC120285812|XP_039154361.1|DSIM, LOC120285811|XP_039154360.1|DSIM, LOC120285555|XP_039154146.1|DSIM, LOC120285552|XP_039154143.1|DSIM, LOC120285280|XP_039152696.1|DSIM
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC120285553|XP_039154144.1|DSIM, LOC120285282|XP_039152699.1|DSIM
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC120285813|XP_039154363.1|DSIM, LOC6728075|XP_016034694.1|DSIM
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC6735247|XP_016028572.1|DSIM
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC6735246|XP_016028570.1|DSIM
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC6735245|XP_016028569.1|DSIM
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC6735248|XP_016028574.1|DSIM
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC6735250|XP_002082223.1|DSIM, LOC6735249|XP_016028575.1|DSIM, LOC6734131|XP_002081160.1|DSIM, LOC6734132|XP_016027145.1|DSIM, LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM, LOC6734135|XP_002081164.1|DSIM, LOC6734136|XP_016027147.1|DSIM
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC6734455|XP_002081474.1|DSIM
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC6725717|XP_016038992.1|DSIM
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC6728006|XP_016034604.1|DSIM
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC6737992|XP_016031791.1|DSIM
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC6728269|XP_002103618.2|DSIM
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC6729335|XP_016035977.1|DSIM
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM
OG0000014	LOC120779372|XP_039967501.1|BTRY	LOC120284347|XP_039147384.1|DSIM
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC6732807|XP_002079920.3|DSIM, LOC6730910|XP_002078074.1|DSIM, LOC6730729|XP_002077897.2|DSIM, LOC27208270|XP_016038606.1|DSIM, LOC6730642|XP_002077813.2|DSIM, LOC6739194|XP_002076105.3|DSIM, LOC6731349|XP_002078505.1|DSIM, LOC6731405|XP_002078558.1|DSIM, LOC27206160|XP_016027033.1|DSIM, LOC27207583|XP_016036303.1|DSIM
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC6728214|XP_016034853.1|DSIM, LOC6735456|XP_002082396.1|DSIM
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC6728317|XP_002103666.1|DSIM
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC6733183|XP_016026067.1|DSIM
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC6727955|XP_016034553.1|DSIM
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC6739089|XP_016032930.1|DSIM
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC6740020|XP_002076907.2|DSIM
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC6733445|XP_002080502.2|DSIM, LOC6733173|XP_002080249.1|DSIM
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC6736980|XP_002083827.1|DSIM
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC6736983|XP_002083830.1|DSIM
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC6736982|XP_002083829.1|DSIM
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC6729811|XP_002105114.1|DSIM, LOC6729810|XP_002105113.1|DSIM, LOC27208716|XP_016036498.1|DSIM, LOC6729806|XP_002105109.2|DSIM, LOC6729809|XP_002105112.1|DSIM, LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC6730019|XP_002105313.2|DSIM
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC6727407|XP_016033953.2|DSIM
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC6725592|XP_039153232.1|DSIM
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC6729419|XP_002104734.2|DSIM
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC6728358|XP_016034980.1|DSIM, LOC6726014|XP_016039394.1|DSIM
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC27206614|XP_039147853.1|DSIM
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC6727107|XP_016033584.1|DSIM, LOC6735713|XP_002082629.1|DSIM, LOC6727106|XP_039151383.1|DSIM
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC6727099|XP_002102492.1|DSIM
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC6727095|XP_016033580.1|DSIM
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC6727097|XP_002102490.1|DSIM
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC6727094|XP_016033578.1|DSIM
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC6733991|XP_002081035.1|DSIM, LOC120284488|XP_039148839.1|DSIM, LOC6739389|XP_002076289.1|DSIM, LOC27209398|XP_016027021.1|DSIM
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC6733990|XP_002081034.2|DSIM
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC6732909|XP_002080014.1|DSIM, LOC6733989|XP_002081033.1|DSIM
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC27207833|XP_016038650.1|DSIM
OG0000025	LOC120767474|XP_039949497.1|BTRY, LOC120767496|XP_039949522.1|BTRY, LOC120767500|XP_039949527.1|BTRY, LOC120767501|XP_039949528.1|BTRY	LOC120285797|XP_039154346.1|DSIM
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC6731167|XP_002078325.1|DSIM
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC6725713|XP_002106716.1|DSIM, LOC6726897|XP_002102299.1|DSIM, LOC6727211|XP_002102603.1|DSIM
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC6731383|XP_002078536.1|DSIM
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC6731386|XP_002078539.1|DSIM
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC6731384|XP_002078537.1|DSIM
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC6738680|XP_039149230.1|DSIM
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC120284696|XP_039148939.1|DSIM
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC6739710|XP_002076603.1|DSIM, LOC6733757|XP_002080801.1|DSIM, LOC6735151|XP_002082126.1|DSIM, LOC6731526|XP_002078674.1|DSIM, LOC6731962|XP_016024641.1|DSIM, LOC6728974|XP_002104302.1|DSIM, LOC27208471|XP_016032409.1|DSIM
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC6732024|XP_016024722.1|DSIM, LOC6732022|XP_002079155.1|DSIM, LOC6732023|XP_002079156.1|DSIM
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC6730745|XP_002077913.2|DSIM
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC6735876|XP_002082786.1|DSIM
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC27208281|XP_039152536.1|DSIM
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC6740355|XP_002077222.1|DSIM
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC6731777|XP_016024472.1|DSIM
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC6728385|XP_016034993.2|DSIM
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC6728378|XP_002103726.1|DSIM
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM, LOC6732561|XP_002079680.1|DSIM, LOC27209034|XP_016025242.1|DSIM, LOC6732919|XP_002080023.2|DSIM, LOC6728308|XP_016034943.1|DSIM, LOC6728309|XP_016034944.1|DSIM, LOC6731186|XP_002078345.3|DSIM
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC6727116|XP_002102509.1|DSIM
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC6727985|XP_002103337.2|DSIM
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC6726665|XP_039151600.1|DSIM
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC6729259|XP_016035909.1|DSIM, LOC6729260|XP_002104580.2|DSIM
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC6735171|XP_016028454.1|DSIM
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC6738693|XP_002085495.1|DSIM
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC27207643|XP_016039311.1|DSIM
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC6727642|XP_002103019.1|DSIM, LOC6728556|XP_002103897.1|DSIM, LOC6728557|XP_002103898.1|DSIM, LOC6727641|XP_002103018.1|DSIM, LOC6727640|XP_016034235.1|DSIM, LOC6727638|XP_002103015.1|DSIM, LOC6730355|XP_002105637.2|DSIM
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC6729586|XP_002104894.1|DSIM, LOC6740781|XP_016036235.1|DSIM, LOC6729587|XP_002104895.1|DSIM, LOC6729591|XP_002104899.1|DSIM, LOC6729588|XP_016036234.1|DSIM, LOC6729589|XP_002104897.1|DSIM, LOC6729598|XP_002104906.1|DSIM, LOC6729596|XP_002104904.1|DSIM, LOC6729597|XP_016036238.1|DSIM
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC27207593|XP_016035207.2|DSIM, LOC6728570|XP_016035206.2|DSIM, LOC6728571|XP_002103912.1|DSIM
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC6728574|XP_002103915.1|DSIM, LOC6728568|XP_002103909.1|DSIM, LOC6728566|XP_002103907.3|DSIM, LOC6730335|XP_016037102.1|DSIM
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC6729601|XP_016036243.1|DSIM
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC6729605|XP_002104913.1|DSIM, LOC6729606|XP_002104914.1|DSIM, LOC6729602|XP_016036244.1|DSIM, LOC6729604|XP_002104912.1|DSIM, LOC6729603|XP_016036245.1|DSIM
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC6728484|XP_016035123.1|DSIM
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC27207701|XP_016031376.1|DSIM
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC6737583|XP_039149017.1|DSIM, LOC120284704|XP_039149018.1|DSIM, LOC120284202|XP_002084415.1|DSIM
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC6737082|XP_002083929.1|DSIM
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC6737081|XP_002083928.1|DSIM
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC6734785|XP_039147648.1|DSIM, LOC6734782|XP_002081785.2|DSIM, LOC6734347|XP_002081368.2|DSIM, LOC27206290|XP_016031336.1|DSIM, LOC6734356|XP_002081377.1|DSIM, LOC6737553|XP_016031338.1|DSIM
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	LOC6738296|XP_002085107.2|DSIM, LOC6738295|XP_002085106.1|DSIM
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	LOC6738290|XP_002085101.1|DSIM, LOC6738287|XP_039149226.1|DSIM
OG0000048	LOC120770486|XP_039953934.1|BTRY	LOC6738291|XP_002085102.1|DSIM
OG0000049	LOC120782870|XP_039971347.1|BTRY	LOC6727737|XP_002103099.1|DSIM
OG0000049	LOC120782209|XP_039970301.1|BTRY	LOC6727734|XP_002103096.1|DSIM
OG0000049	LOC120781673|XP_039969832.1|BTRY	LOC6727738|XP_002103100.1|DSIM
OG0000049	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY	LOC6727740|XP_002103102.1|DSIM, LOC6727739|XP_002103101.1|DSIM
OG0000049	LOC120772847|XP_039957638.1|BTRY	LOC6727733|XP_002103095.1|DSIM
OG0000050	LOC120776369|XP_039962882.1|BTRY	LOC6734037|XP_002081073.1|DSIM
