Orthogroup	BTRY.longest_only	DSUP.longest_only
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC119551761|XP_037717216.1|DSUP
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC119551759|XP_037717214.1|DSUP, LOC119551760|XP_037717215.1|DSUP
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC119546510|XP_037708761.1|DSUP
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC119561523|XP_037731102.1|DSUP, LOC119561407|XP_037730990.1|DSUP, LOC119559172|XP_037728161.1|DSUP, LOC119561436|XP_037731018.1|DSUP, LOC119561507|XP_037731086.1|DSUP, LOC119547987|XP_037710970.1|DSUP, LOC119547988|XP_037710972.1|DSUP, LOC119546069|XP_037708068.1|DSUP, LOC119561521|XP_037731100.1|DSUP, LOC119561518|XP_037731097.1|DSUP, LOC119546076|XP_037708081.1|DSUP, LOC119561441|XP_037731022.1|DSUP, LOC119559251|XP_037728250.1|DSUP, LOC119561442|XP_037731023.1|DSUP, LOC119561429|XP_037731011.1|DSUP, LOC119559242|XP_037728241.1|DSUP, LOC119559173|XP_037728162.1|DSUP, LOC119559174|XP_037728163.1|DSUP, LOC119561440|XP_037731020.1|DSUP, LOC119559179|XP_037728167.1|DSUP, LOC119546618|XP_037708984.1|DSUP, LOC119561433|XP_037731015.1|DSUP, LOC119559178|XP_037728166.1|DSUP, LOC119547940|XP_037710915.1|DSUP, LOC119561511|XP_037731090.1|DSUP, LOC119548245|XP_037711313.1|DSUP, LOC119559232|XP_037728231.1|DSUP, LOC119561428|XP_037731010.1|DSUP, LOC119561434|XP_037731016.1|DSUP, LOC119559226|XP_037728224.1|DSUP, LOC119561431|XP_037731013.1|DSUP, LOC119561435|XP_037731017.1|DSUP, LOC119559225|XP_037728223.1|DSUP, LOC119559219|XP_037728218.1|DSUP, LOC119561432|XP_037731014.1|DSUP, LOC119559218|XP_037728217.1|DSUP, LOC119547941|XP_037710916.1|DSUP, LOC119561427|XP_037731009.1|DSUP, LOC119559175|XP_037728164.1|DSUP, LOC119559177|XP_037728165.1|DSUP, LOC119561512|XP_037731091.1|DSUP, LOC119559231|XP_037728230.1|DSUP, LOC119546960|XP_037709531.1|DSUP, LOC119559171|XP_037728160.1|DSUP, LOC119561438|XP_037731019.1|DSUP, LOC119561510|XP_037731089.1|DSUP, LOC119561504|XP_037731082.1|DSUP, LOC119546078|XP_037708083.1|DSUP, LOC119561499|XP_037731078.1|DSUP
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC119559204|XP_037728202.1|DSUP, LOC119559203|XP_037728200.1|DSUP, LOC119547991|XP_037710975.1|DSUP, LOC119559202|XP_037728198.1|DSUP, LOC119547992|XP_037710977.1|DSUP, LOC119559198|XP_037728191.1|DSUP, LOC119561464|XP_037731045.1|DSUP, LOC119546625|XP_037708992.1|DSUP, LOC119561418|XP_037731001.1|DSUP, LOC119548248|XP_037711317.1|DSUP, LOC119559195|XP_037728185.1|DSUP, LOC119559194|XP_037728183.1|DSUP, LOC119547945|XP_037710922.1|DSUP, LOC119559201|XP_037728196.1|DSUP, LOC119559197|XP_037728189.1|DSUP, LOC119547944|XP_037710920.1|DSUP, LOC119559200|XP_037728193.1|DSUP, LOC119546493|XP_037708718.1|DSUP, LOC119561417|XP_037730999.1|DSUP, LOC119561470|XP_037731051.1|DSUP, LOC119561465|XP_037731047.1|DSUP, LOC119559196|XP_037728187.1|DSUP, LOC119561467|XP_037731049.1|DSUP, LOC119546624|XP_037708989.1|DSUP, LOC119561415|XP_037730997.1|DSUP, LOC119559588|XP_037728530.1|DSUP
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC119559189|XP_037728178.1|DSUP, LOC119559257|XP_037728256.1|DSUP
OG0000006	LOC120767475|XP_039949498.1|BTRY	LOC119559184|XP_037728173.1|DSUP
OG0000006	LOC120767512|XP_039949539.1|BTRY, LOC120781340|XP_039969478.1|BTRY	LOC119547943|XP_037710919.1|DSUP
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC119555653|XP_037723160.1|DSUP
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC119554492|XP_037721353.1|DSUP
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC119554489|XP_037721348.1|DSUP, LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC119546692|XP_037709098.1|DSUP, LOC119550735|XP_037715578.1|DSUP, LOC119546637|XP_037709013.1|DSUP, LOC119546891|XP_037709439.1|DSUP, LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP, LOC119554496|XP_037721356.1|DSUP
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC119554296|XP_037721084.1|DSUP
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC119560393|XP_037729749.1|DSUP
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC119560395|XP_037729751.1|DSUP
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC119560394|XP_037729750.1|DSUP
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC119560107|XP_037729380.1|DSUP
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC119560146|XP_037729428.1|DSUP
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC119560480|XP_037729870.1|DSUP, LOC119545681|XP_037707348.1|DSUP, LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC119550480|XP_037715097.1|DSUP, LOC119560195|XP_037729489.1|DSUP, LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP, LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC119559209|XP_037728208.1|DSUP, LOC119547995|XP_037710980.1|DSUP, LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP, LOC119559208|XP_037728207.1|DSUP
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC119546627|XP_037708994.1|DSUP, LOC119546628|XP_037708995.1|DSUP, LOC119548250|XP_037711321.1|DSUP, LOC119547947|XP_037710925.1|DSUP, LOC119559216|XP_037728214.1|DSUP
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC119550822|XP_037715693.1|DSUP
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC119550821|XP_037715691.1|DSUP
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC119551494|XP_037716788.1|DSUP
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP, LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP, LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC119549437|XP_037713458.1|DSUP
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC119558255|XP_037727511.1|DSUP
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC119555401|XP_037722683.1|DSUP
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC119556345|XP_037724379.1|DSUP
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC119545787|XP_037707587.1|DSUP
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000014	LOC120779372|XP_039967501.1|BTRY	LOC119559720|XP_037728710.1|DSUP
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC119548635|XP_037711952.1|DSUP, LOC119550562|XP_037715279.1|DSUP, LOC119549732|XP_037713902.1|DSUP, LOC119547179|XP_037709842.1|DSUP, LOC119547745|XP_037710669.1|DSUP, LOC119560252|XP_037729545.1|DSUP, LOC119546894|XP_037709445.1|DSUP, LOC119549408|XP_037713398.1|DSUP, LOC119548351|XP_037711494.1|DSUP, LOC119546289|XP_037708398.1|DSUP, LOC119546292|XP_037708401.1|DSUP, LOC119546291|XP_037708400.1|DSUP, LOC119553552|XP_037719920.1|DSUP, LOC119555849|XP_037723408.1|DSUP, LOC119558474|XP_037727915.1|DSUP, LOC119547561|XP_037710390.1|DSUP, LOC119547265|XP_037709974.1|DSUP, LOC119547551|XP_037710378.1|DSUP, LOC119555864|XP_037723443.1|DSUP, LOC119547716|XP_037710617.1|DSUP, LOC119546298|XP_037708414.1|DSUP, LOC119546326|XP_037708454.1|DSUP, LOC119547138|XP_037709780.1|DSUP, LOC119553466|XP_037719796.1|DSUP, LOC119547086|XP_037709714.1|DSUP, LOC119546156|XP_037708194.1|DSUP, LOC119547559|XP_037710387.1|DSUP, LOC119547570|XP_037710398.1|DSUP, LOC119548352|XP_037711496.1|DSUP, LOC119550622|XP_037715380.1|DSUP, LOC119546949|XP_037709517.1|DSUP
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC119560964|XP_037730645.1|DSUP, LOC119551792|XP_037717267.1|DSUP
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC119560636|XP_037730116.1|DSUP
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC119559471|XP_037728511.1|DSUP
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC119561925|XP_037731293.1|DSUP
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC119555565|XP_037722943.1|DSUP
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC119555819|XP_037723364.1|DSUP
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC119549290|XP_037713167.1|DSUP, LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC119554781|XP_037721753.1|DSUP
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC119554782|XP_037721754.1|DSUP
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC119554784|XP_037721757.1|DSUP
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC119545699|XP_037707379.1|DSUP, LOC119545701|XP_037707381.1|DSUP, LOC119545702|XP_037707383.1|DSUP, LOC119553849|XP_037720426.1|DSUP, LOC119545700|XP_037707380.1|DSUP, LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC119551011|XP_037715994.1|DSUP
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC119561092|XP_037730913.1|DSUP
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC119556017|XP_037723717.1|DSUP
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC119552371|XP_037718001.1|DSUP
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC119560336|XP_037729656.1|DSUP, LOC119555956|XP_037723602.1|DSUP
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC119550370|XP_037714944.1|DSUP
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC119559786|XP_037728794.1|DSUP
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC119559783|XP_037728790.1|DSUP, LOC119550999|XP_037715976.1|DSUP, LOC119559784|XP_037728792.1|DSUP
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC119559779|XP_037728786.1|DSUP
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC119559782|XP_037728789.1|DSUP
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC119559778|XP_037728785.1|DSUP
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC119559785|XP_037728793.1|DSUP
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC119551120|XP_037716232.1|DSUP, LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP, LOC119551714|XP_037717116.1|DSUP
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC119551121|XP_037716233.1|DSUP
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC119556135|XP_037723954.1|DSUP
OG0000025	LOC120767501|XP_039949528.1|BTRY	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP
OG0000025	LOC120767499|XP_039949525.1|BTRY	LOC119561446|XP_037731027.1|DSUP
OG0000025	LOC120767497|XP_039949523.1|BTRY	LOC119546077|XP_037708082.1|DSUP
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC119547110|XP_037709748.1|DSUP
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC119557301|XP_037725939.1|DSUP, LOC119561040|XP_037730797.1|DSUP, LOC119560123|XP_037729401.1|DSUP
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC119548404|XP_037711568.1|DSUP
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC119548409|XP_037711576.1|DSUP
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC119548453|XP_037711645.1|DSUP
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC119555138|XP_037722293.1|DSUP
OG0000028	LOC120777926|XP_039965443.1|BTRY	LOC119554450|XP_037721289.1|DSUP
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC119554646|XP_037721574.1|DSUP
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC119562890|XP_037731935.1|DSUP, LOC119561586|XP_037731129.1|DSUP, LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP, LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP, LOC119554065|XP_037720734.1|DSUP
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC119547225|XP_037709914.1|DSUP, LOC119546122|XP_037708143.1|DSUP, LOC119547226|XP_037709915.1|DSUP
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC119557894|XP_037726826.1|DSUP
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC119556830|XP_037725216.1|DSUP
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC119559763|XP_037728765.1|DSUP
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP
