Orthogroup	BTRY.longest_only	DMEL.longest_only
OG0000008	LOC120778133|XP_039965828.1|BTRY	Ccp84Ac|NP_649681.1|DMEL
OG0000008	LOC120780988|XP_039969143.1|BTRY	Ccp84Ae|NP_649679.1|DMEL
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	Ccp84Ag|NP_649677.1|DMEL
OG0000009	LOC120780063|XP_039968275.1|BTRY	CG11453|NP_650832.1|DMEL
OG0000009	LOC120782593|XP_039970879.1|BTRY	CG11391|NP_650830.1|DMEL, CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL, CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL
OG0000010	LOC120766432|XP_039947870.1|BTRY	His4_CG33903|NP_001027297.1|DMEL, His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL, His4_CG33871|NP_001027377.1|DMEL, His4_CG33887|NP_001027337.1|DMEL
OG0000010	LOC120767531|XP_039949557.1|BTRY	His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL
OG0000010	LOC120767528|XP_039949554.1|BTRY	His4_CG33897|NP_001027312.1|DMEL, His4_CG33907|NP_001027288.1|DMEL, His4_CG33905|NP_001027293.1|DMEL, His4_CG33883|NP_001027347.1|DMEL
OG0000012	LOC120772295|XP_039956737.1|BTRY	CG9416|NP_611415.2|DMEL
OG0000012	LOC120771372|XP_039955267.1|BTRY	CG10051|NP_611414.1|DMEL
OG0000012	LOC120772056|XP_039956371.1|BTRY	CG11961|NP_725876.1|DMEL
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	CG10062|NP_001261089.1|DMEL
OG0000012	LOC120772529|XP_039957131.1|BTRY	CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL
OG0000013	LOC120770990|XP_039954671.1|BTRY	Hsc70-5|NP_523741.2|DMEL
OG0000013	LOC120776120|XP_039962578.1|BTRY	Hsc70-3|NP_727563.1|DMEL
OG0000013	LOC120769789|XP_039952912.1|BTRY	Hsc70-4|NP_524356.1|DMEL
OG0000013	LOC120778592|XP_039966397.1|BTRY	Hsc70-1|NP_524063.1|DMEL
OG0000013	LOC120782170|XP_039970244.1|BTRY	Hsc70-2|NP_524339.1|DMEL
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	Hsp68|NP_524474.1|DMEL
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	lectin-37Db|NP_001188847.1|DMEL, lectin-24A|NP_652637.1|DMEL, CG43797|NP_001260012.1|DMEL, lectin-22C|NP_001137766.1|DMEL, CG15358|NP_608629.3|DMEL, CG15818|NP_609116.1|DMEL, CG7763|NP_001356891.1|DMEL
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	Act87E|NP_477091.1|DMEL, Act57B|NP_523800.1|DMEL
OG0000016	LOC120774116|XP_039959415.1|BTRY	Arp1|NP_524331.2|DMEL
OG0000016	LOC120775405|XP_039961502.1|BTRY	Act42A|NP_523625.1|DMEL
OG0000016	LOC120767942|XP_039950259.1|BTRY	Act88F|NP_524367.1|DMEL
OG0000016	LOC120773675|XP_039958634.1|BTRY	Act79B|NP_524210.1|DMEL
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	Or7a|NP_511081.1|DMEL
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	Or43b|NP_523656.2|DMEL, Or42a|NP_523622.2|DMEL
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	Cpr65Av|NP_729146.1|DMEL
OG0000018	LOC120777489|XP_039964764.1|BTRY	Lcp65Ac|NP_477279.1|DMEL
OG0000018	LOC120777549|XP_039964872.1|BTRY	Lcp65Ad|NP_477278.1|DMEL
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL
OG0000020	LOC120772465|XP_039957032.1|BTRY	rdog|NP_651678.1|DMEL
OG0000020	LOC120782274|XP_039970399.1|BTRY	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	CG4562|NP_001262747.1|DMEL
OG0000021	LOC120776121|XP_039962581.1|BTRY	flw|NP_727418.1|DMEL
OG0000021	LOC120780423|XP_039968662.1|BTRY	Pp1alpha-96A|NP_524484.1|DMEL
OG0000021	LOC120766828|XP_039948474.1|BTRY	Pp1-87B|NP_524937.1|DMEL, Pp1-13C|NP_524921.1|DMEL
OG0000022	LOC120770783|XP_039954296.1|BTRY	CG7798|NP_611098.1|DMEL
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL
OG0000023	LOC120770307|XP_039953615.1|BTRY	alpha-Est3|NP_524267.2|DMEL
OG0000023	LOC120782575|XP_039970851.1|BTRY	alpha-Est2|NP_524268.3|DMEL, gas|NP_611678.1|DMEL, alpha-Est1|NP_524269.3|DMEL
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	alpha-Est7|NP_524261.1|DMEL
OG0000023	LOC120766880|XP_039948548.1|BTRY	alpha-Est9|NP_731165.2|DMEL
OG0000023	LOC120774273|XP_039959699.1|BTRY	alpha-Est8|NP_524259.2|DMEL
OG0000023	LOC120766882|XP_039948559.1|BTRY	alpha-Est10|NP_001246962.1|DMEL
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL
OG0000024	LOC120771072|XP_039954818.1|BTRY	epsilonTry|NP_525112.1|DMEL
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	CG17571|NP_610109.1|DMEL, thetaTry|NP_523693.1|DMEL
OG0000025	LOC120774110|XP_039959404.1|BTRY	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL
OG0000025	LOC120767501|XP_039949528.1|BTRY	His3_CG33839|NP_001027343.1|DMEL
OG0000025	LOC120767497|XP_039949523.1|BTRY	His3_CG33833|NP_001027333.1|DMEL, His3_CG33803|NP_001027285.1|DMEL, His3_CG33821|NP_001027313.1|DMEL, His3_CG33818|NP_001027308.1|DMEL, His3_CG33809|NP_001027294.1|DMEL, His3_CG33863|NP_001027383.1|DMEL, His3_CG33806|NP_001027289.1|DMEL
OG0000026	LOC120773924|XP_039959055.1|BTRY	CG9150|NP_608991.2|DMEL
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	CG9360|NP_572746.1|DMEL, CG3301|NP_650964.1|DMEL
OG0000027	LOC120768378|XP_039950978.1|BTRY	Acp1|NP_477115.1|DMEL
OG0000027	LOC120768612|XP_039951313.1|BTRY	CG7203|NP_609143.2|DMEL
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	CG7214|NP_609141.1|DMEL
OG0000028	LOC120777924|XP_039965441.1|BTRY	CG14095|NP_649112.1|DMEL
OG0000028	LOC120777926|XP_039965443.1|BTRY	CG32212|NP_730416.1|DMEL
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	CG13068|NP_648856.1|DMEL
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	CheA86a|NP_001027174.1|DMEL, CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL, CheA84a|NP_001027150.1|DMEL, CheA75a|NP_649035.2|DMEL
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	Or33c|NP_523555.1|DMEL, Or33a|NP_523553.1|DMEL, Or33b|NP_523554.1|DMEL
OG0000030	LOC120773026|XP_039957889.1|BTRY	Or23a|NP_523458.3|DMEL
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	Or59a|NP_523821.1|DMEL
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	Or2a|NP_525046.1|DMEL
OG0000030	LOC120776112|XP_039962547.1|BTRY	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	CG5390|NP_609374.1|DMEL
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	GstD1|NP_524326.1|DMEL
OG0000032	LOC120782780|XP_039971181.1|BTRY	GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL, Ugt37E1|NP_652628.2|DMEL, Ugt37D1|NP_652627.2|DMEL, Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL, Ugt37B1|NP_525008.2|DMEL
OG0000036	LOC120776996|XP_039964035.1|BTRY	Sp7|NP_649734.2|DMEL
OG0000036	LOC120778788|XP_039966724.1|BTRY	ea|NP_524362.2|DMEL
OG0000036	LOC120782503|XP_039970745.1|BTRY	MP1|NP_001303421.1|DMEL
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	SPE|NP_651168.1|DMEL
OG0000037	LOC120770870|XP_039954430.1|BTRY	Cyp12b2|NP_611370.2|DMEL
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	Cpr76Bb|NP_649121.1|DMEL
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	Ag5r|NP_524770.1|DMEL
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	CG17803|NP_650657.2|DMEL, CG6689|NP_650051.1|DMEL, CG4820|NP_001097748.1|DMEL, CG17806|NP_650658.1|DMEL, CG17802|NP_650659.2|DMEL, Odj|NP_650661.1|DMEL, CG1792|NP_651878.1|DMEL
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	Ugt302K1|NP_652620.1|DMEL, Ugt302C1|NP_652626.1|DMEL, Ugt302E1|NP_652625.2|DMEL
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL
OG0000044	LOC120772588|XP_039957233.1|BTRY	CG31087|NP_733100.1|DMEL
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL, CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL
OG0000044	LOC120782367|XP_039970539.1|BTRY	CG6908|NP_650105.1|DMEL
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	Cpr67Fb|NP_648420.1|DMEL
OG0000045	LOC120778581|XP_039966382.1|BTRY	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL
OG0000045	LOC120778222|XP_039965914.1|BTRY	Cpr65Ec|NP_648077.1|DMEL
OG0000045	LOC120777964|XP_039965517.1|BTRY	Cpr65Eb|NP_648076.3|DMEL
OG0000047	LOC120775795|XP_039962073.1|BTRY	loopin-1|NP_001097338.1|DMEL, S-Lap8|NP_611132.1|DMEL, S-Lap5|NP_610892.1|DMEL, S-Lap3|NP_648394.1|DMEL, S-Lap7|NP_610900.1|DMEL, S-Lap4|NP_729613.1|DMEL
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	CG13060|NP_648873.1|DMEL, CG13041|NP_648872.1|DMEL
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	CG13043|NP_648868.2|DMEL, CG13063|NP_648869.1|DMEL, CG13044|NP_648867.1|DMEL
OG0000048	LOC120770486|XP_039953934.1|BTRY	CG13042|NP_648870.1|DMEL
OG0000049	LOC120782870|XP_039971347.1|BTRY	CG4053|NP_650601.2|DMEL
OG0000049	LOC120782209|XP_039970301.1|BTRY	CG5246|NP_650603.1|DMEL
OG0000049	LOC120781673|XP_039969832.1|BTRY	CG17475|NP_650600.2|DMEL
OG0000049	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY	CG31269|NP_001097818.1|DMEL, CG31265|NP_650599.1|DMEL
OG0000049	LOC120772847|XP_039957638.1|BTRY	CG5255|NP_650604.1|DMEL
OG0000050	LOC120776369|XP_039962882.1|BTRY	CG13193|NP_610699.1|DMEL
OG0000050	LOC120778411|XP_039966128.1|BTRY	CG33766|NP_001027140.1|DMEL, CG33770|NP_001027144.2|DMEL, CG33769|NP_001027143.1|DMEL, CG33767|NP_001027141.1|DMEL, CG33771|NP_001027145.3|DMEL, CG33768|NP_001027142.2|DMEL
OG0000051	LOC120776450|XP_039963045.1|BTRY	Cyp313b1|NP_649807.1|DMEL
OG0000051	LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY	Cyp313a4|NP_650224.3|DMEL
