Orthogroup	BTRY.longest_only	DPSE.longest_only
OG0000003	LOC120773128|XP_039958058.1|BTRY	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY	LOC4804982|XP_001361456.3|DPSE, LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC6902590|XP_002133118.2|DPSE
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC117183568|XP_033233728.1|DPSE, LOC117185607|XP_033241635.1|DPSE, LOC117185606|XP_033241634.1|DPSE, LOC26532116|XP_015035138.1|DPSE, LOC117185600|XP_033241628.1|DPSE, LOC26534267|XP_015035134.1|DPSE, LOC117185633|XP_033241719.1|DPSE, LOC117185634|XP_033241720.1|DPSE, LOC26533245|XP_033241636.1|DPSE, LOC117185608|XP_033241637.1|DPSE, LOC117185631|XP_033241718.1|DPSE, LOC117185630|XP_033241717.1|DPSE, LOC26532398|XP_015035141.1|DPSE, LOC117183574|XP_033233756.1|DPSE, LOC117183621|XP_033234074.1|DPSE
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC117183560|XP_033233682.1|DPSE, LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE
OG0000005	LOC120767518|XP_039949546.1|BTRY	LOC6903934|XP_002136584.1|DPSE
OG0000005	LOC120767525|XP_039949553.1|BTRY	LOC117185613|XP_033241643.1|DPSE
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC120767513|XP_039949540.1|BTRY, LOC120767476|XP_039949500.1|BTRY, LOC120767512|XP_039949539.1|BTRY, LOC120781340|XP_039969478.1|BTRY	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC6900428|XP_002134819.1|DPSE
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC5495509|XP_001355939.3|DPSE, LOC4805058|XP_001361522.1|DPSE, LOC6896708|XP_002136922.1|DPSE, LOC4800234|XP_001357614.1|DPSE, LOC6896707|XP_002136921.2|DPSE, LOC4816610|XP_001355938.2|DPSE, LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE, LOC4813497|XP_001353852.2|DPSE, LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC4802267|XP_001359221.4|DPSE
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC4803283|XP_001360048.3|DPSE, LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE, LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC4805603|XP_001361980.2|DPSE, LOC4802604|XP_001359493.2|DPSE, LOC4804281|XP_001360862.1|DPSE, LOC6898444|XP_002138487.3|DPSE
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC117185617|XP_033241647.1|DPSE, LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC117185640|XP_033241727.1|DPSE
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC117185604|XP_033241632.1|DPSE, LOC117185605|XP_033241633.1|DPSE, LOC26532676|XP_015035129.1|DPSE, LOC26532710|XP_015035140.1|DPSE, LOC117185616|XP_033241646.1|DPSE, LOC26532680|XP_015035136.1|DPSE, LOC117183563|XP_033233697.1|DPSE, LOC117185642|XP_033241729.1|DPSE
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC4804261|XP_015039777.2|DPSE
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC4804255|XP_001360842.2|DPSE
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC4804254|XP_015039772.2|DPSE
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC6898436|XP_033233736.1|DPSE
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE, LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE, LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC6900589|XP_002134962.1|DPSE
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000014	LOC120774632|XP_039960290.1|BTRY, LOC120778358|XP_039966079.1|BTRY	LOC117184937|XP_033240069.1|DPSE
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC13036345|XP_003736506.3|DPSE, LOC26532120|XP_015041304.2|DPSE, LOC6898242|XP_002138308.2|DPSE, LOC6902209|XP_015041303.2|DPSE, LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC4801993|XP_001359004.1|DPSE, LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC6896970|XP_002137155.1|DPSE
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC4812150|XP_001352883.1|DPSE
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC4805006|XP_001361476.2|DPSE, LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC5495511|XP_001353833.1|DPSE
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC4813481|XP_001353829.1|DPSE
OG0000018	LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE
OG0000018	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE, LOC4801129|XP_033235715.1|DPSE, LOC4801131|XP_001358273.2|DPSE, LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC6896759|XP_002136966.1|DPSE
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC6902791|XP_002132528.2|DPSE
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC117183221|XP_033232918.1|DPSE
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC6901473|XP_033238237.1|DPSE
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC6897478|XP_002137627.1|DPSE
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC4800831|XP_001358035.1|DPSE, LOC6901811|XP_002134479.1|DPSE
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC4804646|XP_033234778.1|DPSE
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE
OG0000022	LOC120770784|XP_039954297.1|BTRY, LOC120772427|XP_039956973.1|BTRY	LOC6899948|XP_002135316.2|DPSE
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC4802962|XP_001359775.3|DPSE
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC4802964|XP_001359777.4|DPSE, LOC4804210|XP_001360806.2|DPSE, LOC6897865|XP_033232678.1|DPSE
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC4802957|XP_001359771.3|DPSE
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC5495505|XP_001359769.4|DPSE
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC5384073|XP_001359768.2|DPSE
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC4802956|XP_015038205.2|DPSE
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE, LOC5495520|XP_001361563.3|DPSE
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC4805107|XP_001361564.1|DPSE
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC6899225|XP_002136299.3|DPSE, LOC5495508|XP_001361566.2|DPSE
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC6901557|XP_002134231.1|DPSE
OG0000025	LOC120767497|XP_039949523.1|BTRY	LOC117183559|XP_033233680.1|DPSE, LOC117183558|XP_033233678.1|DPSE
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC4818162|XP_001357184.4|DPSE
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC4815876|XP_001355332.2|DPSE, LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE, LOC4800860|XP_001358060.2|DPSE
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC6902829|XP_002132565.2|DPSE
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC4817432|XP_001356466.2|DPSE
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC4816919|XP_001356465.1|DPSE
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC6900255|XP_002135584.2|DPSE
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC6900007|XP_002135372.2|DPSE
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE, LOC26533066|XP_015039817.2|DPSE, LOC6897267|XP_033233167.1|DPSE, LOC4813458|XP_001353977.2|DPSE
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC4817563|XP_001356970.3|DPSE, LOC4817564|XP_002132859.2|DPSE, LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC4816660|XP_001355989.2|DPSE
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC4804482|XP_001361038.2|DPSE
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC4816069|XP_001355235.2|DPSE
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC4815215|XP_001354948.2|DPSE
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC26533742|XP_033235774.1|DPSE
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC4817450|XP_001356533.3|DPSE, LOC4817037|XP_001356534.3|DPSE, LOC6902878|XP_002132612.2|DPSE, LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE, LOC4816157|XP_001355874.3|DPSE
OG0000035	LOC120769276|XP_039952126.1|BTRY, LOC120780160|XP_039968373.1|BTRY, LOC120780561|XP_039968752.1|BTRY	LOC117183275|XP_033232534.1|DPSE, LOC117185563|XP_033241586.1|DPSE
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC6897873|XP_002137975.2|DPSE
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC4801521|XP_033232300.1|DPSE
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC4802757|XP_001359618.3|DPSE
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC117183241|XP_033232365.1|DPSE, LOC4800563|XP_033232364.1|DPSE
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC4803745|XP_001360410.4|DPSE
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC4812152|XP_001352947.2|DPSE
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC4815394|XP_001354810.3|DPSE
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE, LOC4803144|XP_001359934.2|DPSE, LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE, LOC6897971|XP_002138070.1|DPSE, LOC4803208|XP_001359988.4|DPSE, LOC4801113|XP_001358260.2|DPSE
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC4803128|XP_001359922.2|DPSE, LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE, LOC4803134|XP_001359926.3|DPSE
