Orthogroup	BTRY.longest_only	DERE.longest_only
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC6543237|XP_001970449.1|DERE
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC6543184|XP_001968830.1|DERE
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC6556051|XP_001982911.1|DERE, LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE, LOC6556058|XP_001982915.1|DERE, LOC113564801|XP_026839449.1|DERE, LOC113564800|XP_026839448.1|DERE, LOC6548707|XP_001973996.1|DERE, LOC6556031|XP_001982896.1|DERE, LOC6556046|XP_001982906.1|DERE, LOC6556228|XP_001983059.1|DERE, LOC6556303|XP_001983113.1|DERE
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE
OG0000006	LOC120767476|XP_039949500.1|BTRY, LOC120767512|XP_039949539.1|BTRY, LOC120781340|XP_039969478.1|BTRY	LOC6548691|XP_001974010.1|DERE
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC6546441|XP_001972927.1|DERE
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC6545299|XP_001972057.1|DERE, LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC6540938|XP_001968734.1|DERE, LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE, LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE, LOC6540876|XP_001968735.1|DERE, LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE, LOC6545300|XP_001972058.2|DERE, LOC6545301|XP_001972059.1|DERE
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC6543716|XP_001971859.1|DERE
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC6543719|XP_001971862.1|DERE
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC6543717|XP_001971860.3|DERE
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC6553018|XP_001979109.1|DERE
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC6553016|XP_001979107.1|DERE
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC6553019|XP_001979110.3|DERE
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC6553017|XP_001979108.1|DERE
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC6553015|XP_001979106.1|DERE
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC6554105|XP_001979501.1|DERE
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC6554107|XP_001979503.1|DERE, LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC6548094|XP_001976600.1|DERE, LOC6553884|XP_001980458.1|DERE, LOC6546804|XP_001975914.1|DERE, LOC6546805|XP_001975915.1|DERE
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC113564795|XP_026839443.1|DERE, LOC6556039|XP_015008608.2|DERE
OG0000010	LOC120767529|XP_039949555.1|BTRY, LOC120767531|XP_039949557.1|BTRY	LOC113564802|XP_026839451.1|DERE
OG0000010	LOC120767532|XP_039949558.1|BTRY	LOC26526498|XP_026839417.1|DERE
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC6548705|XP_026839404.1|DERE, LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE, LOC6556049|XP_001982909.3|DERE
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC6547483|XP_015011854.1|DERE
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC6547482|XP_001974798.1|DERE
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC6547337|XP_015012184.1|DERE
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC6547484|XP_026836781.1|DERE
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC6547486|XP_001974802.1|DERE, LOC6547485|XP_015012185.1|DERE, LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE, LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC6549620|XP_001975657.1|DERE
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC6551261|XP_026838843.1|DERE
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC6553110|XP_001980016.1|DERE
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC6545627|XP_026832753.1|DERE
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC6553734|XP_001980320.1|DERE
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC6554353|XP_001982051.1|DERE
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC6549487|XP_001974261.3|DERE, LOC6541487|XP_001968624.1|DERE, LOC26527019|XP_015015589.1|DERE, LOC6549638|XP_026836388.1|DERE, LOC6542316|XP_001970154.1|DERE, LOC6541306|XP_001970208.1|DERE, LOC6554572|XP_026839568.1|DERE
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC6553473|XP_001980267.1|DERE, LOC6547825|XP_001974973.1|DERE
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC6553744|XP_001980362.1|DERE
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC6542573|XP_026835446.1|DERE
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC6553157|XP_026831618.1|DERE
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC6544283|XP_001973711.1|DERE
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC6550521|XP_001977911.1|DERE
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC6540975|XP_001970557.1|DERE, LOC6542635|XP_001970806.1|DERE
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC6545112|XP_001972081.1|DERE
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC6545117|XP_001972086.1|DERE, LOC6545115|XP_001972084.1|DERE
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC6545114|XP_001972083.1|DERE
OG0000018	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC113564308|XP_026836578.1|DERE, LOC113564837|XP_026839515.1|DERE, LOC6555070|XP_001981612.1|DERE, LOC6555069|XP_001981611.1|DERE, LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC6555052|XP_026839769.1|DERE
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC6553828|XP_026839892.1|DERE
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC6551659|XP_001977237.1|DERE
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC6554651|XP_001981975.1|DERE
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC6553703|XP_001980409.1|DERE, LOC26526932|XP_026837924.1|DERE
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC6548724|XP_001975398.1|DERE
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC6556144|XP_001982999.1|DERE, LOC6545492|XP_001971094.1|DERE, LOC6545493|XP_026833569.1|DERE, LOC6556143|XP_001982998.1|DERE
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC6553285|XP_001979203.1|DERE, LOC6546697|XP_026836761.1|DERE, LOC6553284|XP_026831910.1|DERE
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC6553277|XP_001979195.2|DERE
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC6553329|XP_001979191.2|DERE
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC6553331|XP_001979193.1|DERE
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC6553328|XP_001979190.1|DERE
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC6547181|XP_001976079.1|DERE, LOC6547180|XP_001976078.1|DERE, LOC6547179|XP_001976077.1|DERE, LOC6547183|XP_001976081.1|DERE
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC6547182|XP_001976080.1|DERE
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC6549069|XP_001974169.1|DERE, LOC6547184|XP_001976082.1|DERE
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC6540718|XP_001968765.1|DERE
OG0000025	LOC120767497|XP_039949523.1|BTRY	LOC113564765|XP_026839399.1|DERE
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC6543477|XP_001969495.1|DERE
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC6551346|XP_001977080.1|DERE, LOC6553336|XP_001979309.1|DERE
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC6541432|XP_001970185.1|DERE
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC6541563|XP_001970188.1|DERE
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC6541340|XP_001970186.1|DERE
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC6545516|XP_001973330.1|DERE
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC6545103|XP_001973211.1|DERE
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC6551894|XP_001980609.1|DERE, LOC6541177|XP_001969159.1|DERE, LOC6547215|XP_001974713.1|DERE, LOC6543371|XP_001969207.2|DERE, LOC6552797|XP_001981008.1|DERE, LOC6546309|XP_026833134.1|DERE
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC6540832|XP_001969798.1|DERE, LOC6541247|XP_001969800.2|DERE, LOC6543200|XP_001969799.1|DERE
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC6542410|XP_001968441.1|DERE
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC6547811|XP_001976404.1|DERE
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC6555505|XP_026838381.1|DERE
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC6550371|XP_001977852.1|DERE
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC6542615|XP_001969442.1|DERE
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC6553974|XP_015009875.1|DERE
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC113564299|XP_026836470.1|DERE
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC6547752|XP_001976261.2|DERE, LOC6547627|XP_001976262.1|DERE, LOC113564268|XP_026836067.1|DERE, LOC6553711|XP_001980355.1|DERE
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC6553210|XP_001979212.1|DERE
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC6553049|XP_001980037.3|DERE
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC6552090|XP_001978801.1|DERE
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC6554160|XP_026832544.1|DERE, LOC113563885|XP_026832533.1|DERE
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC6547304|XP_026836461.1|DERE
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC6545503|XP_001973343.1|DERE
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC6550737|XP_001978160.1|DERE
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC6551893|XP_026835202.1|DERE, LOC6551780|XP_001980593.1|DERE, LOC6551781|XP_001980594.1|DERE, LOC6551892|XP_001979714.2|DERE, LOC6551891|XP_001979713.1|DERE, LOC6551889|XP_001979711.1|DERE, LOC6554299|XP_001981067.1|DERE
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE, LOC6554990|XP_001981815.1|DERE, LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC6551884|XP_001980608.2|DERE, LOC6551882|XP_001980606.1|DERE, LOC6551883|XP_001980607.1|DERE
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC6551896|XP_001980611.1|DERE, LOC6554744|XP_001981087.1|DERE, LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC6554933|XP_001981812.1|DERE
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC6554929|XP_001981808.1|DERE, LOC6554928|XP_001981807.1|DERE, LOC6554932|XP_026836683.1|DERE, LOC6554930|XP_001981809.1|DERE, LOC6554931|XP_001981810.2|DERE
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC6553968|XP_001980526.3|DERE
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC6543777|XP_001972312.1|DERE
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC6543776|XP_001972311.2|DERE, LOC6543775|XP_001972310.1|DERE
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC6544619|XP_001971501.1|DERE
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC6544620|XP_001971502.1|DERE
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC6548915|XP_026836112.1|DERE, LOC6548919|XP_001975347.1|DERE, LOC6549604|XP_001975737.1|DERE, LOC6546188|XP_001972281.1|DERE, LOC6549507|XP_001975729.1|DERE, LOC6546189|XP_001972282.1|DERE
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	LOC6544966|XP_001973233.1|DERE, LOC6544967|XP_001973234.1|DERE
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	LOC6545047|XP_001973229.1|DERE, LOC6545045|XP_001973227.2|DERE
OG0000048	LOC120770486|XP_039953934.1|BTRY	LOC6544963|XP_001973230.1|DERE
OG0000049	LOC120782870|XP_039971347.1|BTRY	LOC6552334|XP_001979793.1|DERE
OG0000049	LOC120782209|XP_039970301.1|BTRY	LOC6552331|XP_001979790.1|DERE
OG0000049	LOC120781673|XP_039969832.1|BTRY	LOC6552229|XP_001979794.1|DERE
OG0000049	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY	LOC6552231|XP_001979796.1|DERE, LOC6552230|XP_001979795.1|DERE
OG0000049	LOC120772847|XP_039957638.1|BTRY	LOC6552330|XP_001979789.1|DERE
OG0000050	LOC120778411|XP_039966128.1|BTRY	LOC6544231|XP_001973747.1|DERE, LOC6544204|XP_026833494.1|DERE, LOC26526578|XP_026833595.1|DERE, LOC6544232|XP_026833594.1|DERE, LOC6544203|XP_001973745.2|DERE
OG0000051	LOC120776450|XP_039963045.1|BTRY	LOC6552520|XP_001980945.1|DERE
OG0000051	LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY	LOC6553748|XP_001980366.1|DERE
OG0000051	LOC120774683|XP_039960350.1|BTRY, LOC120766819|XP_039948463.1|BTRY, LOC120766441|XP_039947883.1|BTRY	LOC6553801|XP_001980449.1|DERE, LOC6552141|XP_001979934.1|DERE, LOC6553800|XP_001980448.1|DERE, LOC6553799|XP_001980447.1|DERE
OG0000052	LOC120771792|XP_039955923.1|BTRY, LOC120772636|XP_039957293.1|BTRY, LOC120772635|XP_039957292.1|BTRY, LOC120772637|XP_039957294.1|BTRY	LOC6552258|XP_001980739.1|DERE, LOC6555308|XP_001982081.1|DERE, LOC6552259|XP_001980740.3|DERE, LOC6552256|XP_001980737.2|DERE, LOC6552257|XP_001980738.1|DERE, LOC6547302|XP_001974728.1|DERE, LOC6547301|XP_001974727.1|DERE
OG0000053	LOC120770153|XP_039953281.1|BTRY	LOC6541123|XP_001970454.1|DERE, LOC6542707|XP_001970455.1|DERE
OG0000053	LOC120770564|XP_039954076.1|BTRY	LOC6542876|XP_001970456.1|DERE
