Orthogroup	BTRY.longest_only	DVIR.longest_only
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR, LOC6627005|XP_002050771.1|DVIR, LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000014	LOC120774632|XP_039960290.1|BTRY, LOC120778358|XP_039966079.1|BTRY	LOC116652015|XP_032295550.1|DVIR
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC6633997|XP_032293758.1|DVIR, LOC116651432|XP_032293641.1|DVIR, LOC116651430|XP_032293637.1|DVIR, LOC116651431|XP_032293638.1|DVIR, LOC6629199|XP_002051601.2|DVIR, LOC26531129|XP_015031696.1|DVIR, LOC26531900|XP_015029004.1|DVIR, LOC26530539|XP_015028823.1|DVIR, LOC6629186|XP_002051591.1|DVIR, LOC26531562|XP_032293636.1|DVIR, LOC6629069|XP_032293702.1|DVIR
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC6633127|XP_002056070.1|DVIR, LOC6635889|XP_002059414.1|DVIR, LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC120777232|XP_039964348.1|BTRY	LOC6623368|XP_002046143.1|DVIR
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC120777771|XP_039965219.1|BTRY, LOC120777275|XP_039964413.1|BTRY, LOC120777724|XP_039965149.1|BTRY	LOC6623325|XP_002046139.1|DVIR, LOC6623363|XP_002046142.1|DVIR
OG0000018	LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY	LOC6623104|XP_002046157.1|DVIR
OG0000018	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY	LOC6623443|XP_002046145.1|DVIR
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC6630455|XP_032294460.1|DVIR, LOC6630454|XP_032294467.1|DVIR, LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR, LOC6630458|XP_002053919.1|DVIR, LOC6630457|XP_002053918.1|DVIR, LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC6632501|XP_032289762.1|DVIR
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC6629847|XP_002054468.1|DVIR, LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC6632669|XP_002056438.1|DVIR, LOC6626291|XP_002050067.1|DVIR, LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC6634081|XP_002057902.1|DVIR, LOC6625429|XP_002049266.1|DVIR
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC6635606|XP_002058949.1|DVIR
OG0000025	LOC120767474|XP_039949497.1|BTRY, LOC120767496|XP_039949522.1|BTRY, LOC120767500|XP_039949527.1|BTRY, LOC120767501|XP_039949528.1|BTRY	LOC6637233|XP_002060537.1|DVIR
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC6631256|XP_002053244.1|DVIR, LOC6636025|XP_002059549.1|DVIR, LOC6636164|XP_002059550.1|DVIR, LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR, LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC120779035|XP_039967132.1|BTRY	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC6627930|XP_002051996.1|DVIR, LOC6627931|XP_002051997.2|DVIR, LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR, LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC6630607|XP_002054482.2|DVIR
OG0000036	LOC120779059|XP_039967127.1|BTRY, LOC120778390|XP_039966111.1|BTRY, LOC120778391|XP_039966112.1|BTRY, LOC120769280|XP_039952129.1|BTRY	LOC6631850|XP_002055586.3|DVIR
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC120782738|XP_039971105.1|BTRY, LOC120781464|XP_039969625.1|BTRY, LOC120766404|XP_039947788.1|BTRY	LOC26531412|XP_015030326.1|DVIR
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC6622648|XP_002047530.1|DVIR
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC6631924|XP_002055751.1|DVIR
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC6629625|XP_002054865.1|DVIR, LOC6629626|XP_002054866.2|DVIR, LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR, LOC6629621|XP_002054861.1|DVIR, LOC6629627|XP_002054867.1|DVIR, LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC6630636|XP_002053634.1|DVIR, LOC6630746|XP_002053207.1|DVIR, LOC6630637|XP_002053635.1|DVIR, LOC6630748|XP_002053209.1|DVIR, LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC6630320|XP_002053430.1|DVIR, LOC6630321|XP_002053431.1|DVIR
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC6630323|XP_002053433.1|DVIR, LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC116651012|XP_032292468.1|DVIR, LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC6624147|XP_002046895.1|DVIR
