Orthogroup	BTRY.longest_only	DSUZ.longest_only
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ
OG0000003	LOC120773128|XP_039958058.1|BTRY	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ
OG0000003	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY	LOC118877697|XP_036673424.1|DSUZ, LOC108008943|XP_016928342.1|DSUZ, LOC108018006|XP_016940848.1|DSUZ
OG0000003	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY	LOC108008947|XP_016928347.2|DSUZ
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC108008950|XP_016928350.1|DSUZ
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC108019593|XP_016942923.1|DSUZ
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC108007096|XP_016926191.1|DSUZ
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC118879510|XP_036678268.1|DSUZ, LOC108016323|XP_016938449.2|DSUZ, LOC118877303|XP_036671346.1|DSUZ, LOC118879250|XP_036678028.1|DSUZ, LOC118879509|XP_036678267.1|DSUZ, LOC118879267|XP_036678044.1|DSUZ, LOC118879249|XP_036678027.1|DSUZ, LOC118879639|XP_036678427.1|DSUZ, LOC118877305|XP_036671351.1|DSUZ, LOC118879640|XP_036678428.1|DSUZ
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC118879271|XP_036678048.1|DSUZ, LOC118879262|XP_036678038.1|DSUZ, LOC118879260|XP_036678036.1|DSUZ, LOC118879641|XP_036678429.1|DSUZ, LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ, LOC118879258|XP_036678034.1|DSUZ, LOC108016328|XP_036678434.1|DSUZ, LOC118879259|XP_036678035.1|DSUZ, LOC118879512|XP_036678269.1|DSUZ, LOC118877313|XP_036671386.1|DSUZ, LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC118879646|XP_036678433.1|DSUZ
OG0000006	LOC120781340|XP_039969478.1|BTRY	LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC108004804|XP_016923359.1|DSUZ
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC118877416|XP_036672028.1|DSUZ
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC108013025|XP_016934104.1|DSUZ, LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC118879795|XP_036678702.1|DSUZ, LOC108019834|XP_016943342.1|DSUZ, LOC108017241|XP_036675632.1|DSUZ, LOC108015466|XP_016937387.2|DSUZ, LOC118876800|XP_036668611.1|DSUZ, LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ, LOC108013030|XP_016934110.1|DSUZ
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC108020009|XP_016943583.1|DSUZ
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC108014245|XP_016935771.2|DSUZ
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC108006378|XP_036675047.1|DSUZ
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC108014235|XP_016935760.2|DSUZ
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC108014237|XP_016935761.1|DSUZ
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC118878011|XP_036674950.1|DSUZ
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC108014185|XP_016935709.1|DSUZ
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC108014181|XP_016935705.2|DSUZ, LOC108011538|XP_036673111.1|DSUZ, LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ, LOC108011415|XP_036670407.1|DSUZ
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC108008708|XP_016928093.1|DSUZ, LOC108019245|XP_036673765.1|DSUZ, LOC108008467|XP_016927811.1|DSUZ, LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC118879648|XP_036678436.1|DSUZ, LOC118879264|XP_036678040.1|DSUZ
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC118879272|XP_036678049.1|DSUZ, LOC108014626|XP_016936278.1|DSUZ, LOC118879273|XP_036678050.1|DSUZ
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC118877316|XP_036671422.1|DSUZ, LOC118877315|XP_036671409.1|DSUZ, LOC118877317|XP_036671430.1|DSUZ, LOC118879513|XP_036678270.1|DSUZ, LOC108006791|XP_016925829.1|DSUZ, LOC108016333|XP_036678042.1|DSUZ
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC108010292|XP_016930652.1|DSUZ
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC108009919|XP_016930137.1|DSUZ
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC108009918|XP_016930133.2|DSUZ
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC108010305|XP_016930677.1|DSUZ
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ, LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ, LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC108009479|XP_016929350.1|DSUZ
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC108005296|XP_016923987.1|DSUZ
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC108004911|XP_016923486.2|DSUZ
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC108012921|XP_016933934.1|DSUZ
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC108018484|XP_016941530.2|DSUZ
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC108015759|XP_036673283.1|DSUZ
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC108007391|XP_016926534.2|DSUZ
OG0000014	LOC120779372|XP_039967501.1|BTRY	LOC118878840|XP_036677761.1|DSUZ, LOC118878431|XP_036677301.1|DSUZ, LOC118879539|XP_036678287.1|DSUZ, LOC118879719|XP_036678520.1|DSUZ, LOC108007594|XP_036678380.1|DSUZ
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC108016959|XP_016939387.2|DSUZ, LOC108008179|XP_016927458.2|DSUZ, LOC108008180|XP_016927459.1|DSUZ, LOC108015638|XP_016937623.1|DSUZ, LOC108012737|XP_016933663.2|DSUZ, LOC108014327|XP_016935890.1|DSUZ, LOC108021058|XP_016945093.1|DSUZ, LOC108013425|XP_016934779.1|DSUZ, LOC108012003|XP_016932767.1|DSUZ, LOC108009920|XP_016930179.1|DSUZ, LOC108010271|XP_016930662.1|DSUZ, LOC108005685|XP_016924535.1|DSUZ, LOC108013894|XP_016935421.1|DSUZ, LOC108012239|XP_036672398.1|DSUZ, LOC108009237|XP_016928898.1|DSUZ, LOC108006716|XP_016925749.1|DSUZ, LOC108021461|XP_016945722.1|DSUZ, LOC108009902|XP_016930118.1|DSUZ, LOC108010739|XP_036668651.1|DSUZ, LOC108012550|XP_016933490.1|DSUZ, LOC108010859|XP_016931327.1|DSUZ, LOC108012640|XP_016933551.1|DSUZ, LOC108009429|XP_016929253.1|DSUZ, LOC108018082|XP_016941013.1|DSUZ, LOC108018900|XP_016941980.1|DSUZ, LOC118879010|XP_036677865.1|DSUZ, LOC108012805|XP_016933736.1|DSUZ, LOC108010103|XP_016930413.1|DSUZ
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ, LOC108009286|XP_016929004.1|DSUZ
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC108008079|XP_016927358.2|DSUZ
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC108010965|XP_016931470.1|DSUZ
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC108006430|XP_016925443.1|DSUZ
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC108007764|XP_016927008.1|DSUZ
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC108018993|XP_036676279.1|DSUZ
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC108009448|XP_016929291.1|DSUZ, LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ, LOC108015556|XP_016937525.2|DSUZ
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC108012738|XP_016933660.1|DSUZ
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC108012644|XP_016933559.1|DSUZ
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC108012663|XP_016933579.1|DSUZ
OG0000018	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY	LOC108013582|XP_016934999.1|DSUZ
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC108016142|XP_016938246.1|DSUZ, LOC108016122|XP_036675619.1|DSUZ, LOC118878133|XP_036675618.1|DSUZ, LOC108016148|XP_016938252.2|DSUZ, LOC108016158|XP_036675606.1|DSUZ, LOC108016141|XP_016938245.1|DSUZ, LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC108015714|XP_036672549.1|DSUZ
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC108012220|XP_036675724.1|DSUZ
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC108006427|XP_036673222.1|DSUZ
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC108018719|XP_036672548.1|DSUZ, LOC108005418|XP_036676931.1|DSUZ
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC108008926|XP_016928324.1|DSUZ
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC108013952|XP_016935450.2|DSUZ
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC108019337|XP_016942646.2|DSUZ, LOC108009166|XP_016928770.1|DSUZ, LOC108018731|XP_036675082.1|DSUZ
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC108013954|XP_016935453.2|DSUZ
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC108013962|XP_016935466.1|DSUZ
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC108013947|XP_036675218.1|DSUZ
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC108013965|XP_016935470.1|DSUZ
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC108010072|XP_016930375.2|DSUZ, LOC118876895|XP_036668888.1|DSUZ, LOC118876966|XP_036669508.1|DSUZ, LOC118876934|XP_036669252.1|DSUZ, LOC108010252|XP_016930594.2|DSUZ
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC108010071|XP_016930374.1|DSUZ
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC108016763|XP_016939005.1|DSUZ
OG0000025	LOC120767501|XP_039949528.1|BTRY	LOC108016331|XP_036678431.1|DSUZ
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC108010503|XP_036668665.1|DSUZ
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC108005489|XP_016924284.1|DSUZ, LOC108014363|XP_016935943.1|DSUZ, LOC108013851|XP_016935328.2|DSUZ
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC118879783|XP_036678676.1|DSUZ
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC108021423|XP_016945624.1|DSUZ
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC108015770|XP_036678674.1|DSUZ
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC118877366|XP_036671777.1|DSUZ
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC108018422|XP_016941467.2|DSUZ, LOC108006019|XP_016924952.2|DSUZ, LOC108008251|XP_016927530.2|DSUZ, LOC108013363|XP_016938502.2|DSUZ, LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ, LOC108019543|XP_016942870.2|DSUZ
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC108013240|XP_036677776.1|DSUZ, LOC108019494|XP_016942847.1|DSUZ, LOC108012924|XP_016933943.1|DSUZ
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC108008208|XP_016927487.1|DSUZ, LOC108008957|XP_016928357.1|DSUZ
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC108016627|XP_016938811.1|DSUZ
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC108005272|XP_016923949.2|DSUZ, LOC108005153|XP_016923816.2|DSUZ
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC108017974|XP_016940780.1|DSUZ, LOC108017973|XP_016940764.1|DSUZ
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC108018357|XP_036672791.1|DSUZ
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC108018408|XP_016941455.1|DSUZ, LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC108021477|XP_016945708.1|DSUZ, LOC108021476|XP_016945707.1|DSUZ, LOC108021724|XP_016946052.1|DSUZ, LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ, LOC108011927|XP_016932664.1|DSUZ
OG0000035	LOC120769276|XP_039952126.1|BTRY, LOC120780160|XP_039968373.1|BTRY, LOC120780561|XP_039968752.1|BTRY	LOC118877768|XP_036673685.1|DSUZ, LOC118877323|XP_036671482.1|DSUZ
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC108019328|XP_036675087.1|DSUZ
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC108006404|XP_016925415.2|DSUZ
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC108011658|XP_016932343.2|DSUZ
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC108007854|XP_036674140.1|DSUZ
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC108018132|XP_016941074.1|DSUZ
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC108020759|XP_016944626.2|DSUZ
