Orthogroup	BTRY.longest_only	DMAU.longest_only
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC117143233|XP_033163675.1|DMAU, LOC117143237|XP_033163678.1|DMAU, LOC117143236|XP_033163677.1|DMAU, LOC117143229|XP_033163670.1|DMAU, LOC117143234|XP_033163676.1|DMAU, LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC117143636|XP_033164304.1|DMAU
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC117145918|XP_033167668.1|DMAU
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC117142241|XP_033161985.1|DMAU
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC117143646|XP_033164316.1|DMAU, LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC117138252|XP_033156103.1|DMAU
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC117144282|XP_033165275.1|DMAU, LOC117135977|XP_033152481.1|DMAU, LOC117145126|XP_033166537.1|DMAU
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC117144278|XP_033165272.1|DMAU
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC117144775|XP_033166033.1|DMAU
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC117144277|XP_033165271.1|DMAU
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC117137467|XP_033154805.1|DMAU, LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU, LOC117137862|XP_033155468.1|DMAU
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC117136255|XP_033152953.1|DMAU
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC117150619|XP_033173479.1|DMAU, LOC117136506|XP_033153341.1|DMAU
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC117135160|XP_033151111.1|DMAU
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC117146899|XP_033169397.1|DMAU, LOC117142902|XP_033163074.1|DMAU, LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC117142835|XP_033162961.1|DMAU
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC117140739|XP_033159710.1|DMAU
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC117139373|XP_033157513.1|DMAU
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC117141110|XP_033160324.1|DMAU
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC117145028|XP_033166421.1|DMAU, LOC117136167|XP_033152799.1|DMAU, LOC117136614|XP_033153490.1|DMAU, LOC117135122|XP_033151033.1|DMAU, LOC117144854|XP_033166148.1|DMAU, LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC117150768|XP_033173696.1|DMAU, LOC117137293|XP_033154560.1|DMAU, LOC117150769|XP_033173697.1|DMAU
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC117143350|XP_033163916.1|DMAU
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC117137054|XP_033154154.1|DMAU
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC117148684|XP_033172115.1|DMAU
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC117150913|XP_033173999.1|DMAU
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC117145857|XP_033167568.1|DMAU
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU, LOC117150484|XP_033173274.1|DMAU, LOC117150483|XP_033173273.1|DMAU, LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU, LOC117143867|XP_033164627.1|DMAU
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC117145004|XP_033166383.1|DMAU
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC117145915|XP_033167661.1|DMAU
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC117137024|XP_033154116.1|DMAU
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC117139364|XP_033157507.1|DMAU
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC117148457|XP_033171719.1|DMAU
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC117145128|XP_033166540.1|DMAU, LOC117143448|XP_033164046.1|DMAU, LOC117143449|XP_033164048.1|DMAU, LOC117144294|XP_033165289.1|DMAU, LOC117144293|XP_033165288.1|DMAU, LOC117143965|XP_033164790.1|DMAU, LOC117143756|XP_033164463.1|DMAU
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC117143574|XP_033164210.1|DMAU, LOC117143570|XP_033164205.1|DMAU, LOC117143572|XP_033164208.1|DMAU
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC117145149|XP_033166580.1|DMAU, LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC117143901|XP_033164698.1|DMAU
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU, LOC117145163|XP_033166599.1|DMAU, LOC117143590|XP_033164229.1|DMAU, LOC117143652|XP_033164322.1|DMAU
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC117143435|XP_033164032.1|DMAU
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC117139739|XP_033158187.1|DMAU
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC117139487|XP_033157699.1|DMAU
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC117139486|XP_033157698.1|DMAU
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC117137846|XP_033155439.1|DMAU, LOC117137896|XP_033155525.1|DMAU, LOC117136744|XP_033153666.1|DMAU, LOC117141645|XP_033161109.1|DMAU, LOC117137194|XP_033154412.1|DMAU, LOC117141646|XP_033161110.1|DMAU
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU, LOC117140935|XP_033160022.1|DMAU
OG0000048	LOC120770486|XP_039953934.1|BTRY	LOC117140941|XP_033160028.1|DMAU
OG0000049	LOC120782870|XP_039971347.1|BTRY	LOC117144267|XP_033165261.1|DMAU
OG0000049	LOC120782209|XP_039970301.1|BTRY	LOC117143819|XP_033164555.1|DMAU
OG0000049	LOC120781673|XP_039969832.1|BTRY	LOC117145062|XP_033166468.1|DMAU
OG0000049	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY	LOC117145059|XP_033166464.1|DMAU, LOC117145061|XP_033166467.1|DMAU
OG0000049	LOC120772847|XP_039957638.1|BTRY	LOC117144466|XP_033165523.1|DMAU
OG0000050	LOC120776369|XP_039962882.1|BTRY	LOC117136135|XP_033152731.1|DMAU
OG0000050	LOC120778411|XP_039966128.1|BTRY	LOC117142030|XP_033161785.1|DMAU, LOC117142027|XP_033161782.1|DMAU, LOC117142031|XP_033161786.1|DMAU, LOC117142029|XP_033161784.1|DMAU, LOC117142024|XP_033161778.1|DMAU, LOC117142028|XP_033161783.1|DMAU
OG0000051	LOC120776450|XP_039963045.1|BTRY	LOC117143815|XP_033164552.1|DMAU
OG0000051	LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY	LOC117143638|XP_033164307.1|DMAU
OG0000051	LOC120774683|XP_039960350.1|BTRY, LOC120766819|XP_039948463.1|BTRY, LOC120766441|XP_039947883.1|BTRY	LOC117142373|XP_033162194.1|DMAU, LOC117145370|XP_033166885.1|DMAU, LOC117145371|XP_033166886.1|DMAU
OG0000052	LOC120771792|XP_039955923.1|BTRY, LOC120772636|XP_039957293.1|BTRY, LOC120772635|XP_039957292.1|BTRY, LOC120772637|XP_039957294.1|BTRY	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU, LOC117136886|XP_033153888.1|DMAU, LOC117136885|XP_033153886.1|DMAU
OG0000053	LOC120770153|XP_039953281.1|BTRY	LOC117137106|XP_033154284.1|DMAU, LOC117137105|XP_033154282.1|DMAU
OG0000053	LOC120770564|XP_039954076.1|BTRY	LOC117137096|XP_033154272.1|DMAU
OG0000053	LOC120770562|XP_039954075.1|BTRY	LOC117137094|XP_033154271.1|DMAU
OG0000053	LOC120771115|XP_039954899.1|BTRY, LOC120772335|XP_039956813.1|BTRY, LOC120771116|XP_039954900.1|BTRY	LOC117137107|XP_033154285.1|DMAU
OG0000054	LOC120766688|XP_039948268.1|BTRY, LOC120773479|XP_039958337.1|BTRY	LOC117144491|XP_033165568.1|DMAU
OG0000054	LOC120766314|XP_039947666.1|BTRY, LOC120771817|XP_039955972.1|BTRY, LOC120766166|XP_039947447.1|BTRY	LOC117145202|XP_033166655.1|DMAU, LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU
OG0000056	LOC120773463|XP_039958298.1|BTRY, LOC120773462|XP_039958296.1|BTRY, LOC120773461|XP_039958295.1|BTRY	LOC117145913|XP_033167658.1|DMAU, LOC117145909|XP_033167655.1|DMAU, LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU
OG0000056	LOC120775660|XP_039961862.1|BTRY	LOC117144813|XP_033166080.1|DMAU
OG0000058	LOC120778110|XP_039965747.1|BTRY, LOC120778815|XP_039966755.1|BTRY, LOC120777383|XP_039964608.1|BTRY	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU, LOC117141672|XP_033161161.1|DMAU, LOC117147163|XP_033169841.1|DMAU
OG0000059	LOC120780097|XP_039968312.1|BTRY, LOC120780106|XP_039968325.1|BTRY, LOC120775512|XP_039961658.1|BTRY, LOC120778400|XP_039966151.1|BTRY, LOC120781731|XP_039969904.1|BTRY, LOC120782205|XP_039970291.1|BTRY, LOC120766699|XP_039948281.1|BTRY, LOC120782168|XP_039970239.1|BTRY, LOC120775546|XP_039961709.1|BTRY	LOC117144061|XP_033164961.1|DMAU, LOC117144560|XP_033165696.1|DMAU, LOC117144394|XP_033165420.1|DMAU, LOC117143436|XP_033164033.1|DMAU, LOC117145280|XP_033166759.1|DMAU, LOC117145279|XP_033166758.1|DMAU, LOC117143722|XP_033164415.1|DMAU
OG0000060	LOC120775432|XP_039961551.1|BTRY	LOC117148535|XP_033171846.1|DMAU
OG0000060	LOC120768177|XP_039950680.1|BTRY	LOC117142997|XP_033163243.1|DMAU
OG0000061	LOC120768964|XP_039951692.1|BTRY	LOC117144713|XP_033165946.1|DMAU
