Orthogroup	BTRY.longest_only	DSER.longest_only
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER, LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER, LOC110180669|XP_020804016.1|DSER, LOC110182130|XP_020805798.1|DSER, LOC110180696|XP_020804037.1|DSER, LOC110182417|XP_020806112.1|DSER, LOC110180695|XP_020804036.1|DSER, LOC110182139|XP_020805809.1|DSER, LOC110180676|XP_020804021.1|DSER, LOC110180666|XP_020804015.1|DSER, LOC110182416|XP_020806111.1|DSER, LOC110180677|XP_020804022.1|DSER, LOC110182131|XP_020805799.1|DSER, LOC110182138|XP_020805807.1|DSER, LOC110182428|XP_020806124.1|DSER
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC110182143|XP_020805813.1|DSER, LOC110180686|XP_020804030.1|DSER, LOC110182160|XP_020805822.1|DSER
OG0000005	LOC120767525|XP_039949553.1|BTRY	LOC110180687|XP_020804031.1|DSER
OG0000005	LOC120767517|XP_039949545.1|BTRY	LOC110180683|XP_020804027.1|DSER
OG0000005	LOC120767516|XP_039949544.1|BTRY	LOC110182412|XP_020806108.1|DSER
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC120767475|XP_039949498.1|BTRY	LOC110180700|XP_020804040.1|DSER
OG0000006	LOC120767511|XP_039949538.1|BTRY	LOC110183808|XP_020807819.1|DSER
OG0000006	LOC120781340|XP_039969478.1|BTRY	LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC110184726|XP_020809013.1|DSER, LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC110182363|XP_020806064.1|DSER, LOC110189366|XP_020815075.1|DSER, LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER, LOC110182364|XP_020806065.1|DSER, LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER, LOC110184731|XP_020809018.1|DSER, LOC110184732|XP_020809019.1|DSER
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC110191898|XP_020818543.1|DSER
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC110191725|XP_020818302.1|DSER
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC110188430|XP_020813815.1|DSER, LOC110186309|XP_020811090.1|DSER, LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC110181065|XP_020804398.1|DSER, LOC110176644|XP_020798730.1|DSER, LOC110178269|XP_020800994.1|DSER, LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC110182144|XP_020805814.1|DSER, LOC110182164|XP_020805826.1|DSER, LOC110182441|XP_020806135.1|DSER
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC110180673|XP_020804019.1|DSER, LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER, LOC110180663|XP_020804013.1|DSER
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC110178863|XP_020801799.1|DSER
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC110178859|XP_020801786.1|DSER
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC110190967|XP_020817320.1|DSER
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC110176037|XP_020797910.1|DSER
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER, LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER, LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC110188838|XP_020814394.1|DSER
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC110188074|XP_020813284.1|DSER
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC110188001|XP_020813183.1|DSER, LOC110188000|XP_020813182.1|DSER, LOC110181407|XP_020804802.1|DSER, LOC110182685|XP_020806436.1|DSER, LOC110190940|XP_020817272.1|DSER, LOC110187200|XP_020812259.1|DSER, LOC110182170|XP_020805830.1|DSER, LOC110187202|XP_020812260.1|DSER, LOC110179364|XP_020802537.1|DSER, LOC110181374|XP_020804762.1|DSER
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC110185112|XP_020809466.1|DSER, LOC110182974|XP_020806826.1|DSER
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC110186803|XP_020811744.1|DSER
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC110189526|XP_020815315.1|DSER
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC110191952|XP_020818633.1|DSER
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC110179844|XP_020803110.1|DSER
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC110179704|XP_020802972.1|DSER
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC110182944|XP_020806786.1|DSER, LOC110189651|XP_020815456.1|DSER
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC110184702|XP_020808977.1|DSER
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC110184746|XP_020809033.1|DSER
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC110184752|XP_020809041.1|DSER
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC110186753|XP_020811674.1|DSER, LOC110186755|XP_020811676.1|DSER, LOC110186756|XP_020811677.1|DSER, LOC110186746|XP_020811668.1|DSER, LOC110186754|XP_020811675.1|DSER, LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC110186419|XP_020811254.1|DSER
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC110188252|XP_020813584.1|DSER
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC110181842|XP_020805408.1|DSER
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC110184678|XP_020808951.1|DSER
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC110190995|XP_020817366.1|DSER, LOC110189278|XP_020814959.1|DSER, LOC110178105|XP_020800778.1|DSER
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC110176354|XP_020798342.1|DSER
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC110178666|XP_020801520.1|DSER, LOC110178667|XP_020801521.1|DSER, LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC110188311|XP_020813678.1|DSER
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER, LOC110180829|XP_020804169.1|DSER, LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC110188454|XP_020813842.1|DSER
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC110188692|XP_020814155.1|DSER
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC110188691|XP_020814154.1|DSER
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC110188690|XP_020814152.1|DSER
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC110179365|XP_020802539.1|DSER
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC110185697|XP_020810324.1|DSER, LOC110179322|XP_020802473.1|DSER
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC110182356|XP_020806054.1|DSER
OG0000025	LOC120767501|XP_039949528.1|BTRY	LOC110182432|XP_020806127.1|DSER
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC110182689|XP_020806441.1|DSER
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC110179505|XP_020802740.1|DSER, LOC110189572|XP_020815365.1|DSER, LOC110188271|XP_020813620.1|DSER
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC110176950|XP_020799111.1|DSER
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC110176976|XP_020799142.1|DSER
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC110176929|XP_020799084.1|DSER
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC110190608|XP_020816860.1|DSER
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER, LOC110185765|XP_020810430.1|DSER, LOC110178924|XP_020801869.1|DSER
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC110183999|XP_020808015.1|DSER, LOC110184000|XP_020808016.1|DSER
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC110184885|XP_020809189.1|DSER
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC110180192|XP_020803508.1|DSER
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC110184177|XP_020808247.1|DSER
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC110183330|XP_020807237.1|DSER
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC110191017|XP_020817393.1|DSER
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC110190425|XP_020816566.1|DSER, LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC110184859|XP_020809159.1|DSER, LOC110184879|XP_020809185.1|DSER, LOC110184890|XP_020809195.1|DSER, LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER, LOC110185768|XP_020810429.1|DSER
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC110188341|XP_020813708.1|DSER
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC110191887|XP_020818531.1|DSER
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC110187659|XP_020812737.1|DSER
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC110186335|XP_020811144.1|DSER
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC110178458|XP_020801255.1|DSER
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC110181782|XP_020805320.1|DSER
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC110177295|XP_020799616.1|DSER, LOC110190225|XP_020816248.1|DSER, LOC110190236|XP_020816258.1|DSER, LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER, LOC110177296|XP_020799617.1|DSER, LOC110177417|XP_020799793.1|DSER, LOC110186252|XP_020810992.1|DSER
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER, LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER, LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC110187856|XP_020813000.1|DSER, LOC110188004|XP_020813185.1|DSER
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER, LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER, LOC110187786|XP_020812917.1|DSER
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER, LOC110186555|XP_020811417.1|DSER, LOC110186661|XP_020811584.1|DSER
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC110186693|XP_020811620.1|DSER
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC110178672|XP_020801529.1|DSER
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC110187537|XP_020812593.1|DSER
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC110180463|XP_020803800.1|DSER, LOC110176287|XP_020798269.1|DSER, LOC110189583|XP_020815375.1|DSER, LOC110184762|XP_020809052.1|DSER, LOC110189698|XP_020815532.1|DSER, LOC110184679|XP_020808950.1|DSER
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	LOC110190450|XP_020816610.1|DSER, LOC110190451|XP_020816611.1|DSER
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	LOC110190448|XP_020816608.1|DSER, LOC110190459|XP_020816619.1|DSER, LOC110190447|XP_020816607.1|DSER
