Orthogroup	BTRY.longest_only	DHYD.longest_only
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD, LOC115483268|XP_030080473.1|DHYD, LOC115483296|XP_030080509.1|DHYD, LOC115483295|XP_030080508.1|DHYD
OG0000005	LOC120767519|XP_039949547.1|BTRY, LOC120767523|XP_039949552.1|BTRY	LOC115483257|XP_030080462.1|DHYD
OG0000005	LOC120767525|XP_039949553.1|BTRY	LOC115483285|XP_030080488.1|DHYD
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC120767512|XP_039949539.1|BTRY, LOC120781340|XP_039969478.1|BTRY	LOC115483281|XP_030080484.1|DHYD
OG0000007	LOC120778908|XP_039966889.1|BTRY, LOC120778909|XP_039966890.1|BTRY	LOC111601090|XP_023173285.1|DHYD
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC111596952|XP_023167177.2|DHYD, LOC111596951|XP_023167176.2|DHYD, LOC111596954|XP_023167178.2|DHYD, LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC111600831|XP_023172902.2|DHYD
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC111604987|XP_023179051.2|DHYD, LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD, LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD, LOC111593562|XP_023162191.2|DHYD, LOC111593549|XP_023162171.2|DHYD, LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC115483192|XP_030080237.1|DHYD, LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD, LOC115483263|XP_030080468.1|DHYD
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC115482884|XP_030078994.1|DHYD, LOC115483312|XP_030080549.1|DHYD, LOC115482905|XP_030079011.1|DHYD, LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD, LOC115483289|XP_030080492.1|DHYD
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD, LOC111597898|XP_023168600.2|DHYD, LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC111601485|XP_023173841.2|DHYD, LOC111598320|XP_023169285.2|DHYD, LOC111592667|XP_023160798.2|DHYD, LOC111603761|XP_023177261.1|DHYD, LOC111603774|XP_023177277.2|DHYD, LOC111599488|XP_023170923.2|DHYD, LOC111599832|XP_023171393.2|DHYD, LOC111603762|XP_023177262.1|DHYD, LOC111603745|XP_023177233.1|DHYD, LOC111602215|XP_030080408.1|DHYD, LOC115483219|XP_030080406.1|DHYD
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC111605496|XP_023179814.1|DHYD, LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC120777232|XP_039964348.1|BTRY	LOC111600522|XP_023172425.2|DHYD
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC111600497|XP_023172393.2|DHYD
OG0000018	LOC120777771|XP_039965219.1|BTRY, LOC120777275|XP_039964413.1|BTRY, LOC120777724|XP_039965149.1|BTRY	LOC111600505|XP_023172401.2|DHYD, LOC111600499|XP_023172394.2|DHYD
OG0000018	LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD, LOC111598920|XP_023170158.2|DHYD, LOC111603248|XP_023176523.1|DHYD, LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC111596686|XP_023166760.2|DHYD
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC111601414|XP_023173744.1|DHYD, LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000022	LOC120770784|XP_039954297.1|BTRY, LOC120772427|XP_039956973.1|BTRY	LOC111601208|XP_030081929.1|DHYD
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC111602703|XP_023175706.2|DHYD
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC111602748|XP_023175768.2|DHYD, LOC111600543|XP_023172455.2|DHYD, LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC111592141|XP_023159955.2|DHYD
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD, LOC111592145|XP_023159959.2|DHYD
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC120767501|XP_039949528.1|BTRY	LOC115483232|XP_030080436.1|DHYD
OG0000025	LOC120767565|XP_039949636.1|BTRY, LOC120767499|XP_039949525.1|BTRY, LOC120767497|XP_039949523.1|BTRY	LOC115482900|XP_030079008.1|DHYD
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC111596716|XP_023166806.2|DHYD, LOC115482855|XP_030078964.1|DHYD, LOC111602869|XP_023175962.1|DHYD, LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC111605106|XP_023179215.2|DHYD, LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC111600747|XP_023172794.1|DHYD, LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD, LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC120779035|XP_039967132.1|BTRY	LOC111599021|XP_023170312.2|DHYD
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC111602472|XP_023175302.2|DHYD, LOC111602462|XP_023175290.2|DHYD, LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC111601529|XP_023173926.1|DHYD
OG0000036	LOC120779059|XP_039967127.1|BTRY, LOC120778390|XP_039966111.1|BTRY, LOC120778391|XP_039966112.1|BTRY, LOC120769280|XP_039952129.1|BTRY	LOC111605324|XP_023179557.2|DHYD
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC120782738|XP_039971105.1|BTRY, LOC120781464|XP_039969625.1|BTRY, LOC120766404|XP_039947788.1|BTRY	LOC111592218|XP_023160061.2|DHYD
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC111605099|XP_023179209.2|DHYD
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC111600706|XP_023172734.1|DHYD, LOC111604247|XP_023178000.2|DHYD, LOC111604248|XP_023178001.2|DHYD, LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD, LOC111604211|XP_023177942.2|DHYD, LOC111604244|XP_023177997.1|DHYD, LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC111597538|XP_023168095.2|DHYD, LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD, LOC111598483|XP_023169509.2|DHYD, LOC111597534|XP_023168080.2|DHYD, LOC111597523|XP_023168066.2|DHYD, LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD, LOC111600264|XP_023172080.2|DHYD
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC111600256|XP_023172069.2|DHYD, LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC111604839|XP_023178838.2|DHYD
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC111604858|XP_023178860.2|DHYD, LOC111604849|XP_023178850.2|DHYD, LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD, LOC111604847|XP_023178847.2|DHYD
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC111597387|XP_023167819.1|DHYD
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC111597391|XP_023167823.1|DHYD
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC111597386|XP_023167816.1|DHYD
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC111597377|XP_023167802.1|DHYD
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC111596622|XP_023166677.1|DHYD, LOC111594123|XP_023163050.2|DHYD, LOC111595469|XP_023165002.1|DHYD, LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	LOC111604700|XP_023178641.1|DHYD, LOC111604676|XP_023178606.1|DHYD
OG0000048	LOC120770486|XP_039953934.1|BTRY	LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC120782870|XP_039971347.1|BTRY	LOC111594543|XP_023163663.2|DHYD
OG0000049	LOC120782209|XP_039970301.1|BTRY	LOC111594529|XP_023163631.2|DHYD
OG0000049	LOC120781673|XP_039969832.1|BTRY	LOC111594475|XP_023163544.1|DHYD
OG0000049	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY	LOC111594476|XP_023163545.2|DHYD
OG0000049	LOC120772847|XP_039957638.1|BTRY	LOC111594581|XP_023163706.2|DHYD
OG0000050	LOC120776369|XP_039962882.1|BTRY	LOC111592220|XP_023160064.2|DHYD
OG0000050	LOC120778411|XP_039966128.1|BTRY	LOC111597562|XP_023168129.2|DHYD, LOC111597563|XP_023168130.1|DHYD, LOC111597557|XP_023168122.2|DHYD
OG0000051	LOC120776450|XP_039963045.1|BTRY	LOC111604842|XP_023178842.2|DHYD
OG0000051	LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY	LOC115482777|XP_030078620.1|DHYD, LOC115482800|XP_030078769.1|DHYD, LOC115482799|XP_030078766.1|DHYD, LOC111598254|XP_023169188.2|DHYD
