Orthogroup	BTRY.longest_only	DNOV.longest_only
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC115758743|XP_030555359.1|DNOV
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC115761952|XP_030559851.1|DNOV
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC120767511|XP_039949538.1|BTRY	LOC115770815|XP_030572096.1|DNOV
OG0000006	LOC120781340|XP_039969478.1|BTRY	LOC115770611|XP_030571807.1|DNOV
OG0000007	LOC120778908|XP_039966889.1|BTRY, LOC120778909|XP_039966890.1|BTRY	LOC115771065|XP_030572477.1|DNOV
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC115760652|XP_030557979.1|DNOV, LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV, LOC115767684|XP_030567836.1|DNOV, LOC115767682|XP_030567834.1|DNOV, LOC115767685|XP_030567839.1|DNOV, LOC115767680|XP_030567833.1|DNOV, LOC115767651|XP_030567798.1|DNOV, LOC115767650|XP_030567797.1|DNOV, LOC115767687|XP_030567841.1|DNOV, LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC115765587|XP_030565097.1|DNOV
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC115763738|XP_030562299.1|DNOV, LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV, LOC115765543|XP_030565028.1|DNOV
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV, LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV, LOC115760927|XP_030558362.1|DNOV, LOC115760928|XP_030558363.1|DNOV, LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC115757743|XP_030553989.1|DNOV, LOC115761844|XP_030559686.1|DNOV, LOC115770607|XP_030571804.1|DNOV, LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV, LOC115770618|XP_030571814.1|DNOV
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC115761953|XP_030559852.1|DNOV, LOC115770585|XP_030571770.1|DNOV
OG0000010	LOC120767532|XP_039949558.1|BTRY	LOC115770577|XP_030571760.1|DNOV
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC115770608|XP_030571805.1|DNOV, LOC115770584|XP_030571769.1|DNOV, LOC115759945|XP_030556945.1|DNOV
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV, LOC115760685|XP_030558012.1|DNOV, LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC115761485|XP_030559111.1|DNOV, LOC115763530|XP_030562001.1|DNOV, LOC115759285|XP_030556047.1|DNOV, LOC115758964|XP_030555627.1|DNOV, LOC115758591|XP_030555171.1|DNOV, LOC115758528|XP_030555079.1|DNOV, LOC115758736|XP_030555346.1|DNOV, LOC115770421|XP_030571547.1|DNOV, LOC115759089|XP_030555783.1|DNOV, LOC115759088|XP_030555782.1|DNOV, LOC115758931|XP_030555591.1|DNOV, LOC115758961|XP_030555623.1|DNOV
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC115761678|XP_030559394.1|DNOV, LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC115762718|XP_030560904.1|DNOV
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC115762873|XP_030561108.1|DNOV
OG0000018	LOC120777771|XP_039965219.1|BTRY, LOC120777275|XP_039964413.1|BTRY, LOC120777724|XP_039965149.1|BTRY	LOC115762704|XP_030560888.1|DNOV, LOC115762687|XP_030560868.1|DNOV
OG0000018	LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV
OG0000018	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY	LOC115762728|XP_030560922.1|DNOV
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC115771723|XP_030573407.1|DNOV, LOC115771721|XP_030573404.1|DNOV, LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV, LOC115771639|XP_030573299.1|DNOV, LOC115771840|XP_030573582.1|DNOV, LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC115771758|XP_030573467.1|DNOV, LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC115761267|XP_030558841.1|DNOV
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC115761263|XP_030558837.1|DNOV, LOC115761778|XP_030559575.1|DNOV, LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC115761262|XP_030558836.1|DNOV
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC115761326|XP_030558919.1|DNOV
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV, LOC115758184|XP_030554584.1|DNOV
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC115763072|XP_030561360.1|DNOV, LOC115758183|XP_030554583.1|DNOV
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC115758436|XP_030554952.1|DNOV
OG0000025	LOC120767494|XP_039949520.1|BTRY, LOC120767473|XP_039949496.1|BTRY, LOC120767474|XP_039949497.1|BTRY, LOC120767496|XP_039949522.1|BTRY, LOC120767500|XP_039949527.1|BTRY, LOC120767501|XP_039949528.1|BTRY	LOC115770696|XP_030571951.1|DNOV
OG0000025	LOC120767565|XP_039949636.1|BTRY, LOC120767499|XP_039949525.1|BTRY, LOC120767497|XP_039949523.1|BTRY	LOC115761982|XP_030559889.1|DNOV
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC115770692|XP_030571944.1|DNOV, LOC115768849|XP_030569408.1|DNOV, LOC115768848|XP_030569407.1|DNOV, LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV, LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC115760078|XP_030557121.1|DNOV
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC115771909|XP_030573659.1|DNOV
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC115758611|XP_030555202.1|DNOV, LOC115759087|XP_030555781.1|DNOV, LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV, LOC115759327|XP_030556099.1|DNOV, LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC115772100|XP_030573922.1|DNOV
OG0000036	LOC120779059|XP_039967127.1|BTRY, LOC120778390|XP_039966111.1|BTRY, LOC120778391|XP_039966112.1|BTRY, LOC120769280|XP_039952129.1|BTRY	LOC115766359|XP_030566119.1|DNOV
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC120782738|XP_039971105.1|BTRY, LOC120781464|XP_039969625.1|BTRY, LOC120766404|XP_039947788.1|BTRY	LOC115758180|XP_030554581.1|DNOV
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC115769340|XP_030569961.1|DNOV
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC115766337|XP_030566090.1|DNOV
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC115759806|XP_030556753.1|DNOV, LOC115764750|XP_030563834.1|DNOV, LOC115764751|XP_030563835.1|DNOV, LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV, LOC115764684|XP_030563733.1|DNOV, LOC115764805|XP_030563912.1|DNOV, LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC115766169|XP_030565871.1|DNOV, LOC115770695|XP_030571950.1|DNOV, LOC115766040|XP_030565671.1|DNOV, LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC115770561|XP_030571734.1|DNOV, LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC115770689|XP_030571941.1|DNOV, LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC115771237|XP_030572698.1|DNOV
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC115760745|XP_030558082.1|DNOV, LOC115757956|XP_030554291.1|DNOV, LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC120778039|XP_039965648.1|BTRY, LOC120777177|XP_039964270.1|BTRY, LOC120778034|XP_039965642.1|BTRY, LOC120778035|XP_039965643.1|BTRY, LOC120778036|XP_039965644.1|BTRY, LOC120777178|XP_039964271.1|BTRY	LOC115762855|XP_030561090.1|DNOV
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	LOC115762848|XP_030561084.1|DNOV, LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC120770486|XP_039953934.1|BTRY	LOC115762857|XP_030561093.1|DNOV
