Orthogroup	BTRY.longest_only	DEUG.longest_only
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC108113823|XP_017080058.1|DEUG
OG0000006	LOC120767508|XP_039949535.1|BTRY, LOC120767566|XP_039949637.1|BTRY, LOC120767503|XP_039949530.1|BTRY, LOC120767504|XP_039949531.1|BTRY, LOC120767509|XP_039949536.1|BTRY, LOC120767507|XP_039949534.1|BTRY, LOC120767475|XP_039949498.1|BTRY	LOC108103399|XP_017064345.1|DEUG
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC108102687|XP_017063316.1|DEUG, LOC108104447|XP_017065997.1|DEUG, LOC108111280|XP_017076157.1|DEUG, LOC108111281|XP_017076158.1|DEUG, LOC108111392|XP_017076316.1|DEUG, LOC108111282|XP_017076159.1|DEUG, LOC108111279|XP_017076156.1|DEUG, LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG, LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG, LOC108107529|XP_017070559.1|DEUG, LOC108107925|XP_017071238.1|DEUG
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC108107848|XP_017071091.1|DEUG
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC108116118|XP_017083331.1|DEUG
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC108116123|XP_017083335.1|DEUG
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC108117290|XP_017085135.1|DEUG, LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG, LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC108107216|XP_017070122.1|DEUG, LOC108111728|XP_017076770.1|DEUG, LOC108106283|XP_017068739.1|DEUG, LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC108105230|XP_017067186.1|DEUG
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC108113192|XP_017079208.1|DEUG
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC108113191|XP_017079207.1|DEUG
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC108113343|XP_017079393.1|DEUG
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC108113377|XP_017079435.1|DEUG
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG, LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG, LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC108105962|XP_017068250.1|DEUG
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC108116899|XP_017084498.1|DEUG
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC108116618|XP_017084081.1|DEUG
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000014	LOC120774632|XP_039960290.1|BTRY, LOC120778358|XP_039966079.1|BTRY	LOC108111829|XP_017076924.1|DEUG, LOC108118106|XP_017086149.1|DEUG
OG0000014	LOC120779372|XP_039967501.1|BTRY	LOC108117406|XP_017085302.1|DEUG
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC108106955|XP_017069721.1|DEUG, LOC108107905|XP_017071204.1|DEUG, LOC108106287|XP_017068742.1|DEUG, LOC108118427|XP_017086598.1|DEUG, LOC108118426|XP_017086597.1|DEUG, LOC108116823|XP_017084362.1|DEUG, LOC108110434|XP_017074990.1|DEUG, LOC108110435|XP_017074991.1|DEUG, LOC108106825|XP_017069551.1|DEUG, LOC108110504|XP_017075072.1|DEUG, LOC108110619|XP_017075207.1|DEUG, LOC108105143|XP_017067066.1|DEUG, LOC108111565|XP_017076580.1|DEUG, LOC108108656|XP_017072249.1|DEUG, LOC108108426|XP_017071967.1|DEUG, LOC108106912|XP_017069652.1|DEUG, LOC108106885|XP_017069622.1|DEUG, LOC108106894|XP_017069633.1|DEUG, LOC108106916|XP_017069656.1|DEUG, LOC108106913|XP_017069653.1|DEUG, LOC108106877|XP_017069613.1|DEUG
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC108116882|XP_017084468.1|DEUG, LOC108109063|XP_017072885.1|DEUG
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC108117273|XP_017085115.1|DEUG
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC108110347|XP_017074869.1|DEUG
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC108105551|XP_017067677.1|DEUG
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC108108726|XP_017072348.1|DEUG
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC108103426|XP_017064385.1|DEUG
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC108112627|XP_017078221.1|DEUG, LOC108104154|XP_017065544.1|DEUG, LOC108112063|XP_017077297.1|DEUG
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC108107641|XP_017070716.1|DEUG
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC108107531|XP_017070561.1|DEUG
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC108108164|XP_017071591.1|DEUG
OG0000018	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY	LOC108107616|XP_017070674.1|DEUG, LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC108115822|XP_017082901.1|DEUG, LOC108115824|XP_017082904.1|DEUG, LOC108115825|XP_017082905.1|DEUG, LOC108115827|XP_017082907.1|DEUG, LOC108115829|XP_017082909.1|DEUG, LOC108115823|XP_017082903.1|DEUG, LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC108116051|XP_017083239.1|DEUG
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC108117182|XP_017084963.1|DEUG
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC108105026|XP_017066911.1|DEUG
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC108117533|XP_017085522.1|DEUG
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC108111770|XP_017076824.1|DEUG, LOC108110043|XP_017074396.1|DEUG
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC108113005|XP_017078913.1|DEUG
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC108115112|XP_017081853.1|DEUG
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC108115052|XP_017081788.1|DEUG, LOC108112507|XP_017077883.1|DEUG, LOC108115111|XP_017081852.1|DEUG
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC108115051|XP_017081787.1|DEUG
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC108115158|XP_017081958.1|DEUG
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC108115110|XP_017081851.1|DEUG
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC108115157|XP_017081956.1|DEUG
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG, LOC108106506|XP_017069088.1|DEUG
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC108106500|XP_017069084.1|DEUG
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC108115421|XP_017082346.1|DEUG, LOC108106503|XP_017069087.1|DEUG
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC108103147|XP_017064008.1|DEUG
OG0000025	LOC120767497|XP_039949523.1|BTRY	LOC108103398|XP_017064344.1|DEUG
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC108113449|XP_017079511.1|DEUG
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC108103585|XP_017064599.1|DEUG, LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG, LOC108110172|XP_017074584.1|DEUG
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC108106863|XP_017069596.1|DEUG
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC108106871|XP_017069603.1|DEUG
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC108106870|XP_017069602.1|DEUG
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC108108455|XP_017071998.1|DEUG
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC108114276|XP_017080662.1|DEUG
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG, LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG, LOC108108451|XP_017071993.1|DEUG
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC108104028|XP_017065349.1|DEUG, LOC108104049|XP_017065385.1|DEUG, LOC108104046|XP_017065382.1|DEUG
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC108109021|XP_017072783.1|DEUG
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC108103318|XP_017064237.1|DEUG
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC108104999|XP_017066865.1|DEUG
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC108111003|XP_017075802.1|DEUG
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC108111801|XP_017076881.1|DEUG
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG, LOC108118408|XP_017086572.1|DEUG, LOC108118494|XP_017086716.1|DEUG, LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG, LOC108113407|XP_017079451.1|DEUG
OG0000035	LOC120780256|XP_039968450.1|BTRY	LOC108103278|XP_017064178.1|DEUG
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC108115061|XP_017081795.1|DEUG
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC108105599|XP_017067763.1|DEUG
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC108114960|XP_017081642.1|DEUG
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC108116661|XP_017084141.1|DEUG
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC108112000|XP_017077225.1|DEUG
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC108108735|XP_017072362.1|DEUG
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC108102893|XP_017063585.1|DEUG
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC108116469|XP_017083889.1|DEUG, LOC108116470|XP_017083890.1|DEUG, LOC108111562|XP_017076575.1|DEUG, LOC108111560|XP_017076573.1|DEUG, LOC108111548|XP_017076556.1|DEUG, LOC108109350|XP_017073299.1|DEUG
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG, LOC108113689|XP_017079854.1|DEUG, LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC108116482|XP_017083904.1|DEUG, LOC108116483|XP_017083905.1|DEUG
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG, LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC108113702|XP_017079868.1|DEUG
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG, LOC108113686|XP_017079852.1|DEUG, LOC108113695|XP_017079861.1|DEUG, LOC108113682|XP_017079848.1|DEUG
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC108116281|XP_017083557.1|DEUG
