Orthogroup	BTRY.longest_only	DSAN.longest_only
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC120456405|XP_039499169.1|DSAN
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC120450748|XP_039489804.1|DSAN
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC120454061|XP_039495000.1|DSAN, LOC120456471|XP_039499263.1|DSAN
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC120445477|XP_039481858.1|DSAN
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC120454388|XP_039495572.1|DSAN, LOC120444959|XP_039480909.1|DSAN, LOC120453781|XP_039494563.1|DSAN
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC120453806|XP_039494614.1|DSAN
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC120450927|XP_039490127.1|DSAN
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC120453011|XP_039493460.1|DSAN
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC120450929|XP_039490129.1|DSAN
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC120445293|XP_039481530.1|DSAN
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC120446616|XP_039483595.1|DSAN, LOC120446257|XP_039483064.1|DSAN
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC120453411|XP_039494047.1|DSAN, LOC120456451|XP_039499224.1|DSAN
OG0000025	LOC120767501|XP_039949528.1|BTRY	LOC120457929|XP_039501366.1|DSAN
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC120458576|XP_039502209.1|DSAN
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC120456651|XP_039499515.1|DSAN, LOC120453885|XP_039494736.1|DSAN
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC120458674|XP_039502344.1|DSAN
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC120458543|XP_039502157.1|DSAN
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC120458684|XP_039502355.1|DSAN
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC120447587|XP_039484989.1|DSAN
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC120447866|XP_039485407.1|DSAN
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC120454032|XP_039494960.1|DSAN, LOC120450915|XP_039490111.1|DSAN, LOC120445653|XP_039482132.1|DSAN, LOC120452245|XP_039492306.1|DSAN, LOC120448524|XP_039486496.1|DSAN
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC120458250|XP_039501773.1|DSAN, LOC120458016|XP_039501452.1|DSAN, LOC120457864|XP_039501320.1|DSAN
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC120458849|XP_039502609.1|DSAN
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC120445779|XP_039482317.1|DSAN
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC120455262|XP_039497197.1|DSAN
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC120456032|XP_039498536.1|DSAN
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC120456119|XP_039498683.1|DSAN
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC120451694|XP_039491522.1|DSAN
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN, LOC120447093|XP_039484433.1|DSAN, LOC120447092|XP_039484432.1|DSAN, LOC120453778|XP_039494559.1|DSAN, LOC120445471|XP_039481849.1|DSAN, LOC120452815|XP_039493155.1|DSAN, LOC120452816|XP_039493156.1|DSAN, LOC120458883|XP_039502653.1|DSAN
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC120453442|XP_039494083.1|DSAN
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC120450981|XP_039490212.1|DSAN
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC120452669|XP_039492941.1|DSAN
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC120445359|XP_039481651.1|DSAN
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC120447582|XP_039484984.1|DSAN
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC120456815|XP_039499797.1|DSAN
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC120453842|XP_039494671.1|DSAN, LOC120453227|XP_039493756.1|DSAN, LOC120453230|XP_039493764.1|DSAN, LOC120453844|XP_039494674.1|DSAN, LOC120453843|XP_039494672.1|DSAN, LOC120453846|XP_039494677.1|DSAN, LOC120454621|XP_039496023.1|DSAN
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC120453988|XP_039494877.1|DSAN, LOC120453019|XP_039493471.1|DSAN, LOC120453349|XP_039493953.1|DSAN
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC120453637|XP_039494364.1|DSAN, LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC120452826|XP_039493165.1|DSAN
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN, LOC120451723|XP_039491559.1|DSAN, LOC120453660|XP_039494388.1|DSAN, LOC120453780|XP_039494561.1|DSAN
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC120453569|XP_039494260.1|DSAN
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC120448397|XP_039486321.1|DSAN
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC120448761|XP_039486880.1|DSAN
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC120448760|XP_039486879.1|DSAN
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC120446362|XP_039483228.1|DSAN, LOC120446445|XP_039483359.1|DSAN, LOC120447165|XP_039484555.1|DSAN, LOC120449448|XP_039487853.1|DSAN, LOC120446374|XP_039483239.1|DSAN, LOC120450023|XP_039488699.1|DSAN
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	LOC120448637|XP_039486695.1|DSAN, LOC120448833|XP_039486966.1|DSAN
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	LOC120447859|XP_039485400.1|DSAN, LOC120447862|XP_039485404.1|DSAN, LOC120447858|XP_039485399.1|DSAN
OG0000048	LOC120770486|XP_039953934.1|BTRY	LOC120447864|XP_039485406.1|DSAN
OG0000049	LOC120782870|XP_039971347.1|BTRY	LOC120451912|XP_039491855.1|DSAN
