Orthogroup	DGUA.longest_only	DALB.longest_only
OG0000004	LOC117591774|XP_034140974.1|DGUA	LOC117566082|XP_034101454.1|DALB, LOC117566081|XP_034101452.1|DALB, LOC117565593|XP_034100683.1|DALB, LOC117566015|XP_034101336.1|DALB, LOC117564273|XP_034098866.1|DALB, LOC117566148|XP_034101526.1|DALB, LOC117564274|XP_034098867.1|DALB
OG0000005	LOC117584032|XP_034128659.1|DGUA	LOC117564288|XP_034098878.1|DALB
OG0000005	LOC117591507|XP_034140693.1|DGUA	LOC117566149|XP_034101527.1|DALB
OG0000005	LOC117581361|XP_034124384.1|DGUA	LOC117564270|XP_034098864.1|DALB
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC117564285|XP_034098875.1|DALB, LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB, LOC117566088|XP_034101456.1|DALB
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC117592308|XP_034141873.1|DGUA	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC117587230|XP_034133688.1|DGUA	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC117588654|XP_034135988.1|DGUA	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC117588663|XP_034136000.1|DGUA	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC117564301|XP_034098889.1|DALB
OG0000010	LOC117591679|XP_034140894.1|DGUA	LOC117564304|XP_034098891.1|DALB, LOC117566095|XP_034101458.1|DALB, LOC117564298|XP_034098887.1|DALB, LOC117564299|XP_034098888.1|DALB
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC117588212|XP_034135242.1|DGUA	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC117589945|XP_034138127.1|DGUA	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC117587659|XP_034134479.1|DGUA	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC117592229|XP_034141753.1|DGUA	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC117583173|XP_034127261.1|DGUA	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC117580469|XP_034122942.1|DGUA	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC117583419|XP_034127607.1|DGUA	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC117587362|XP_034133895.1|DGUA	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB
OG0000018	LOC117587361|XP_034133894.1|DGUA	LOC117569766|XP_034106951.1|DALB
OG0000018	LOC117587365|XP_034133899.1|DGUA	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC117578526|XP_034119977.1|DGUA	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC117590165|XP_034138451.1|DGUA	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC117584402|XP_034129156.1|DGUA	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC117579999|XP_034122087.1|DGUA	LOC117570665|XP_034108343.1|DALB
OG0000021	LOC117578554|XP_034120017.1|DGUA	LOC117570908|XP_034108704.1|DALB
OG0000021	LOC117578555|XP_034120019.1|DGUA	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC117578556|XP_034120020.1|DGUA	LOC117570907|XP_034108703.1|DALB
OG0000021	LOC117580314|XP_034122704.1|DGUA	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC117580733|XP_034123298.1|DGUA	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC117578557|XP_034120021.1|DGUA	LOC117570906|XP_034108702.1|DALB
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC117582802|XP_034126721.1|DGUA	LOC117576017|XP_034116416.1|DALB
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC117587284|XP_034133762.1|DGUA, LOC117587282|XP_034133759.1|DGUA	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000022	LOC117587286|XP_034133764.1|DGUA	LOC117569847|XP_034107067.1|DALB
OG0000023	LOC117586396|XP_034132318.1|DGUA	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC117591288|XP_034140381.1|DGUA	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC117580040|XP_034122171.1|DGUA	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC117591149|XP_034140151.1|DGUA	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC117578502|XP_034119928.1|DGUA	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC117592048|XP_034141425.1|DGUA	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC117590412|XP_034138901.1|DGUA	LOC117570342|XP_034107792.1|DALB
OG0000025	LOC117591718|XP_034140929.1|DGUA, LOC117591670|XP_034140884.1|DGUA	LOC117566085|XP_034101455.1|DALB
OG0000026	LOC117588644|XP_034135968.1|DGUA	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC117589578|XP_034137528.1|DGUA	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB
OG0000028	LOC117579887|XP_034121914.1|DGUA	LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB
OG0000029	LOC117589682|XP_034137727.1|DGUA	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC117579424|XP_034121195.1|DGUA	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC117581439|XP_034124532.1|DGUA	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC117583029|XP_034127075.1|DGUA	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC117578485|XP_034119909.1|DGUA	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC117578484|XP_034119908.1|DGUA	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC117584525|XP_034129365.1|DGUA	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC117584539|XP_034129382.1|DGUA	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC117584364|XP_034129093.1|DGUA	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA	LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB
OG0000034	LOC117588068|XP_034135019.1|DGUA	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC117581190|XP_034124041.1|DGUA	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC117590456|XP_034138981.1|DGUA	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC117590454|XP_034138979.1|DGUA	LOC117574799|XP_034114654.1|DALB
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC117586415|XP_034132343.1|DGUA, LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC117585623|XP_034131079.1|DGUA	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC117585962|XP_034131662.1|DGUA	LOC117573618|XP_034112808.1|DALB
OG0000040	LOC117586743|XP_034132936.1|DGUA, LOC117585897|XP_034131543.1|DGUA	LOC117573616|XP_034112804.1|DALB
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC117592397|XP_034142005.1|DGUA, LOC117592396|XP_034142004.1|DGUA, LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC117592399|XP_034142008.1|DGUA	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC117585502|XP_034130891.1|DGUA	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC117590011|XP_034138189.1|DGUA	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC117586936|XP_034133192.1|DGUA	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC117587010|XP_034133310.1|DGUA	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC117579473|XP_034121255.1|DGUA	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC117579463|XP_034121242.1|DGUA	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC117591350|XP_034140469.1|DGUA	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
OG0000046	LOC117592033|XP_034141382.1|DGUA, LOC117583276|XP_034127392.1|DGUA	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB
OG0000047	LOC117591384|XP_034140523.1|DGUA	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC117592295|XP_034141855.1|DGUA	LOC117570312|XP_034107745.1|DALB
OG0000047	LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA	LOC117567370|XP_034103204.1|DALB
OG0000047	LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA	LOC117567748|XP_034103827.1|DALB
OG0000047	LOC117591732|XP_034140939.1|DGUA	LOC117570238|XP_034107631.1|DALB
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB
OG0000048	LOC117588941|XP_034136410.1|DGUA	LOC117571564|XP_034109658.1|DALB
OG0000048	LOC117589276|XP_034136957.1|DGUA	LOC117572034|XP_034110480.1|DALB
OG0000048	LOC117588957|XP_034136435.1|DGUA	LOC117569405|XP_034106432.1|DALB
OG0000049	LOC117583088|XP_034127157.1|DGUA	LOC117574804|XP_034114660.1|DALB
OG0000049	LOC117583087|XP_034127156.1|DGUA	LOC117574253|XP_034113873.1|DALB
OG0000049	LOC117583320|XP_034127470.1|DGUA	LOC117574270|XP_034113907.1|DALB
OG0000049	LOC117583323|XP_034127472.1|DGUA	LOC117576198|XP_034116681.1|DALB
OG0000049	LOC117583085|XP_034127153.1|DGUA	LOC117574439|XP_034114168.1|DALB
OG0000050	LOC117592164|XP_034141627.1|DGUA	LOC117567964|XP_034104164.1|DALB
OG0000050	LOC117580435|XP_034122881.1|DGUA	LOC117566525|XP_034101957.1|DALB
OG0000050	LOC117580059|XP_034122189.1|DGUA	LOC117566526|XP_034101958.1|DALB
OG0000050	LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA	LOC117570483|XP_034108058.1|DALB
OG0000050	LOC117580434|XP_034122880.1|DGUA	LOC117569367|XP_034106390.1|DALB
OG0000051	LOC117584976|XP_034130071.1|DGUA	LOC117576304|XP_034116849.1|DALB
OG0000051	LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA	LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB
