Orthogroup	DGUA.longest_only	DMEL.longest_only
OG0000007	LOC117583201|XP_034127296.1|DGUA	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL
OG0000007	LOC117584026|XP_034128654.1|DGUA	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC117587067|XP_034133401.1|DGUA	Jon66Ci|NP_729372.1|DMEL
OG0000007	LOC117584025|XP_034128653.1|DGUA	Jon25Biii|NP_608881.1|DMEL
OG0000007	LOC117587430|XP_034133997.1|DGUA	Jon65Aii|NP_648014.1|DMEL
OG0000007	LOC117587431|XP_034133998.1|DGUA	Jon65Ai|NP_648015.1|DMEL
OG0000008	LOC117586140|XP_034131924.1|DGUA	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC117579398|XP_034121168.1|DGUA	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC117579397|XP_034121167.1|DGUA	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC117581836|XP_034125174.1|DGUA	Crys|NP_476906.1|DMEL
OG0000008	LOC117579400|XP_034121171.1|DGUA	Cpr64Ab|NP_647873.2|DMEL
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC117586165|XP_034131957.1|DGUA	Ccp84Af|NP_649678.1|DMEL
OG0000008	LOC117586221|XP_034132048.1|DGUA	Ccp84Ac|NP_649681.1|DMEL
OG0000008	LOC117586120|XP_034131875.1|DGUA	Ccp84Ae|NP_649679.1|DMEL
OG0000008	LOC117586582|XP_034132641.1|DGUA	Ccp84Ag|NP_649677.1|DMEL
OG0000009	LOC117586341|XP_034132234.1|DGUA	CG11453|NP_650832.1|DMEL
OG0000009	LOC117586454|XP_034132388.1|DGUA	CG11391|NP_650830.1|DMEL
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL
OG0000009	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL
OG0000009	LOC117587230|XP_034133688.1|DGUA	CG4563|NP_611913.1|DMEL
OG0000009	LOC117586357|XP_034132268.1|DGUA	CG4830|NP_650160.1|DMEL
OG0000009	LOC117588654|XP_034135988.1|DGUA	CG8834|NP_610779.1|DMEL
OG0000010	LOC117583778|XP_034128224.1|DGUA	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL
OG0000010	LOC117591688|XP_034140902.1|DGUA	His4_CG33885|NP_001027342.1|DMEL
OG0000010	LOC117591679|XP_034140894.1|DGUA	His4_CG33897|NP_001027312.1|DMEL, His4_CG33907|NP_001027288.1|DMEL, His4_CG33905|NP_001027293.1|DMEL, His4_CG33883|NP_001027347.1|DMEL
OG0000011	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA	CG44002|NP_608754.1|DMEL, CG15436|NP_608840.1|DMEL, Neu2|NP_649316.1|DMEL, CG4318|NP_572860.2|DMEL
OG0000011	LOC117579965|XP_034122030.1|DGUA	CG17361|NP_648678.3|DMEL
OG0000011	LOC117579216|XP_034120874.1|DGUA	CG17359|NP_648679.1|DMEL
OG0000011	LOC117585951|XP_034131639.1|DGUA	CG8319|NP_649920.2|DMEL
OG0000012	LOC117578829|XP_034120480.1|DGUA	CG9416|NP_611415.2|DMEL
OG0000012	LOC117578830|XP_034120484.1|DGUA	CG10051|NP_611414.1|DMEL
OG0000012	LOC117578828|XP_034120477.1|DGUA	CG11961|NP_725876.1|DMEL
OG0000012	LOC117578831|XP_034120485.1|DGUA	CG10062|NP_001261089.1|DMEL
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA	CG10081|NP_611418.1|DMEL
OG0000012	LOC117585406|XP_034130769.1|DGUA	CG10073|NP_001261090.1|DMEL
OG0000012	LOC117592596|XP_034142370.1|DGUA	CG30047|NP_725141.1|DMEL
OG0000012	LOC117592593|XP_034142368.1|DGUA	CG30049|NP_725142.3|DMEL
OG0000012	LOC117592595|XP_034142369.1|DGUA	CG30043|NP_725143.1|DMEL
OG0000012	LOC117592597|XP_034142371.1|DGUA	CG33012|NP_788335.2|DMEL
OG0000012	LOC117592598|XP_034142372.1|DGUA	CG13160|NP_001260918.1|DMEL
OG0000013	LOC117592555|XP_034142321.1|DGUA	Hsc70-5|NP_523741.2|DMEL
OG0000013	LOC117590521|XP_034139126.1|DGUA	Hsc70-3|NP_727563.1|DMEL
OG0000013	LOC117585977|XP_034131683.1|DGUA	Hsc70-4|NP_524356.1|DMEL
OG0000013	LOC117580093|XP_034122238.1|DGUA	Hsc70-1|NP_524063.1|DMEL
OG0000013	LOC117589807|XP_034137915.1|DGUA	Hsc70-2|NP_524339.1|DMEL
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	Hsp68|NP_524474.1|DMEL
OG0000013	LOC117583601|XP_034127885.1|DGUA	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL
OG0000015	LOC117588212|XP_034135242.1|DGUA	CG7763|NP_001356891.1|DMEL
OG0000016	LOC117589945|XP_034138127.1|DGUA	Act87E|NP_477091.1|DMEL
OG0000016	LOC117587659|XP_034134479.1|DGUA	Act57B|NP_523800.1|DMEL
OG0000016	LOC117583582|XP_034127854.1|DGUA	Arp1|NP_524331.2|DMEL
OG0000016	LOC117592229|XP_034141753.1|DGUA	Arp53D|NP_477037.2|DMEL
OG0000016	LOC117581434|XP_034124497.1|DGUA	Act5C|NP_511052.1|DMEL
OG0000016	LOC117588507|XP_034135722.1|DGUA	Act42A|NP_523625.1|DMEL
OG0000016	LOC117585750|XP_034131294.1|DGUA	Act88F|NP_524367.1|DMEL
OG0000016	LOC117579173|XP_034120827.1|DGUA	Act79B|NP_524210.1|DMEL
OG0000017	LOC117582389|XP_034125960.1|DGUA	Or43b|NP_523656.2|DMEL
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	Or42a|NP_523622.2|DMEL
OG0000017	LOC117583173|XP_034127261.1|DGUA	Or98a|NP_524536.2|DMEL
OG0000017	LOC117580469|XP_034122942.1|DGUA	Or59b|NP_523822.1|DMEL
OG0000017	LOC117583419|XP_034127607.1|DGUA	Or42b|NP_523624.2|DMEL
OG0000017	LOC117592152|XP_034141609.1|DGUA	Or59c|NP_523823.1|DMEL
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL
OG0000018	LOC117587357|XP_034133889.1|DGUA	Cpr65Av|NP_729146.1|DMEL
OG0000018	LOC117587353|XP_034133885.1|DGUA	Cpr65Ax1|NP_001097523.1|DMEL, Cpr65Ax2|NP_652660.1|DMEL
OG0000018	LOC117587358|XP_034133890.1|DGUA	Lcp65Ac|NP_477279.1|DMEL
OG0000018	LOC117587351|XP_034133882.1|DGUA	Lcp65Ad|NP_477278.1|DMEL
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA	CG6283|NP_651524.1|DMEL
OG0000019	LOC117583705|XP_034128081.1|DGUA	CG6296|NP_651520.1|DMEL
OG0000019	LOC117583723|XP_034128130.1|DGUA	CG6295|NP_651521.1|DMEL
OG0000019	LOC117583722|XP_034128122.1|DGUA	CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL
OG0000020	LOC117583658|XP_034128012.1|DGUA	rdog|NP_651678.1|DMEL
OG0000020	LOC117578526|XP_034119977.1|DGUA	CG10505|NP_611571.2|DMEL
OG0000020	LOC117587736|XP_034134545.1|DGUA	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL
OG0000020	LOC117586337|XP_034132223.1|DGUA	CG4562|NP_001262747.1|DMEL
OG0000020	LOC117590165|XP_034138451.1|DGUA	Mrp4|NP_650086.2|DMEL
OG0000020	LOC117584402|XP_034129156.1|DGUA	CG9270|NP_995741.2|DMEL
OG0000021	LOC117578555|XP_034120019.1|DGUA	PpD6|NP_524947.1|DMEL
OG0000021	LOC117578556|XP_034120020.1|DGUA	Pp1-Y1|NP_001104152.3|DMEL
OG0000021	LOC117580314|XP_034122704.1|DGUA	PpN58A|NP_477384.1|DMEL
OG0000021	LOC117580733|XP_034123298.1|DGUA	PpD5|NP_524707.1|DMEL
OG0000021	LOC117578557|XP_034120021.1|DGUA	Pp1-Y2|NP_001015497.4|DMEL
OG0000021	LOC117590869|XP_034139782.1|DGUA	flw|NP_727418.1|DMEL
OG0000021	LOC117585696|XP_034131203.1|DGUA	Pp1alpha-96A|NP_524484.1|DMEL
OG0000021	LOC117582802|XP_034126721.1|DGUA	Pp1-87B|NP_524937.1|DMEL
OG0000022	LOC117585826|XP_034131453.1|DGUA	CG7798|NP_611098.1|DMEL
OG0000022	LOC117587283|XP_034133760.1|DGUA	LysX|NP_523881.1|DMEL
OG0000022	LOC117587284|XP_034133762.1|DGUA	LysS|NP_476829.1|DMEL
OG0000022	LOC117587282|XP_034133759.1|DGUA	LysP|NP_476828.1|DMEL
OG0000023	LOC117586396|XP_034132318.1|DGUA	alpha-Est5|NP_001246965.1|DMEL
OG0000023	LOC117586009|XP_034131729.1|DGUA	alpha-Est3|NP_524267.2|DMEL
OG0000023	LOC117586008|XP_034131728.1|DGUA	alpha-Est2|NP_524268.3|DMEL
OG0000023	LOC117591288|XP_034140381.1|DGUA	gas|NP_611678.1|DMEL
OG0000023	LOC117586007|XP_034131727.1|DGUA	alpha-Est1|NP_524269.3|DMEL
OG0000023	LOC117586005|XP_034131725.1|DGUA	alpha-Est7|NP_524261.1|DMEL
OG0000023	LOC117586006|XP_034131726.1|DGUA	alpha-Est9|NP_731165.2|DMEL
OG0000023	LOC117586004|XP_034131723.1|DGUA	alpha-Est8|NP_524259.2|DMEL
OG0000023	LOC117586277|XP_034132120.1|DGUA	alpha-Est10|NP_001246962.1|DMEL
OG0000024	LOC117580035|XP_034122157.1|DGUA	betaTry|NP_524904.1|DMEL
OG0000024	LOC117580026|XP_034122146.1|DGUA	alphaTry|NP_476771.1|DMEL
OG0000024	LOC117580040|XP_034122171.1|DGUA	epsilonTry|NP_525112.1|DMEL
OG0000024	LOC117591149|XP_034140151.1|DGUA	CG17571|NP_610109.1|DMEL
OG0000024	LOC117578502|XP_034119928.1|DGUA	thetaTry|NP_523693.1|DMEL
OG0000024	LOC117592048|XP_034141425.1|DGUA	Ser8|NP_610874.1|DMEL
OG0000025	LOC117590412|XP_034138901.1|DGUA	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL
OG0000025	LOC117591670|XP_034140884.1|DGUA	His3_CG33848|NP_001027358.1|DMEL, His3_CG33824|NP_001027318.1|DMEL, His3_CG33815|NP_001027303.1|DMEL, His3_CG33866|NP_001027387.1|DMEL, His3_CG33839|NP_001027343.1|DMEL
OG0000025	LOC117591678|XP_034140893.1|DGUA	His3_CG33836|NP_001027338.1|DMEL
OG0000025	LOC117591779|XP_034140978.1|DGUA	His3_CG33821|NP_001027313.1|DMEL, His3_CG33818|NP_001027308.1|DMEL, His3_CG33809|NP_001027294.1|DMEL, His3_CG33863|NP_001027383.1|DMEL, His3_CG33806|NP_001027289.1|DMEL
OG0000026	LOC117588644|XP_034135968.1|DGUA	antdh|NP_572695.2|DMEL
OG0000026	LOC117588100|XP_034135061.1|DGUA	CG9150|NP_608991.2|DMEL
OG0000026	LOC117581101|XP_034123883.1|DGUA	CG9360|NP_572746.1|DMEL
OG0000026	LOC117589578|XP_034137528.1|DGUA	CG3301|NP_650964.1|DMEL
OG0000027	LOC117581694|XP_034124962.1|DGUA	Acp1|NP_477115.1|DMEL
OG0000027	LOC117582236|XP_034125737.1|DGUA	CG7203|NP_609143.2|DMEL
OG0000027	LOC117581693|XP_034124961.1|DGUA	CG7214|NP_609141.1|DMEL
OG0000028	LOC117579887|XP_034121914.1|DGUA	CG14095|NP_649112.1|DMEL
OG0000028	LOC117588956|XP_034136434.1|DGUA	CG13068|NP_648856.1|DMEL
OG0000029	LOC117592282|XP_034141836.1|DGUA	CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL
OG0000029	LOC117589682|XP_034137727.1|DGUA	CheA84a|NP_001027150.1|DMEL
OG0000029	LOC117579424|XP_034121195.1|DGUA	CheA75a|NP_649035.2|DMEL
OG0000030	LOC117582242|XP_034125744.1|DGUA	Or33a|NP_523553.1|DMEL
OG0000030	LOC117584551|XP_034129394.1|DGUA	Or23a|NP_523458.3|DMEL
OG0000030	LOC117580408|XP_034122850.1|DGUA	Or59a|NP_523821.1|DMEL
OG0000030	LOC117580802|XP_034123393.1|DGUA	Or2a|NP_525046.1|DMEL
OG0000030	LOC117581439|XP_034124532.1|DGUA	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL
OG0000031	LOC117584126|XP_034128769.1|DGUA	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL
OG0000031	LOC117584798|XP_034129808.1|DGUA	CG5390|NP_609374.1|DMEL
OG0000032	LOC117583029|XP_034127075.1|DGUA	GstD1|NP_524326.1|DMEL
OG0000032	LOC117583030|XP_034127077.1|DGUA	GstD10|NP_652713.1|DMEL
OG0000032	LOC117583028|XP_034127074.1|DGUA	GstD8|NP_524916.1|DMEL
OG0000032	LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL
OG0000033	LOC117583114|XP_034127189.1|DGUA	CheB98a|NP_652269.3|DMEL
OG0000033	LOC117578485|XP_034119909.1|DGUA	CheB42c|NP_995764.2|DMEL
OG0000033	LOC117578484|XP_034119908.1|DGUA	CheB42a|NP_995765.1|DMEL
OG0000033	LOC117589901|XP_034138062.1|DGUA	CheB74a|NP_001027134.1|DMEL, CheB93b|NP_732641.2|DMEL, CheB93a|NP_650970.2|DMEL, CheB53b|NP_001014531.1|DMEL, CheB53a|NP_001014530.1|DMEL
OG0000034	LOC117584525|XP_034129365.1|DGUA	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL
OG0000034	LOC117584539|XP_034129382.1|DGUA	Ugt37E1|NP_652628.2|DMEL
OG0000034	LOC117584364|XP_034129093.1|DGUA	Ugt37D1|NP_652627.2|DMEL
OG0000034	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA	Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL
OG0000034	LOC117588068|XP_034135019.1|DGUA	Ugt37B1|NP_525008.2|DMEL
OG0000036	LOC117586375|XP_034132294.1|DGUA	Sp7|NP_649734.2|DMEL
OG0000036	LOC117589622|XP_034137600.1|DGUA	ea|NP_524362.2|DMEL
OG0000036	LOC117590096|XP_034138331.1|DGUA	MP1|NP_001303421.1|DMEL
OG0000036	LOC117583751|XP_034128161.1|DGUA	SPE|NP_651168.1|DMEL
OG0000037	LOC117581190|XP_034124041.1|DGUA	Cyp12b2|NP_611370.2|DMEL
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL
OG0000038	LOC117579886|XP_034121913.1|DGUA	Cpr76Bb|NP_649121.1|DMEL
OG0000038	LOC117579879|XP_034121893.1|DGUA	Cpr76Bd|NP_001262052.1|DMEL
OG0000039	LOC117586049|XP_034131784.1|DGUA	CG42564|NP_649651.2|DMEL
OG0000039	LOC117590455|XP_034138980.1|DGUA	Ag5r|NP_524770.1|DMEL
OG0000039	LOC117590456|XP_034138981.1|DGUA	Ag5r2|NP_524689.2|DMEL
OG0000039	LOC117588357|XP_034135459.1|DGUA	CG32679|NP_727412.2|DMEL
OG0000040	LOC117586415|XP_034132343.1|DGUA	CG17803|NP_650657.2|DMEL
OG0000040	LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	CG6689|NP_650051.1|DMEL
OG0000040	LOC117585623|XP_034131079.1|DGUA	CG4820|NP_001097748.1|DMEL
OG0000040	LOC117585926|XP_034131583.1|DGUA	CG17806|NP_650658.1|DMEL
OG0000040	LOC117586490|XP_034132479.1|DGUA	CG17802|NP_650659.2|DMEL
OG0000040	LOC117585962|XP_034131662.1|DGUA	Odj|NP_650661.1|DMEL
OG0000040	LOC117583720|XP_034128120.1|DGUA	CG1792|NP_651878.1|DMEL
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL
OG0000041	LOC117585914|XP_034131569.1|DGUA	CG31436|NP_733096.1|DMEL
OG0000042	LOC117588578|XP_034135864.1|DGUA	CG34028|NP_001033838.1|DMEL
OG0000042	LOC117592397|XP_034142005.1|DGUA	CG14502|NP_611311.1|DMEL
OG0000042	LOC117592396|XP_034142004.1|DGUA	CG18539|NP_611315.3|DMEL
OG0000042	LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	CG18536|NP_611312.1|DMEL, CG18538|NP_611314.2|DMEL, CG18537|NP_611313.1|DMEL
OG0000042	LOC117592399|XP_034142008.1|DGUA	CG18540|NP_611316.2|DMEL
OG0000043	LOC117585018|XP_034130150.1|DGUA	Ugt302K1|NP_652620.1|DMEL
OG0000043	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	Ugt302C1|NP_652626.1|DMEL
OG0000043	LOC117584981|XP_034130079.1|DGUA	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL
OG0000043	LOC117585441|XP_034130807.1|DGUA	Ugt35B1|NP_524313.2|DMEL
OG0000044	LOC117585917|XP_034131574.1|DGUA	CG31087|NP_733100.1|DMEL
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL
OG0000044	LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA	CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL
OG0000044	LOC117590011|XP_034138189.1|DGUA	CG6908|NP_650105.1|DMEL
OG0000045	LOC117586936|XP_034133192.1|DGUA	Cpr67Fb|NP_648420.1|DMEL
OG0000045	LOC117587010|XP_034133310.1|DGUA	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL
OG0000045	LOC117579473|XP_034121255.1|DGUA	Cpr65Ec|NP_648077.1|DMEL
OG0000045	LOC117579463|XP_034121242.1|DGUA	Cpr65Eb|NP_648076.3|DMEL
OG0000046	LOC117589785|XP_034137874.1|DGUA	CG5892|NP_650959.2|DMEL
OG0000046	LOC117591350|XP_034140469.1|DGUA	CG14219|NP_608322.1|DMEL, CG14205|NP_608323.1|DMEL
OG0000046	LOC117592033|XP_034141382.1|DGUA	CG14204|NP_608321.1|DMEL
OG0000046	LOC117583276|XP_034127392.1|DGUA	CG16723|NP_651159.3|DMEL, CG10183|NP_651160.3|DMEL, CG33337|NP_996269.2|DMEL, CG10182|NP_651158.1|DMEL, CG13325|NP_610836.1|DMEL
OG0000047	LOC117591384|XP_034140523.1|DGUA	loopin-1|NP_001097338.1|DMEL
OG0000047	LOC117592295|XP_034141855.1|DGUA	S-Lap8|NP_611132.1|DMEL
OG0000047	LOC117582832|XP_034126782.1|DGUA	S-Lap5|NP_610892.1|DMEL
OG0000047	LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA	S-Lap3|NP_648394.1|DMEL
OG0000047	LOC117591732|XP_034140939.1|DGUA	S-Lap7|NP_610900.1|DMEL
OG0000047	LOC117580178|XP_034122428.1|DGUA	S-Lap4|NP_729613.1|DMEL
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	CG13060|NP_648873.1|DMEL, CG13041|NP_648872.1|DMEL
OG0000048	LOC117589276|XP_034136957.1|DGUA	CG13044|NP_648867.1|DMEL
OG0000048	LOC117588957|XP_034136435.1|DGUA	CG13042|NP_648870.1|DMEL
OG0000049	LOC117583088|XP_034127157.1|DGUA	CG4053|NP_650601.2|DMEL
OG0000049	LOC117583087|XP_034127156.1|DGUA	CG5246|NP_650603.1|DMEL
OG0000049	LOC117583320|XP_034127470.1|DGUA	CG17475|NP_650600.2|DMEL
OG0000049	LOC117583322|XP_034127471.1|DGUA	CG31269|NP_001097818.1|DMEL
OG0000049	LOC117583323|XP_034127472.1|DGUA	CG31265|NP_650599.1|DMEL
OG0000049	LOC117583085|XP_034127153.1|DGUA	CG5255|NP_650604.1|DMEL
OG0000050	LOC117592164|XP_034141627.1|DGUA	CG13193|NP_610699.1|DMEL
OG0000050	LOC117580439|XP_034122886.1|DGUA	CG33766|NP_001027140.1|DMEL
OG0000050	LOC117580435|XP_034122881.1|DGUA	CG33770|NP_001027144.2|DMEL
OG0000050	LOC117580059|XP_034122189.1|DGUA	CG33769|NP_001027143.1|DMEL
OG0000050	LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA	CG33767|NP_001027141.1|DMEL
OG0000050	LOC117580434|XP_034122880.1|DGUA	CG33771|NP_001027145.3|DMEL
OG0000050	LOC117580436|XP_034122883.1|DGUA	CG33768|NP_001027142.2|DMEL
OG0000051	LOC117584976|XP_034130071.1|DGUA	Cyp313b1|NP_649807.1|DMEL
OG0000051	LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA	Cyp313a4|NP_650224.3|DMEL
OG0000051	LOC117586424|XP_034132352.1|DGUA, LOC117586281|XP_034132126.1|DGUA	Cyp313a5|NP_650168.1|DMEL, Cyp313a1|NP_650368.1|DMEL, Cyp313a2|NP_650169.3|DMEL, Cyp313a3|NP_650170.2|DMEL
OG0000052	LOC117585521|XP_034130918.1|DGUA	eloF|NP_649956.1|DMEL, CG8534|NP_649955.1|DMEL, CG9458|NP_731419.1|DMEL, CG9459|NP_649958.2|DMEL
OG0000052	LOC117579366|XP_034121106.1|DGUA	CG17821|NP_725820.2|DMEL
OG0000052	LOC117579361|XP_034121090.1|DGUA	CG18609|NP_611365.2|DMEL
OG0000053	LOC117591851|XP_034141110.1|DGUA	Mal-A7|NP_610383.1|DMEL
OG0000053	LOC117591850|XP_034141108.1|DGUA	Mal-A6|NP_995779.2|DMEL
