Orthogroup	DGUA.longest_only	BTRY.longest_only
OG0000004	LOC117591774|XP_034140974.1|DGUA, LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY
OG0000005	LOC117581361|XP_034124384.1|DGUA	LOC120767523|XP_039949552.1|BTRY
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC120767509|XP_039949536.1|BTRY
OG0000006	LOC117591672|XP_034140886.1|DGUA	LOC120767475|XP_039949498.1|BTRY
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC120767476|XP_039949500.1|BTRY, LOC120767512|XP_039949539.1|BTRY, LOC120781340|XP_039969478.1|BTRY
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY
OG0000007	LOC117584024|XP_034128652.1|DGUA, LOC117592308|XP_034141873.1|DGUA, LOC117583354|XP_034127515.1|DGUA, LOC117583632|XP_034127972.1|DGUA, LOC117583285|XP_034127411.1|DGUA, LOC117583201|XP_034127296.1|DGUA, LOC117584026|XP_034128654.1|DGUA, LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA, LOC117587430|XP_034133997.1|DGUA, LOC117587431|XP_034133998.1|DGUA	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC120778932|XP_039966913.1|BTRY
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC120778933|XP_039966914.1|BTRY
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC120780533|XP_039968729.1|BTRY
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC120778133|XP_039965828.1|BTRY
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC120780988|XP_039969143.1|BTRY
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC120780063|XP_039968275.1|BTRY
OG0000009	LOC117586454|XP_034132388.1|DGUA, LOC117585408|XP_034130767.1|DGUA, LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA, LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA	LOC120782593|XP_039970879.1|BTRY
OG0000009	LOC117587230|XP_034133688.1|DGUA, LOC117586357|XP_034132268.1|DGUA, LOC117588654|XP_034135988.1|DGUA, LOC117588663|XP_034136000.1|DGUA	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC117591647|XP_034140863.1|DGUA, LOC117583778|XP_034128224.1|DGUA	LOC120766432|XP_039947870.1|BTRY
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC120767531|XP_039949557.1|BTRY
OG0000010	LOC117591679|XP_034140894.1|DGUA	LOC120767528|XP_039949554.1|BTRY
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC120772295|XP_039956737.1|BTRY
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC120771372|XP_039955267.1|BTRY
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC120772056|XP_039956371.1|BTRY
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA, LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA, LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA	LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC120778592|XP_039966397.1|BTRY
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC120782170|XP_039970244.1|BTRY
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY
OG0000013	LOC117583601|XP_034127885.1|DGUA	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000015	LOC117583918|XP_034128488.1|DGUA, LOC117588212|XP_034135242.1|DGUA	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY
OG0000016	LOC117589945|XP_034138127.1|DGUA, LOC117587659|XP_034134479.1|DGUA	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC120774116|XP_039959415.1|BTRY
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC120775405|XP_039961502.1|BTRY
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC120767942|XP_039950259.1|BTRY
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC120773675|XP_039958634.1|BTRY
OG0000017	LOC117582389|XP_034125960.1|DGUA, LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC120777489|XP_039964764.1|BTRY
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC120777549|XP_039964872.1|BTRY
OG0000018	LOC117587362|XP_034133895.1|DGUA	LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY
OG0000018	LOC117587365|XP_034133899.1|DGUA	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA, LOC117583705|XP_034128081.1|DGUA, LOC117583723|XP_034128130.1|DGUA, LOC117583722|XP_034128122.1|DGUA	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC120772465|XP_039957032.1|BTRY
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC120782274|XP_039970399.1|BTRY
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC120776121|XP_039962581.1|BTRY
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC120780423|XP_039968662.1|BTRY
OG0000021	LOC117582802|XP_034126721.1|DGUA	LOC120766828|XP_039948474.1|BTRY
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC120770783|XP_039954296.1|BTRY
OG0000022	LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY
OG0000022	LOC117587286|XP_034133764.1|DGUA	LOC120770784|XP_039954297.1|BTRY, LOC120772427|XP_039956973.1|BTRY
OG0000023	LOC117586009|XP_034131729.1|DGUA	LOC120770307|XP_039953615.1|BTRY
OG0000023	LOC117586008|XP_034131728.1|DGUA, LOC117591288|XP_034140381.1|DGUA, LOC117586007|XP_034131727.1|DGUA	LOC120782575|XP_039970851.1|BTRY
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC120766880|XP_039948548.1|BTRY
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC120774273|XP_039959699.1|BTRY
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC120766882|XP_039948559.1|BTRY
OG0000024	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY
OG0000024	LOC117580040|XP_034122171.1|DGUA	LOC120771072|XP_039954818.1|BTRY
OG0000024	LOC117591149|XP_034140151.1|DGUA, LOC117578502|XP_034119928.1|DGUA	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY
OG0000025	LOC117584685|XP_034129605.1|DGUA, LOC117590412|XP_034138901.1|DGUA	LOC120774110|XP_039959404.1|BTRY
OG0000025	LOC117591670|XP_034140884.1|DGUA	LOC120767496|XP_039949522.1|BTRY, LOC120767500|XP_039949527.1|BTRY, LOC120767501|XP_039949528.1|BTRY
OG0000025	LOC117591655|XP_034140870.1|DGUA, LOC117591779|XP_034140978.1|DGUA	LOC120767497|XP_039949523.1|BTRY
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC120773924|XP_039959055.1|BTRY
OG0000026	LOC117581101|XP_034123883.1|DGUA, LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA, LOC117589578|XP_034137528.1|DGUA	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC120768378|XP_039950978.1|BTRY
OG0000027	LOC117582236|XP_034125737.1|DGUA	LOC120768612|XP_039951313.1|BTRY
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY
OG0000028	LOC117579887|XP_034121914.1|DGUA	LOC120777924|XP_039965441.1|BTRY
OG0000028	LOC117588956|XP_034136434.1|DGUA	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY
OG0000029	LOC117592282|XP_034141836.1|DGUA, LOC117589682|XP_034137727.1|DGUA, LOC117579424|XP_034121195.1|DGUA	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY
OG0000030	LOC117582242|XP_034125744.1|DGUA	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC120773026|XP_039957889.1|BTRY
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY
OG0000030	LOC117581439|XP_034124532.1|DGUA	LOC120776112|XP_039962547.1|BTRY
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY
OG0000032	LOC117583029|XP_034127075.1|DGUA	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY
OG0000032	LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC120782780|XP_039971181.1|BTRY
OG0000034	LOC117584525|XP_034129365.1|DGUA, LOC117584539|XP_034129382.1|DGUA, LOC117584364|XP_034129093.1|DGUA, LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA, LOC117588068|XP_034135019.1|DGUA	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC120776996|XP_039964035.1|BTRY
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC120778788|XP_039966724.1|BTRY
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC120782503|XP_039970745.1|BTRY
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY
OG0000037	LOC117581190|XP_034124041.1|DGUA	LOC120770870|XP_039954430.1|BTRY
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY
OG0000040	LOC117586415|XP_034132343.1|DGUA, LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA, LOC117585623|XP_034131079.1|DGUA, LOC117585926|XP_034131583.1|DGUA, LOC117586490|XP_034132479.1|DGUA, LOC117585962|XP_034131662.1|DGUA, LOC117586743|XP_034132936.1|DGUA, LOC117585897|XP_034131543.1|DGUA, LOC117583720|XP_034128120.1|DGUA	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY
OG0000043	LOC117585018|XP_034130150.1|DGUA, LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY
OG0000043	LOC117585502|XP_034130891.1|DGUA, LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC120772588|XP_039957233.1|BTRY
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA, LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY
OG0000044	LOC117590011|XP_034138189.1|DGUA	LOC120782367|XP_039970539.1|BTRY
OG0000045	LOC117586936|XP_034133192.1|DGUA	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY
OG0000045	LOC117587010|XP_034133310.1|DGUA	LOC120778581|XP_039966382.1|BTRY
OG0000045	LOC117579473|XP_034121255.1|DGUA	LOC120778222|XP_039965914.1|BTRY
OG0000045	LOC117579463|XP_034121242.1|DGUA	LOC120777964|XP_039965517.1|BTRY
OG0000047	LOC117591384|XP_034140523.1|DGUA, LOC117592295|XP_034141855.1|DGUA, LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA, LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA, LOC117591732|XP_034140939.1|DGUA, LOC117580178|XP_034122428.1|DGUA	LOC120775795|XP_039962073.1|BTRY
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY
OG0000048	LOC117588941|XP_034136410.1|DGUA, LOC117589276|XP_034136957.1|DGUA	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY
OG0000048	LOC117588957|XP_034136435.1|DGUA	LOC120770486|XP_039953934.1|BTRY
OG0000049	LOC117583088|XP_034127157.1|DGUA	LOC120782870|XP_039971347.1|BTRY
OG0000049	LOC117583087|XP_034127156.1|DGUA	LOC120782209|XP_039970301.1|BTRY
OG0000049	LOC117583320|XP_034127470.1|DGUA	LOC120781673|XP_039969832.1|BTRY
OG0000049	LOC117583322|XP_034127471.1|DGUA, LOC117583323|XP_034127472.1|DGUA	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY
OG0000049	LOC117583085|XP_034127153.1|DGUA	LOC120772847|XP_039957638.1|BTRY
OG0000050	LOC117592164|XP_034141627.1|DGUA	LOC120776369|XP_039962882.1|BTRY
OG0000050	LOC117580439|XP_034122886.1|DGUA, LOC117580435|XP_034122881.1|DGUA, LOC117580059|XP_034122189.1|DGUA, LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA, LOC117580434|XP_034122880.1|DGUA, LOC117580436|XP_034122883.1|DGUA	LOC120778411|XP_039966128.1|BTRY
OG0000051	LOC117584976|XP_034130071.1|DGUA	LOC120776450|XP_039963045.1|BTRY
OG0000051	LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA	LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY
OG0000051	LOC117586424|XP_034132352.1|DGUA, LOC117586281|XP_034132126.1|DGUA	LOC120774683|XP_039960350.1|BTRY, LOC120766819|XP_039948463.1|BTRY, LOC120766441|XP_039947883.1|BTRY
OG0000052	LOC117585521|XP_034130918.1|DGUA, LOC117579366|XP_034121106.1|DGUA, LOC117579361|XP_034121090.1|DGUA	LOC120771792|XP_039955923.1|BTRY, LOC120772636|XP_039957293.1|BTRY, LOC120772635|XP_039957292.1|BTRY, LOC120772637|XP_039957294.1|BTRY
OG0000053	LOC117591851|XP_034141110.1|DGUA	LOC120770153|XP_039953281.1|BTRY
OG0000053	LOC117591850|XP_034141108.1|DGUA	LOC120770564|XP_039954076.1|BTRY
OG0000053	LOC117591849|XP_034141106.1|DGUA	LOC120770562|XP_039954075.1|BTRY
OG0000053	LOC117589695|XP_034137786.1|DGUA	LOC120771115|XP_039954899.1|BTRY, LOC120772335|XP_039956813.1|BTRY, LOC120771116|XP_039954900.1|BTRY
OG0000054	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA	LOC120766688|XP_039948268.1|BTRY, LOC120773479|XP_039958337.1|BTRY
OG0000054	LOC117585613|XP_034131060.1|DGUA, LOC117585615|XP_034131067.1|DGUA	LOC120766314|XP_039947666.1|BTRY, LOC120771817|XP_039955972.1|BTRY, LOC120766166|XP_039947447.1|BTRY
OG0000056	LOC117582718|XP_034126532.1|DGUA, LOC117582720|XP_034126536.1|DGUA, LOC117582719|XP_034126535.1|DGUA	LOC120773463|XP_039958298.1|BTRY, LOC120773462|XP_039958296.1|BTRY, LOC120773461|XP_039958295.1|BTRY
OG0000056	LOC117589786|XP_034137875.1|DGUA, LOC117589687|XP_034137734.1|DGUA	LOC120775660|XP_039961862.1|BTRY
OG0000058	LOC117588076|XP_034135032.1|DGUA, LOC117588074|XP_034135030.1|DGUA, LOC117581983|XP_034125368.1|DGUA, LOC117588075|XP_034135031.1|DGUA, LOC117580786|XP_034123373.1|DGUA	LOC120778110|XP_039965747.1|BTRY, LOC120778815|XP_039966755.1|BTRY, LOC120777383|XP_039964608.1|BTRY
