Orthogroup	DGUA.longest_only	DBUS.longest_only
OG0000008	LOC117586225|XP_034132053.1|DGUA	LOC108601547|XP_017844934.2|DBUS, LOC108602371|XP_017845962.1|DBUS
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC117585408|XP_034130767.1|DGUA	LOC108601444|XP_017844830.1|DBUS
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC117587230|XP_034133688.1|DGUA	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC117588654|XP_034135988.1|DGUA	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC117591647|XP_034140863.1|DGUA, LOC117583778|XP_034128224.1|DGUA	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC117591688|XP_034140902.1|DGUA, LOC117591671|XP_034140885.1|DGUA	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC117585951|XP_034131639.1|DGUA	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC117583601|XP_034127885.1|DGUA	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000016	LOC117589945|XP_034138127.1|DGUA	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC117587659|XP_034134479.1|DGUA	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC117592229|XP_034141753.1|DGUA	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC117583173|XP_034127261.1|DGUA	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC117580469|XP_034122942.1|DGUA	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC117583419|XP_034127607.1|DGUA	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC117587354|XP_034133886.1|DGUA	LOC108598989|XP_017841254.1|DBUS, LOC117134764|XP_033149298.1|DBUS
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC108599156|XP_017841431.1|DBUS
OG0000018	LOC117587365|XP_034133899.1|DGUA	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC117583705|XP_034128081.1|DGUA	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC117583723|XP_034128130.1|DGUA	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC117583722|XP_034128122.1|DGUA	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC117578526|XP_034119977.1|DGUA	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC117590165|XP_034138451.1|DGUA	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC117584402|XP_034129156.1|DGUA	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC117579999|XP_034122087.1|DGUA	LOC108598850|XP_017841097.1|DBUS
OG0000021	LOC117578554|XP_034120017.1|DGUA	LOC108595011|XP_017835635.1|DBUS
OG0000021	LOC117578555|XP_034120019.1|DGUA	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC117578556|XP_034120020.1|DGUA	LOC108595013|XP_017835637.1|DBUS
OG0000021	LOC117580314|XP_034122704.1|DGUA	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC117580733|XP_034123298.1|DGUA	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC117578557|XP_034120021.1|DGUA	LOC108595014|XP_017835638.1|DBUS
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC108602127|XP_017845643.1|DBUS
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000022	LOC117587286|XP_034133764.1|DGUA	LOC108597711|XP_017839890.1|DBUS
OG0000023	LOC117586396|XP_034132318.1|DGUA	LOC108601632|XP_017845020.1|DBUS
OG0000023	LOC117586009|XP_034131729.1|DGUA	LOC108601651|XP_017845040.1|DBUS
OG0000023	LOC117586008|XP_034131728.1|DGUA	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC117591288|XP_034140381.1|DGUA	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC117586007|XP_034131727.1|DGUA	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC117580040|XP_034122171.1|DGUA	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC117591149|XP_034140151.1|DGUA	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC117592048|XP_034141425.1|DGUA	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC117590412|XP_034138901.1|DGUA	LOC108607483|XP_017853815.1|DBUS
OG0000025	LOC117591655|XP_034140870.1|DGUA, LOC117591779|XP_034140978.1|DGUA	LOC117134728|XP_033149262.1|DBUS
OG0000026	LOC117588644|XP_034135968.1|DGUA	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC117581101|XP_034123883.1|DGUA, LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	LOC117589578|XP_034137528.1|DGUA	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC117582236|XP_034125737.1|DGUA	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS
OG0000028	LOC117579887|XP_034121914.1|DGUA	LOC108598250|XP_017840354.1|DBUS
OG0000028	LOC117588956|XP_034136434.1|DGUA	LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC117589682|XP_034137727.1|DGUA	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC117579424|XP_034121195.1|DGUA	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC117583029|XP_034127075.1|DGUA	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC117583031|XP_034127078.1|DGUA	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC117578485|XP_034119909.1|DGUA	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC117578484|XP_034119908.1|DGUA	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC117584525|XP_034129365.1|DGUA	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC117584539|XP_034129382.1|DGUA	LOC108597722|XP_017839907.2|DBUS
OG0000034	LOC117584364|XP_034129093.1|DGUA	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC117588068|XP_034135019.1|DGUA	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC117590454|XP_034138979.1|DGUA	LOC108606083|XP_017851419.1|DBUS, LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS, LOC108606087|XP_017851422.2|DBUS
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC117586415|XP_034132343.1|DGUA, LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC117585623|XP_034131079.1|DGUA	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC117585926|XP_034131583.1|DGUA, LOC117586490|XP_034132479.1|DGUA	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC117585962|XP_034131662.1|DGUA	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC117583720|XP_034128120.1|DGUA	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC117592397|XP_034142005.1|DGUA, LOC117592396|XP_034142004.1|DGUA, LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC117592399|XP_034142008.1|DGUA	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC117585502|XP_034130891.1|DGUA	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC117586936|XP_034133192.1|DGUA	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC117587010|XP_034133310.1|DGUA	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC117579473|XP_034121255.1|DGUA	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC117579463|XP_034121242.1|DGUA	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC117591350|XP_034140469.1|DGUA	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC117592033|XP_034141382.1|DGUA, LOC117583276|XP_034127392.1|DGUA	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC117591384|XP_034140523.1|DGUA	LOC108595113|XP_033148899.1|DBUS
OG0000047	LOC117592295|XP_034141855.1|DGUA	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA	LOC108601150|XP_033149649.1|DBUS
OG0000047	LOC117591732|XP_034140939.1|DGUA	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC117589276|XP_034136957.1|DGUA	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC117588957|XP_034136435.1|DGUA	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC117583262|XP_034127380.1|DGUA	LOC108601427|XP_017844814.1|DBUS
OG0000049	LOC117583088|XP_034127157.1|DGUA	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC117583087|XP_034127156.1|DGUA	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC117583320|XP_034127470.1|DGUA	LOC108602189|XP_017845724.1|DBUS
OG0000049	LOC117583323|XP_034127472.1|DGUA	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC117583085|XP_034127153.1|DGUA	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC117580059|XP_034122189.1|DGUA	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC117580434|XP_034122880.1|DGUA	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC117584976|XP_034130071.1|DGUA	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA	LOC108603519|XP_017847901.1|DBUS
OG0000051	LOC117586424|XP_034132352.1|DGUA, LOC117586281|XP_034132126.1|DGUA	LOC108601326|XP_017844713.1|DBUS
OG0000052	LOC117585521|XP_034130918.1|DGUA	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC117579366|XP_034121106.1|DGUA	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS
OG0000052	LOC117579361|XP_034121090.1|DGUA	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC117591851|XP_034141110.1|DGUA	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC117591850|XP_034141108.1|DGUA	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC117591849|XP_034141106.1|DGUA	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC117589695|XP_034137786.1|DGUA	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC117591710|XP_034140920.1|DGUA	LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC117585613|XP_034131060.1|DGUA	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC117583475|XP_034127675.1|DGUA	LOC108602318|XP_017845891.1|DBUS
OG0000056	LOC117582718|XP_034126532.1|DGUA	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	LOC117582719|XP_034126535.1|DGUA	LOC108602080|XP_017845593.1|DBUS
OG0000056	LOC117589786|XP_034137875.1|DGUA, LOC117589687|XP_034137734.1|DGUA	LOC108598485|XP_017840632.1|DBUS
OG0000058	LOC117588076|XP_034135032.1|DGUA, LOC117588074|XP_034135030.1|DGUA, LOC117581983|XP_034125368.1|DGUA	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS
OG0000058	LOC117588075|XP_034135031.1|DGUA	LOC117135039|XP_033150759.1|DBUS
OG0000058	LOC117580786|XP_034123373.1|DGUA	LOC108606881|XP_017852895.1|DBUS
OG0000059	LOC117583116|XP_034127192.1|DGUA, LOC117583225|XP_034127335.1|DGUA	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS
OG0000059	LOC117582882|XP_034126846.1|DGUA	LOC108602589|XP_017846217.1|DBUS
OG0000059	LOC117582940|XP_034126935.1|DGUA	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS
OG0000060	LOC117591001|XP_034139974.1|DGUA	LOC108605501|XP_017850738.1|DBUS
OG0000060	LOC117582364|XP_034125913.1|DGUA	LOC108596314|XP_017837413.1|DBUS
OG0000060	LOC117586071|XP_034131812.1|DGUA	LOC108602170|XP_017845695.1|DBUS
OG0000060	LOC117583542|XP_034127790.1|DGUA	LOC108604124|XP_017848902.1|DBUS
OG0000060	LOC117580826|XP_034123438.1|DGUA	LOC108605927|XP_017851236.1|DBUS
OG0000061	LOC117584177|XP_034128835.1|DGUA	LOC108602145|XP_017845670.1|DBUS
OG0000061	LOC117583930|XP_034128502.1|DGUA	LOC108594753|XP_017835384.1|DBUS
OG0000062	LOC117590396|XP_034138880.1|DGUA	LOC108606274|XP_017851741.1|DBUS
OG0000062	LOC117587653|XP_034134434.1|DGUA, LOC117587755|XP_034134570.1|DGUA	LOC108607908|XP_017854511.1|DBUS
OG0000063	LOC117580520|XP_034123004.1|DGUA	LOC108598139|XP_033149614.1|DBUS
OG0000063	LOC117579292|XP_034120988.1|DGUA	LOC108598875|XP_017841124.1|DBUS
OG0000063	LOC117579291|XP_034120986.1|DGUA	LOC108598617|XP_017840805.2|DBUS, LOC108598825|XP_017841064.2|DBUS
OG0000065	LOC117583018|XP_034127060.1|DGUA	LOC108602948|XP_017846787.1|DBUS
OG0000065	LOC117582935|XP_034126927.1|DGUA, LOC117582936|XP_034126928.1|DGUA, LOC117582933|XP_034126925.1|DGUA, LOC117582934|XP_034126926.1|DGUA	LOC108604232|XP_017849089.1|DBUS, LOC108597099|XP_017838955.1|DBUS
OG0000066	LOC117586042|XP_034131778.1|DGUA, LOC117582974|XP_034126986.1|DGUA	LOC108605823|XP_017851118.1|DBUS
OG0000066	LOC117591066|XP_034140058.1|DGUA	LOC108596039|XP_017836905.1|DBUS
OG0000066	LOC117585048|XP_034130198.1|DGUA	LOC108602400|XP_017846000.1|DBUS
OG0000066	LOC117587600|XP_034134341.1|DGUA	LOC108606023|XP_017851338.1|DBUS
OG0000067	LOC117589502|XP_034137375.1|DGUA	LOC108603517|XP_017847897.1|DBUS
OG0000067	LOC117579493|XP_034121284.1|DGUA	LOC108598960|XP_017841219.2|DBUS
OG0000067	LOC117591024|XP_034140007.1|DGUA	LOC108596347|XP_017837491.1|DBUS
OG0000067	LOC117579492|XP_034121282.1|DGUA	LOC108600356|XP_017843371.2|DBUS
OG0000067	LOC117589212|XP_034136847.1|DGUA	LOC108598075|XP_017840177.1|DBUS
