Orthogroup	DGUA.longest_only	DVIR.longest_only
OG0000032	LOC117583029|XP_034127075.1|DGUA	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC117583031|XP_034127078.1|DGUA	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC117578485|XP_034119909.1|DGUA	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC117578484|XP_034119908.1|DGUA	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC117584525|XP_034129365.1|DGUA	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC117584539|XP_034129382.1|DGUA	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC117584364|XP_034129093.1|DGUA	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC117588068|XP_034135019.1|DGUA	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC6630607|XP_002054482.2|DVIR
OG0000037	LOC117581190|XP_034124041.1|DGUA	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC6629970|XP_002053079.1|DVIR
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC117590456|XP_034138981.1|DGUA	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC117590454|XP_034138979.1|DGUA	LOC6632395|XP_002056631.2|DVIR, LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC117586415|XP_034132343.1|DGUA, LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC117585623|XP_034131079.1|DGUA	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC117585926|XP_034131583.1|DGUA, LOC117586490|XP_034132479.1|DGUA	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC117585962|XP_034131662.1|DGUA	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC117586743|XP_034132936.1|DGUA, LOC117585897|XP_034131543.1|DGUA	LOC6629627|XP_002054867.1|DVIR
OG0000040	LOC117583720|XP_034128120.1|DGUA	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC117592397|XP_034142005.1|DGUA, LOC117592396|XP_034142004.1|DGUA, LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	LOC6630320|XP_002053430.1|DVIR
OG0000043	LOC117585502|XP_034130891.1|DGUA	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC117586936|XP_034133192.1|DGUA	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC117587010|XP_034133310.1|DGUA	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC117579473|XP_034121255.1|DGUA	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC117579463|XP_034121242.1|DGUA	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC117591350|XP_034140469.1|DGUA	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
OG0000046	LOC117592033|XP_034141382.1|DGUA, LOC117583276|XP_034127392.1|DGUA	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR
OG0000047	LOC117591384|XP_034140523.1|DGUA	LOC6624851|XP_002050852.1|DVIR
OG0000047	LOC117592295|XP_034141855.1|DGUA	LOC6624848|XP_002050849.2|DVIR
OG0000047	LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA	LOC6626318|XP_002049525.1|DVIR
OG0000047	LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA	LOC6623898|XP_015031386.1|DVIR
OG0000047	LOC117591732|XP_034140939.1|DGUA	LOC6626924|XP_002049538.1|DVIR
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	LOC6623128|XP_002046219.1|DVIR
OG0000048	LOC117589276|XP_034136957.1|DGUA	LOC6623780|XP_002046212.1|DVIR
OG0000048	LOC117588957|XP_034136435.1|DGUA	LOC6623749|XP_002046215.1|DVIR
OG0000049	LOC117583262|XP_034127380.1|DGUA	LOC6632704|XP_002056037.1|DVIR
OG0000049	LOC117583088|XP_034127157.1|DGUA	LOC6632699|XP_002056032.2|DVIR
OG0000049	LOC117583087|XP_034127156.1|DGUA	LOC6632702|XP_002056035.3|DVIR
OG0000049	LOC117583320|XP_034127470.1|DGUA	LOC6632698|XP_002056031.1|DVIR
OG0000049	LOC117583323|XP_034127472.1|DGUA	LOC116650324|XP_032289598.1|DVIR
OG0000049	LOC117583085|XP_034127153.1|DGUA	LOC6632703|XP_002056036.2|DVIR
OG0000050	LOC117592164|XP_034141627.1|DGUA	LOC116651245|XP_032293110.1|DVIR
OG0000050	LOC117580439|XP_034122886.1|DGUA	LOC116650744|XP_032291206.1|DVIR
OG0000050	LOC117580435|XP_034122881.1|DGUA	LOC6622355|XP_002047925.1|DVIR
OG0000050	LOC117580059|XP_034122189.1|DGUA	LOC6622345|XP_002047924.2|DVIR
OG0000050	LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA	LOC6622312|XP_002047926.2|DVIR
OG0000050	LOC117580434|XP_034122880.1|DGUA	LOC6622403|XP_002047934.2|DVIR
OG0000051	LOC117584976|XP_034130071.1|DGUA	LOC6633160|XP_002056609.1|DVIR
OG0000051	LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA	LOC6630427|XP_002053739.1|DVIR
OG0000052	LOC117585521|XP_034130918.1|DGUA	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR
OG0000052	LOC117579366|XP_034121106.1|DGUA	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR
OG0000052	LOC117579361|XP_034121090.1|DGUA	LOC6626911|XP_002050286.2|DVIR
OG0000053	LOC117591851|XP_034141110.1|DGUA	LOC6624847|XP_002049663.1|DVIR
OG0000053	LOC117591850|XP_034141108.1|DGUA	LOC6624846|XP_002049662.1|DVIR
OG0000053	LOC117591849|XP_034141106.1|DGUA	LOC6624845|XP_002049661.1|DVIR
OG0000053	LOC117589695|XP_034137786.1|DGUA	LOC6624806|XP_002049656.1|DVIR
OG0000054	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA	LOC6633223|XP_002056282.1|DVIR
OG0000054	LOC117585613|XP_034131060.1|DGUA	LOC6629800|XP_002053376.1|DVIR
OG0000054	LOC117585615|XP_034131067.1|DGUA	LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR
OG0000055	LOC117583475|XP_034127675.1|DGUA	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR
OG0000056	LOC117582718|XP_034126532.1|DGUA	LOC6630824|XP_002054731.1|DVIR
OG0000056	LOC117582719|XP_034126535.1|DGUA	LOC26531774|XP_032295287.1|DVIR, LOC6630956|XP_002054733.1|DVIR
OG0000056	LOC117589786|XP_034137875.1|DGUA, LOC117589687|XP_034137734.1|DGUA	LOC6627508|XP_002052791.1|DVIR
