Orthogroup	DGUA.longest_only	DEUG.longest_only
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG
OG0000004	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA	LOC108113823|XP_017080058.1|DEUG
OG0000005	LOC117591790|XP_034140985.1|DGUA	LOC108103412|XP_017064359.1|DEUG
OG0000006	LOC117591689|XP_034140903.1|DGUA, LOC117591770|XP_034140972.1|DGUA, LOC117591658|XP_034140872.1|DGUA, LOC117591672|XP_034140886.1|DGUA	LOC108103399|XP_017064345.1|DEUG
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC117584024|XP_034128652.1|DGUA	LOC108102687|XP_017063316.1|DEUG
OG0000007	LOC117592308|XP_034141873.1|DGUA	LOC108104447|XP_017065997.1|DEUG
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG
OG0000007	LOC117587067|XP_034133401.1|DGUA	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG
OG0000007	LOC117584025|XP_034128653.1|DGUA	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000007	LOC117587430|XP_034133997.1|DGUA	LOC108107529|XP_017070559.1|DEUG
OG0000007	LOC117587431|XP_034133998.1|DGUA	LOC108107925|XP_017071238.1|DEUG
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC108107848|XP_017071091.1|DEUG
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC108116123|XP_017083335.1|DEUG
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC108117290|XP_017085135.1|DEUG
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
OG0000009	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG
OG0000009	LOC117587230|XP_034133688.1|DGUA	LOC108107216|XP_017070122.1|DEUG
OG0000009	LOC117586357|XP_034132268.1|DGUA	LOC108111728|XP_017076770.1|DEUG
OG0000009	LOC117588654|XP_034135988.1|DGUA	LOC108106283|XP_017068739.1|DEUG
OG0000009	LOC117588663|XP_034136000.1|DGUA	LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG
OG0000010	LOC117583778|XP_034128224.1|DGUA	LOC108105230|XP_017067186.1|DEUG
OG0000011	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA	LOC108111192|XP_017076075.1|DEUG, LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG, LOC108108695|XP_017072289.1|DEUG, LOC108118231|XP_017086302.1|DEUG, LOC108102619|XP_017063216.1|DEUG, LOC108111193|XP_017076077.1|DEUG, LOC108118458|XP_017086666.1|DEUG, LOC108118456|XP_017086662.1|DEUG, LOC108103884|XP_017065103.1|DEUG, LOC108103883|XP_017065101.1|DEUG
OG0000011	LOC117579965|XP_034122030.1|DGUA	LOC108105968|XP_017068261.1|DEUG
OG0000011	LOC117579216|XP_034120874.1|DGUA	LOC108105967|XP_017068260.1|DEUG
OG0000011	LOC117585951|XP_034131639.1|DGUA	LOC108109998|XP_017074326.1|DEUG
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC108113192|XP_017079208.1|DEUG
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC108113191|XP_017079207.1|DEUG
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC108113343|XP_017079393.1|DEUG
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC108113377|XP_017079435.1|DEUG
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG
OG0000012	LOC117585406|XP_034130769.1|DGUA	LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG
OG0000012	LOC117592596|XP_034142370.1|DGUA	LOC108106282|XP_017068738.1|DEUG
OG0000012	LOC117592593|XP_034142368.1|DGUA	LOC108106301|XP_017068761.1|DEUG
OG0000012	LOC117592595|XP_034142369.1|DGUA	LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG
OG0000012	LOC117592597|XP_034142371.1|DGUA	LOC108106742|XP_017069468.1|DEUG
OG0000012	LOC117592598|XP_034142372.1|DGUA	LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC108105962|XP_017068250.1|DEUG
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC108116899|XP_017084498.1|DEUG
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	LOC108116618|XP_017084081.1|DEUG
OG0000013	LOC117583601|XP_034127885.1|DGUA	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000015	LOC117583918|XP_034128488.1|DGUA	LOC108107905|XP_017071204.1|DEUG
OG0000016	LOC117589945|XP_034138127.1|DGUA	LOC108116882|XP_017084468.1|DEUG
OG0000016	LOC117587659|XP_034134479.1|DGUA	LOC108109063|XP_017072885.1|DEUG
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC108117273|XP_017085115.1|DEUG
OG0000016	LOC117592229|XP_034141753.1|DGUA	LOC108113063|XP_017078988.1|DEUG
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC108103209|XP_017064088.1|DEUG
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC108110347|XP_017074869.1|DEUG
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC108105551|XP_017067677.1|DEUG
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC108108726|XP_017072348.1|DEUG
OG0000017	LOC117582389|XP_034125960.1|DGUA	LOC108112627|XP_017078221.1|DEUG
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC108104154|XP_017065544.1|DEUG
OG0000017	LOC117583173|XP_034127261.1|DGUA	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG
OG0000017	LOC117580469|XP_034122942.1|DGUA	LOC108109233|XP_017073194.1|DEUG
OG0000017	LOC117583419|XP_034127607.1|DGUA	LOC108110339|XP_017074859.1|DEUG
OG0000017	LOC117592152|XP_034141609.1|DGUA	LOC108109231|XP_017073193.1|DEUG
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC108107641|XP_017070716.1|DEUG
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC108107531|XP_017070561.1|DEUG
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC108108164|XP_017071591.1|DEUG
OG0000018	LOC117587365|XP_034133899.1|DGUA	LOC108107616|XP_017070674.1|DEUG, LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA	LOC108115822|XP_017082901.1|DEUG
OG0000019	LOC117583705|XP_034128081.1|DGUA	LOC108115829|XP_017082909.1|DEUG
OG0000019	LOC117583723|XP_034128130.1|DGUA	LOC108115823|XP_017082903.1|DEUG
OG0000019	LOC117583722|XP_034128122.1|DGUA	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC108116051|XP_017083239.1|DEUG
OG0000020	LOC117578526|XP_034119977.1|DGUA	LOC108109261|XP_017073233.1|DEUG
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC108117182|XP_017084963.1|DEUG
OG0000020	LOC117590165|XP_034138451.1|DGUA	LOC108116455|XP_017083873.1|DEUG
OG0000021	LOC117578555|XP_034120019.1|DGUA	LOC108110545|XP_017075123.1|DEUG
OG0000021	LOC117580314|XP_034122704.1|DGUA	LOC108112706|XP_017078416.1|DEUG
OG0000021	LOC117580733|XP_034123298.1|DGUA	LOC108112288|XP_017077598.1|DEUG
OG0000021	LOC117578557|XP_034120021.1|DGUA	LOC108109877|XP_017074162.1|DEUG
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC108105026|XP_017066911.1|DEUG
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC108117533|XP_017085522.1|DEUG
OG0000021	LOC117582802|XP_034126721.1|DGUA	LOC108111770|XP_017076824.1|DEUG
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC108113005|XP_017078913.1|DEUG
OG0000022	LOC117587283|XP_034133760.1|DGUA	LOC108102771|XP_017063418.1|DEUG, LOC108102780|XP_017063430.1|DEUG
OG0000022	LOC117587284|XP_034133762.1|DGUA	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG
OG0000022	LOC117587282|XP_034133759.1|DGUA	LOC108102797|XP_017063457.1|DEUG
OG0000023	LOC117586396|XP_034132318.1|DGUA	LOC108115114|XP_017081855.1|DEUG
OG0000023	LOC117586009|XP_034131729.1|DGUA	LOC108115112|XP_017081853.1|DEUG
OG0000023	LOC117586008|XP_034131728.1|DGUA	LOC108115052|XP_017081788.1|DEUG
OG0000023	LOC117591288|XP_034140381.1|DGUA	LOC108112507|XP_017077883.1|DEUG
OG0000023	LOC117586007|XP_034131727.1|DGUA	LOC108115111|XP_017081852.1|DEUG
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC108115051|XP_017081787.1|DEUG
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC108115158|XP_017081958.1|DEUG
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC108115110|XP_017081851.1|DEUG
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC108115157|XP_017081956.1|DEUG
OG0000024	LOC117580035|XP_034122157.1|DGUA	LOC108106508|XP_017069090.1|DEUG
OG0000024	LOC117580026|XP_034122146.1|DGUA	LOC108106506|XP_017069088.1|DEUG
OG0000024	LOC117580040|XP_034122171.1|DGUA	LOC108106500|XP_017069084.1|DEUG
OG0000024	LOC117591149|XP_034140151.1|DGUA	LOC108115421|XP_017082346.1|DEUG
OG0000024	LOC117578502|XP_034119928.1|DGUA	LOC108106503|XP_017069087.1|DEUG
OG0000024	LOC117592048|XP_034141425.1|DGUA	LOC108111932|XP_017077077.1|DEUG
OG0000025	LOC117590412|XP_034138901.1|DGUA	LOC108103147|XP_017064008.1|DEUG
OG0000025	LOC117591779|XP_034140978.1|DGUA	LOC108103398|XP_017064344.1|DEUG
OG0000026	LOC117588644|XP_034135968.1|DGUA	LOC108111839|XP_017076932.1|DEUG
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC108113449|XP_017079511.1|DEUG
OG0000026	LOC117581101|XP_034123883.1|DGUA	LOC108103585|XP_017064599.1|DEUG
OG0000026	LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA	LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG
OG0000026	LOC117589578|XP_034137528.1|DGUA	LOC108110172|XP_017074584.1|DEUG
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC108106863|XP_017069596.1|DEUG
OG0000027	LOC117582236|XP_034125737.1|DGUA	LOC108106871|XP_017069603.1|DEUG
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC108106870|XP_017069602.1|DEUG
OG0000028	LOC117579887|XP_034121914.1|DGUA	LOC108108455|XP_017071998.1|DEUG
OG0000028	LOC117588956|XP_034136434.1|DGUA	LOC108114276|XP_017080662.1|DEUG
OG0000029	LOC117592282|XP_034141836.1|DGUA	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG
OG0000029	LOC117589682|XP_034137727.1|DGUA	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG
OG0000029	LOC117579424|XP_034121195.1|DGUA	LOC108108451|XP_017071993.1|DEUG
OG0000030	LOC117582242|XP_034125744.1|DGUA	LOC108104049|XP_017065385.1|DEUG
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC108109021|XP_017072783.1|DEUG
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC108103318|XP_017064237.1|DEUG
OG0000030	LOC117581439|XP_034124532.1|DGUA	LOC108104999|XP_017066865.1|DEUG
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC108111003|XP_017075802.1|DEUG
OG0000032	LOC117583029|XP_034127075.1|DGUA	LOC108111801|XP_017076881.1|DEUG
OG0000032	LOC117583031|XP_034127078.1|DGUA	LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG
OG0000032	LOC117583028|XP_034127074.1|DGUA	LOC108111718|XP_017076758.1|DEUG
OG0000032	LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG
OG0000033	LOC117583114|XP_034127189.1|DGUA	LOC108116079|XP_017083286.1|DEUG, LOC108115913|XP_017083039.1|DEUG
OG0000033	LOC117578485|XP_034119909.1|DGUA	LOC108112609|XP_017078188.1|DEUG
OG0000033	LOC117578484|XP_034119908.1|DGUA	LOC108112608|XP_017078187.1|DEUG
OG0000033	LOC117589901|XP_034138062.1|DGUA	LOC108108576|XP_017072157.1|DEUG, LOC108115098|XP_017081835.1|DEUG, LOC108112351|XP_017077669.1|DEUG, LOC108117093|XP_017084781.1|DEUG
OG0000034	LOC117584525|XP_034129365.1|DGUA	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG
OG0000034	LOC117584539|XP_034129382.1|DGUA	LOC108118408|XP_017086572.1|DEUG
OG0000034	LOC117584364|XP_034129093.1|DGUA	LOC108118494|XP_017086716.1|DEUG
OG0000034	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA	LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG
OG0000034	LOC117588068|XP_034135019.1|DGUA	LOC108113407|XP_017079451.1|DEUG
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC108115061|XP_017081795.1|DEUG
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC108105599|XP_017067763.1|DEUG
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC108114960|XP_017081642.1|DEUG
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC108116661|XP_017084141.1|DEUG
OG0000037	LOC117581190|XP_034124041.1|DGUA	LOC108112000|XP_017077225.1|DEUG
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC108108735|XP_017072362.1|DEUG
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC108108809|XP_017072482.1|DEUG
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC108109615|XP_017073668.1|DEUG
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC108102893|XP_017063585.1|DEUG
OG0000039	LOC117590456|XP_034138981.1|DGUA	LOC108103025|XP_017063841.1|DEUG
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC108105051|XP_017066944.1|DEUG
OG0000040	LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	LOC108116469|XP_017083889.1|DEUG
OG0000040	LOC117585623|XP_034131079.1|DGUA	LOC108116470|XP_017083890.1|DEUG
OG0000040	LOC117585926|XP_034131583.1|DGUA	LOC108111562|XP_017076575.1|DEUG
OG0000040	LOC117586490|XP_034132479.1|DGUA	LOC108111560|XP_017076573.1|DEUG
OG0000040	LOC117585962|XP_034131662.1|DGUA	LOC108111548|XP_017076556.1|DEUG
OG0000040	LOC117583720|XP_034128120.1|DGUA	LOC108109350|XP_017073299.1|DEUG
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG
OG0000041	LOC117585914|XP_034131569.1|DGUA	LOC108113689|XP_017079854.1|DEUG
OG0000042	LOC117588578|XP_034135864.1|DGUA	LOC108108093|XP_017071481.1|DEUG
OG0000042	LOC117592397|XP_034142005.1|DGUA	LOC108112378|XP_017077703.1|DEUG
OG0000042	LOC117592396|XP_034142004.1|DGUA	LOC108112385|XP_017077715.1|DEUG
OG0000042	LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	LOC108112383|XP_017077713.1|DEUG, LOC108112381|XP_017077708.1|DEUG, LOC108112379|XP_017077705.1|DEUG, LOC108112382|XP_017077709.1|DEUG, LOC108112377|XP_017077699.1|DEUG, LOC108112386|XP_017077716.1|DEUG
OG0000042	LOC117592399|XP_034142008.1|DGUA	LOC108112384|XP_017077714.1|DEUG
OG0000043	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	LOC108116482|XP_017083904.1|DEUG
OG0000043	LOC117585502|XP_034130891.1|DGUA	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG
OG0000043	LOC117584981|XP_034130079.1|DGUA	LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG
OG0000043	LOC117585441|XP_034130807.1|DGUA	LOC108116498|XP_017083919.1|DEUG
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC108113702|XP_017079868.1|DEUG
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG
OG0000044	LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA	LOC108113686|XP_017079852.1|DEUG, LOC108113695|XP_017079861.1|DEUG, LOC108113682|XP_017079848.1|DEUG
OG0000044	LOC117590011|XP_034138189.1|DGUA	LOC108116281|XP_017083557.1|DEUG
OG0000045	LOC117586936|XP_034133192.1|DGUA	LOC108114047|XP_017080284.1|DEUG
OG0000045	LOC117587010|XP_034133310.1|DGUA	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG
OG0000045	LOC117579473|XP_034121255.1|DGUA	LOC108107675|XP_017070752.1|DEUG
OG0000045	LOC117579463|XP_034121242.1|DGUA	LOC108107619|XP_017070678.1|DEUG
OG0000046	LOC117589785|XP_034137874.1|DGUA	LOC108110175|XP_017074588.1|DEUG
OG0000046	LOC117591350|XP_034140469.1|DGUA	LOC108104996|XP_017066862.1|DEUG, LOC108104997|XP_017066863.1|DEUG
OG0000046	LOC117592033|XP_034141382.1|DGUA	LOC108105004|XP_017066870.1|DEUG
OG0000046	LOC117583276|XP_034127392.1|DGUA	LOC108116573|XP_017084003.1|DEUG, LOC108116534|XP_017083961.1|DEUG, LOC108116575|XP_017084005.1|DEUG, LOC108116563|XP_017083991.1|DEUG, LOC108116555|XP_017083982.1|DEUG, LOC108112347|XP_017077663.1|DEUG
OG0000047	LOC117591384|XP_034140523.1|DGUA	LOC108112199|XP_017077502.1|DEUG
OG0000047	LOC117592295|XP_034141855.1|DGUA	LOC108113383|XP_017079444.1|DEUG
OG0000047	LOC117582832|XP_034126782.1|DGUA	LOC108106728|XP_017069453.1|DEUG
OG0000047	LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA	LOC108114731|XP_017081330.1|DEUG
OG0000047	LOC117591732|XP_034140939.1|DGUA	LOC108106783|XP_017069514.1|DEUG
OG0000047	LOC117580178|XP_034122428.1|DGUA	LOC108113976|XP_017080206.1|DEUG
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	LOC108114267|XP_017080653.1|DEUG, LOC108114271|XP_017080657.1|DEUG
OG0000048	LOC117589276|XP_034136957.1|DGUA	LOC108113900|XP_017080095.1|DEUG
OG0000048	LOC117588957|XP_034136435.1|DGUA	LOC108114275|XP_017080660.1|DEUG
OG0000049	LOC117583088|XP_034127157.1|DGUA	LOC108117079|XP_017084741.1|DEUG
OG0000049	LOC117583087|XP_034127156.1|DGUA	LOC108117054|XP_017084715.1|DEUG
OG0000049	LOC117583320|XP_034127470.1|DGUA	LOC108117035|XP_017084693.1|DEUG
OG0000049	LOC117583322|XP_034127471.1|DGUA	LOC108117069|XP_017084731.1|DEUG
OG0000049	LOC117583323|XP_034127472.1|DGUA	LOC108117036|XP_017084694.1|DEUG
OG0000049	LOC117583085|XP_034127153.1|DGUA	LOC108117318|XP_017085175.1|DEUG
