Orthogroup	DGUA.longest_only	DSUP.longest_only
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC119560395|XP_037729751.1|DSUP
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC119560394|XP_037729750.1|DSUP
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC119560107|XP_037729380.1|DSUP
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC119560146|XP_037729428.1|DSUP
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC119560480|XP_037729870.1|DSUP
OG0000009	LOC117585408|XP_034130767.1|DGUA	LOC119545681|XP_037707348.1|DSUP
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP
OG0000009	LOC117587230|XP_034133688.1|DGUA	LOC119550480|XP_037715097.1|DSUP
OG0000009	LOC117586357|XP_034132268.1|DGUA	LOC119560195|XP_037729489.1|DSUP
OG0000009	LOC117588654|XP_034135988.1|DGUA	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP
OG0000009	LOC117588663|XP_034136000.1|DGUA	LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP
OG0000010	LOC117583778|XP_034128224.1|DGUA	LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP
OG0000010	LOC117591679|XP_034140894.1|DGUA	LOC119546627|XP_037708994.1|DSUP, LOC119546628|XP_037708995.1|DSUP, LOC119548250|XP_037711321.1|DSUP, LOC119547947|XP_037710925.1|DSUP, LOC119559216|XP_037728214.1|DSUP
OG0000011	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA	LOC119548026|XP_037711028.1|DSUP, LOC119547062|XP_037709672.1|DSUP, LOC119558003|XP_037727039.1|DSUP, LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP, LOC119548364|XP_037711508.1|DSUP, LOC119546642|XP_037709016.1|DSUP, LOC119546643|XP_037709017.1|DSUP, LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP, LOC119555043|XP_037722157.1|DSUP, LOC119555066|XP_037722201.1|DSUP, LOC119557843|XP_037726753.1|DSUP, LOC119560943|XP_037730609.1|DSUP, LOC119554642|XP_037721569.1|DSUP, LOC119560221|XP_037729507.1|DSUP, LOC119560941|XP_037730605.1|DSUP, LOC119553270|XP_037719489.1|DSUP, LOC119554912|XP_037721943.1|DSUP, LOC119555170|XP_037722349.1|DSUP, LOC119555608|XP_037723034.1|DSUP, LOC119546892|XP_037709441.1|DSUP, LOC119547187|XP_037709849.1|DSUP, LOC119548093|XP_037711109.1|DSUP, LOC119547435|XP_037710223.1|DSUP, LOC119546050|XP_037708041.1|DSUP, LOC119548232|XP_037711301.1|DSUP, LOC119547347|XP_037710088.1|DSUP, LOC119556682|XP_037724981.1|DSUP, LOC119556749|XP_037725099.1|DSUP
OG0000011	LOC117579965|XP_034122030.1|DGUA	LOC119554627|XP_037721551.1|DSUP
OG0000011	LOC117579216|XP_034120874.1|DGUA	LOC119555960|XP_037723606.1|DSUP, LOC119554626|XP_037721550.1|DSUP
OG0000011	LOC117585951|XP_034131639.1|DGUA	LOC119554762|XP_037721730.1|DSUP
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC119550822|XP_037715693.1|DSUP
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC119550821|XP_037715691.1|DSUP
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC119551494|XP_037716788.1|DSUP
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP
OG0000012	LOC117585406|XP_034130769.1|DGUA	LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP
OG0000012	LOC117592596|XP_034142370.1|DGUA	LOC119549965|XP_037714285.1|DSUP
OG0000012	LOC117592593|XP_034142368.1|DGUA	LOC119551851|XP_037717353.1|DSUP
OG0000012	LOC117592595|XP_034142369.1|DGUA	LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP
OG0000012	LOC117592597|XP_034142371.1|DGUA	LOC119551476|XP_037716767.1|DSUP
OG0000012	LOC117592598|XP_034142372.1|DGUA	LOC119551477|XP_037716768.1|DSUP
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC119549437|XP_037713458.1|DSUP
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC119558255|XP_037727511.1|DSUP
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC119555401|XP_037722683.1|DSUP
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC119556345|XP_037724379.1|DSUP
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	LOC119545787|XP_037707587.1|DSUP
OG0000013	LOC117583601|XP_034127885.1|DGUA	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000015	LOC117588212|XP_034135242.1|DGUA	LOC119550622|XP_037715380.1|DSUP
OG0000016	LOC117589945|XP_034138127.1|DGUA	LOC119560964|XP_037730645.1|DSUP
OG0000016	LOC117587659|XP_034134479.1|DGUA	LOC119551792|XP_037717267.1|DSUP
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC119560636|XP_037730116.1|DSUP
OG0000016	LOC117592229|XP_034141753.1|DGUA	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC119557630|XP_037726388.1|DSUP
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC119559471|XP_037728511.1|DSUP
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC119561925|XP_037731293.1|DSUP
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC119555565|XP_037722943.1|DSUP
OG0000017	LOC117582389|XP_034125960.1|DGUA	LOC119549290|XP_037713167.1|DSUP
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP
OG0000017	LOC117583173|XP_034127261.1|DGUA	LOC119552736|XP_037718429.1|DSUP
OG0000017	LOC117580469|XP_034122942.1|DGUA	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP
OG0000017	LOC117583419|XP_034127607.1|DGUA	LOC119562595|XP_037731744.1|DSUP
OG0000017	LOC117592152|XP_034141609.1|DGUA	LOC119558630|XP_037727962.1|DSUP, LOC119550336|XP_037714883.1|DSUP
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	LOC119546290|XP_037708399.1|DSUP
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC119554781|XP_037721753.1|DSUP
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC119554782|XP_037721754.1|DSUP
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC119554784|XP_037721757.1|DSUP
OG0000018	LOC117587361|XP_034133894.1|DGUA	LOC119553876|XP_037720463.1|DSUP, LOC119553875|XP_037720461.1|DSUP, LOC119553877|XP_037720464.1|DSUP, LOC119553878|XP_037720465.1|DSUP
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA	LOC119545699|XP_037707379.1|DSUP
OG0000019	LOC117583705|XP_034128081.1|DGUA	LOC119553849|XP_037720426.1|DSUP
OG0000019	LOC117583723|XP_034128130.1|DGUA	LOC119545700|XP_037707380.1|DSUP
OG0000019	LOC117583722|XP_034128122.1|DGUA	LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC119551011|XP_037715994.1|DSUP
OG0000020	LOC117578526|XP_034119977.1|DGUA	LOC119549986|XP_037714317.1|DSUP
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC119561092|XP_037730913.1|DSUP
OG0000020	LOC117590165|XP_034138451.1|DGUA	LOC119556769|XP_037725126.1|DSUP
OG0000020	LOC117584402|XP_034129156.1|DGUA	LOC119547825|XP_037710775.1|DSUP
OG0000021	LOC117578555|XP_034120019.1|DGUA	LOC119548675|XP_037712046.1|DSUP
OG0000021	LOC117580314|XP_034122704.1|DGUA	LOC119549002|XP_037712540.1|DSUP
OG0000021	LOC117580733|XP_034123298.1|DGUA	LOC119550684|XP_037715475.1|DSUP
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC119556017|XP_037723717.1|DSUP
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC119552371|XP_037718001.1|DSUP
OG0000021	LOC117582802|XP_034126721.1|DGUA	LOC119560336|XP_037729656.1|DSUP
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC119550370|XP_037714944.1|DSUP
OG0000022	LOC117587283|XP_034133760.1|DGUA	LOC119553490|XP_037719826.1|DSUP, LOC119555408|XP_037722693.1|DSUP
OG0000022	LOC117587284|XP_034133762.1|DGUA	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP
OG0000022	LOC117587282|XP_034133759.1|DGUA	LOC119555580|XP_037722981.1|DSUP
OG0000023	LOC117586396|XP_034132318.1|DGUA	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP
OG0000023	LOC117586009|XP_034131729.1|DGUA	LOC119559786|XP_037728794.1|DSUP
OG0000023	LOC117586008|XP_034131728.1|DGUA	LOC119559783|XP_037728790.1|DSUP
OG0000023	LOC117591288|XP_034140381.1|DGUA	LOC119550999|XP_037715976.1|DSUP
OG0000023	LOC117586007|XP_034131727.1|DGUA	LOC119559784|XP_037728792.1|DSUP
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC119559779|XP_037728786.1|DSUP
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC119559782|XP_037728789.1|DSUP
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC119559778|XP_037728785.1|DSUP
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC119559785|XP_037728793.1|DSUP
OG0000024	LOC117580035|XP_034122157.1|DGUA	LOC119551120|XP_037716232.1|DSUP
OG0000024	LOC117580026|XP_034122146.1|DGUA	LOC119551714|XP_037717116.1|DSUP
OG0000024	LOC117580040|XP_034122171.1|DGUA	LOC119551121|XP_037716233.1|DSUP
OG0000024	LOC117591149|XP_034140151.1|DGUA	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP
OG0000024	LOC117592048|XP_034141425.1|DGUA	LOC119551919|XP_037717477.1|DSUP
OG0000025	LOC117584685|XP_034129605.1|DGUA, LOC117590412|XP_034138901.1|DGUA	LOC119556135|XP_037723954.1|DSUP
OG0000025	LOC117591670|XP_034140884.1|DGUA	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP
OG0000025	LOC117591655|XP_034140870.1|DGUA, LOC117591779|XP_034140978.1|DGUA	LOC119546077|XP_037708082.1|DSUP
OG0000026	LOC117588644|XP_034135968.1|DGUA	LOC119557908|XP_037726842.1|DSUP
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC119547110|XP_037709748.1|DSUP
OG0000026	LOC117581101|XP_034123883.1|DGUA	LOC119557301|XP_037725939.1|DSUP
OG0000026	LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA	LOC119561040|XP_037730797.1|DSUP
OG0000026	LOC117589578|XP_034137528.1|DGUA	LOC119560123|XP_037729401.1|DSUP
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC119548404|XP_037711568.1|DSUP
OG0000027	LOC117582236|XP_034125737.1|DGUA	LOC119548409|XP_037711576.1|DSUP
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC119548453|XP_037711645.1|DSUP
OG0000028	LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA	LOC119555148|XP_037722304.1|DSUP
OG0000028	LOC117579887|XP_034121914.1|DGUA	LOC119555138|XP_037722293.1|DSUP
OG0000028	LOC117588956|XP_034136434.1|DGUA	LOC119554646|XP_037721574.1|DSUP
OG0000029	LOC117592282|XP_034141836.1|DGUA	LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP
OG0000029	LOC117589682|XP_034137727.1|DGUA	LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP
OG0000029	LOC117579424|XP_034121195.1|DGUA	LOC119554065|XP_037720734.1|DSUP
OG0000030	LOC117582242|XP_034125744.1|DGUA	LOC119546122|XP_037708143.1|DSUP
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC119557894|XP_037726826.1|DSUP
OG0000030	LOC117581439|XP_034124532.1|DGUA	LOC119556830|XP_037725216.1|DSUP
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP
OG0000032	LOC117583029|XP_034127075.1|DGUA	LOC119559763|XP_037728765.1|DSUP
OG0000032	LOC117583031|XP_034127078.1|DGUA	LOC119559770|XP_037728775.1|DSUP, LOC119559771|XP_037728776.1|DSUP
OG0000032	LOC117583028|XP_034127074.1|DGUA	LOC119560574|XP_037730023.1|DSUP
OG0000032	LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC119559967|XP_037729131.1|DSUP
OG0000033	LOC117583114|XP_034127189.1|DGUA	LOC119552590|XP_037718157.1|DSUP, LOC119552614|XP_037718209.1|DSUP, LOC119563311|XP_037732572.1|DSUP
OG0000033	LOC117578485|XP_034119909.1|DGUA	LOC119551206|XP_037716367.1|DSUP
OG0000033	LOC117578484|XP_034119908.1|DGUA	LOC119551205|XP_037716366.1|DSUP
OG0000033	LOC117589901|XP_034138062.1|DGUA	LOC119552692|XP_037718345.1|DSUP, LOC119560194|XP_037729486.1|DSUP, LOC119549869|XP_037714095.1|DSUP, LOC119549868|XP_037714094.1|DSUP, LOC119549866|XP_037714089.1|DSUP
OG0000034	LOC117584525|XP_034129365.1|DGUA	LOC119548454|XP_037711646.1|DSUP
OG0000034	LOC117584364|XP_034129093.1|DGUA	LOC119547534|XP_037710356.1|DSUP
OG0000034	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA	LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP
OG0000034	LOC117588068|XP_034135019.1|DGUA	LOC119546951|XP_037709518.1|DSUP
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC119560416|XP_037729780.1|DSUP
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC119555899|XP_037723507.1|DSUP
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC119560377|XP_037729713.1|DSUP
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC119545810|XP_037707622.1|DSUP
OG0000037	LOC117581190|XP_034124041.1|DGUA	LOC119549907|XP_037714155.1|DSUP
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC119555136|XP_037722291.1|DSUP
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC119555124|XP_037722276.1|DSUP
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC119560141|XP_037729421.1|DSUP
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC119556467|XP_037724643.1|DSUP
OG0000039	LOC117590456|XP_034138981.1|DGUA	LOC119556870|XP_037725271.1|DSUP
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC119555839|XP_037723395.1|DSUP
OG0000040	LOC117586415|XP_034132343.1|DGUA	LOC119556456|XP_037724634.1|DSUP
OG0000040	LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	LOC119563112|XP_037732283.1|DSUP
OG0000040	LOC117585623|XP_034131079.1|DGUA	LOC119563113|XP_037732284.1|DSUP
OG0000040	LOC117585926|XP_034131583.1|DGUA	LOC119556472|XP_037724654.1|DSUP, LOC119556489|XP_037724679.1|DSUP
OG0000040	LOC117586490|XP_034132479.1|DGUA	LOC119556482|XP_037724666.1|DSUP, LOC119555315|XP_037722571.1|DSUP
OG0000040	LOC117585962|XP_034131662.1|DGUA	LOC119552243|XP_037717993.1|DSUP
OG0000040	LOC117583720|XP_034128120.1|DGUA	LOC119546490|XP_037708720.1|DSUP
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA	LOC119554437|XP_037721279.1|DSUP, LOC119554447|XP_037721290.1|DSUP, LOC119562401|XP_037731528.1|DSUP
OG0000041	LOC117585914|XP_034131569.1|DGUA	LOC119550675|XP_037715466.1|DSUP
OG0000042	LOC117588578|XP_034135864.1|DGUA	LOC119548723|XP_037712139.1|DSUP
OG0000042	LOC117592397|XP_034142005.1|DGUA	LOC119551176|XP_037716303.1|DSUP
OG0000042	LOC117592396|XP_034142004.1|DGUA	LOC119551178|XP_037716307.1|DSUP
OG0000042	LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	LOC119551177|XP_037716304.1|DSUP, LOC119549542|XP_037713620.1|DSUP, LOC119549541|XP_037713619.1|DSUP, LOC119549540|XP_037713618.1|DSUP, LOC119549537|XP_037713608.1|DSUP
OG0000042	LOC117592399|XP_034142008.1|DGUA	LOC119551182|XP_037716311.1|DSUP
OG0000043	LOC117585018|XP_034130150.1|DGUA	LOC119563116|XP_037732288.1|DSUP
OG0000043	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	LOC119562926|XP_037732005.1|DSUP
OG0000043	LOC117585502|XP_034130891.1|DGUA	LOC119556175|XP_037724028.1|DSUP, LOC119563048|XP_037732184.1|DSUP
OG0000043	LOC117584981|XP_034130079.1|DGUA	LOC119556257|XP_037724233.1|DSUP, LOC119556250|XP_037724220.1|DSUP, LOC119554418|XP_037721239.1|DSUP
OG0000043	LOC117585441|XP_034130807.1|DGUA	LOC119556264|XP_037724244.1|DSUP
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC119558156|XP_037727329.1|DSUP
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	LOC119555966|XP_037723621.1|DSUP, LOC119555955|XP_037723600.1|DSUP
