Orthogroup	DGUA.longest_only	CCAP.longest_only
OG0000008	LOC117579398|XP_034121168.1|DGUA	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC117579397|XP_034121167.1|DGUA	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC117579400|XP_034121171.1|DGUA	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC117586165|XP_034131957.1|DGUA	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC117586221|XP_034132048.1|DGUA	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC117586120|XP_034131875.1|DGUA	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC117586582|XP_034132641.1|DGUA	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC117586341|XP_034132234.1|DGUA	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC117587230|XP_034133688.1|DGUA, LOC117586357|XP_034132268.1|DGUA, LOC117588654|XP_034135988.1|DGUA, LOC117588663|XP_034136000.1|DGUA	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC117583778|XP_034128224.1|DGUA	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC117591688|XP_034140902.1|DGUA	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC117591679|XP_034140894.1|DGUA	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC117578829|XP_034120480.1|DGUA	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC117578830|XP_034120484.1|DGUA	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC117578828|XP_034120477.1|DGUA	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC117578831|XP_034120485.1|DGUA	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA, LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA, LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC117592555|XP_034142321.1|DGUA	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC117585977|XP_034131683.1|DGUA	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC117580093|XP_034122238.1|DGUA	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC117589807|XP_034137915.1|DGUA	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC117583601|XP_034127885.1|DGUA	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000016	LOC117589945|XP_034138127.1|DGUA, LOC117587659|XP_034134479.1|DGUA	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC117583582|XP_034127854.1|DGUA	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC117592229|XP_034141753.1|DGUA	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC117585750|XP_034131294.1|DGUA	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC117579173|XP_034120827.1|DGUA	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC117582389|XP_034125960.1|DGUA, LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC117587357|XP_034133889.1|DGUA	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC117587358|XP_034133890.1|DGUA	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC117587351|XP_034133882.1|DGUA	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000018	LOC117587362|XP_034133895.1|DGUA	CCAP1982_LOCUS12554|CAD7004133.1|CCAP
OG0000018	LOC117587365|XP_034133899.1|DGUA	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA, LOC117583705|XP_034128081.1|DGUA, LOC117583723|XP_034128130.1|DGUA, LOC117583722|XP_034128122.1|DGUA	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC117583658|XP_034128012.1|DGUA	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC117587736|XP_034134545.1|DGUA	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC117586337|XP_034132223.1|DGUA	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC117584402|XP_034129156.1|DGUA	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC117582802|XP_034126721.1|DGUA	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC117585826|XP_034131453.1|DGUA	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000022	LOC117587286|XP_034133764.1|DGUA	CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP
OG0000023	LOC117586008|XP_034131728.1|DGUA, LOC117591288|XP_034140381.1|DGUA, LOC117586007|XP_034131727.1|DGUA	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC117586005|XP_034131725.1|DGUA	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC117586006|XP_034131726.1|DGUA	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC117586004|XP_034131723.1|DGUA	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC117586277|XP_034132120.1|DGUA	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC117591149|XP_034140151.1|DGUA, LOC117578502|XP_034119928.1|DGUA	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000025	LOC117591644|XP_034140860.1|DGUA, LOC117591718|XP_034140929.1|DGUA, LOC117591670|XP_034140884.1|DGUA, LOC117591678|XP_034140893.1|DGUA	CCAP1982_LOCUS6236|CAD6997600.1|CCAP
OG0000026	LOC117581101|XP_034123883.1|DGUA, LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA, LOC117589578|XP_034137528.1|DGUA	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC117581694|XP_034124962.1|DGUA	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC117582236|XP_034125737.1|DGUA	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC117581693|XP_034124961.1|DGUA	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA	CCAP1982_LOCUS11976|CAD7003526.1|CCAP
OG0000028	LOC117579887|XP_034121914.1|DGUA	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC117588956|XP_034136434.1|DGUA	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC117592282|XP_034141836.1|DGUA, LOC117589682|XP_034137727.1|DGUA, LOC117579424|XP_034121195.1|DGUA	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC117582242|XP_034125744.1|DGUA	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC117584551|XP_034129394.1|DGUA, LOC117580408|XP_034122850.1|DGUA	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC117584798|XP_034129808.1|DGUA	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC117583029|XP_034127075.1|DGUA	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC117584525|XP_034129365.1|DGUA, LOC117584539|XP_034129382.1|DGUA, LOC117584364|XP_034129093.1|DGUA, LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA, LOC117588068|XP_034135019.1|DGUA	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC117586375|XP_034132294.1|DGUA	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC117589622|XP_034137600.1|DGUA	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC117590096|XP_034138331.1|DGUA	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC117583751|XP_034128161.1|DGUA	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000037	LOC117581190|XP_034124041.1|DGUA	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000038	LOC117579886|XP_034121913.1|DGUA	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC117585018|XP_034130150.1|DGUA, LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC117585502|XP_034130891.1|DGUA, LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC117585917|XP_034131574.1|DGUA	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA, LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC117590011|XP_034138189.1|DGUA	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC117586936|XP_034133192.1|DGUA	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC117587010|XP_034133310.1|DGUA	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC117579473|XP_034121255.1|DGUA	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC117579463|XP_034121242.1|DGUA	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC117582832|XP_034126782.1|DGUA	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC117588941|XP_034136410.1|DGUA, LOC117589276|XP_034136957.1|DGUA	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC117588957|XP_034136435.1|DGUA	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC117583087|XP_034127156.1|DGUA	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC117583320|XP_034127470.1|DGUA	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC117583322|XP_034127471.1|DGUA, LOC117583323|XP_034127472.1|DGUA	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC117583085|XP_034127153.1|DGUA	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC117592164|XP_034141627.1|DGUA	CCAP1982_LOCUS13741|CAD7005381.1|CCAP
OG0000050	LOC117580439|XP_034122886.1|DGUA, LOC117580435|XP_034122881.1|DGUA, LOC117580059|XP_034122189.1|DGUA, LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA, LOC117580434|XP_034122880.1|DGUA, LOC117580436|XP_034122883.1|DGUA	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC117584976|XP_034130071.1|DGUA	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000051	LOC117586424|XP_034132352.1|DGUA, LOC117586281|XP_034132126.1|DGUA	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP
OG0000052	LOC117585521|XP_034130918.1|DGUA, LOC117579366|XP_034121106.1|DGUA, LOC117579361|XP_034121090.1|DGUA	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC117591851|XP_034141110.1|DGUA	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC117591850|XP_034141108.1|DGUA	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC117591849|XP_034141106.1|DGUA	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC117589695|XP_034137786.1|DGUA	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
OG0000054	LOC117585613|XP_034131060.1|DGUA, LOC117585615|XP_034131067.1|DGUA	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000058	LOC117588076|XP_034135032.1|DGUA, LOC117588074|XP_034135030.1|DGUA, LOC117581983|XP_034125368.1|DGUA, LOC117588075|XP_034135031.1|DGUA, LOC117580786|XP_034123373.1|DGUA	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
OG0000059	LOC117582883|XP_034126847.1|DGUA, LOC117583116|XP_034127192.1|DGUA, LOC117583225|XP_034127335.1|DGUA, LOC117582882|XP_034126846.1|DGUA, LOC117582940|XP_034126935.1|DGUA	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP
OG0000060	LOC117583542|XP_034127790.1|DGUA	CCAP1982_LOCUS3311|CAD6994573.1|CCAP
OG0000061	LOC117584177|XP_034128835.1|DGUA	CCAP1982_LOCUS7588|CAD6999041.1|CCAP
OG0000061	LOC117583930|XP_034128502.1|DGUA	CCAP1982_LOCUS7592|CAD6999045.1|CCAP
OG0000061	LOC117584180|XP_034128838.1|DGUA	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP
OG0000062	LOC117590396|XP_034138880.1|DGUA, LOC117587653|XP_034134434.1|DGUA, LOC117587755|XP_034134570.1|DGUA	CCAP1982_LOCUS9178|CAD7000705.1|CCAP, CCAP1982_LOCUS2476|CAD6993670.1|CCAP, CCAP1982_LOCUS9173|CAD7000700.1|CCAP, CCAP1982_LOCUS9182|CAD7000709.1|CCAP, CCAP1982_LOCUS9181|CAD7000708.1|CCAP, CCAP1982_LOCUS9180|CAD7000707.1|CCAP
OG0000063	LOC117580520|XP_034123004.1|DGUA, LOC117579292|XP_034120988.1|DGUA, LOC117579291|XP_034120986.1|DGUA	CCAP1982_LOCUS12099|CAD7003661.1|CCAP
OG0000065	LOC117583018|XP_034127060.1|DGUA, LOC117582935|XP_034126927.1|DGUA, LOC117582936|XP_034126928.1|DGUA, LOC117582933|XP_034126925.1|DGUA, LOC117582934|XP_034126926.1|DGUA	CCAP1982_LOCUS3818|CAD6995095.1|CCAP, CCAP1982_LOCUS3819|CAD6995096.1|CCAP, CCAP1982_LOCUS3788|CAD6995064.1|CCAP
OG0000067	LOC117589502|XP_034137375.1|DGUA	CCAP1982_LOCUS14065|CAD7005713.1|CCAP
OG0000067	LOC117579493|XP_034121284.1|DGUA	CCAP1982_LOCUS14066|CAD7005714.1|CCAP
