Orthogroup	DGUA.longest_only	DFIC.longest_only
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC108091757|XP_017046589.1|DFIC
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC108091754|XP_017046587.1|DFIC
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC108101115|XP_017060823.1|DFIC
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC108101125|XP_017060838.1|DFIC
OG0000009	LOC117585408|XP_034130767.1|DGUA	LOC108093288|XP_017048753.1|DFIC
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC
OG0000009	LOC117587230|XP_034133688.1|DGUA	LOC108101809|XP_017061774.1|DFIC
OG0000009	LOC117586357|XP_034132268.1|DGUA	LOC108088079|XP_017041220.1|DFIC
OG0000009	LOC117588654|XP_034135988.1|DGUA	LOC108086769|XP_017039304.1|DFIC
OG0000009	LOC117588663|XP_034136000.1|DGUA	LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC108098255|XP_017056544.1|DFIC
OG0000010	LOC117591679|XP_034140894.1|DGUA	LOC108101428|XP_017061247.1|DFIC
OG0000011	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA	LOC108101273|XP_017061049.1|DFIC, LOC108100009|XP_017059202.1|DFIC, LOC108101289|XP_017061078.1|DFIC, LOC108100104|XP_017059339.1|DFIC, LOC108098171|XP_017056393.1|DFIC, LOC108095556|XP_017052180.1|DFIC
OG0000011	LOC117579965|XP_034122030.1|DGUA	LOC108086883|XP_017039433.1|DFIC
OG0000011	LOC117579216|XP_034120874.1|DGUA	LOC108086913|XP_017039476.1|DFIC
OG0000011	LOC117585951|XP_034131639.1|DGUA	LOC108098799|XP_017057429.1|DFIC
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC108096904|XP_017054341.1|DFIC
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC108096903|XP_017054340.1|DFIC
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC108096929|XP_017054370.1|DFIC
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC108096943|XP_017054393.1|DFIC
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA	LOC108096563|XP_017053746.1|DFIC
OG0000012	LOC117585406|XP_034130769.1|DGUA	LOC108096571|XP_017053756.1|DFIC
OG0000012	LOC117592596|XP_034142370.1|DGUA	LOC108086628|XP_017039092.1|DFIC
OG0000012	LOC117592593|XP_034142368.1|DGUA	LOC108086618|XP_017039083.1|DFIC
OG0000012	LOC117592595|XP_034142369.1|DGUA	LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC
OG0000012	LOC117592597|XP_034142371.1|DGUA	LOC108086627|XP_017039091.1|DFIC
OG0000012	LOC117592598|XP_034142372.1|DGUA	LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC108086910|XP_017039470.1|DFIC
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC108087118|XP_017039788.1|DFIC
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	LOC108091996|XP_017046910.1|DFIC
OG0000013	LOC117583601|XP_034127885.1|DGUA	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000015	LOC117588212|XP_034135242.1|DGUA	LOC108086461|XP_017038876.1|DFIC
OG0000016	LOC117589945|XP_034138127.1|DGUA	LOC108091644|XP_017046435.1|DFIC
OG0000016	LOC117587659|XP_034134479.1|DGUA	LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC117592229|XP_034141753.1|DGUA	LOC108090474|XP_017044659.1|DFIC
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC108091135|XP_017045658.1|DFIC
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC108096392|XP_017053452.1|DFIC
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC108093583|XP_017049197.1|DFIC
OG0000017	LOC117582389|XP_034125960.1|DGUA	LOC108101533|XP_017061396.1|DFIC
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC108099991|XP_017059177.1|DFIC
OG0000017	LOC117583173|XP_034127261.1|DGUA	LOC108095642|XP_017052296.1|DFIC
OG0000017	LOC117580469|XP_034122942.1|DGUA	LOC108087716|XP_017040726.1|DFIC
OG0000017	LOC117583419|XP_034127607.1|DGUA	LOC108099990|XP_017059176.1|DFIC
OG0000017	LOC117592152|XP_034141609.1|DGUA	LOC108087715|XP_017040725.1|DFIC
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC108093128|XP_017048562.1|DFIC
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC108093130|XP_017048564.1|DFIC
OG0000018	LOC117587365|XP_034133899.1|DGUA	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA	LOC108086541|XP_017038967.1|DFIC
OG0000019	LOC117583705|XP_034128081.1|DGUA	LOC108086535|XP_017038961.1|DFIC
OG0000019	LOC117583723|XP_034128130.1|DGUA	LOC108086543|XP_017038970.1|DFIC
OG0000019	LOC117583722|XP_034128122.1|DGUA	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC108086571|XP_017039016.1|DFIC
OG0000020	LOC117578526|XP_034119977.1|DGUA	LOC108087826|XP_017040886.1|DFIC
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC108100979|XP_017060622.1|DFIC
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC108101093|XP_017060792.1|DFIC
OG0000020	LOC117590165|XP_034138451.1|DGUA	LOC108102060|XP_017062180.1|DFIC
OG0000020	LOC117584402|XP_034129156.1|DGUA	LOC108089992|XP_017043983.1|DFIC
OG0000021	LOC117580314|XP_034122704.1|DGUA	LOC108090792|XP_017045128.1|DFIC
OG0000021	LOC117580733|XP_034123298.1|DGUA	LOC108090653|XP_017044920.1|DFIC
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC108095541|XP_017052159.1|DFIC
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC108091979|XP_017046877.1|DFIC
OG0000021	LOC117582802|XP_034126721.1|DGUA	LOC108088013|XP_017041113.1|DFIC
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC108093677|XP_017049345.1|DFIC
OG0000022	LOC117587283|XP_034133760.1|DGUA	LOC108100202|XP_017059465.1|DFIC
OG0000022	LOC117587284|XP_034133762.1|DGUA	LOC108100304|XP_017059591.1|DFIC
OG0000022	LOC117587282|XP_034133759.1|DGUA	LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC117586396|XP_034132318.1|DGUA	LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC
OG0000023	LOC117586008|XP_034131728.1|DGUA	LOC108096128|XP_017052994.1|DFIC
OG0000023	LOC117591288|XP_034140381.1|DGUA	LOC108096606|XP_017053802.1|DFIC
OG0000023	LOC117586007|XP_034131727.1|DGUA	LOC108096129|XP_017052995.1|DFIC
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC108096118|XP_017052982.1|DFIC
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC108096119|XP_017052984.1|DFIC
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC108096117|XP_017052981.1|DFIC
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC117580035|XP_034122157.1|DGUA	LOC108086469|XP_017038885.1|DFIC
OG0000024	LOC117580026|XP_034122146.1|DGUA	LOC108086467|XP_017038883.1|DFIC
OG0000024	LOC117580040|XP_034122171.1|DGUA	LOC108086472|XP_017038887.1|DFIC
OG0000024	LOC117591149|XP_034140151.1|DGUA	LOC108098296|XP_017056595.1|DFIC
OG0000024	LOC117578502|XP_034119928.1|DGUA	LOC108086381|XP_017038771.1|DFIC
OG0000024	LOC117592048|XP_034141425.1|DGUA	LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC117584685|XP_034129605.1|DGUA, LOC117590412|XP_034138901.1|DGUA	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC117588644|XP_034135968.1|DGUA	LOC108091247|XP_017045848.1|DFIC
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC108093407|XP_017048931.1|DFIC
OG0000026	LOC117581101|XP_034123883.1|DGUA	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC
OG0000026	LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA	LOC108091826|XP_017046693.1|DFIC
OG0000026	LOC117589578|XP_034137528.1|DGUA	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC108100821|XP_017060378.1|DFIC
OG0000027	LOC117582236|XP_034125737.1|DGUA	LOC108100819|XP_017060376.1|DFIC
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC117579887|XP_034121914.1|DGUA	LOC108095285|XP_017051819.1|DFIC
OG0000028	LOC117588956|XP_034136434.1|DGUA	LOC108089312|XP_017042978.1|DFIC
OG0000029	LOC117592282|XP_034141836.1|DGUA	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC
OG0000029	LOC117579424|XP_034121195.1|DGUA	LOC108099785|XP_017058903.1|DFIC
OG0000030	LOC117582242|XP_034125744.1|DGUA	LOC108093469|XP_017049043.1|DFIC
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC108087621|XP_017040552.1|DFIC
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC108091341|XP_017045978.1|DFIC
OG0000030	LOC117581439|XP_034124532.1|DGUA	LOC108088560|XP_017041895.1|DFIC
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC108089228|XP_017042875.1|DFIC
OG0000032	LOC117583031|XP_034127078.1|DGUA	LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC
OG0000032	LOC117583028|XP_034127074.1|DGUA	LOC108087896|XP_017040963.1|DFIC
OG0000032	LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC108087899|XP_017040966.1|DFIC
OG0000033	LOC117583114|XP_034127189.1|DGUA	LOC108102066|XP_017062199.1|DFIC
OG0000033	LOC117578485|XP_034119909.1|DGUA	LOC108094281|XP_017050264.1|DFIC
OG0000033	LOC117578484|XP_034119908.1|DGUA	LOC108094282|XP_017050265.1|DFIC
OG0000033	LOC117589901|XP_034138062.1|DGUA	LOC108098498|XP_017056906.1|DFIC, LOC108098495|XP_017056904.1|DFIC
OG0000034	LOC117584525|XP_034129365.1|DGUA	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC
OG0000034	LOC117584539|XP_034129382.1|DGUA	LOC108098179|XP_017056401.1|DFIC
OG0000034	LOC117584364|XP_034129093.1|DGUA	LOC108098285|XP_017056581.1|DFIC
OG0000034	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA	LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC
OG0000034	LOC117588068|XP_034135019.1|DGUA	LOC108093450|XP_017049013.1|DFIC
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC108097979|XP_017056090.1|DFIC
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC108098533|XP_017057003.1|DFIC
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC108087237|XP_017040017.1|DFIC
OG0000037	LOC117581190|XP_034124041.1|DGUA	LOC108087844|XP_017040913.1|DFIC
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC108088854|XP_017042318.1|DFIC
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC108088914|XP_017042416.1|DFIC
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC108091791|XP_017046639.1|DFIC
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC108097516|XP_017055329.1|DFIC
OG0000039	LOC117590456|XP_034138981.1|DGUA	LOC108097515|XP_017055328.1|DFIC
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC108095512|XP_017052111.1|DFIC
OG0000040	LOC117586415|XP_034132343.1|DGUA	LOC108092229|XP_017047255.1|DFIC
OG0000040	LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	LOC108087305|XP_017040113.1|DFIC
OG0000040	LOC117585623|XP_034131079.1|DGUA	LOC108087307|XP_017040114.1|DFIC
OG0000040	LOC117585926|XP_034131583.1|DGUA	LOC108092211|XP_017047228.1|DFIC
OG0000040	LOC117586490|XP_034132479.1|DGUA	LOC108092212|XP_017047230.1|DFIC
OG0000040	LOC117585962|XP_034131662.1|DGUA	LOC108092206|XP_017047224.1|DFIC
OG0000040	LOC117586743|XP_034132936.1|DGUA, LOC117585897|XP_034131543.1|DGUA	LOC108102071|XP_017062201.1|DFIC
OG0000040	LOC117583720|XP_034128120.1|DGUA	LOC108100764|XP_017060292.1|DFIC
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC
OG0000041	LOC117585914|XP_034131569.1|DGUA	LOC108095866|XP_017052659.1|DFIC
OG0000041	LOC117591714|XP_034140925.1|DGUA	LOC108095645|XP_017052300.1|DFIC
OG0000042	LOC117588578|XP_034135864.1|DGUA	LOC108097744|XP_017055741.1|DFIC
OG0000042	LOC117592397|XP_034142005.1|DGUA	LOC108090330|XP_017044433.1|DFIC
OG0000042	LOC117592396|XP_034142004.1|DGUA	LOC108090327|XP_017044430.1|DFIC
OG0000042	LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	LOC108090329|XP_017044432.1|DFIC, LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC
OG0000042	LOC117592399|XP_034142008.1|DGUA	LOC108090331|XP_017044434.1|DFIC
OG0000043	LOC117585018|XP_034130150.1|DGUA	LOC108087389|XP_017040220.1|DFIC
OG0000043	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	LOC108087351|XP_017040180.1|DFIC
OG0000043	LOC117585502|XP_034130891.1|DGUA	LOC108092195|XP_017047211.1|DFIC
OG0000043	LOC117584981|XP_034130079.1|DGUA	LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC
OG0000043	LOC117585441|XP_034130807.1|DGUA	LOC108087388|XP_017040219.1|DFIC
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC108095953|XP_017052779.1|DFIC
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC
OG0000044	LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA	LOC108096011|XP_017052849.1|DFIC, LOC108095670|XP_017052324.1|DFIC, LOC108095658|XP_017052312.1|DFIC
OG0000044	LOC117590011|XP_034138189.1|DGUA	LOC108102017|XP_017062104.1|DFIC
OG0000045	LOC117586936|XP_034133192.1|DGUA	LOC108099782|XP_017058900.1|DFIC
OG0000045	LOC117587010|XP_034133310.1|DGUA	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC
OG0000045	LOC117579473|XP_034121255.1|DGUA	LOC108089346|XP_017043016.1|DFIC
OG0000045	LOC117579463|XP_034121242.1|DGUA	LOC108089335|XP_017043004.1|DFIC
OG0000046	LOC117589785|XP_034137874.1|DGUA	LOC108098480|XP_017056880.1|DFIC
OG0000046	LOC117591350|XP_034140469.1|DGUA	LOC108097441|XP_017055199.1|DFIC, LOC108097439|XP_017055197.1|DFIC
OG0000046	LOC117592033|XP_034141382.1|DGUA	LOC108097454|XP_017055215.1|DFIC
OG0000046	LOC117583276|XP_034127392.1|DGUA	LOC108091603|XP_017046371.1|DFIC, LOC108091584|XP_017046349.1|DFIC, LOC108091607|XP_017046377.1|DFIC, LOC108091593|XP_017046357.1|DFIC, LOC108091587|XP_017046351.1|DFIC, LOC108091594|XP_017046358.1|DFIC, LOC108091585|XP_017046350.1|DFIC
OG0000047	LOC117591384|XP_034140523.1|DGUA	LOC108090569|XP_017044803.1|DFIC
OG0000047	LOC117592295|XP_034141855.1|DGUA	LOC108090570|XP_017044804.1|DFIC
OG0000047	LOC117582832|XP_034126782.1|DGUA	LOC108094901|XP_017051236.1|DFIC
OG0000047	LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA	LOC108089762|XP_017043641.1|DFIC
OG0000047	LOC117591732|XP_034140939.1|DGUA	LOC108094950|XP_017051302.1|DFIC
OG0000047	LOC117580178|XP_034122428.1|DGUA	LOC108089719|XP_017043575.1|DFIC
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	LOC108089539|XP_017043364.1|DFIC, LOC108089337|XP_017043007.1|DFIC
OG0000048	LOC117589276|XP_034136957.1|DGUA	LOC108089535|XP_017043361.1|DFIC
OG0000048	LOC117588957|XP_034136435.1|DGUA	LOC108089542|XP_017043368.1|DFIC
OG0000049	LOC117583088|XP_034127157.1|DGUA	LOC108091886|XP_017046759.1|DFIC
OG0000049	LOC117583087|XP_034127156.1|DGUA	LOC108091864|XP_017046732.1|DFIC
OG0000049	LOC117583320|XP_034127470.1|DGUA	LOC108091860|XP_017046729.1|DFIC
OG0000049	LOC117583322|XP_034127471.1|DGUA	LOC108091991|XP_017046904.1|DFIC
OG0000049	LOC117583323|XP_034127472.1|DGUA	LOC108091993|XP_017046906.1|DFIC
OG0000049	LOC117583085|XP_034127153.1|DGUA	LOC108092198|XP_017047214.1|DFIC
OG0000050	LOC117592164|XP_034141627.1|DGUA	LOC108093905|XP_017049757.1|DFIC
OG0000050	LOC117580439|XP_034122886.1|DGUA	LOC108088748|XP_017042185.1|DFIC
OG0000050	LOC117580435|XP_034122881.1|DGUA	LOC108088744|XP_017042181.1|DFIC
OG0000050	LOC117580059|XP_034122189.1|DGUA	LOC108088745|XP_017042182.1|DFIC
OG0000050	LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA	LOC108088747|XP_017042184.1|DFIC
OG0000050	LOC117580434|XP_034122880.1|DGUA	LOC108088743|XP_017042180.1|DFIC
OG0000050	LOC117580436|XP_034122883.1|DGUA	LOC108088746|XP_017042183.1|DFIC
OG0000051	LOC117584976|XP_034130071.1|DGUA	LOC108099282|XP_017058161.1|DFIC
