Orthogroup	DGUA.longest_only	DNOV.longest_only
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC115770575|XP_030571758.1|DNOV, LOC115761983|XP_030559890.1|DNOV, LOC115770814|XP_030572095.1|DNOV, LOC115770615|XP_030571811.1|DNOV, LOC115761965|XP_030559867.1|DNOV, LOC115770895|XP_030572190.1|DNOV, LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV, LOC115770816|XP_030572098.1|DNOV
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC117592308|XP_034141873.1|DGUA	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC115765587|XP_030565097.1|DNOV
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA	LOC115765543|XP_030565028.1|DNOV
OG0000009	LOC117587230|XP_034133688.1|DGUA	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	LOC117588654|XP_034135988.1|DGUA	LOC115760928|XP_030558363.1|DNOV
OG0000009	LOC117588663|XP_034136000.1|DGUA	LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC117583778|XP_034128224.1|DGUA	LOC115770894|XP_030572189.1|DNOV
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC115761953|XP_030559852.1|DNOV
OG0000010	LOC117591671|XP_034140885.1|DGUA	LOC115762000|XP_030559928.1|DNOV
OG0000010	LOC117591679|XP_034140894.1|DGUA	LOC115770608|XP_030571805.1|DNOV, LOC115770584|XP_030571769.1|DNOV, LOC115759945|XP_030556945.1|DNOV
OG0000011	LOC117579216|XP_034120874.1|DGUA	LOC115769277|XP_030569859.1|DNOV
OG0000011	LOC117585951|XP_034131639.1|DGUA	LOC115765906|XP_030565511.1|DNOV
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA	LOC115760685|XP_030558012.1|DNOV
OG0000012	LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA	LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	LOC117583601|XP_034127885.1|DGUA	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000016	LOC117589945|XP_034138127.1|DGUA	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC117587659|XP_034134479.1|DGUA	LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC117592229|XP_034141753.1|DGUA	LOC115764479|XP_030563416.1|DNOV
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	LOC117583173|XP_034127261.1|DGUA	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	LOC117580469|XP_034122942.1|DGUA	LOC115760654|XP_030557981.1|DNOV
OG0000017	LOC117583419|XP_034127607.1|DGUA	LOC115762485|XP_030560583.1|DNOV
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC115762718|XP_030560904.1|DNOV
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC115762873|XP_030561108.1|DNOV
OG0000018	LOC117587362|XP_034133895.1|DGUA	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV
OG0000018	LOC117587365|XP_034133899.1|DGUA	LOC115762728|XP_030560922.1|DNOV
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV
OG0000019	LOC117583705|XP_034128081.1|DGUA	LOC115771639|XP_030573299.1|DNOV
OG0000019	LOC117583723|XP_034128130.1|DGUA	LOC115771840|XP_030573582.1|DNOV
OG0000019	LOC117583722|XP_034128122.1|DGUA	LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC117578526|XP_034119977.1|DGUA	LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000020	LOC117590165|XP_034138451.1|DGUA	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV
OG0000020	LOC117584402|XP_034129156.1|DGUA	LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC117579999|XP_034122087.1|DGUA	LOC115769690|XP_030570474.1|DNOV
OG0000021	LOC117578554|XP_034120017.1|DGUA	LOC115768167|XP_030568564.1|DNOV
OG0000021	LOC117578555|XP_034120019.1|DGUA	LOC115762362|XP_030560400.1|DNOV
OG0000021	LOC117578556|XP_034120020.1|DGUA	LOC115768250|XP_030568679.1|DNOV
OG0000021	LOC117580314|XP_034122704.1|DGUA	LOC115763104|XP_030561408.1|DNOV
OG0000021	LOC117580733|XP_034123298.1|DGUA	LOC115764505|XP_030563459.1|DNOV
OG0000021	LOC117578557|XP_034120021.1|DGUA	LOC115762372|XP_030560413.1|DNOV
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC117582802|XP_034126721.1|DGUA	LOC115771758|XP_030573467.1|DNOV
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000022	LOC117587284|XP_034133762.1|DGUA, LOC117587282|XP_034133759.1|DGUA	LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC117586396|XP_034132318.1|DGUA	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV
OG0000023	LOC117586009|XP_034131729.1|DGUA	LOC115761267|XP_030558841.1|DNOV
OG0000023	LOC117586008|XP_034131728.1|DGUA	LOC115761263|XP_030558837.1|DNOV
OG0000023	LOC117591288|XP_034140381.1|DGUA	LOC115761778|XP_030559575.1|DNOV
OG0000023	LOC117586007|XP_034131727.1|DGUA	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC115761262|XP_030558836.1|DNOV
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC115761326|XP_030558919.1|DNOV
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV
OG0000024	LOC117591149|XP_034140151.1|DGUA	LOC115763072|XP_030561360.1|DNOV
OG0000024	LOC117578502|XP_034119928.1|DGUA	LOC115758183|XP_030554583.1|DNOV
OG0000024	LOC117592048|XP_034141425.1|DGUA	LOC115764549|XP_030563528.1|DNOV
OG0000025	LOC117584685|XP_034129605.1|DGUA, LOC117590412|XP_034138901.1|DGUA	LOC115758436|XP_030554952.1|DNOV
OG0000025	LOC117591644|XP_034140860.1|DGUA, LOC117591718|XP_034140929.1|DGUA, LOC117591670|XP_034140884.1|DGUA, LOC117591678|XP_034140893.1|DGUA	LOC115770696|XP_030571951.1|DNOV
OG0000025	LOC117591655|XP_034140870.1|DGUA, LOC117591779|XP_034140978.1|DGUA	LOC115761982|XP_030559889.1|DNOV
OG0000026	LOC117588644|XP_034135968.1|DGUA	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC117589578|XP_034137528.1|DGUA	LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV
OG0000028	LOC117579887|XP_034121914.1|DGUA	LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC117589682|XP_034137727.1|DGUA	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV
OG0000029	LOC117579424|XP_034121195.1|DGUA	LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC117581439|XP_034124532.1|DGUA	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC117583029|XP_034127075.1|DGUA	LOC115771909|XP_030573659.1|DNOV
OG0000032	LOC117583031|XP_034127078.1|DGUA	LOC115771910|XP_030573660.1|DNOV
OG0000032	LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000033	LOC117578485|XP_034119909.1|DGUA	LOC115762530|XP_030560671.1|DNOV
OG0000033	LOC117578484|XP_034119908.1|DGUA	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV
OG0000034	LOC117584525|XP_034129365.1|DGUA	LOC115758611|XP_030555202.1|DNOV
OG0000034	LOC117584539|XP_034129382.1|DGUA	LOC115759087|XP_030555781.1|DNOV
OG0000034	LOC117584364|XP_034129093.1|DGUA	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV
OG0000034	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA	LOC115759327|XP_030556099.1|DNOV
OG0000034	LOC117588068|XP_034135019.1|DGUA	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC115772100|XP_030573922.1|DNOV
OG0000037	LOC117581190|XP_034124041.1|DGUA	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC115761932|XP_030559822.1|DNOV
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC115764701|XP_030563759.1|DNOV
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC115766337|XP_030566090.1|DNOV
OG0000039	LOC117590456|XP_034138981.1|DGUA	LOC115767237|XP_030567298.1|DNOV
OG0000039	LOC117590454|XP_034138979.1|DGUA	LOC115763887|XP_030562524.1|DNOV, LOC115766283|XP_030566011.1|DNOV
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC115766288|XP_030566016.1|DNOV
OG0000040	LOC117586415|XP_034132343.1|DGUA, LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	LOC115764750|XP_030563834.1|DNOV
OG0000040	LOC117585623|XP_034131079.1|DGUA	LOC115764751|XP_030563835.1|DNOV
OG0000040	LOC117585926|XP_034131583.1|DGUA, LOC117586490|XP_034132479.1|DGUA	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV
OG0000040	LOC117585962|XP_034131662.1|DGUA	LOC115764684|XP_030563733.1|DNOV
OG0000040	LOC117586743|XP_034132936.1|DGUA, LOC117585897|XP_034131543.1|DGUA	LOC115764805|XP_030563912.1|DNOV
OG0000040	LOC117583720|XP_034128120.1|DGUA	LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000042	LOC117592397|XP_034142005.1|DGUA, LOC117592396|XP_034142004.1|DGUA, LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV
OG0000043	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC117585502|XP_034130891.1|DGUA	LOC115770561|XP_030571734.1|DNOV
OG0000043	LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA	LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000044	LOC117590011|XP_034138189.1|DGUA	LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC117586936|XP_034133192.1|DGUA	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC117587010|XP_034133310.1|DGUA	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC117579473|XP_034121255.1|DGUA	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC117579463|XP_034121242.1|DGUA	LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC117591350|XP_034140469.1|DGUA	LOC115768148|XP_030568502.1|DNOV
OG0000046	LOC117592033|XP_034141382.1|DGUA, LOC117583276|XP_034127392.1|DGUA	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC117592295|XP_034141855.1|DGUA	LOC115760745|XP_030558082.1|DNOV
OG0000047	LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA	LOC115757956|XP_030554291.1|DNOV
OG0000047	LOC117591732|XP_034140939.1|DGUA	LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC117589276|XP_034136957.1|DGUA	LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC117588957|XP_034136435.1|DGUA	LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC117583262|XP_034127380.1|DGUA	LOC115761458|XP_030559085.1|DNOV
OG0000049	LOC117583088|XP_034127157.1|DGUA	LOC115761547|XP_030559189.1|DNOV
OG0000049	LOC117583087|XP_034127156.1|DGUA	LOC115761542|XP_030559185.1|DNOV
OG0000049	LOC117583320|XP_034127470.1|DGUA	LOC115761399|XP_030559017.1|DNOV
OG0000049	LOC117583323|XP_034127472.1|DGUA	LOC115761457|XP_030559084.1|DNOV
OG0000049	LOC117583085|XP_034127153.1|DGUA	LOC115761552|XP_030559195.1|DNOV
OG0000050	LOC117592164|XP_034141627.1|DGUA	LOC115758280|XP_030554702.1|DNOV
OG0000050	LOC117580435|XP_034122881.1|DGUA	LOC115770327|XP_030571425.1|DNOV
OG0000050	LOC117580059|XP_034122189.1|DGUA	LOC115770328|XP_030571426.1|DNOV
OG0000050	LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA	LOC115770326|XP_030571424.1|DNOV
OG0000050	LOC117580434|XP_034122880.1|DGUA	LOC115770322|XP_030571419.1|DNOV
OG0000051	LOC117584976|XP_034130071.1|DGUA	LOC115763752|XP_030562324.1|DNOV
OG0000051	LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA	LOC115761373|XP_030558983.1|DNOV
OG0000052	LOC117585521|XP_034130918.1|DGUA	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV
OG0000052	LOC117579366|XP_034121106.1|DGUA	LOC115771518|XP_030573117.1|DNOV
OG0000052	LOC117579361|XP_034121090.1|DGUA	LOC115771510|XP_030573105.1|DNOV
OG0000053	LOC117591851|XP_034141110.1|DGUA	LOC115771866|XP_030573609.1|DNOV
OG0000053	LOC117591850|XP_034141108.1|DGUA	LOC115771921|XP_030573679.1|DNOV
OG0000053	LOC117591849|XP_034141106.1|DGUA	LOC115771855|XP_030573599.1|DNOV
OG0000053	LOC117589695|XP_034137786.1|DGUA	LOC115771936|XP_030573699.1|DNOV
OG0000054	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA	LOC115766043|XP_030565674.1|DNOV
OG0000054	LOC117585613|XP_034131060.1|DGUA	LOC115770765|XP_030572036.1|DNOV
OG0000054	LOC117585615|XP_034131067.1|DGUA	LOC115766097|XP_030565772.1|DNOV
OG0000055	LOC117583475|XP_034127675.1|DGUA	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV
OG0000056	LOC117582718|XP_034126532.1|DGUA	LOC115764820|XP_030563929.1|DNOV
OG0000056	LOC117582719|XP_034126535.1|DGUA	LOC115764821|XP_030563930.1|DNOV
OG0000058	LOC117588076|XP_034135032.1|DGUA, LOC117588074|XP_034135030.1|DGUA, LOC117581983|XP_034125368.1|DGUA	LOC115758934|XP_030555595.1|DNOV
OG0000058	LOC117588075|XP_034135031.1|DGUA	LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV
OG0000058	LOC117580786|XP_034123373.1|DGUA	LOC115766835|XP_030566732.1|DNOV
OG0000059	LOC117582883|XP_034126847.1|DGUA	LOC115764095|XP_030562808.1|DNOV
OG0000059	LOC117583116|XP_034127192.1|DGUA, LOC117583225|XP_034127335.1|DGUA	LOC115764107|XP_030562822.1|DNOV
OG0000059	LOC117582882|XP_034126846.1|DGUA	LOC115764042|XP_030562742.1|DNOV
OG0000059	LOC117582940|XP_034126935.1|DGUA	LOC115764028|XP_030562719.1|DNOV, LOC115764210|XP_030562960.1|DNOV, LOC115764024|XP_030562715.1|DNOV
OG0000060	LOC117591001|XP_034139974.1|DGUA	LOC115768521|XP_030568971.1|DNOV
