Orthogroup	DGUA.longest_only	ASTE.longest_only
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA, LOC117583601|XP_034127885.1|DGUA	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC117589945|XP_034138127.1|DGUA, LOC117587659|XP_034134479.1|DGUA	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA, LOC117583705|XP_034128081.1|DGUA, LOC117583723|XP_034128130.1|DGUA, LOC117583722|XP_034128122.1|DGUA	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC117583658|XP_034128012.1|DGUA, LOC117578526|XP_034119977.1|DGUA	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC117587736|XP_034134545.1|DGUA, LOC117586337|XP_034132223.1|DGUA, LOC117590165|XP_034138451.1|DGUA, LOC117584402|XP_034129156.1|DGUA	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC117585696|XP_034131203.1|DGUA, LOC117582802|XP_034126721.1|DGUA	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC117585826|XP_034131453.1|DGUA, LOC117587283|XP_034133760.1|DGUA, LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA, LOC117587284|XP_034133762.1|DGUA, LOC117587282|XP_034133759.1|DGUA, LOC117587286|XP_034133764.1|DGUA	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC117586396|XP_034132318.1|DGUA, LOC117586009|XP_034131729.1|DGUA, LOC117586008|XP_034131728.1|DGUA, LOC117591288|XP_034140381.1|DGUA, LOC117586007|XP_034131727.1|DGUA, LOC117586005|XP_034131725.1|DGUA, LOC117586006|XP_034131726.1|DGUA, LOC117586004|XP_034131723.1|DGUA, LOC117586277|XP_034132120.1|DGUA	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA, LOC117580040|XP_034122171.1|DGUA, LOC117591149|XP_034140151.1|DGUA, LOC117578502|XP_034119928.1|DGUA, LOC117592048|XP_034141425.1|DGUA	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC117590412|XP_034138901.1|DGUA	LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC117591670|XP_034140884.1|DGUA	LOC118509777|XP_035906810.1|ASTE
OG0000026	LOC117581101|XP_034123883.1|DGUA, LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA, LOC117589578|XP_034137528.1|DGUA	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC117581694|XP_034124962.1|DGUA, LOC117582236|XP_034125737.1|DGUA, LOC117581693|XP_034124961.1|DGUA	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC117579889|XP_034121915.1|DGUA, LOC117579893|XP_034121921.1|DGUA, LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA, LOC117579887|XP_034121914.1|DGUA, LOC117588956|XP_034136434.1|DGUA	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC117592282|XP_034141836.1|DGUA, LOC117589682|XP_034137727.1|DGUA, LOC117579424|XP_034121195.1|DGUA	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000032	LOC117583029|XP_034127075.1|DGUA, LOC117583030|XP_034127077.1|DGUA, LOC117583031|XP_034127078.1|DGUA, LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC117584525|XP_034129365.1|DGUA, LOC117584539|XP_034129382.1|DGUA, LOC117584364|XP_034129093.1|DGUA, LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA, LOC117588068|XP_034135019.1|DGUA	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC118502424|XP_035890544.1|ASTE
OG0000037	LOC117581190|XP_034124041.1|DGUA, LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC118510898|XP_035909176.1|ASTE
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC117585018|XP_034130150.1|DGUA, LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA, LOC117585502|XP_034130891.1|DGUA, LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA	LOC118514201|XP_035916783.1|ASTE
OG0000047	LOC117591384|XP_034140523.1|DGUA, LOC117592295|XP_034141855.1|DGUA, LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA, LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA, LOC117591732|XP_034140939.1|DGUA, LOC117580178|XP_034122428.1|DGUA	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC117588941|XP_034136410.1|DGUA, LOC117589276|XP_034136957.1|DGUA, LOC117588957|XP_034136435.1|DGUA	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC117583088|XP_034127157.1|DGUA, LOC117583087|XP_034127156.1|DGUA, LOC117583320|XP_034127470.1|DGUA, LOC117583322|XP_034127471.1|DGUA, LOC117583323|XP_034127472.1|DGUA, LOC117583085|XP_034127153.1|DGUA	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC117584976|XP_034130071.1|DGUA, LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA, LOC117586424|XP_034132352.1|DGUA, LOC117586281|XP_034132126.1|DGUA	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC117591851|XP_034141110.1|DGUA, LOC117591850|XP_034141108.1|DGUA	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE
OG0000054	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA, LOC117585613|XP_034131060.1|DGUA, LOC117585615|XP_034131067.1|DGUA	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC117586370|XP_034132288.1|DGUA, LOC117586371|XP_034132289.1|DGUA, LOC117591731|XP_034140936.1|DGUA, LOC117585073|XP_034130229.1|DGUA, LOC117586372|XP_034132290.1|DGUA, LOC117591775|XP_034140976.1|DGUA, LOC117586558|XP_034132612.1|DGUA, LOC117583475|XP_034127675.1|DGUA	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC117582718|XP_034126532.1|DGUA, LOC117582720|XP_034126536.1|DGUA, LOC117582719|XP_034126535.1|DGUA, LOC117589786|XP_034137875.1|DGUA, LOC117589687|XP_034137734.1|DGUA	LOC118507841|XP_035902865.1|ASTE
OG0000058	LOC117588076|XP_034135032.1|DGUA, LOC117588074|XP_034135030.1|DGUA, LOC117581983|XP_034125368.1|DGUA, LOC117588075|XP_034135031.1|DGUA, LOC117580786|XP_034123373.1|DGUA	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC117591001|XP_034139974.1|DGUA	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC117583542|XP_034127790.1|DGUA	LOC118514292|XP_035916947.1|ASTE
OG0000060	LOC117580826|XP_034123438.1|DGUA	LOC118509485|XP_035906030.1|ASTE
OG0000062	LOC117590396|XP_034138880.1|DGUA, LOC117587653|XP_034134434.1|DGUA, LOC117587755|XP_034134570.1|DGUA	LOC118512947|XP_035914059.1|ASTE
OG0000064	LOC117582043|XP_034125476.1|DGUA	LOC118503143|XP_035892009.1|ASTE
OG0000067	LOC117589502|XP_034137375.1|DGUA, LOC117579493|XP_034121284.1|DGUA	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000067	LOC117589212|XP_034136847.1|DGUA	LOC118509032|XP_035904963.1|ASTE
OG0000068	LOC117580519|XP_034123003.1|DGUA, LOC117579302|XP_034121001.1|DGUA, LOC117581720|XP_034124991.1|DGUA, LOC117581342|XP_034124357.1|DGUA	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE
OG0000070	LOC117587796|XP_034134632.1|DGUA, LOC117581211|XP_034124075.1|DGUA, LOC117587545|XP_034134242.1|DGUA, LOC117587797|XP_034134633.1|DGUA	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC117580534|XP_034123019.1|DGUA	LOC118507755|XP_035902660.1|ASTE
OG0000071	LOC117579680|XP_034121559.1|DGUA, LOC117579679|XP_034121558.1|DGUA, LOC117579678|XP_034121557.1|DGUA	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE
OG0000072	LOC117592297|XP_034141858.1|DGUA, LOC117592384|XP_034141985.1|DGUA, LOC117592296|XP_034141857.1|DGUA	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE
OG0000073	LOC117578569|XP_034120037.1|DGUA	LOC118508175|XP_035903617.1|ASTE
OG0000073	LOC117588625|XP_034135936.1|DGUA	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE
OG0000073	LOC117589637|XP_034137623.1|DGUA	LOC118506813|XP_035900364.1|ASTE
OG0000074	LOC117587150|XP_034133548.1|DGUA, LOC117587426|XP_034133988.1|DGUA, LOC117586962|XP_034133225.1|DGUA	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE
OG0000076	LOC117579058|XP_034120653.1|DGUA	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE
OG0000076	LOC117590327|XP_034138711.1|DGUA	LOC118504620|XP_035895194.1|ASTE
OG0000077	LOC117583765|XP_034128208.1|DGUA	LOC118512454|XP_035912813.1|ASTE
OG0000077	LOC117578654|XP_034120163.1|DGUA	LOC118506025|XP_035898529.1|ASTE
OG0000077	LOC117583686|XP_034128052.1|DGUA	LOC118511962|XP_035911578.1|ASTE
OG0000078	LOC117581097|XP_034123881.1|DGUA, LOC117588902|XP_034136350.1|DGUA, LOC117586436|XP_034132364.1|DGUA, LOC117588496|XP_034135697.1|DGUA, LOC117581264|XP_034124165.1|DGUA	LOC118506363|XP_035899271.1|ASTE
OG0000080	LOC117592694|XP_034142549.1|DGUA, LOC117584421|XP_034129184.1|DGUA, LOC117580573|XP_034123072.1|DGUA, LOC117586467|XP_034132445.1|DGUA	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE
OG0000082	LOC117582225|XP_034125728.1|DGUA, LOC117584905|XP_034129938.1|DGUA, LOC117589906|XP_034138069.1|DGUA	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE
OG0000083	LOC117584370|XP_034129100.1|DGUA, LOC117591765|XP_034140968.1|DGUA, LOC117584781|XP_034129778.1|DGUA, LOC117584140|XP_034128787.1|DGUA	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE
OG0000084	LOC117584511|XP_034129342.1|DGUA	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE
OG0000084	LOC117587100|XP_034133482.1|DGUA	LOC118503417|XP_035892550.1|ASTE
OG0000085	LOC117584775|XP_034129774.1|DGUA	LOC118513044|XP_035914229.1|ASTE
OG0000086	LOC117591981|XP_034141311.1|DGUA	LOC118508907|XP_035904661.1|ASTE
OG0000087	LOC117587854|XP_034134711.1|DGUA	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE
OG0000088	LOC117591442|XP_034140602.1|DGUA	LOC118503330|XP_035892383.1|ASTE
OG0000089	LOC117586065|XP_034131804.1|DGUA	LOC118505310|XP_035896841.1|ASTE
OG0000089	LOC117580023|XP_034122138.1|DGUA	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE
OG0000090	LOC117592026|XP_034141376.1|DGUA, LOC117592024|XP_034141370.1|DGUA, LOC117579331|XP_034121048.1|DGUA, LOC117587279|XP_034133756.1|DGUA	LOC118506264|XP_035899059.1|ASTE
OG0000091	LOC117582702|XP_034126503.1|DGUA	LOC118507859|XP_035902942.1|ASTE
OG0000091	LOC117584351|XP_034129075.1|DGUA, LOC117589947|XP_034138129.1|DGUA, LOC117589742|XP_034137813.1|DGUA	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE
OG0000093	LOC117581781|XP_034125096.1|DGUA	LOC118510780|XP_035908957.1|ASTE
OG0000094	LOC117579446|XP_034121226.1|DGUA, LOC117583138|XP_034127220.1|DGUA	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE
OG0000096	LOC117583520|XP_034127757.1|DGUA, LOC117583521|XP_034127758.1|DGUA, LOC117589840|XP_034137983.1|DGUA, LOC117587944|XP_034134834.1|DGUA	LOC118514595|XP_035917485.1|ASTE
OG0000098	LOC117583017|XP_034127059.1|DGUA	LOC118506462|XP_035899533.1|ASTE
OG0000099	LOC117580660|XP_034123163.1|DGUA	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE
OG0000101	LOC117579631|XP_034121489.1|DGUA, LOC117580405|XP_034122843.1|DGUA, LOC117580404|XP_034122842.1|DGUA, LOC117580403|XP_034122841.1|DGUA	LOC118510504|XP_035908303.1|ASTE
OG0000102	LOC117586238|XP_034132070.1|DGUA	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE
OG0000102	LOC117578519|XP_034119958.1|DGUA	LOC118504365|XP_035894655.1|ASTE
OG0000103	LOC117579797|XP_034121756.1|DGUA, LOC117587389|XP_034133934.1|DGUA, LOC117587388|XP_034133933.1|DGUA, LOC117583109|XP_034127185.1|DGUA	LOC118508203|XP_035903666.1|ASTE
OG0000105	LOC117589745|XP_034137817.1|DGUA, LOC117586422|XP_034132350.1|DGUA, LOC117586439|XP_034132368.1|DGUA, LOC117586438|XP_034132367.1|DGUA	LOC118506605|XP_035899865.1|ASTE
OG0000109	LOC117585354|XP_034130689.1|DGUA	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE
OG0000109	LOC117584465|XP_034129274.1|DGUA	LOC118504419|XP_035894746.1|ASTE
OG0000110	LOC117579137|XP_034120769.1|DGUA, LOC117579140|XP_034120771.1|DGUA, LOC117579139|XP_034120770.1|DGUA, LOC117579141|XP_034120772.1|DGUA	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE
OG0000111	LOC117590789|XP_034139634.1|DGUA, LOC117580091|XP_034122239.1|DGUA, LOC117591842|XP_034141099.1|DGUA	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE
OG0000112	LOC117590951|XP_034139890.1|DGUA, LOC117588589|XP_034135884.1|DGUA	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE
OG0000113	LOC117580661|XP_034123164.1|DGUA, LOC117581224|XP_034124094.1|DGUA, LOC117585197|XP_034130465.1|DGUA, LOC117585201|XP_034130470.1|DGUA	LOC118512990|XP_035914139.1|ASTE
OG0000114	LOC117582499|XP_034126174.1|DGUA	LOC118509008|XP_035904916.1|ASTE
OG0000117	LOC117584691|XP_034129616.1|DGUA, LOC117584692|XP_034129617.1|DGUA, LOC117584694|XP_034129618.1|DGUA, LOC117584696|XP_034129620.1|DGUA	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE
OG0000118	LOC117582588|XP_034126325.1|DGUA, LOC117590401|XP_034138890.1|DGUA	LOC118502409|XP_035890526.1|ASTE
OG0000119	LOC117583187|XP_034127279.1|DGUA, LOC117583191|XP_034127285.1|DGUA, LOC117583192|XP_034127286.1|DGUA	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE
OG0000120	LOC117588310|XP_034135390.1|DGUA	LOC118509359|XP_035905774.1|ASTE
OG0000120	LOC117591909|XP_034141191.1|DGUA	LOC118512861|XP_035913838.1|ASTE
OG0000121	LOC117590268|XP_034138644.1|DGUA, LOC117584909|XP_034129943.1|DGUA, LOC117584907|XP_034129942.1|DGUA	LOC118504430|XP_035894762.1|ASTE
OG0000122	LOC117582102|XP_034125557.1|DGUA, LOC117588393|XP_034135538.1|DGUA, LOC117585356|XP_034130696.1|DGUA, LOC117581989|XP_034125375.1|DGUA	LOC118502484|XP_035890608.1|ASTE
OG0000123	LOC117586147|XP_034131933.1|DGUA, LOC117586116|XP_034131868.1|DGUA	LOC118506463|XP_035899530.1|ASTE
OG0000125	LOC117583753|XP_034128164.1|DGUA	LOC118502975|XP_035891640.1|ASTE
OG0000125	LOC117589767|XP_034137851.1|DGUA	LOC118511794|XP_035911255.1|ASTE
OG0000126	LOC117579486|XP_034121276.1|DGUA, LOC117582140|XP_034125615.1|DGUA	LOC118510666|XP_035908699.1|ASTE
OG0000127	LOC117586302|XP_034132151.1|DGUA, LOC117586442|XP_034132370.1|DGUA, LOC117586301|XP_034132149.1|DGUA, LOC117586433|XP_034132360.1|DGUA	LOC118506630|XP_035899894.1|ASTE, LOC118506629|XP_035899892.1|ASTE
OG0000128	LOC117581834|XP_034125176.1|DGUA, LOC117581848|XP_034125197.1|DGUA	LOC118516915|XP_035918646.1|ASTE, LOC118509094|XP_035905138.1|ASTE
OG0000129	LOC117580643|XP_034123127.1|DGUA, LOC117579252|XP_034120930.1|DGUA, LOC117587783|XP_034134618.1|DGUA	LOC118506636|XP_035899907.1|ASTE
