Orthogroup	DGUA.longest_only	AALB.longest_only
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA, LOC117583705|XP_034128081.1|DGUA, LOC117583723|XP_034128130.1|DGUA, LOC117583722|XP_034128122.1|DGUA	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC117583658|XP_034128012.1|DGUA, LOC117578526|XP_034119977.1|DGUA	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC117587736|XP_034134545.1|DGUA, LOC117586337|XP_034132223.1|DGUA, LOC117590165|XP_034138451.1|DGUA, LOC117584402|XP_034129156.1|DGUA	LOC118467629|XP_035794243.1|AALB
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC117585696|XP_034131203.1|DGUA, LOC117582802|XP_034126721.1|DGUA	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC117585826|XP_034131453.1|DGUA, LOC117587283|XP_034133760.1|DGUA, LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA, LOC117587284|XP_034133762.1|DGUA, LOC117587282|XP_034133759.1|DGUA, LOC117587286|XP_034133764.1|DGUA	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC117586396|XP_034132318.1|DGUA, LOC117586009|XP_034131729.1|DGUA, LOC117586008|XP_034131728.1|DGUA, LOC117591288|XP_034140381.1|DGUA, LOC117586007|XP_034131727.1|DGUA, LOC117586005|XP_034131725.1|DGUA, LOC117586006|XP_034131726.1|DGUA, LOC117586004|XP_034131723.1|DGUA, LOC117586277|XP_034132120.1|DGUA	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB
OG0000024	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA, LOC117580040|XP_034122171.1|DGUA, LOC117591149|XP_034140151.1|DGUA, LOC117578502|XP_034119928.1|DGUA, LOC117592048|XP_034141425.1|DGUA	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC117584685|XP_034129605.1|DGUA, LOC117590412|XP_034138901.1|DGUA	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC117591670|XP_034140884.1|DGUA	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB
OG0000025	LOC117591779|XP_034140978.1|DGUA	LOC118467560|XP_035794083.1|AALB
OG0000026	LOC117581101|XP_034123883.1|DGUA, LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA, LOC117589578|XP_034137528.1|DGUA	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC117581694|XP_034124962.1|DGUA, LOC117582236|XP_034125737.1|DGUA, LOC117581693|XP_034124961.1|DGUA	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB
OG0000028	LOC117579889|XP_034121915.1|DGUA, LOC117579893|XP_034121921.1|DGUA, LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA, LOC117579887|XP_034121914.1|DGUA, LOC117588956|XP_034136434.1|DGUA	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB
OG0000029	LOC117592282|XP_034141836.1|DGUA, LOC117589682|XP_034137727.1|DGUA, LOC117579424|XP_034121195.1|DGUA	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC118467279|XP_035793475.1|AALB
OG0000032	LOC117583029|XP_034127075.1|DGUA, LOC117583030|XP_034127077.1|DGUA, LOC117583031|XP_034127078.1|DGUA, LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB
OG0000034	LOC117584525|XP_034129365.1|DGUA, LOC117584539|XP_034129382.1|DGUA, LOC117584364|XP_034129093.1|DGUA, LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA, LOC117588068|XP_034135019.1|DGUA	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC118457097|XP_035774277.1|AALB
OG0000037	LOC117581190|XP_034124041.1|DGUA, LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC118467862|XP_035794660.1|AALB
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC117585018|XP_034130150.1|DGUA, LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA, LOC117585502|XP_034130891.1|DGUA, LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB
OG0000047	LOC117591384|XP_034140523.1|DGUA, LOC117592295|XP_034141855.1|DGUA, LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA, LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA, LOC117591732|XP_034140939.1|DGUA, LOC117580178|XP_034122428.1|DGUA	LOC118458488|XP_035776933.1|AALB
OG0000048	LOC117588941|XP_034136410.1|DGUA, LOC117589276|XP_034136957.1|DGUA, LOC117588957|XP_034136435.1|DGUA	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB
OG0000049	LOC117583088|XP_034127157.1|DGUA, LOC117583087|XP_034127156.1|DGUA, LOC117583320|XP_034127470.1|DGUA, LOC117583322|XP_034127471.1|DGUA, LOC117583323|XP_034127472.1|DGUA, LOC117583085|XP_034127153.1|DGUA	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB
OG0000050	LOC117592164|XP_034141627.1|DGUA, LOC117580439|XP_034122886.1|DGUA, LOC117580435|XP_034122881.1|DGUA, LOC117580059|XP_034122189.1|DGUA, LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA, LOC117580434|XP_034122880.1|DGUA, LOC117580436|XP_034122883.1|DGUA	LOC118466326|XP_035791335.1|AALB
OG0000051	LOC117584976|XP_034130071.1|DGUA, LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA, LOC117586424|XP_034132352.1|DGUA, LOC117586281|XP_034132126.1|DGUA	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB
OG0000053	LOC117591851|XP_034141110.1|DGUA, LOC117591850|XP_034141108.1|DGUA	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB
OG0000054	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA, LOC117585613|XP_034131060.1|DGUA, LOC117585615|XP_034131067.1|DGUA	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB
OG0000055	LOC117586370|XP_034132288.1|DGUA, LOC117586371|XP_034132289.1|DGUA, LOC117591731|XP_034140936.1|DGUA, LOC117585073|XP_034130229.1|DGUA, LOC117586372|XP_034132290.1|DGUA, LOC117591775|XP_034140976.1|DGUA, LOC117586558|XP_034132612.1|DGUA, LOC117583475|XP_034127675.1|DGUA	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB
OG0000056	LOC117582718|XP_034126532.1|DGUA, LOC117582720|XP_034126536.1|DGUA, LOC117582719|XP_034126535.1|DGUA, LOC117589786|XP_034137875.1|DGUA, LOC117589687|XP_034137734.1|DGUA	LOC118463646|XP_035786286.1|AALB
OG0000058	LOC117588076|XP_034135032.1|DGUA, LOC117588074|XP_034135030.1|DGUA, LOC117581983|XP_034125368.1|DGUA, LOC117588075|XP_034135031.1|DGUA, LOC117580786|XP_034123373.1|DGUA	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB
OG0000060	LOC117591001|XP_034139974.1|DGUA	LOC118462342|XP_035784016.1|AALB
OG0000060	LOC117583542|XP_034127790.1|DGUA	LOC118457079|XP_035774255.1|AALB
OG0000067	LOC117589502|XP_034137375.1|DGUA, LOC117579493|XP_034121284.1|DGUA	LOC118462964|XP_035785018.1|AALB
OG0000067	LOC117589212|XP_034136847.1|DGUA	LOC118463317|XP_035785696.1|AALB
OG0000068	LOC117580519|XP_034123003.1|DGUA, LOC117579302|XP_034121001.1|DGUA, LOC117581720|XP_034124991.1|DGUA, LOC117581342|XP_034124357.1|DGUA	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB
OG0000070	LOC117587796|XP_034134632.1|DGUA, LOC117581211|XP_034124075.1|DGUA, LOC117587545|XP_034134242.1|DGUA, LOC117587797|XP_034134633.1|DGUA	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB
OG0000071	LOC117580534|XP_034123019.1|DGUA	LOC118464383|XP_035787619.1|AALB
OG0000071	LOC117579680|XP_034121559.1|DGUA, LOC117579679|XP_034121558.1|DGUA, LOC117579678|XP_034121557.1|DGUA	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB
OG0000072	LOC117592297|XP_034141858.1|DGUA, LOC117592384|XP_034141985.1|DGUA, LOC117592296|XP_034141857.1|DGUA	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB
OG0000073	LOC117578569|XP_034120037.1|DGUA	LOC118466982|XP_035792790.1|AALB
OG0000073	LOC117588625|XP_034135936.1|DGUA	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB
OG0000073	LOC117589637|XP_034137623.1|DGUA	LOC118458541|XP_035777018.1|AALB
OG0000074	LOC117587150|XP_034133548.1|DGUA, LOC117587426|XP_034133988.1|DGUA, LOC117586962|XP_034133225.1|DGUA	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB
OG0000076	LOC117579058|XP_034120653.1|DGUA	LOC118462886|XP_035784863.1|AALB
OG0000076	LOC117590327|XP_034138711.1|DGUA	LOC118456474|XP_035773167.1|AALB
OG0000077	LOC117583765|XP_034128208.1|DGUA	LOC118460116|XP_035780047.1|AALB
OG0000077	LOC117578654|XP_034120163.1|DGUA	LOC118463835|XP_035786622.1|AALB
OG0000077	LOC117583686|XP_034128052.1|DGUA	LOC118466147|XP_035791003.1|AALB
OG0000078	LOC117581097|XP_034123881.1|DGUA, LOC117588902|XP_034136350.1|DGUA, LOC117586436|XP_034132364.1|DGUA, LOC117588496|XP_034135697.1|DGUA, LOC117581264|XP_034124165.1|DGUA	LOC118456476|XP_035773179.1|AALB
OG0000080	LOC117592694|XP_034142549.1|DGUA, LOC117584421|XP_034129184.1|DGUA, LOC117580573|XP_034123072.1|DGUA, LOC117586467|XP_034132445.1|DGUA	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB
OG0000082	LOC117582225|XP_034125728.1|DGUA, LOC117584905|XP_034129938.1|DGUA, LOC117589906|XP_034138069.1|DGUA	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB
OG0000083	LOC117584370|XP_034129100.1|DGUA, LOC117591765|XP_034140968.1|DGUA, LOC117584781|XP_034129778.1|DGUA, LOC117584140|XP_034128787.1|DGUA	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB
OG0000084	LOC117584511|XP_034129342.1|DGUA	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB
OG0000084	LOC117587100|XP_034133482.1|DGUA	LOC118463937|XP_035786798.1|AALB
OG0000085	LOC117584775|XP_034129774.1|DGUA	LOC118467757|XP_035794478.1|AALB
OG0000086	LOC117591981|XP_034141311.1|DGUA	LOC118467052|XP_035792946.1|AALB
OG0000087	LOC117587854|XP_034134711.1|DGUA	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB
OG0000088	LOC117591442|XP_034140602.1|DGUA	LOC118462894|XP_035784880.1|AALB
OG0000089	LOC117586065|XP_034131804.1|DGUA	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB
OG0000089	LOC117580023|XP_034122138.1|DGUA	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB
OG0000090	LOC117592026|XP_034141376.1|DGUA, LOC117592024|XP_034141370.1|DGUA, LOC117579331|XP_034121048.1|DGUA, LOC117587279|XP_034133756.1|DGUA	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB
OG0000091	LOC117582702|XP_034126503.1|DGUA	LOC118468298|XP_035794920.1|AALB
OG0000091	LOC117584351|XP_034129075.1|DGUA, LOC117589947|XP_034138129.1|DGUA, LOC117589742|XP_034137813.1|DGUA	LOC118461077|XP_035781863.1|AALB
OG0000093	LOC117581781|XP_034125096.1|DGUA	LOC118468732|XP_035795763.1|AALB
OG0000094	LOC117579446|XP_034121226.1|DGUA, LOC117583138|XP_034127220.1|DGUA	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB
OG0000096	LOC117583520|XP_034127757.1|DGUA, LOC117583521|XP_034127758.1|DGUA, LOC117589840|XP_034137983.1|DGUA, LOC117587944|XP_034134834.1|DGUA	LOC118467953|XP_035794822.1|AALB
OG0000098	LOC117583017|XP_034127059.1|DGUA	LOC118458982|XP_035777873.1|AALB
OG0000099	LOC117580660|XP_034123163.1|DGUA	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB
OG0000101	LOC117579631|XP_034121489.1|DGUA, LOC117580405|XP_034122843.1|DGUA, LOC117580404|XP_034122842.1|DGUA, LOC117580403|XP_034122841.1|DGUA	LOC118462817|XP_035784730.1|AALB
OG0000102	LOC117586238|XP_034132070.1|DGUA	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB
OG0000102	LOC117578519|XP_034119958.1|DGUA	LOC118457482|XP_035775000.1|AALB
OG0000103	LOC117579797|XP_034121756.1|DGUA, LOC117587389|XP_034133934.1|DGUA, LOC117587388|XP_034133933.1|DGUA, LOC117583109|XP_034127185.1|DGUA	LOC118467670|XP_035794319.1|AALB
OG0000104	LOC117588188|XP_034135199.1|DGUA, LOC117589106|XP_034136649.1|DGUA	LOC118464278|XP_035787434.1|AALB
OG0000105	LOC117589745|XP_034137817.1|DGUA, LOC117586422|XP_034132350.1|DGUA, LOC117586439|XP_034132368.1|DGUA, LOC117586438|XP_034132367.1|DGUA	LOC118457265|XP_035774549.1|AALB
OG0000109	LOC117585354|XP_034130689.1|DGUA	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB
OG0000109	LOC117584465|XP_034129274.1|DGUA	LOC118459572|XP_035778973.1|AALB
OG0000110	LOC117579137|XP_034120769.1|DGUA, LOC117579140|XP_034120771.1|DGUA, LOC117579139|XP_034120770.1|DGUA, LOC117579141|XP_034120772.1|DGUA	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB
OG0000111	LOC117590789|XP_034139634.1|DGUA, LOC117580091|XP_034122239.1|DGUA, LOC117591842|XP_034141099.1|DGUA	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB
OG0000112	LOC117590951|XP_034139890.1|DGUA, LOC117588589|XP_034135884.1|DGUA	LOC118467359|XP_035793654.1|AALB
OG0000113	LOC117580661|XP_034123164.1|DGUA, LOC117581224|XP_034124094.1|DGUA, LOC117585197|XP_034130465.1|DGUA, LOC117585201|XP_034130470.1|DGUA	LOC118462848|XP_035784798.1|AALB
OG0000117	LOC117584691|XP_034129616.1|DGUA, LOC117584692|XP_034129617.1|DGUA, LOC117584694|XP_034129618.1|DGUA, LOC117584696|XP_034129620.1|DGUA	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB
OG0000118	LOC117582588|XP_034126325.1|DGUA, LOC117590401|XP_034138890.1|DGUA	LOC118457110|XP_035774302.1|AALB
OG0000119	LOC117583187|XP_034127279.1|DGUA, LOC117583191|XP_034127285.1|DGUA, LOC117583192|XP_034127286.1|DGUA	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB
OG0000120	LOC117588310|XP_034135390.1|DGUA	LOC118463432|XP_035785893.1|AALB
OG0000120	LOC117591909|XP_034141191.1|DGUA	LOC118464687|XP_035788103.1|AALB
OG0000121	LOC117590268|XP_034138644.1|DGUA, LOC117584909|XP_034129943.1|DGUA, LOC117584907|XP_034129942.1|DGUA	LOC118459567|XP_035778961.1|AALB
OG0000122	LOC117582102|XP_034125557.1|DGUA, LOC117588393|XP_034135538.1|DGUA, LOC117585356|XP_034130696.1|DGUA, LOC117581989|XP_034125375.1|DGUA	LOC118456844|XP_035773833.1|AALB
OG0000123	LOC117586147|XP_034131933.1|DGUA, LOC117586116|XP_034131868.1|DGUA	LOC118461289|XP_035782355.1|AALB
OG0000124	LOC117592304|XP_034141869.1|DGUA, LOC117578607|XP_034120092.1|DGUA, LOC117578608|XP_034120093.1|DGUA, LOC117592510|XP_034142245.1|DGUA	LOC118465756|XP_035790152.1|AALB
OG0000125	LOC117583753|XP_034128164.1|DGUA	LOC118457525|XP_035775063.1|AALB
OG0000125	LOC117589767|XP_034137851.1|DGUA	LOC118463575|XP_035786112.1|AALB
OG0000126	LOC117579486|XP_034121276.1|DGUA, LOC117582140|XP_034125615.1|DGUA	LOC118460528|XP_035780801.1|AALB
OG0000127	LOC117586302|XP_034132151.1|DGUA, LOC117586442|XP_034132370.1|DGUA, LOC117586301|XP_034132149.1|DGUA, LOC117586433|XP_034132360.1|DGUA	LOC118456552|XP_035773315.1|AALB, LOC118456551|XP_035773312.1|AALB
OG0000128	LOC117581834|XP_034125176.1|DGUA, LOC117581848|XP_034125197.1|DGUA	LOC118463140|XP_035785395.1|AALB
OG0000129	LOC117580643|XP_034123127.1|DGUA, LOC117579252|XP_034120930.1|DGUA, LOC117587783|XP_034134618.1|DGUA	LOC118456548|XP_035773308.1|AALB
OG0000130	LOC117587114|XP_034133499.1|DGUA, LOC117587111|XP_034133495.1|DGUA, LOC117587113|XP_034133498.1|DGUA, LOC117587112|XP_034133496.1|DGUA	LOC118464719|XP_035788184.1|AALB
OG0000132	LOC117582239|XP_034125741.1|DGUA, LOC117581862|XP_034125215.1|DGUA, LOC117586091|XP_034131838.1|DGUA	LOC118458943|XP_035777814.1|AALB, LOC118468465|XP_035795152.1|AALB
OG0000134	LOC117589485|XP_034137338.1|DGUA	LOC118464308|XP_035787537.1|AALB
OG0000134	LOC117580864|XP_034123504.1|DGUA, LOC117584812|XP_034129823.1|DGUA	LOC118458491|XP_035776937.1|AALB
OG0000137	LOC117582737|XP_034126559.1|DGUA	LOC118459373|XP_035778562.1|AALB
OG0000137	LOC117588859|XP_034136252.1|DGUA	LOC118466961|XP_035792755.1|AALB, LOC118467197|XP_035793304.1|AALB
OG0000140	LOC117583410|XP_034127589.1|DGUA, LOC117590230|XP_034138594.1|DGUA	LOC118458081|XP_035776133.1|AALB, LOC118458082|XP_035776136.1|AALB, LOC118466021|XP_035790730.1|AALB, LOC118465203|XP_035789081.1|AALB, LOC118465619|XP_035789896.1|AALB, LOC118463502|XP_035785994.1|AALB, LOC118464216|XP_035787280.1|AALB, LOC118463503|XP_035785996.1|AALB
