Orthogroup	DGUA.longest_only	BCOP.longest_only
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC119067198|XP_037025928.1|BCOP
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC119077089|XP_037040143.1|BCOP
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC119067264|XP_037026041.1|BCOP
OG0000009	LOC117586341|XP_034132234.1|DGUA, LOC117586454|XP_034132388.1|DGUA, LOC117585408|XP_034130767.1|DGUA, LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA, LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA, LOC117587230|XP_034133688.1|DGUA, LOC117586357|XP_034132268.1|DGUA, LOC117588654|XP_034135988.1|DGUA, LOC117588663|XP_034136000.1|DGUA	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
OG0000010	LOC117583778|XP_034128224.1|DGUA	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC119077564|XP_037040669.1|BCOP
OG0000010	LOC117591679|XP_034140894.1|DGUA	LOC119077572|XP_037040677.1|BCOP, LOC119078399|XP_037041797.1|BCOP, LOC119077565|XP_037040670.1|BCOP, LOC119078398|XP_037041796.1|BCOP, LOC119067746|XP_037026771.1|BCOP, LOC119075105|XP_037037388.1|BCOP, LOC119075519|XP_037037884.1|BCOP, LOC119082442|XP_037047864.1|BCOP, LOC119082500|XP_037047910.1|BCOP, LOC119070779|XP_037031153.1|BCOP
OG0000012	LOC117578829|XP_034120480.1|DGUA, LOC117578830|XP_034120484.1|DGUA, LOC117578828|XP_034120477.1|DGUA, LOC117578831|XP_034120485.1|DGUA, LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA, LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA, LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC119078237|XP_037041593.1|BCOP
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC119071389|XP_037032165.1|BCOP
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC119072742|XP_037033921.1|BCOP
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC119068977|XP_037028742.1|BCOP
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA, LOC117583601|XP_034127885.1|DGUA	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000016	LOC117589945|XP_034138127.1|DGUA, LOC117587659|XP_034134479.1|DGUA	LOC119069122|XP_037028916.1|BCOP
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC119071771|XP_037032720.1|BCOP
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC119070068|XP_037030257.1|BCOP
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC119072263|XP_037033347.1|BCOP
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	LOC117587353|XP_034133885.1|DGUA, LOC117587354|XP_034133886.1|DGUA, LOC117587358|XP_034133890.1|DGUA, LOC117587351|XP_034133882.1|DGUA, LOC117587362|XP_034133895.1|DGUA, LOC117587361|XP_034133894.1|DGUA, LOC117587365|XP_034133899.1|DGUA	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA, LOC117583705|XP_034128081.1|DGUA, LOC117583723|XP_034128130.1|DGUA, LOC117583722|XP_034128122.1|DGUA	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP
OG0000020	LOC117583658|XP_034128012.1|DGUA, LOC117578526|XP_034119977.1|DGUA	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	LOC117587736|XP_034134545.1|DGUA, LOC117586337|XP_034132223.1|DGUA, LOC117590165|XP_034138451.1|DGUA, LOC117584402|XP_034129156.1|DGUA	LOC119077634|XP_037040747.1|BCOP
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC119076102|XP_037038654.1|BCOP
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC119074653|XP_037036827.1|BCOP
OG0000023	LOC117586396|XP_034132318.1|DGUA, LOC117586009|XP_034131729.1|DGUA, LOC117586008|XP_034131728.1|DGUA, LOC117591288|XP_034140381.1|DGUA, LOC117586007|XP_034131727.1|DGUA, LOC117586005|XP_034131725.1|DGUA, LOC117586006|XP_034131726.1|DGUA, LOC117586004|XP_034131723.1|DGUA, LOC117586277|XP_034132120.1|DGUA	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
OG0000024	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA, LOC117580040|XP_034122171.1|DGUA, LOC117591149|XP_034140151.1|DGUA, LOC117578502|XP_034119928.1|DGUA, LOC117592048|XP_034141425.1|DGUA	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC117584685|XP_034129605.1|DGUA, LOC117590412|XP_034138901.1|DGUA	LOC119074493|XP_037036540.1|BCOP
OG0000025	LOC117591644|XP_034140860.1|DGUA, LOC117591718|XP_034140929.1|DGUA, LOC117591670|XP_034140884.1|DGUA, LOC117591678|XP_034140893.1|DGUA	LOC119075511|XP_037037876.1|BCOP
OG0000025	LOC117591779|XP_034140978.1|DGUA	LOC119075399|XP_037037738.1|BCOP
OG0000026	LOC117581101|XP_034123883.1|DGUA, LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA, LOC117589578|XP_034137528.1|DGUA	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP
OG0000027	LOC117582236|XP_034125737.1|DGUA	LOC119077158|XP_037040243.1|BCOP
OG0000028	LOC117579889|XP_034121915.1|DGUA, LOC117579893|XP_034121921.1|DGUA, LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA, LOC117579887|XP_034121914.1|DGUA, LOC117588956|XP_034136434.1|DGUA	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC117592282|XP_034141836.1|DGUA, LOC117589682|XP_034137727.1|DGUA, LOC117579424|XP_034121195.1|DGUA	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
OG0000030	LOC117582242|XP_034125744.1|DGUA, LOC117584551|XP_034129394.1|DGUA, LOC117580408|XP_034122850.1|DGUA, LOC117580802|XP_034123393.1|DGUA, LOC117581439|XP_034124532.1|DGUA	LOC119070696|XP_037031044.1|BCOP
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP
OG0000032	LOC117583029|XP_034127075.1|DGUA, LOC117583030|XP_034127077.1|DGUA, LOC117583031|XP_034127078.1|DGUA, LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP
OG0000033	LOC117589750|XP_034137821.1|DGUA, LOC117583114|XP_034127189.1|DGUA, LOC117578485|XP_034119909.1|DGUA, LOC117578484|XP_034119908.1|DGUA, LOC117589901|XP_034138062.1|DGUA	LOC119070917|XP_037031350.1|BCOP
OG0000034	LOC117584525|XP_034129365.1|DGUA, LOC117584539|XP_034129382.1|DGUA, LOC117584364|XP_034129093.1|DGUA, LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA, LOC117588068|XP_034135019.1|DGUA	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC119070319|XP_037030483.1|BCOP
OG0000037	LOC117581190|XP_034124041.1|DGUA, LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC119077484|XP_037040593.1|BCOP
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA	LOC119070988|XP_037031473.1|BCOP
OG0000042	LOC117588578|XP_034135864.1|DGUA, LOC117592397|XP_034142005.1|DGUA, LOC117592396|XP_034142004.1|DGUA, LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA, LOC117592399|XP_034142008.1|DGUA	LOC119068087|XP_037027400.1|BCOP
OG0000043	LOC117585018|XP_034130150.1|DGUA, LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA, LOC117585502|XP_034130891.1|DGUA, LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP
OG0000044	LOC117585917|XP_034131574.1|DGUA, LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA, LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA, LOC117590011|XP_034138189.1|DGUA	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP
OG0000047	LOC117591384|XP_034140523.1|DGUA, LOC117592295|XP_034141855.1|DGUA, LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA, LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA, LOC117591732|XP_034140939.1|DGUA, LOC117580178|XP_034122428.1|DGUA	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP
OG0000049	LOC117583262|XP_034127380.1|DGUA	LOC119081689|XP_037046681.1|BCOP
OG0000049	LOC117583088|XP_034127157.1|DGUA, LOC117583087|XP_034127156.1|DGUA, LOC117583320|XP_034127470.1|DGUA, LOC117583322|XP_034127471.1|DGUA, LOC117583323|XP_034127472.1|DGUA, LOC117583085|XP_034127153.1|DGUA	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP
OG0000051	LOC117584976|XP_034130071.1|DGUA, LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA, LOC117586424|XP_034132352.1|DGUA, LOC117586281|XP_034132126.1|DGUA	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP
OG0000052	LOC117585521|XP_034130918.1|DGUA, LOC117579366|XP_034121106.1|DGUA, LOC117579361|XP_034121090.1|DGUA	LOC119073702|XP_037035202.1|BCOP
OG0000053	LOC117591851|XP_034141110.1|DGUA, LOC117591850|XP_034141108.1|DGUA	LOC119072494|XP_037033629.1|BCOP
OG0000053	LOC117589695|XP_034137786.1|DGUA	LOC119083998|XP_037049705.1|BCOP
OG0000054	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA, LOC117585613|XP_034131060.1|DGUA, LOC117585615|XP_034131067.1|DGUA	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP
OG0000056	LOC117582718|XP_034126532.1|DGUA, LOC117582720|XP_034126536.1|DGUA, LOC117582719|XP_034126535.1|DGUA, LOC117589786|XP_034137875.1|DGUA, LOC117589687|XP_034137734.1|DGUA	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP
OG0000058	LOC117588076|XP_034135032.1|DGUA, LOC117588074|XP_034135030.1|DGUA, LOC117581983|XP_034125368.1|DGUA, LOC117588075|XP_034135031.1|DGUA, LOC117580786|XP_034123373.1|DGUA	LOC119080858|XP_037045328.1|BCOP
OG0000060	LOC117591001|XP_034139974.1|DGUA	LOC119068417|XP_037027881.1|BCOP
OG0000060	LOC117583542|XP_034127790.1|DGUA	LOC119069761|XP_037029789.1|BCOP
OG0000067	LOC117589502|XP_034137375.1|DGUA, LOC117579493|XP_034121284.1|DGUA	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP
OG0000067	LOC117591024|XP_034140007.1|DGUA, LOC117579492|XP_034121282.1|DGUA	LOC119085608|XP_037051927.1|BCOP
OG0000067	LOC117589212|XP_034136847.1|DGUA	LOC119076438|XP_037039101.1|BCOP
OG0000068	LOC117580519|XP_034123003.1|DGUA, LOC117579302|XP_034121001.1|DGUA, LOC117581720|XP_034124991.1|DGUA, LOC117581342|XP_034124357.1|DGUA	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP
OG0000070	LOC117587796|XP_034134632.1|DGUA, LOC117581211|XP_034124075.1|DGUA, LOC117587545|XP_034134242.1|DGUA, LOC117587797|XP_034134633.1|DGUA	LOC119071237|XP_037031965.1|BCOP
OG0000071	LOC117580534|XP_034123019.1|DGUA	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP
OG0000071	LOC117579680|XP_034121559.1|DGUA, LOC117579679|XP_034121558.1|DGUA, LOC117579678|XP_034121557.1|DGUA	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP
OG0000073	LOC117578569|XP_034120037.1|DGUA	LOC119072039|XP_037033052.1|BCOP
OG0000073	LOC117588625|XP_034135936.1|DGUA	LOC119067527|XP_037026453.1|BCOP
OG0000073	LOC117589637|XP_034137623.1|DGUA	LOC119069220|XP_037029092.1|BCOP
OG0000074	LOC117587150|XP_034133548.1|DGUA, LOC117587426|XP_034133988.1|DGUA, LOC117586962|XP_034133225.1|DGUA	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP
OG0000075	LOC117579262|XP_034120946.1|DGUA, LOC117579268|XP_034120955.1|DGUA, LOC117579272|XP_034120958.1|DGUA, LOC117579269|XP_034120956.1|DGUA	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP
OG0000076	LOC117579058|XP_034120653.1|DGUA	LOC119071813|XP_037032779.1|BCOP
OG0000076	LOC117590327|XP_034138711.1|DGUA	LOC119068533|XP_037028044.1|BCOP
OG0000076	LOC117590326|XP_034138710.1|DGUA	LOC119066422|XP_037024794.1|BCOP
OG0000077	LOC117583765|XP_034128208.1|DGUA	LOC119076378|XP_037038990.1|BCOP
OG0000077	LOC117578654|XP_034120163.1|DGUA	LOC119071068|XP_037031598.1|BCOP
OG0000077	LOC117583686|XP_034128052.1|DGUA	LOC119069760|XP_037029786.1|BCOP
OG0000078	LOC117581097|XP_034123881.1|DGUA, LOC117588902|XP_034136350.1|DGUA, LOC117586436|XP_034132364.1|DGUA, LOC117588496|XP_034135697.1|DGUA, LOC117581264|XP_034124165.1|DGUA	LOC119072413|XP_037033522.1|BCOP
OG0000079	LOC117582617|XP_034126382.1|DGUA, LOC117582071|XP_034125519.1|DGUA, LOC117584146|XP_034128797.1|DGUA, LOC117582616|XP_034126381.1|DGUA, LOC117582615|XP_034126380.1|DGUA	LOC119073294|XP_037034574.1|BCOP
OG0000080	LOC117592694|XP_034142549.1|DGUA, LOC117584421|XP_034129184.1|DGUA, LOC117580573|XP_034123072.1|DGUA, LOC117586467|XP_034132445.1|DGUA	LOC119071115|XP_037031659.1|BCOP, LOC119071116|XP_037031660.1|BCOP
OG0000081	LOC117586955|XP_034133218.1|DGUA	LOC119072492|XP_037033632.1|BCOP
OG0000082	LOC117582225|XP_034125728.1|DGUA, LOC117584905|XP_034129938.1|DGUA, LOC117589906|XP_034138069.1|DGUA	LOC119077224|XP_037040299.1|BCOP, LOC119077326|XP_037040404.1|BCOP, LOC119077878|XP_037041127.1|BCOP, LOC119069214|XP_037029085.1|BCOP, LOC119080439|XP_037044697.1|BCOP, LOC119067719|XP_037026731.1|BCOP, LOC119067656|XP_037026651.1|BCOP, LOC119067657|XP_037026652.1|BCOP, LOC119067658|XP_037026653.1|BCOP, LOC119075075|XP_037037362.1|BCOP, LOC119084030|XP_037049750.1|BCOP, LOC119079425|XP_037043226.1|BCOP, LOC119083787|XP_037049484.1|BCOP
OG0000083	LOC117584370|XP_034129100.1|DGUA, LOC117591765|XP_034140968.1|DGUA, LOC117584781|XP_034129778.1|DGUA	LOC119071144|XP_037031768.1|BCOP, LOC119066519|XP_037024932.1|BCOP, LOC119084806|XP_037050772.1|BCOP
