Orthogroup	DGUA.longest_only	SLEB.longest_only
OG0000020	LOC117578526|XP_034119977.1|DGUA	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC117590165|XP_034138451.1|DGUA	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC117584402|XP_034129156.1|DGUA	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC117579999|XP_034122087.1|DGUA	LOC115634442|XP_030388011.1|SLEB
OG0000021	LOC117578554|XP_034120017.1|DGUA	LOC115627679|XP_030379282.1|SLEB, LOC115629561|XP_030381912.1|SLEB, LOC115622692|XP_030372578.1|SLEB
OG0000021	LOC117578555|XP_034120019.1|DGUA	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC117578556|XP_034120020.1|DGUA	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB
OG0000021	LOC117580314|XP_034122704.1|DGUA	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC117578557|XP_034120021.1|DGUA	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC117582802|XP_034126721.1|DGUA	LOC115620616|XP_030369796.1|SLEB
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC117587284|XP_034133762.1|DGUA, LOC117587282|XP_034133759.1|DGUA	LOC115624802|XP_030375508.1|SLEB
OG0000022	LOC117587286|XP_034133764.1|DGUA	LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB
OG0000023	LOC117586396|XP_034132318.1|DGUA	LOC115623826|XP_030374229.1|SLEB
OG0000023	LOC117586008|XP_034131728.1|DGUA	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC117586007|XP_034131727.1|DGUA	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC115623324|XP_030373445.1|SLEB
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC117591149|XP_034140151.1|DGUA, LOC117578502|XP_034119928.1|DGUA	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC117592048|XP_034141425.1|DGUA	LOC115633141|XP_030386412.1|SLEB
OG0000025	LOC117590412|XP_034138901.1|DGUA	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC117591670|XP_034140884.1|DGUA	LOC115630294|XP_030382690.1|SLEB, LOC115633466|XP_030386782.1|SLEB, LOC115633533|XP_030386851.1|SLEB, LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB
OG0000025	LOC117591779|XP_034140978.1|DGUA	LOC115630293|XP_030382689.1|SLEB, LOC115630303|XP_030382701.1|SLEB
OG0000026	LOC117588644|XP_034135968.1|DGUA	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC115626629|XP_030377893.1|SLEB
OG0000026	LOC117581101|XP_034123883.1|DGUA, LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC117582236|XP_034125737.1|DGUA	LOC115632056|XP_030384892.1|SLEB
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC115631416|XP_030384002.1|SLEB
OG0000028	LOC117579889|XP_034121915.1|DGUA, LOC117579893|XP_034121921.1|DGUA	LOC115634466|XP_030388054.1|SLEB
OG0000028	LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA	LOC115634465|XP_030388053.1|SLEB
OG0000029	LOC117579424|XP_034121195.1|DGUA	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC117582242|XP_034125744.1|DGUA	LOC115631186|XP_030383737.1|SLEB
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC117581439|XP_034124532.1|DGUA	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC117583029|XP_034127075.1|DGUA	LOC115621800|XP_030371439.1|SLEB
OG0000032	LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC115621799|XP_030371437.1|SLEB
OG0000033	LOC117578485|XP_034119909.1|DGUA	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	LOC117578484|XP_034119908.1|DGUA	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC117584525|XP_034129365.1|DGUA	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC117584539|XP_034129382.1|DGUA	LOC115631233|XP_030383802.1|SLEB
OG0000034	LOC117584364|XP_034129093.1|DGUA	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA, LOC117588068|XP_034135019.1|DGUA	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC115621341|XP_030370821.1|SLEB
OG0000037	LOC117581190|XP_034124041.1|DGUA	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC117590456|XP_034138981.1|DGUA	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC117590454|XP_034138979.1|DGUA	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC117586415|XP_034132343.1|DGUA, LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC117585623|XP_034131079.1|DGUA	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC117585926|XP_034131583.1|DGUA, LOC117586490|XP_034132479.1|DGUA	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB
OG0000040	LOC117586743|XP_034132936.1|DGUA, LOC117585897|XP_034131543.1|DGUA	LOC115624206|XP_030374673.1|SLEB
OG0000040	LOC117583720|XP_034128120.1|DGUA	LOC115621426|XP_030370938.1|SLEB
OG0000042	LOC117588578|XP_034135864.1|DGUA	LOC115630085|XP_030382572.1|SLEB
OG0000042	LOC117592397|XP_034142005.1|DGUA, LOC117592396|XP_034142004.1|DGUA, LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	LOC117585018|XP_034130150.1|DGUA	LOC115623987|XP_030374418.1|SLEB
OG0000043	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	LOC115623491|XP_030373724.1|SLEB
OG0000043	LOC117585502|XP_034130891.1|DGUA	LOC115623816|XP_030374219.1|SLEB
OG0000043	LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA	LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC115624024|XP_030374460.1|SLEB
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	LOC115623538|XP_030373780.1|SLEB
OG0000044	LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA	LOC115631500|XP_030384120.1|SLEB
OG0000044	LOC117590011|XP_034138189.1|DGUA	LOC115624165|XP_030374623.1|SLEB
OG0000045	LOC117586936|XP_034133192.1|DGUA	LOC115632695|XP_030385792.1|SLEB
OG0000045	LOC117587010|XP_034133310.1|DGUA	LOC115632698|XP_030385795.1|SLEB
OG0000045	LOC117579473|XP_034121255.1|DGUA	LOC115632700|XP_030385796.1|SLEB
OG0000045	LOC117579463|XP_034121242.1|DGUA	LOC115632701|XP_030385797.1|SLEB
OG0000046	LOC117589785|XP_034137874.1|DGUA, LOC117591350|XP_034140469.1|DGUA, LOC117592033|XP_034141382.1|DGUA, LOC117583276|XP_034127392.1|DGUA	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB
OG0000047	LOC117591384|XP_034140523.1|DGUA	LOC115631261|XP_030383836.1|SLEB
OG0000047	LOC117592295|XP_034141855.1|DGUA	LOC115632503|XP_030385556.1|SLEB
OG0000047	LOC117582832|XP_034126782.1|DGUA	LOC115626702|XP_030377994.1|SLEB
OG0000047	LOC117591732|XP_034140939.1|DGUA, LOC117580178|XP_034122428.1|DGUA	LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	LOC117589276|XP_034136957.1|DGUA	LOC115632620|XP_030385708.1|SLEB
OG0000048	LOC117588957|XP_034136435.1|DGUA	LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC117583262|XP_034127380.1|DGUA	LOC115625514|XP_030376439.1|SLEB
OG0000049	LOC117583088|XP_034127157.1|DGUA	LOC115631187|XP_030383738.1|SLEB
OG0000049	LOC117583087|XP_034127156.1|DGUA	LOC115625471|XP_030376380.1|SLEB
OG0000049	LOC117583320|XP_034127470.1|DGUA	LOC115625469|XP_030376378.1|SLEB
OG0000049	LOC117583322|XP_034127471.1|DGUA	LOC115625467|XP_030376376.1|SLEB
OG0000049	LOC117583323|XP_034127472.1|DGUA	LOC115625232|XP_030376077.1|SLEB
OG0000049	LOC117583085|XP_034127153.1|DGUA	LOC115621014|XP_030370394.1|SLEB
OG0000050	LOC117580059|XP_034122189.1|DGUA	LOC115632844|XP_030385961.1|SLEB
OG0000050	LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA	LOC115632845|XP_030385962.1|SLEB
OG0000050	LOC117580434|XP_034122880.1|DGUA	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB
OG0000051	LOC117584976|XP_034130071.1|DGUA	LOC115624036|XP_030374474.1|SLEB
OG0000051	LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA	LOC115620987|XP_030370367.1|SLEB
OG0000052	LOC117585521|XP_034130918.1|DGUA	LOC115621355|XP_030370842.1|SLEB
OG0000052	LOC117579366|XP_034121106.1|DGUA, LOC117579361|XP_034121090.1|DGUA	LOC115621366|XP_030370854.1|SLEB
OG0000053	LOC117591851|XP_034141110.1|DGUA	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB
OG0000053	LOC117591850|XP_034141108.1|DGUA	LOC115634038|XP_030387442.1|SLEB
OG0000053	LOC117591849|XP_034141106.1|DGUA	LOC115634037|XP_030387441.1|SLEB
OG0000053	LOC117589695|XP_034137786.1|DGUA	LOC115634626|XP_030388341.1|SLEB
OG0000054	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB
OG0000054	LOC117585613|XP_034131060.1|DGUA	LOC115623633|XP_030373934.1|SLEB
OG0000054	LOC117585615|XP_034131067.1|DGUA	LOC115624033|XP_030374471.1|SLEB
OG0000056	LOC117582718|XP_034126532.1|DGUA	LOC115626734|XP_030378039.1|SLEB
OG0000056	LOC117582720|XP_034126536.1|DGUA, LOC117582719|XP_034126535.1|DGUA	LOC115626727|XP_030378033.1|SLEB
OG0000056	LOC117589786|XP_034137875.1|DGUA, LOC117589687|XP_034137734.1|DGUA	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB
OG0000058	LOC117588076|XP_034135032.1|DGUA, LOC117588074|XP_034135030.1|DGUA, LOC117581983|XP_034125368.1|DGUA, LOC117588075|XP_034135031.1|DGUA	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB
OG0000058	LOC117580786|XP_034123373.1|DGUA	LOC115629610|XP_030381967.1|SLEB
OG0000059	LOC117582883|XP_034126847.1|DGUA	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB
OG0000059	LOC117582882|XP_034126846.1|DGUA	LOC115621386|XP_030370879.1|SLEB
OG0000059	LOC117582940|XP_034126935.1|DGUA	LOC115620757|XP_030370013.1|SLEB
OG0000060	LOC117591001|XP_034139974.1|DGUA	LOC115629929|XP_030382393.1|SLEB
OG0000060	LOC117582364|XP_034125913.1|DGUA	LOC115630565|XP_030383041.1|SLEB
OG0000060	LOC117586071|XP_034131812.1|DGUA	LOC115623364|XP_030373510.1|SLEB
