Orthogroup	DGUA.longest_only	DSER.longest_only
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC110177689|XP_020800171.1|DSER
OG0000003	LOC117592340|XP_034141928.1|DGUA	LOC110177694|XP_020800177.1|DSER, LOC110177698|XP_020800183.1|DSER
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER
OG0000005	LOC117591646|XP_034140862.1|DGUA	LOC110180660|XP_020804010.1|DSER
OG0000005	LOC117591690|XP_034140904.1|DGUA	LOC110180706|XP_020804045.1|DSER
OG0000005	LOC117591790|XP_034140985.1|DGUA	LOC110182167|XP_020805828.1|DSER
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC117591672|XP_034140886.1|DGUA	LOC110180700|XP_020804040.1|DSER
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC110182141|XP_020805811.1|DSER, LOC110180689|XP_020804033.1|DSER, LOC110182434|XP_020806128.1|DSER, LOC110182140|XP_020805810.1|DSER, LOC110181333|XP_020804710.1|DSER, LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC110184726|XP_020809013.1|DSER
OG0000007	LOC117584024|XP_034128652.1|DGUA	LOC110182363|XP_020806064.1|DSER
OG0000007	LOC117583201|XP_034127296.1|DGUA	LOC110189366|XP_020815075.1|DSER
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC117587067|XP_034133401.1|DGUA	LOC110190669|XP_020816933.1|DSER
OG0000007	LOC117584025|XP_034128653.1|DGUA	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000007	LOC117587430|XP_034133997.1|DGUA	LOC110184731|XP_020809018.1|DSER
OG0000007	LOC117587431|XP_034133998.1|DGUA	LOC110184732|XP_020809019.1|DSER
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC110191725|XP_020818302.1|DSER
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC117585408|XP_034130767.1|DGUA	LOC110186309|XP_020811090.1|DSER
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER
OG0000009	LOC117587230|XP_034133688.1|DGUA	LOC110181065|XP_020804398.1|DSER
OG0000009	LOC117586357|XP_034132268.1|DGUA	LOC110176644|XP_020798730.1|DSER
OG0000009	LOC117588654|XP_034135988.1|DGUA	LOC110178269|XP_020800994.1|DSER
OG0000009	LOC117588663|XP_034136000.1|DGUA	LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER
OG0000010	LOC117583778|XP_034128224.1|DGUA	LOC110182164|XP_020805826.1|DSER
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC110183810|XP_020807821.1|DSER
OG0000010	LOC117591679|XP_034140894.1|DGUA	LOC110180673|XP_020804019.1|DSER, LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER, LOC110180663|XP_020804013.1|DSER
OG0000011	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA	LOC110178138|XP_020800825.1|DSER, LOC110185094|XP_020809444.1|DSER, LOC110183280|XP_020807170.1|DSER, LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER, LOC110183170|XP_020807021.1|DSER, LOC110182672|XP_020806412.1|DSER, LOC110185813|XP_020810477.1|DSER, LOC110182278|XP_020805955.1|DSER
OG0000011	LOC117579965|XP_034122030.1|DGUA	LOC110191403|XP_020817919.1|DSER
OG0000011	LOC117585951|XP_034131639.1|DGUA	LOC110185215|XP_020809607.1|DSER
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC110178863|XP_020801799.1|DSER
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC110178859|XP_020801786.1|DSER
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC110190967|XP_020817320.1|DSER
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC110176037|XP_020797910.1|DSER
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA	LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER
OG0000012	LOC117585406|XP_034130769.1|DGUA	LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER
OG0000012	LOC117592596|XP_034142370.1|DGUA	LOC110178311|XP_020801063.1|DSER
OG0000012	LOC117592593|XP_034142368.1|DGUA	LOC110178377|XP_020801172.1|DSER
OG0000012	LOC117592595|XP_034142369.1|DGUA	LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER
OG0000012	LOC117592597|XP_034142371.1|DGUA	LOC110178292|XP_020801024.1|DSER
OG0000012	LOC117592598|XP_034142372.1|DGUA	LOC110178324|XP_020801093.1|DSER
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC110188838|XP_020814394.1|DSER
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC110188074|XP_020813284.1|DSER
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER
OG0000013	LOC117583601|XP_034127885.1|DGUA	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000015	LOC117588212|XP_034135242.1|DGUA	LOC110179364|XP_020802537.1|DSER
OG0000016	LOC117589945|XP_034138127.1|DGUA	LOC110185112|XP_020809466.1|DSER
OG0000016	LOC117587659|XP_034134479.1|DGUA	LOC110182974|XP_020806826.1|DSER
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC110186803|XP_020811744.1|DSER
OG0000016	LOC117587872|XP_034134741.1|DGUA	LOC110187883|XP_020813027.1|DSER
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC110181494|XP_020804920.1|DSER
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC110189526|XP_020815315.1|DSER
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC110191952|XP_020818633.1|DSER
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC110179844|XP_020803110.1|DSER
OG0000017	LOC117582389|XP_034125960.1|DGUA	LOC110182944|XP_020806786.1|DSER
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC110189651|XP_020815456.1|DSER
OG0000017	LOC117583173|XP_034127261.1|DGUA	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER
OG0000017	LOC117580469|XP_034122942.1|DGUA	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER
OG0000017	LOC117583419|XP_034127607.1|DGUA	LOC110189689|XP_020815522.1|DSER
OG0000017	LOC117592152|XP_034141609.1|DGUA	LOC110178449|XP_020801243.1|DSER
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC110184702|XP_020808977.1|DSER
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC110184746|XP_020809033.1|DSER
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC110184752|XP_020809041.1|DSER
OG0000018	LOC117587361|XP_034133894.1|DGUA	LOC110184704|XP_020808979.1|DSER, LOC110184742|XP_020809030.1|DSER
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA	LOC110186753|XP_020811674.1|DSER
OG0000019	LOC117583705|XP_034128081.1|DGUA	LOC110186746|XP_020811668.1|DSER
OG0000019	LOC117583723|XP_034128130.1|DGUA	LOC110186754|XP_020811675.1|DSER
OG0000019	LOC117583722|XP_034128122.1|DGUA	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC110186419|XP_020811254.1|DSER
OG0000020	LOC117578526|XP_034119977.1|DGUA	LOC110179314|XP_020802461.1|DSER
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC110188252|XP_020813584.1|DSER
OG0000020	LOC117590165|XP_034138451.1|DGUA	LOC110186984|XP_020811998.1|DSER
OG0000020	LOC117584402|XP_034129156.1|DGUA	LOC110187270|XP_020812316.1|DSER
OG0000021	LOC117578556|XP_034120020.1|DGUA	LOC110180622|XP_020803965.1|DSER
OG0000021	LOC117580314|XP_034122704.1|DGUA	LOC110177674|XP_020800156.1|DSER
OG0000021	LOC117580733|XP_034123298.1|DGUA	LOC110177755|XP_020800276.1|DSER
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC110181842|XP_020805408.1|DSER
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC110184678|XP_020808951.1|DSER
OG0000021	LOC117582802|XP_034126721.1|DGUA	LOC110190995|XP_020817366.1|DSER
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC110176354|XP_020798342.1|DSER
OG0000022	LOC117587283|XP_034133760.1|DGUA	LOC110178658|XP_020801510.1|DSER
OG0000022	LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA	LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER
OG0000022	LOC117587284|XP_034133762.1|DGUA	LOC110178662|XP_020801517.1|DSER
OG0000023	LOC117586009|XP_034131729.1|DGUA	LOC110188311|XP_020813678.1|DSER
OG0000023	LOC117586008|XP_034131728.1|DGUA	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER
OG0000023	LOC117591288|XP_034140381.1|DGUA	LOC110180829|XP_020804169.1|DSER
OG0000023	LOC117586007|XP_034131727.1|DGUA	LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC110188454|XP_020813842.1|DSER
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC110188692|XP_020814155.1|DSER
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC110188691|XP_020814154.1|DSER
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC110188690|XP_020814152.1|DSER
OG0000024	LOC117580026|XP_034122146.1|DGUA	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER
OG0000024	LOC117580040|XP_034122171.1|DGUA	LOC110179365|XP_020802539.1|DSER
OG0000024	LOC117591149|XP_034140151.1|DGUA	LOC110185697|XP_020810324.1|DSER
OG0000024	LOC117578502|XP_034119928.1|DGUA	LOC110179322|XP_020802473.1|DSER
OG0000024	LOC117592048|XP_034141425.1|DGUA	LOC110180569|XP_020803926.1|DSER
OG0000025	LOC117590412|XP_034138901.1|DGUA	LOC110182356|XP_020806054.1|DSER
OG0000025	LOC117591670|XP_034140884.1|DGUA	LOC110182432|XP_020806127.1|DSER
OG0000026	LOC117588644|XP_034135968.1|DGUA	LOC110176041|XP_020797911.1|DSER
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC110182689|XP_020806441.1|DSER
OG0000026	LOC117581101|XP_034123883.1|DGUA	LOC110179505|XP_020802740.1|DSER
OG0000026	LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA	LOC110189572|XP_020815365.1|DSER
OG0000026	LOC117589578|XP_034137528.1|DGUA	LOC110188271|XP_020813620.1|DSER
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC110176950|XP_020799111.1|DSER
OG0000027	LOC117582236|XP_034125737.1|DGUA	LOC110176976|XP_020799142.1|DSER
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC110176929|XP_020799084.1|DSER
OG0000028	LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA, LOC117579887|XP_034121914.1|DGUA	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER
OG0000028	LOC117588956|XP_034136434.1|DGUA	LOC110190608|XP_020816860.1|DSER
OG0000029	LOC117592282|XP_034141836.1|DGUA	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER
OG0000029	LOC117589682|XP_034137727.1|DGUA	LOC110185765|XP_020810430.1|DSER
OG0000029	LOC117579424|XP_034121195.1|DGUA	LOC110178924|XP_020801869.1|DSER
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC110184885|XP_020809189.1|DSER
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC110180192|XP_020803508.1|DSER
OG0000030	LOC117581439|XP_034124532.1|DGUA	LOC110184177|XP_020808247.1|DSER
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC110185921|XP_020810593.1|DSER
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC110183330|XP_020807237.1|DSER
OG0000032	LOC117583029|XP_034127075.1|DGUA	LOC110191017|XP_020817393.1|DSER
OG0000032	LOC117583030|XP_034127077.1|DGUA	LOC110189627|XP_020815431.1|DSER
OG0000032	LOC117583031|XP_034127078.1|DGUA	LOC110190954|XP_020817297.1|DSER
OG0000032	LOC117583028|XP_034127074.1|DGUA	LOC110190425|XP_020816566.1|DSER
OG0000032	LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER
OG0000033	LOC117583114|XP_034127189.1|DGUA	LOC110184954|XP_020809264.1|DSER, LOC110185945|XP_020810623.1|DSER
OG0000033	LOC117578485|XP_034119909.1|DGUA	LOC110189687|XP_020815520.1|DSER
OG0000033	LOC117578484|XP_034119908.1|DGUA	LOC110189686|XP_020815519.1|DSER
OG0000033	LOC117589901|XP_034138062.1|DGUA	LOC110188470|XP_020813858.1|DSER, LOC110188471|XP_020813859.1|DSER, LOC110188478|XP_020813866.1|DSER
OG0000034	LOC117584525|XP_034129365.1|DGUA	LOC110184859|XP_020809159.1|DSER
OG0000034	LOC117584539|XP_034129382.1|DGUA	LOC110184879|XP_020809185.1|DSER
OG0000034	LOC117584364|XP_034129093.1|DGUA	LOC110184890|XP_020809195.1|DSER
OG0000034	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA	LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER
OG0000034	LOC117588068|XP_034135019.1|DGUA	LOC110185768|XP_020810429.1|DSER
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC110188341|XP_020813708.1|DSER
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC110191887|XP_020818531.1|DSER
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC110187659|XP_020812737.1|DSER
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC110186335|XP_020811144.1|DSER
OG0000037	LOC117581190|XP_034124041.1|DGUA	LOC110178458|XP_020801255.1|DSER
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC110189906|XP_020815830.1|DSER
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC110181782|XP_020805320.1|DSER
OG0000039	LOC117590456|XP_034138981.1|DGUA	LOC110181861|XP_020805441.1|DSER
OG0000039	LOC117590454|XP_034138979.1|DGUA	LOC110182039|XP_020805628.1|DSER
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC110181937|XP_020805533.1|DSER
OG0000040	LOC117586415|XP_034132343.1|DGUA	LOC110177295|XP_020799616.1|DSER
OG0000040	LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	LOC110190225|XP_020816248.1|DSER
OG0000040	LOC117585623|XP_034131079.1|DGUA	LOC110190236|XP_020816258.1|DSER
OG0000040	LOC117585926|XP_034131583.1|DGUA	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER
OG0000040	LOC117586490|XP_034132479.1|DGUA	LOC110177296|XP_020799617.1|DSER
OG0000040	LOC117585962|XP_034131662.1|DGUA	LOC110177417|XP_020799793.1|DSER
OG0000040	LOC117583720|XP_034128120.1|DGUA	LOC110186252|XP_020810992.1|DSER
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER
OG0000041	LOC117585914|XP_034131569.1|DGUA	LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER
OG0000042	LOC117592397|XP_034142005.1|DGUA	LOC110191593|XP_020818136.1|DSER
OG0000042	LOC117592396|XP_034142004.1|DGUA	LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER
OG0000042	LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	LOC110191595|XP_020818140.1|DSER, LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER
OG0000042	LOC117592399|XP_034142008.1|DGUA	LOC110191697|XP_020818272.1|DSER, LOC110191695|XP_020818269.1|DSER
OG0000043	LOC117585018|XP_034130150.1|DGUA	LOC110187856|XP_020813000.1|DSER
OG0000043	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	LOC110188004|XP_020813185.1|DSER
OG0000043	LOC117585502|XP_034130891.1|DGUA	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER
OG0000043	LOC117584981|XP_034130079.1|DGUA	LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER
OG0000043	LOC117585441|XP_034130807.1|DGUA	LOC110187786|XP_020812917.1|DSER
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER
OG0000044	LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA	LOC110186555|XP_020811417.1|DSER, LOC110186661|XP_020811584.1|DSER
OG0000044	LOC117590011|XP_034138189.1|DGUA	LOC110186693|XP_020811620.1|DSER
OG0000045	LOC117586936|XP_034133192.1|DGUA	LOC110178672|XP_020801529.1|DSER
OG0000045	LOC117587010|XP_034133310.1|DGUA	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER
OG0000045	LOC117579473|XP_034121255.1|DGUA	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER
OG0000045	LOC117579463|XP_034121242.1|DGUA	LOC110187537|XP_020812593.1|DSER
OG0000046	LOC117589785|XP_034137874.1|DGUA	LOC110188408|XP_020813792.1|DSER
OG0000046	LOC117591350|XP_034140469.1|DGUA	LOC110180077|XP_020803358.1|DSER, LOC110180079|XP_020803360.1|DSER
OG0000046	LOC117592033|XP_034141382.1|DGUA	LOC110180089|XP_020803371.1|DSER, LOC110180088|XP_020803370.1|DSER
OG0000046	LOC117583276|XP_034127392.1|DGUA	LOC110185913|XP_020810588.1|DSER, LOC110185924|XP_020810599.1|DSER, LOC110184743|XP_020809034.1|DSER, LOC110184620|XP_020808877.1|DSER, LOC110184815|XP_020809118.1|DSER
OG0000047	LOC117591384|XP_034140523.1|DGUA	LOC110180463|XP_020803800.1|DSER
OG0000047	LOC117592295|XP_034141855.1|DGUA	LOC110176287|XP_020798269.1|DSER
OG0000047	LOC117582832|XP_034126782.1|DGUA	LOC110189583|XP_020815375.1|DSER
OG0000047	LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA	LOC110184762|XP_020809052.1|DSER
OG0000047	LOC117591732|XP_034140939.1|DGUA	LOC110189698|XP_020815532.1|DSER
OG0000047	LOC117580178|XP_034122428.1|DGUA	LOC110184679|XP_020808950.1|DSER
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	LOC110190450|XP_020816610.1|DSER, LOC110190451|XP_020816611.1|DSER
OG0000048	LOC117589276|XP_034136957.1|DGUA	LOC110190447|XP_020816607.1|DSER
