Orthogroup	DGUA.longest_only	DELE.longest_only
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC108148321|XP_017130801.1|DELE
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC108148324|XP_017130804.1|DELE
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC108137036|XP_017114024.1|DELE
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC108136709|XP_017113523.1|DELE
OG0000009	LOC117585408|XP_034130767.1|DGUA	LOC108144089|XP_017124230.1|DELE
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE
OG0000009	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA	LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE
OG0000009	LOC117587230|XP_034133688.1|DGUA	LOC108144916|XP_017125568.1|DELE
OG0000009	LOC117586357|XP_034132268.1|DGUA	LOC108135151|XP_017111261.1|DELE
OG0000009	LOC117588654|XP_034135988.1|DGUA	LOC108137992|XP_017115455.1|DELE
OG0000009	LOC117588663|XP_034136000.1|DGUA	LOC108137889|XP_017115317.1|DELE
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC108139189|XP_017117303.1|DELE
OG0000011	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA	LOC108139056|XP_017117164.1|DELE, LOC108136397|XP_017112996.1|DELE, LOC108146665|XP_017128206.1|DELE, LOC108139057|XP_017117165.1|DELE, LOC108138672|XP_017116504.1|DELE, LOC108146131|XP_017127468.1|DELE, LOC108146591|XP_017128102.1|DELE, LOC108143859|XP_017123910.1|DELE, LOC108137357|XP_017114480.1|DELE, LOC108134970|XP_017110989.1|DELE, LOC108138785|XP_017116749.1|DELE, LOC108150498|XP_017134198.1|DELE, LOC108150409|XP_017134056.1|DELE, LOC108138422|XP_017116107.1|DELE
OG0000011	LOC117579965|XP_034122030.1|DGUA	LOC108146667|XP_017128209.1|DELE
OG0000011	LOC117579216|XP_034120874.1|DGUA	LOC108146666|XP_017128208.1|DELE
OG0000011	LOC117585951|XP_034131639.1|DGUA	LOC108139281|XP_017117466.1|DELE
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC108145523|XP_017126497.1|DELE
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC108145522|XP_017126496.1|DELE
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC108145538|XP_017126526.1|DELE
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC108145542|XP_017126531.1|DELE
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA	LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE
OG0000012	LOC117585406|XP_034130769.1|DGUA	LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE
OG0000012	LOC117592596|XP_034142370.1|DGUA	LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE
OG0000012	LOC117592593|XP_034142368.1|DGUA	LOC108137877|XP_017115304.1|DELE
OG0000012	LOC117592595|XP_034142369.1|DGUA	LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE
OG0000012	LOC117592597|XP_034142371.1|DGUA	LOC108137950|XP_017115398.1|DELE
OG0000012	LOC117592598|XP_034142372.1|DGUA	LOC108137951|XP_017115399.1|DELE
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC108149749|XP_017133029.1|DELE
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC108137631|XP_017114906.1|DELE
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC108134833|XP_017110785.1|DELE
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC108146660|XP_017128198.1|DELE
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC108135085|XP_017111146.1|DELE
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	LOC108136687|XP_017113497.1|DELE
OG0000013	LOC117583601|XP_034127885.1|DGUA	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE
OG0000015	LOC117588212|XP_034135242.1|DGUA	LOC108144693|XP_017125256.1|DELE
OG0000016	LOC117589945|XP_034138127.1|DGUA	LOC108139227|XP_017117379.1|DELE
OG0000016	LOC117587659|XP_034134479.1|DGUA	LOC108145428|XP_017126326.1|DELE
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC108135797|XP_017112156.1|DELE
OG0000016	LOC117592229|XP_034141753.1|DGUA	LOC108144651|XP_017125185.1|DELE
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC108140881|XP_017119405.1|DELE
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC108134657|XP_017110539.1|DELE
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC108140478|XP_017118708.1|DELE
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC108143220|XP_017123005.1|DELE
OG0000017	LOC117582389|XP_034125960.1|DGUA	LOC108149934|XP_017133339.1|DELE
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC108134991|XP_017111013.1|DELE
OG0000017	LOC117583173|XP_034127261.1|DGUA	LOC108137351|XP_017114475.1|DELE
OG0000017	LOC117580469|XP_034122942.1|DGUA	LOC108143462|XP_017123388.1|DELE
OG0000017	LOC117583419|XP_034127607.1|DGUA	LOC108141554|XP_017120482.1|DELE
OG0000017	LOC117592152|XP_034141609.1|DGUA	LOC108143281|XP_017123085.1|DELE
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	LOC108147936|XP_017130210.1|DELE, LOC108147886|XP_017130134.1|DELE
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC108142474|XP_017121847.1|DELE
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC108142172|XP_017121346.1|DELE
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC108142475|XP_017121848.1|DELE
OG0000018	LOC117587361|XP_034133894.1|DGUA	LOC108142476|XP_017121849.1|DELE, LOC108142480|XP_017121852.1|DELE, LOC108142478|XP_017121851.1|DELE, LOC108142483|XP_017121857.1|DELE
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA	LOC108148666|XP_017131288.1|DELE
OG0000019	LOC117583705|XP_034128081.1|DGUA	LOC108148661|XP_017131282.1|DELE
OG0000019	LOC117583723|XP_034128130.1|DGUA	LOC108148667|XP_017131289.1|DELE
OG0000019	LOC117583722|XP_034128122.1|DGUA	LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC108148802|XP_017131514.1|DELE
OG0000020	LOC117578526|XP_034119977.1|DGUA	LOC108145240|XP_017125995.1|DELE
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC108136813|XP_017113705.1|DELE
OG0000020	LOC117590165|XP_034138451.1|DGUA	LOC108140627|XP_017119032.1|DELE
OG0000020	LOC117584402|XP_034129156.1|DGUA	LOC108142115|XP_017121302.1|DELE
OG0000021	LOC117580314|XP_034122704.1|DGUA	LOC108143679|XP_017123678.1|DELE
OG0000021	LOC117580733|XP_034123298.1|DGUA	LOC108143658|XP_017123658.1|DELE
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC108140888|XP_017119410.1|DELE
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC108139148|XP_017117255.1|DELE
OG0000021	LOC117582802|XP_034126721.1|DGUA	LOC108134787|XP_017110724.1|DELE
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC108144256|XP_017124426.1|DELE
OG0000022	LOC117587283|XP_034133760.1|DGUA	LOC108145706|XP_017126756.1|DELE
OG0000022	LOC117587284|XP_034133762.1|DGUA	LOC108145945|XP_017127141.1|DELE
OG0000022	LOC117587282|XP_034133759.1|DGUA	LOC108145941|XP_017127138.1|DELE
OG0000023	LOC117586396|XP_034132318.1|DGUA	LOC108140988|XP_017119550.1|DELE
OG0000023	LOC117586009|XP_034131729.1|DGUA	LOC108140990|XP_017119554.1|DELE
OG0000023	LOC117586008|XP_034131728.1|DGUA	LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE
OG0000023	LOC117591288|XP_034140381.1|DGUA	LOC108137536|XP_017114748.1|DELE
OG0000023	LOC117586007|XP_034131727.1|DGUA	LOC108140985|XP_017119548.1|DELE
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC108140949|XP_017119506.1|DELE
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC108141054|XP_017119691.1|DELE
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC108141157|XP_017119872.1|DELE
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC108141055|XP_017119693.1|DELE
OG0000024	LOC117580035|XP_034122157.1|DGUA	LOC108144322|XP_017124512.1|DELE
OG0000024	LOC117580026|XP_034122146.1|DGUA	LOC108144321|XP_017124511.1|DELE
OG0000024	LOC117580040|XP_034122171.1|DGUA	LOC108144317|XP_017124507.1|DELE
OG0000024	LOC117591149|XP_034140151.1|DGUA	LOC108134565|XP_017110407.1|DELE
OG0000024	LOC117592048|XP_034141425.1|DGUA	LOC108149067|XP_017131913.1|DELE
OG0000025	LOC117590412|XP_034138901.1|DGUA	LOC108136491|XP_017113196.1|DELE
OG0000026	LOC117588644|XP_034135968.1|DGUA	LOC108142200|XP_017121376.1|DELE
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC108148207|XP_017130606.1|DELE
OG0000026	LOC117581101|XP_034123883.1|DGUA	LOC108137717|XP_017115091.1|DELE
OG0000026	LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA	LOC108148316|XP_017130795.1|DELE
OG0000026	LOC117589578|XP_034137528.1|DGUA	LOC108140970|XP_017119526.1|DELE
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC108138066|XP_017115531.1|DELE
OG0000027	LOC117582236|XP_034125737.1|DGUA	LOC108138053|XP_017115518.1|DELE
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC108138043|XP_017115505.1|DELE
OG0000028	LOC117579887|XP_034121914.1|DGUA	LOC108146069|XP_017127372.1|DELE
OG0000028	LOC117588956|XP_034136434.1|DGUA	LOC108145772|XP_017126831.1|DELE
OG0000029	LOC117592282|XP_034141836.1|DGUA	LOC108141306|XP_017120062.1|DELE
OG0000029	LOC117589682|XP_034137727.1|DGUA	LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE
OG0000029	LOC117579424|XP_034121195.1|DGUA	LOC108135556|XP_017111792.1|DELE
OG0000030	LOC117582242|XP_034125744.1|DGUA	LOC108138012|XP_017115471.1|DELE, LOC108138011|XP_017115470.1|DELE
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC108147758|XP_017129978.1|DELE
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC108143463|XP_017123389.1|DELE
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC108136286|XP_017112860.1|DELE
OG0000030	LOC117581439|XP_034124532.1|DGUA	LOC108147607|XP_017129735.1|DELE
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC108138004|XP_017115462.1|DELE, LOC108138214|XP_017115823.1|DELE, LOC108138259|XP_017115893.1|DELE, LOC108138165|XP_017115746.1|DELE
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC108142073|XP_017121248.1|DELE
OG0000032	LOC117583031|XP_034127078.1|DGUA	LOC108134793|XP_017110731.1|DELE
OG0000032	LOC117583028|XP_034127074.1|DGUA	LOC108134776|XP_017110712.1|DELE
OG0000032	LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA	LOC108141567|XP_017120502.1|DELE
OG0000033	LOC117583114|XP_034127189.1|DGUA	LOC108148602|XP_017131169.1|DELE
OG0000033	LOC117578485|XP_034119909.1|DGUA	LOC108145061|XP_017125731.1|DELE
OG0000033	LOC117578484|XP_034119908.1|DGUA	LOC108145060|XP_017125730.1|DELE
OG0000033	LOC117589901|XP_034138062.1|DGUA	LOC108135468|XP_017111699.1|DELE, LOC108135862|XP_017112252.1|DELE, LOC108137918|XP_017115348.1|DELE
OG0000034	LOC117584525|XP_034129365.1|DGUA	LOC108150425|XP_017134072.1|DELE
OG0000034	LOC117584364|XP_034129093.1|DGUA	LOC108150530|XP_017134248.1|DELE
OG0000034	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA	LOC108137009|XP_017113996.1|DELE, LOC108136700|XP_017113513.1|DELE
OG0000034	LOC117588068|XP_034135019.1|DGUA	LOC108134580|XP_017110423.1|DELE
OG0000036	LOC117586375|XP_034132294.1|DGUA	LOC108141221|XP_017119962.1|DELE
OG0000036	LOC117589622|XP_034137600.1|DGUA	LOC108141229|XP_017119974.1|DELE
OG0000036	LOC117590096|XP_034138331.1|DGUA	LOC108141167|XP_017119884.1|DELE
OG0000036	LOC117583751|XP_034128161.1|DGUA	LOC108134742|XP_017110664.1|DELE
OG0000037	LOC117581190|XP_034124041.1|DGUA	LOC108145158|XP_017125873.1|DELE
OG0000037	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA	LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE
OG0000038	LOC117579886|XP_034121913.1|DGUA	LOC108146067|XP_017127370.1|DELE
OG0000038	LOC117579879|XP_034121893.1|DGUA	LOC108146005|XP_017127248.1|DELE
OG0000039	LOC117586049|XP_034131784.1|DGUA	LOC108148259|XP_017130681.1|DELE
OG0000039	LOC117590455|XP_034138980.1|DGUA	LOC108135451|XP_017111682.1|DELE
OG0000039	LOC117590456|XP_034138981.1|DGUA	LOC108135405|XP_017111592.1|DELE
OG0000039	LOC117588357|XP_034135459.1|DGUA	LOC108147617|XP_017129742.1|DELE
OG0000040	LOC117586415|XP_034132343.1|DGUA	LOC108140733|XP_017119198.1|DELE
OG0000040	LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA	LOC108136930|XP_017113894.1|DELE
OG0000040	LOC117585623|XP_034131079.1|DGUA	LOC108136932|XP_017113896.1|DELE
OG0000040	LOC117585926|XP_034131583.1|DGUA	LOC108140734|XP_017119199.1|DELE, LOC108140735|XP_017119200.1|DELE
OG0000040	LOC117585962|XP_034131662.1|DGUA	LOC108140405|XP_017118609.1|DELE
OG0000040	LOC117583720|XP_034128120.1|DGUA	LOC108143008|XP_017122685.1|DELE
OG0000041	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE
OG0000041	LOC117585914|XP_034131569.1|DGUA	LOC108143886|XP_017123949.1|DELE
OG0000042	LOC117588578|XP_034135864.1|DGUA	LOC108137297|XP_017114407.1|DELE
OG0000042	LOC117592397|XP_034142005.1|DGUA	LOC108139192|XP_017117319.1|DELE
OG0000042	LOC117592396|XP_034142004.1|DGUA	LOC108139163|XP_017117272.1|DELE
OG0000042	LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA	LOC108139199|XP_017117331.1|DELE, LOC108139151|XP_017117261.1|DELE, LOC108147611|XP_017129779.1|DELE
OG0000042	LOC117592399|XP_034142008.1|DGUA	LOC108139178|XP_017117292.1|DELE
OG0000043	LOC117585018|XP_034130150.1|DGUA	LOC108136707|XP_017113521.1|DELE
OG0000043	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA	LOC108136884|XP_017113826.1|DELE
OG0000043	LOC117585502|XP_034130891.1|DGUA	LOC108137000|XP_017113987.1|DELE
OG0000043	LOC117584981|XP_034130079.1|DGUA	LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE
OG0000043	LOC117585441|XP_034130807.1|DGUA	LOC108136702|XP_017113516.1|DELE
OG0000044	LOC117585917|XP_034131574.1|DGUA	LOC108143748|XP_017123768.1|DELE
OG0000044	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA	LOC108143753|XP_017123772.1|DELE, LOC108143769|XP_017123786.1|DELE, LOC108143754|XP_017123773.1|DELE
OG0000044	LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA	LOC108143771|XP_017123788.1|DELE, LOC108143751|XP_017123771.1|DELE, LOC108143749|XP_017123769.1|DELE
OG0000044	LOC117590011|XP_034138189.1|DGUA	LOC108140749|XP_017119215.1|DELE
OG0000045	LOC117586936|XP_034133192.1|DGUA	LOC108150162|XP_017133621.1|DELE
OG0000045	LOC117587010|XP_034133310.1|DGUA	LOC108150135|XP_017133591.1|DELE, LOC108150141|XP_017133599.1|DELE
OG0000045	LOC117579473|XP_034121255.1|DGUA	LOC108146641|XP_017128175.1|DELE
OG0000045	LOC117579463|XP_034121242.1|DGUA	LOC108146602|XP_017128138.1|DELE
OG0000046	LOC117589785|XP_034137874.1|DGUA	LOC108140976|XP_017119535.1|DELE
OG0000046	LOC117591350|XP_034140469.1|DGUA	LOC108134821|XP_017110764.1|DELE, LOC108134933|XP_017110942.1|DELE
OG0000046	LOC117583276|XP_034127392.1|DGUA	LOC108147306|XP_017129219.1|DELE, LOC108147302|XP_017129214.1|DELE, LOC108147114|XP_017128893.1|DELE, LOC108144852|XP_017125488.1|DELE
OG0000047	LOC117591384|XP_034140523.1|DGUA	LOC108137997|XP_017115461.1|DELE
OG0000047	LOC117592295|XP_034141855.1|DGUA	LOC108137888|XP_017115315.1|DELE
OG0000047	LOC117582832|XP_034126782.1|DGUA	LOC108137980|XP_017115444.1|DELE, LOC108149120|XP_017132010.1|DELE
OG0000047	LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA	LOC108150380|XP_017134008.1|DELE
OG0000047	LOC117591732|XP_034140939.1|DGUA	LOC108149847|XP_017133213.1|DELE
OG0000047	LOC117580178|XP_034122428.1|DGUA	LOC108150178|XP_017133656.1|DELE
OG0000048	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA	LOC108145662|XP_017126704.1|DELE, LOC108145661|XP_017126703.1|DELE
OG0000048	LOC117589276|XP_034136957.1|DGUA	LOC108146206|XP_017127613.1|DELE
OG0000048	LOC117588957|XP_034136435.1|DGUA	LOC108146211|XP_017127619.1|DELE
OG0000049	LOC117583088|XP_034127157.1|DGUA	LOC108140399|XP_017118596.1|DELE
OG0000049	LOC117583087|XP_034127156.1|DGUA	LOC108140396|XP_017118593.1|DELE
OG0000049	LOC117583320|XP_034127470.1|DGUA	LOC108140391|XP_017118587.1|DELE
OG0000049	LOC117583322|XP_034127471.1|DGUA	LOC108140398|XP_017118595.1|DELE
OG0000049	LOC117583323|XP_034127472.1|DGUA	LOC108140400|XP_017118597.1|DELE
OG0000049	LOC117583085|XP_034127153.1|DGUA	LOC108140395|XP_017118592.1|DELE
OG0000050	LOC117592164|XP_034141627.1|DGUA	LOC108144105|XP_017124238.1|DELE
OG0000050	LOC117580439|XP_034122886.1|DGUA	LOC108143123|XP_017122853.1|DELE
OG0000050	LOC117580435|XP_034122881.1|DGUA	LOC108143198|XP_017122940.1|DELE
OG0000050	LOC117580059|XP_034122189.1|DGUA	LOC108143121|XP_017122851.1|DELE
OG0000050	LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA	LOC108143197|XP_017122939.1|DELE
OG0000050	LOC117580434|XP_034122880.1|DGUA	LOC108143120|XP_017122849.1|DELE
OG0000050	LOC117580436|XP_034122883.1|DGUA	LOC108143122|XP_017122852.1|DELE
OG0000051	LOC117584976|XP_034130071.1|DGUA	LOC108143756|XP_017123775.1|DELE
OG0000051	LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA	LOC108143275|XP_017123079.1|DELE
OG0000051	LOC117586424|XP_034132352.1|DGUA, LOC117586281|XP_034132126.1|DGUA	LOC108136096|XP_017112560.1|DELE, LOC108141560|XP_017120493.1|DELE
OG0000052	LOC117585521|XP_034130918.1|DGUA	LOC108135035|XP_017111062.1|DELE, LOC108135034|XP_017111060.1|DELE, LOC108135047|XP_017111075.1|DELE, LOC108135173|XP_017111287.1|DELE
OG0000052	LOC117579366|XP_034121106.1|DGUA	LOC108145160|XP_017125875.1|DELE
OG0000052	LOC117579361|XP_034121090.1|DGUA	LOC108145159|XP_017125874.1|DELE
OG0000053	LOC117591851|XP_034141110.1|DGUA	LOC108145358|XP_017126240.1|DELE
OG0000053	LOC117591850|XP_034141108.1|DGUA	LOC108145357|XP_017126239.1|DELE
OG0000053	LOC117591849|XP_034141106.1|DGUA	LOC108145356|XP_017126238.1|DELE
OG0000053	LOC117589695|XP_034137786.1|DGUA	LOC108145362|XP_017126243.1|DELE
OG0000054	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA	LOC108140678|XP_017119113.1|DELE
OG0000054	LOC117585613|XP_034131060.1|DGUA	LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE
OG0000054	LOC117585615|XP_034131067.1|DGUA	LOC108140635|XP_017119043.1|DELE
OG0000055	LOC117586370|XP_034132288.1|DGUA, LOC117586371|XP_034132289.1|DGUA, LOC117591731|XP_034140936.1|DGUA, LOC117585073|XP_034130229.1|DGUA, LOC117586372|XP_034132290.1|DGUA, LOC117591775|XP_034140976.1|DGUA, LOC117586558|XP_034132612.1|DGUA	LOC108148506|XP_017131032.1|DELE
OG0000055	LOC117583475|XP_034127675.1|DGUA	LOC108148467|XP_017130988.1|DELE, LOC108148466|XP_017130987.1|DELE
OG0000056	LOC117582718|XP_034126532.1|DGUA	LOC108148700|XP_017131340.1|DELE
OG0000056	LOC117582720|XP_034126536.1|DGUA	LOC108148703|XP_017131343.1|DELE
