Orthogroup	CPIP.longest_only	DSUP.longest_only
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC119555401|XP_037722683.1|DSUP
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC119556345|XP_037724379.1|DSUP
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC119545787|XP_037707587.1|DSUP, LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000014	LOC120429879|XP_039450893.1|CPIP, LOC120432134|XP_039453197.1|CPIP	LOC119559720|XP_037728710.1|DSUP
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC119560964|XP_037730645.1|DSUP, LOC119551792|XP_037717267.1|DSUP
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC119560636|XP_037730116.1|DSUP
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC119557630|XP_037726388.1|DSUP
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC119555565|XP_037722943.1|DSUP
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC119554781|XP_037721753.1|DSUP
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC119545699|XP_037707379.1|DSUP, LOC119545701|XP_037707381.1|DSUP, LOC119545702|XP_037707383.1|DSUP, LOC119553849|XP_037720426.1|DSUP, LOC119545700|XP_037707380.1|DSUP, LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC119551011|XP_037715994.1|DSUP, LOC119549986|XP_037714317.1|DSUP
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP, LOC119561092|XP_037730913.1|DSUP, LOC119556769|XP_037725126.1|DSUP, LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC119556017|XP_037723717.1|DSUP
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC119552371|XP_037718001.1|DSUP, LOC119560336|XP_037729656.1|DSUP, LOC119555956|XP_037723602.1|DSUP
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC119550370|XP_037714944.1|DSUP, LOC119553490|XP_037719826.1|DSUP, LOC119555408|XP_037722693.1|DSUP, LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP, LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP, LOC119555580|XP_037722981.1|DSUP
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC119559780|XP_037728787.1|DSUP, LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP, LOC119559786|XP_037728794.1|DSUP, LOC119559783|XP_037728790.1|DSUP, LOC119550999|XP_037715976.1|DSUP, LOC119559784|XP_037728792.1|DSUP, LOC119559779|XP_037728786.1|DSUP, LOC119559782|XP_037728789.1|DSUP, LOC119559778|XP_037728785.1|DSUP, LOC119559785|XP_037728793.1|DSUP
OG0000025	LOC120424200|XP_039444192.1|CPIP	LOC119547413|XP_037710190.1|DSUP
OG0000025	LOC120413278|XP_039429943.1|CPIP, LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC119556135|XP_037723954.1|DSUP
OG0000025	LOC120422949|XP_039442466.1|CPIP	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP
OG0000025	LOC120416729|XP_039434489.1|CPIP	LOC119559249|XP_037728249.1|DSUP
OG0000025	LOC120422943|XP_039442460.1|CPIP	LOC119559246|XP_037728246.1|DSUP
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC119557301|XP_037725939.1|DSUP, LOC119561040|XP_037730797.1|DSUP, LOC119560123|XP_037729401.1|DSUP
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC119548404|XP_037711568.1|DSUP, LOC119548409|XP_037711576.1|DSUP, LOC119548453|XP_037711645.1|DSUP
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC119555139|XP_037722294.1|DSUP, LOC119555149|XP_037722305.1|DSUP, LOC119555148|XP_037722304.1|DSUP, LOC119555138|XP_037722293.1|DSUP, LOC119554395|XP_037721204.1|DSUP, LOC119555144|XP_037722299.1|DSUP, LOC119555146|XP_037722302.1|DSUP, LOC119555150|XP_037722306.1|DSUP, LOC119555145|XP_037722300.1|DSUP, LOC119555143|XP_037722297.1|DSUP, LOC119555141|XP_037722296.1|DSUP, LOC119555140|XP_037722295.1|DSUP, LOC119555147|XP_037722303.1|DSUP, LOC119553994|XP_037720628.1|DSUP, LOC119554450|XP_037721289.1|DSUP, LOC119554646|XP_037721574.1|DSUP
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC119562890|XP_037731935.1|DSUP, LOC119561586|XP_037731129.1|DSUP, LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP, LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP, LOC119554065|XP_037720734.1|DSUP
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP, LOC119547774|XP_037710713.1|DSUP, LOC119546228|XP_037708296.1|DSUP, LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP, LOC119548228|XP_037711295.1|DSUP
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC119559763|XP_037728765.1|DSUP, LOC119559968|XP_037729132.1|DSUP, LOC119559770|XP_037728775.1|DSUP, LOC119559771|XP_037728776.1|DSUP, LOC119560219|XP_037729506.1|DSUP, LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP	LOC119548454|XP_037711646.1|DSUP, LOC119547534|XP_037710356.1|DSUP, LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP, LOC119546951|XP_037709518.1|DSUP
OG0000035	LOC120422668|XP_039442108.1|CPIP, LOC120417424|XP_039435402.1|CPIP	LOC119562531|XP_037731651.1|DSUP, LOC119558615|XP_037727955.1|DSUP, LOC119559671|XP_037728655.1|DSUP, LOC119558644|XP_037727969.1|DSUP, LOC119559600|XP_037728543.1|DSUP, LOC119547998|XP_037710985.1|DSUP, LOC119559682|XP_037728666.1|DSUP, LOC119562535|XP_037731659.1|DSUP, LOC119562491|XP_037731623.1|DSUP, LOC119562542|XP_037731666.1|DSUP, LOC119554014|XP_037720659.1|DSUP, LOC119561804|XP_037731211.1|DSUP, LOC119551694|XP_037717091.1|DSUP, LOC119553283|XP_037719521.1|DSUP
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC119560416|XP_037729780.1|DSUP
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC119555899|XP_037723507.1|DSUP
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC119549907|XP_037714155.1|DSUP, LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC119555136|XP_037722291.1|DSUP
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC119555124|XP_037722276.1|DSUP
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC119560141|XP_037729421.1|DSUP
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC119554437|XP_037721279.1|DSUP, LOC119554447|XP_037721290.1|DSUP, LOC119562401|XP_037731528.1|DSUP, LOC119550675|XP_037715466.1|DSUP, LOC119550683|XP_037715478.1|DSUP
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC119563116|XP_037732288.1|DSUP, LOC119562926|XP_037732005.1|DSUP, LOC119563115|XP_037732286.1|DSUP, LOC119556175|XP_037724028.1|DSUP, LOC119563048|XP_037732184.1|DSUP, LOC119556257|XP_037724233.1|DSUP, LOC119556250|XP_037724220.1|DSUP, LOC119554418|XP_037721239.1|DSUP, LOC119556264|XP_037724244.1|DSUP
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC119558156|XP_037727329.1|DSUP, LOC119555966|XP_037723621.1|DSUP, LOC119555955|XP_037723600.1|DSUP, LOC119563136|XP_037732321.1|DSUP, LOC119555649|XP_037723141.1|DSUP, LOC119563137|XP_037732322.1|DSUP, LOC119548482|XP_037711687.1|DSUP
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC119550226|XP_037714721.1|DSUP, LOC119550295|XP_037714817.1|DSUP, LOC119559372|XP_037728340.1|DSUP, LOC119553262|XP_037719480.1|DSUP, LOC119559393|XP_037728384.1|DSUP, LOC119553673|XP_037720144.1|DSUP
OG0000048	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP	LOC119553986|XP_037720621.1|DSUP, LOC119553984|XP_037720618.1|DSUP, LOC119555323|XP_037722579.1|DSUP
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC119563293|XP_037732549.1|DSUP, LOC119563399|XP_037732686.1|DSUP, LOC119553498|XP_037719841.1|DSUP, LOC119555362|XP_037722631.1|DSUP, LOC119555370|XP_037722644.1|DSUP, LOC119558111|XP_037727267.1|DSUP
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC119560029|XP_037729252.1|DSUP, LOC119551943|XP_037717559.1|DSUP, LOC119546183|XP_037708239.1|DSUP, LOC119556804|XP_037725175.1|DSUP, LOC119556794|XP_037725162.1|DSUP
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC119549495|XP_037713527.1|DSUP, LOC119551763|XP_037717217.1|DSUP
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC119556528|XP_037724737.1|DSUP, LOC119563344|XP_037732619.1|DSUP, LOC119563343|XP_037732618.1|DSUP, LOC119552964|XP_037718891.1|DSUP, LOC119555707|XP_037723302.1|DSUP
OG0000055	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC119545654|XP_037707308.1|DSUP, LOC119545656|XP_037707310.1|DSUP, LOC119545655|XP_037707309.1|DSUP, LOC119545657|XP_037707311.1|DSUP, LOC119545658|XP_037707312.1|DSUP
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC119563020|XP_037732144.1|DSUP, LOC119563019|XP_037732142.1|DSUP, LOC119563022|XP_037732148.1|DSUP, LOC119563021|XP_037732147.1|DSUP, LOC119556291|XP_037724281.1|DSUP, LOC119553956|XP_037720582.1|DSUP
OG0000058	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP	LOC119551503|XP_037716797.1|DSUP, LOC119546999|XP_037709593.1|DSUP, LOC119546998|XP_037709592.1|DSUP, LOC119548424|XP_037711591.1|DSUP, LOC119551928|XP_037717493.1|DSUP, LOC119546720|XP_037709134.1|DSUP, LOC119556721|XP_037725047.1|DSUP
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC119556360|XP_037724450.1|DSUP
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC119550934|XP_037715889.1|DSUP
OG0000061	LOC120415159|XP_039432529.1|CPIP	LOC119547297|XP_037710014.1|DSUP, LOC119547411|XP_037710188.1|DSUP, LOC119547153|XP_037709799.1|DSUP, LOC119547482|XP_037710295.1|DSUP
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC119560888|XP_037730510.1|DSUP, LOC119553386|XP_037719671.1|DSUP
OG0000067	LOC120432651|XP_039453829.1|CPIP	LOC119550078|XP_037714475.1|DSUP, LOC119553465|XP_037719795.1|DSUP
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC119553512|XP_037719863.1|DSUP
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP	LOC119552687|XP_037718340.1|DSUP, LOC119559817|XP_037728832.1|DSUP, LOC119555070|XP_037722207.1|DSUP, LOC119550979|XP_037715942.1|DSUP, LOC119549875|XP_037714104.1|DSUP, LOC119549881|XP_037714113.1|DSUP, LOC119555964|XP_037723613.1|DSUP
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC119547175|XP_037709836.1|DSUP, LOC119546702|XP_037709110.1|DSUP, LOC119553795|XP_037720335.1|DSUP, LOC119546705|XP_037709112.1|DSUP, LOC119556647|XP_037724907.1|DSUP
OG0000071	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP	LOC119552553|XP_037718101.1|DSUP, LOC119552552|XP_037718100.1|DSUP, LOC119554936|XP_037721974.1|DSUP
OG0000072	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC119551080|XP_037716171.1|DSUP, LOC119550992|XP_037715966.1|DSUP, LOC119551079|XP_037716170.1|DSUP
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC119549420|XP_037713422.1|DSUP
OG0000073	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP	LOC119557222|XP_037725820.1|DSUP
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC119559869|XP_037728906.1|DSUP
