Orthogroup	CPIP.longest_only	DSER.longest_only
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP	LOC110188739|XP_020814232.1|DSER, LOC110188430|XP_020813815.1|DSER, LOC110186309|XP_020811090.1|DSER, LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER, LOC110181065|XP_020804398.1|DSER, LOC110176644|XP_020798730.1|DSER, LOC110178269|XP_020800994.1|DSER, LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER
OG0000010	LOC120430236|XP_039451249.1|CPIP, LOC120425524|XP_039446013.1|CPIP	LOC110182164|XP_020805826.1|DSER
OG0000010	LOC120422947|XP_039442463.1|CPIP	LOC110182421|XP_020806117.1|DSER, LOC110180707|XP_020804047.1|DSER, LOC110180709|XP_020804049.1|DSER, LOC110181329|XP_020804707.1|DSER, LOC110182137|XP_020805806.1|DSER, LOC110180684|XP_020804028.1|DSER, LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER
OG0000010	LOC120415441|XP_039432923.1|CPIP	LOC110180673|XP_020804019.1|DSER, LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER, LOC110180663|XP_020804013.1|DSER
OG0000012	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC110178863|XP_020801799.1|DSER, LOC110178859|XP_020801786.1|DSER, LOC110190967|XP_020817320.1|DSER, LOC110176037|XP_020797910.1|DSER, LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER, LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER, LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC110188838|XP_020814394.1|DSER
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC110188074|XP_020813284.1|DSER
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER, LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC110185112|XP_020809466.1|DSER, LOC110182974|XP_020806826.1|DSER
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC110186803|XP_020811744.1|DSER
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC110181494|XP_020804920.1|DSER
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC110179844|XP_020803110.1|DSER
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC110184702|XP_020808977.1|DSER
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC110186753|XP_020811674.1|DSER, LOC110186755|XP_020811676.1|DSER, LOC110186756|XP_020811677.1|DSER, LOC110186746|XP_020811668.1|DSER, LOC110186754|XP_020811675.1|DSER, LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC110186419|XP_020811254.1|DSER, LOC110179314|XP_020802461.1|DSER
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER, LOC110188252|XP_020813584.1|DSER, LOC110186984|XP_020811998.1|DSER, LOC110187270|XP_020812316.1|DSER, LOC110183751|XP_020807766.1|DSER
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC110181842|XP_020805408.1|DSER
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC110184678|XP_020808951.1|DSER, LOC110190995|XP_020817366.1|DSER, LOC110189278|XP_020814959.1|DSER, LOC110178105|XP_020800778.1|DSER
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC110176354|XP_020798342.1|DSER, LOC110178658|XP_020801510.1|DSER, LOC110178666|XP_020801520.1|DSER, LOC110178667|XP_020801521.1|DSER, LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER, LOC110178662|XP_020801517.1|DSER
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC110188311|XP_020813678.1|DSER, LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER, LOC110180829|XP_020804169.1|DSER, LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER, LOC110188454|XP_020813842.1|DSER, LOC110188692|XP_020814155.1|DSER, LOC110188691|XP_020814154.1|DSER, LOC110188690|XP_020814152.1|DSER
OG0000025	LOC120424200|XP_039444192.1|CPIP	LOC110184425|XP_020808619.1|DSER, LOC110178949|XP_020801906.1|DSER
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC110182356|XP_020806054.1|DSER
OG0000025	LOC120422949|XP_039442466.1|CPIP	LOC110182432|XP_020806127.1|DSER
OG0000025	LOC120416729|XP_039434489.1|CPIP	LOC110180688|XP_020804032.1|DSER
OG0000025	LOC120422943|XP_039442460.1|CPIP	LOC110182443|XP_020806137.1|DSER
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC110179505|XP_020802740.1|DSER, LOC110189572|XP_020815365.1|DSER, LOC110188271|XP_020813620.1|DSER
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC110176950|XP_020799111.1|DSER, LOC110176976|XP_020799142.1|DSER, LOC110176929|XP_020799084.1|DSER
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC110190053|XP_020816018.1|DSER, LOC110190402|XP_020816516.1|DSER, LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER, LOC110190608|XP_020816860.1|DSER
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER, LOC110185765|XP_020810430.1|DSER, LOC110178924|XP_020801869.1|DSER
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC110185921|XP_020810593.1|DSER, LOC110185929|XP_020810602.1|DSER
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC110191017|XP_020817393.1|DSER, LOC110189627|XP_020815431.1|DSER, LOC110189708|XP_020815547.1|DSER, LOC110190954|XP_020817297.1|DSER, LOC110188628|XP_020814064.1|DSER, LOC110190425|XP_020816566.1|DSER, LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP	LOC110184859|XP_020809159.1|DSER, LOC110184879|XP_020809185.1|DSER, LOC110184890|XP_020809195.1|DSER, LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER, LOC110185768|XP_020810429.1|DSER
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC110188341|XP_020813708.1|DSER
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC110191887|XP_020818531.1|DSER
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC110178458|XP_020801255.1|DSER, LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC110189906|XP_020815830.1|DSER
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER, LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER, LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC110187856|XP_020813000.1|DSER, LOC110188004|XP_020813185.1|DSER, LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER, LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER, LOC110187786|XP_020812917.1|DSER
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER, LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER, LOC110186555|XP_020811417.1|DSER, LOC110186661|XP_020811584.1|DSER, LOC110186693|XP_020811620.1|DSER
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC110180463|XP_020803800.1|DSER, LOC110176287|XP_020798269.1|DSER, LOC110189583|XP_020815375.1|DSER, LOC110184762|XP_020809052.1|DSER, LOC110189698|XP_020815532.1|DSER, LOC110184679|XP_020808950.1|DSER
OG0000048	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP	LOC110190448|XP_020816608.1|DSER, LOC110190459|XP_020816619.1|DSER, LOC110190447|XP_020816607.1|DSER, LOC110190454|XP_020816613.1|DSER
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC110188535|XP_020813941.1|DSER, LOC110188465|XP_020813853.1|DSER, LOC110188330|XP_020813697.1|DSER, LOC110188568|XP_020813987.1|DSER, LOC110188331|XP_020813698.1|DSER, LOC110188656|XP_020814093.1|DSER
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC110187927|XP_020813097.1|DSER, LOC110186721|XP_020811651.1|DSER, LOC110176579|XP_020798652.1|DSER
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC110176132|XP_020798030.1|DSER, LOC110176120|XP_020798020.1|DSER, LOC110176110|XP_020798009.1|DSER
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC110191806|XP_020818417.1|DSER, LOC110191860|XP_020818499.1|DSER, LOC110191877|XP_020818520.1|DSER, LOC110191876|XP_020818519.1|DSER
OG0000055	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC110186659|XP_020811582.1|DSER, LOC110186437|XP_020811278.1|DSER, LOC110186438|XP_020811279.1|DSER, LOC110186635|XP_020811553.1|DSER, LOC110186692|XP_020811619.1|DSER
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC110191245|XP_020817684.1|DSER, LOC110191242|XP_020817680.1|DSER, LOC110191246|XP_020817685.1|DSER, LOC110191243|XP_020817681.1|DSER, LOC110191244|XP_020817682.1|DSER, LOC110191006|XP_020817383.1|DSER, LOC110191004|XP_020817381.1|DSER, LOC110191023|XP_020817399.1|DSER, LOC110191359|XP_020817866.1|DSER
OG0000058	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP	LOC110185667|XP_020810288.1|DSER, LOC110183409|XP_020807348.1|DSER, LOC110185666|XP_020810287.1|DSER, LOC110183419|XP_020807360.1|DSER, LOC110185668|XP_020810289.1|DSER, LOC110182841|XP_020806632.1|DSER
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC110178856|XP_020801778.1|DSER
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC110186504|XP_020811358.1|DSER
OG0000061	LOC120415159|XP_039432529.1|CPIP	LOC110182375|XP_020806074.1|DSER, LOC110182380|XP_020806081.1|DSER, LOC110182395|XP_020806094.1|DSER, LOC110182350|XP_020806049.1|DSER, LOC110182379|XP_020806080.1|DSER, LOC110182385|XP_020806085.1|DSER
OG0000064	LOC120418388|XP_039436700.1|CPIP	LOC110187958|XP_020813135.1|DSER
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC110177234|XP_020799524.1|DSER, LOC110176240|XP_020798198.1|DSER
OG0000067	LOC120432651|XP_039453829.1|CPIP	LOC110177017|XP_020799193.1|DSER, LOC110183230|XP_020807108.1|DSER, LOC110176239|XP_020798196.1|DSER
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC110191355|XP_020817861.1|DSER
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP	LOC110185266|XP_020809672.1|DSER, LOC110185265|XP_020809670.1|DSER, LOC110182060|XP_020805682.1|DSER, LOC110175923|XP_020797759.1|DSER
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC110185753|XP_020810411.1|DSER, LOC110183288|XP_020807181.1|DSER, LOC110182504|XP_020806211.1|DSER, LOC110185866|XP_020810535.1|DSER, LOC110183296|XP_020807193.1|DSER, LOC110185982|XP_020810665.1|DSER, LOC110183355|XP_020807278.1|DSER, LOC110183303|XP_020807205.1|DSER
OG0000071	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP	LOC110179838|XP_020803105.1|DSER, LOC110179839|XP_020803106.1|DSER, LOC110179837|XP_020803104.1|DSER
OG0000072	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC110181580|XP_020805035.1|DSER, LOC110181287|XP_020804670.1|DSER, LOC110181570|XP_020805024.1|DSER
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC110176360|XP_020798348.1|DSER
OG0000073	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP	LOC110182177|XP_020805838.1|DSER, LOC110182195|XP_020805867.1|DSER
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC110188202|XP_020813458.1|DSER
OG0000074	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP	LOC110184734|XP_020809020.1|DSER, LOC110185176|XP_020809553.1|DSER
OG0000076	LOC120414119|XP_039431083.1|CPIP	LOC110190420|XP_020816550.1|DSER
OG0000076	LOC120419152|XP_039437732.1|CPIP	LOC110181877|XP_020805462.1|DSER
OG0000077	LOC120428195|XP_039449110.1|CPIP	LOC110182629|XP_020806354.1|DSER
OG0000077	LOC120425394|XP_039445844.1|CPIP	LOC110177149|XP_020799390.1|DSER
OG0000077	LOC120420744|XP_039439774.1|CPIP	LOC110176398|XP_020798389.1|DSER
OG0000078	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP	LOC110180108|XP_020803404.1|DSER, LOC110190038|XP_020816001.1|DSER, LOC110188466|XP_020813854.1|DSER, LOC110175994|XP_020797848.1|DSER, LOC110184416|XP_020808610.1|DSER
OG0000080	LOC120419665|XP_039438362.1|CPIP, LOC120432076|XP_039453147.1|CPIP, LOC120431515|XP_039452549.1|CPIP, LOC120432086|XP_039453158.1|CPIP, LOC120431996|XP_039453065.1|CPIP	LOC110179883|XP_020803143.1|DSER, LOC110189756|XP_020815629.1|DSER, LOC110186649|XP_020811608.1|DSER
