Orthogroup	CPIP.longest_only	AALB.longest_only
OG0000027	LOC120429929|XP_039450957.1|CPIP, LOC120429928|XP_039450956.1|CPIP, LOC120429927|XP_039450954.1|CPIP, LOC120429930|XP_039450958.1|CPIP	LOC118458881|XP_035777725.1|AALB, LOC118458885|XP_035777729.1|AALB, LOC118458884|XP_035777728.1|AALB, LOC118458347|XP_035776592.1|AALB, LOC118458344|XP_035776590.1|AALB, LOC118459103|XP_035778060.1|AALB, LOC118458345|XP_035776591.1|AALB, LOC118468376|XP_035795028.1|AALB, LOC118458349|XP_035776594.1|AALB
OG0000027	LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP	LOC118469008|XP_035796336.1|AALB
OG0000027	LOC120419660|XP_039438354.1|CPIP	LOC118456249|XP_035772738.1|AALB
OG0000028	LOC120413636|XP_039430486.1|CPIP	LOC118464553|XP_035787885.1|AALB
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP	LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB
OG0000029	LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC118467279|XP_035793475.1|AALB
OG0000031	LOC120415232|XP_039432624.1|CPIP	LOC118467035|XP_035792911.1|AALB
OG0000031	LOC120415239|XP_039432636.1|CPIP	LOC118467043|XP_035792922.1|AALB
OG0000031	LOC120415223|XP_039432612.1|CPIP, LOC120415228|XP_039432619.1|CPIP, LOC120415242|XP_039432640.1|CPIP	LOC118467044|XP_035792923.1|AALB
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP	LOC118456851|XP_035773843.1|AALB
OG0000032	LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP	LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB
OG0000032	LOC120423329|XP_039443024.1|CPIP	LOC118459702|XP_035779237.1|AALB
OG0000034	LOC120424428|XP_039444478.1|CPIP	LOC118466655|XP_035792144.1|AALB
OG0000034	LOC120425576|XP_039446083.1|CPIP	LOC118463234|XP_035785585.1|AALB
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC118457097|XP_035774277.1|AALB
OG0000036	LOC120429038|XP_039450110.1|CPIP, LOC120429039|XP_039450111.1|CPIP	LOC118460050|XP_035779920.1|AALB
OG0000036	LOC120426062|XP_039446682.1|CPIP	LOC118465413|XP_035789528.1|AALB
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC120421631|XP_039440792.1|CPIP, LOC120424485|XP_039444561.1|CPIP	LOC118467862|XP_035794660.1|AALB
OG0000038	LOC120421641|XP_039440806.1|CPIP, LOC120421656|XP_039440823.1|CPIP, LOC120421639|XP_039440804.1|CPIP	LOC118464578|XP_035787914.1|AALB
OG0000038	LOC120421655|XP_039440821.1|CPIP, LOC120421657|XP_039440824.1|CPIP	LOC118464580|XP_035787916.1|AALB
OG0000038	LOC120421640|XP_039440805.1|CPIP, LOC120421648|XP_039440815.1|CPIP, LOC120421642|XP_039440807.1|CPIP, LOC120421645|XP_039440812.1|CPIP, LOC120421646|XP_039440813.1|CPIP, LOC120421650|XP_039440817.1|CPIP, LOC120421651|XP_039440818.1|CPIP, LOC120421649|XP_039440816.1|CPIP, LOC120421643|XP_039440808.1|CPIP, LOC120421644|XP_039440809.1|CPIP, LOC120421637|XP_039440801.1|CPIP, LOC120421638|XP_039440803.1|CPIP, LOC120421660|XP_039440827.1|CPIP, LOC120421647|XP_039440814.1|CPIP, LOC120421661|XP_039440828.1|CPIP, LOC120421662|XP_039440829.1|CPIP, LOC120423242|XP_039442890.1|CPIP, LOC120421636|XP_039440800.1|CPIP, LOC120413593|XP_039430435.1|CPIP, LOC120421635|XP_039440799.1|CPIP	LOC118467867|XP_035794667.1|AALB
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB
OG0000039	LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC118458769|XP_035777454.1|AALB
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP	LOC118465605|XP_035789873.1|AALB
OG0000045	LOC120422329|XP_039441658.1|CPIP	LOC118465475|XP_035789666.1|AALB
OG0000045	LOC120422328|XP_039441657.1|CPIP	LOC118464996|XP_035788729.1|AALB
OG0000045	LOC120420581|XP_039439595.1|CPIP	LOC118464285|XP_035787454.1|AALB, LOC118463346|XP_035785752.1|AALB
OG0000045	LOC120420579|XP_039439593.1|CPIP	LOC118463283|XP_035785654.1|AALB
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC118458488|XP_035776933.1|AALB
OG0000048	LOC120428345|XP_039449278.1|CPIP	LOC118465522|XP_035789739.1|AALB
OG0000048	LOC120428347|XP_039449282.1|CPIP	LOC118465712|XP_035790036.1|AALB
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB
OG0000049	LOC120422276|XP_039441594.1|CPIP	LOC118463311|XP_035785688.1|AALB
OG0000053	LOC120416815|XP_039434629.1|CPIP	LOC118467904|XP_035794724.1|AALB
OG0000053	LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP	LOC118465671|XP_035789993.1|AALB
OG0000053	LOC120422199|XP_039441515.1|CPIP	LOC118465672|XP_035789994.1|AALB
OG0000053	LOC120422211|XP_039441529.1|CPIP	LOC118465673|XP_035789996.1|AALB
OG0000053	LOC120417054|XP_039434940.1|CPIP	LOC118457028|XP_035774155.1|AALB
OG0000054	LOC120424642|XP_039444745.1|CPIP	LOC118465600|XP_035789868.1|AALB
OG0000054	LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP	LOC118464275|XP_035787431.1|AALB
OG0000054	LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP	LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB
OG0000054	LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP	LOC118465599|XP_035789867.1|AALB
OG0000054	LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC118465601|XP_035789869.1|AALB
OG0000055	LOC120417320|XP_039435220.1|CPIP	LOC118456564|XP_035773329.1|AALB
OG0000055	LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC118467239|XP_035793397.1|AALB
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC118463646|XP_035786286.1|AALB
OG0000057	LOC120419827|XP_039438595.1|CPIP, LOC120423416|XP_039443151.1|CPIP, LOC120413078|XP_039429715.1|CPIP, LOC120413834|XP_039430723.1|CPIP	LOC118466619|XP_035792094.1|AALB
OG0000058	LOC120416511|XP_039434162.1|CPIP	LOC118465012|XP_035788756.1|AALB
OG0000058	LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP	LOC118466840|XP_035792555.1|AALB
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC118462342|XP_035784016.1|AALB
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC118457079|XP_035774255.1|AALB
OG0000061	LOC120415141|XP_039432502.1|CPIP, LOC120415138|XP_039432499.1|CPIP	LOC118462629|XP_035784366.1|AALB, LOC118462631|XP_035784368.1|AALB
OG0000061	LOC120415136|XP_039432496.1|CPIP, LOC120415158|XP_039432528.1|CPIP	LOC118466083|XP_035790870.1|AALB, LOC118467837|XP_035794622.1|AALB
OG0000061	LOC120415137|XP_039432497.1|CPIP	LOC118466082|XP_035790867.1|AALB
OG0000064	LOC120420822|XP_039439877.1|CPIP, LOC120426967|XP_039447720.1|CPIP	LOC118463671|XP_035786321.1|AALB
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC118462964|XP_035785018.1|AALB
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC118463317|XP_035785696.1|AALB
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP	LOC118465636|XP_035789936.1|AALB
OG0000068	LOC120412404|XP_039428800.1|CPIP	LOC118465635|XP_035789931.1|AALB
OG0000068	LOC120417591|XP_039435637.1|CPIP	LOC118466683|XP_035792202.1|AALB
OG0000068	LOC120417584|XP_039435629.1|CPIP	LOC118467770|XP_035794492.1|AALB
OG0000068	LOC120412539|XP_039428969.1|CPIP	LOC118466177|XP_035791057.1|AALB
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC118461049|XP_035781833.1|AALB
OG0000071	LOC120415433|XP_039432915.1|CPIP	LOC118462797|XP_035784687.1|AALB
OG0000071	LOC120417372|XP_039435321.1|CPIP	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB
OG0000071	LOC120425799|XP_039446344.1|CPIP	LOC118465893|XP_035790437.1|AALB
OG0000072	LOC120412897|XP_039429462.1|CPIP	LOC118465748|XP_035790112.1|AALB
OG0000072	LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC118466982|XP_035792790.1|AALB
OG0000073	LOC120426588|XP_039447309.1|CPIP	LOC118468531|XP_035795302.1|AALB, LOC118468327|XP_035794968.1|AALB
OG0000073	LOC120424938|XP_039445177.1|CPIP	LOC118461208|XP_035782153.1|AALB
OG0000073	LOC120424929|XP_039445153.1|CPIP	LOC118461209|XP_035782163.1|AALB
OG0000073	LOC120413783|XP_039430665.1|CPIP	LOC118460487|XP_035780728.1|AALB
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC118458541|XP_035777018.1|AALB
OG0000073	LOC120419640|XP_039438328.1|CPIP	LOC118468553|XP_035795347.1|AALB
OG0000073	LOC120416924|XP_039434768.1|CPIP	LOC118466170|XP_035791050.1|AALB
OG0000074	LOC120428393|XP_039449334.1|CPIP	LOC118467317|XP_035793548.1|AALB
OG0000074	LOC120428418|XP_039449364.1|CPIP	LOC118464632|XP_035787971.1|AALB
