Orthogroup	CPIP.longest_only	DELE.longest_only
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC108149749|XP_017133029.1|DELE
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC108137631|XP_017114906.1|DELE
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC108134833|XP_017110785.1|DELE
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC108146660|XP_017128198.1|DELE
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC108135085|XP_017111146.1|DELE
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC108136687|XP_017113497.1|DELE, LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC108139227|XP_017117379.1|DELE, LOC108145428|XP_017126326.1|DELE
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC108135797|XP_017112156.1|DELE
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC108140881|XP_017119405.1|DELE
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC108143220|XP_017123005.1|DELE
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC108142474|XP_017121847.1|DELE
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC108148666|XP_017131288.1|DELE, LOC108148669|XP_017131292.1|DELE, LOC108148668|XP_017131291.1|DELE, LOC108148661|XP_017131282.1|DELE, LOC108148667|XP_017131289.1|DELE, LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC108148802|XP_017131514.1|DELE, LOC108145240|XP_017125995.1|DELE
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE, LOC108136813|XP_017113705.1|DELE, LOC108140627|XP_017119032.1|DELE, LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC108140888|XP_017119410.1|DELE
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC108139148|XP_017117255.1|DELE, LOC108134787|XP_017110724.1|DELE, LOC108137723|XP_017115107.1|DELE
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC108144256|XP_017124426.1|DELE, LOC108145706|XP_017126756.1|DELE, LOC108145944|XP_017127140.1|DELE, LOC108145943|XP_017127139.1|DELE, LOC108145945|XP_017127141.1|DELE, LOC108145941|XP_017127138.1|DELE
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC108140988|XP_017119550.1|DELE, LOC108140990|XP_017119554.1|DELE, LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE, LOC108137536|XP_017114748.1|DELE, LOC108140985|XP_017119548.1|DELE, LOC108140949|XP_017119506.1|DELE, LOC108141054|XP_017119691.1|DELE, LOC108141157|XP_017119872.1|DELE, LOC108141055|XP_017119693.1|DELE
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC108136491|XP_017113196.1|DELE
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC108137717|XP_017115091.1|DELE, LOC108148316|XP_017130795.1|DELE, LOC108140970|XP_017119526.1|DELE
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC108138066|XP_017115531.1|DELE, LOC108138053|XP_017115518.1|DELE, LOC108138043|XP_017115505.1|DELE
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC108146071|XP_017127374.1|DELE, LOC108146072|XP_017127376.1|DELE, LOC108146069|XP_017127372.1|DELE, LOC108146070|XP_017127373.1|DELE, LOC108146073|XP_017127378.1|DELE, LOC108145772|XP_017126831.1|DELE
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC108141306|XP_017120062.1|DELE, LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE, LOC108135556|XP_017111792.1|DELE
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC108138004|XP_017115462.1|DELE, LOC108138214|XP_017115823.1|DELE, LOC108138259|XP_017115893.1|DELE, LOC108138165|XP_017115746.1|DELE, LOC108138948|XP_017117015.1|DELE, LOC108150405|XP_017134051.1|DELE, LOC108138949|XP_017117016.1|DELE, LOC108150412|XP_017134059.1|DELE, LOC108148078|XP_017130421.1|DELE, LOC108147853|XP_017130100.1|DELE, LOC108148083|XP_017130428.1|DELE, LOC108138166|XP_017115747.1|DELE
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC108141556|XP_017120489.1|DELE, LOC108134794|XP_017110732.1|DELE, LOC108134793|XP_017110731.1|DELE, LOC108141568|XP_017120503.1|DELE, LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP	LOC108150425|XP_017134072.1|DELE, LOC108150530|XP_017134248.1|DELE, LOC108137009|XP_017113996.1|DELE, LOC108136700|XP_017113513.1|DELE, LOC108134580|XP_017110423.1|DELE
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC108141221|XP_017119962.1|DELE
OG0000036	LOC120427494|XP_039448284.1|CPIP	LOC108150201|XP_017133705.1|DELE
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC108141229|XP_017119974.1|DELE
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC108145158|XP_017125873.1|DELE, LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC108146067|XP_017127370.1|DELE
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC108146005|XP_017127248.1|DELE
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC108148259|XP_017130681.1|DELE
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE, LOC108143886|XP_017123949.1|DELE, LOC108143890|XP_017123952.1|DELE, LOC108143732|XP_017123755.1|DELE, LOC108143888|XP_017123951.1|DELE
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC108136707|XP_017113521.1|DELE, LOC108136884|XP_017113826.1|DELE, LOC108137000|XP_017113987.1|DELE, LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC108143748|XP_017123768.1|DELE, LOC108143753|XP_017123772.1|DELE, LOC108143769|XP_017123786.1|DELE, LOC108143754|XP_017123773.1|DELE, LOC108143771|XP_017123788.1|DELE, LOC108143751|XP_017123771.1|DELE, LOC108143749|XP_017123769.1|DELE, LOC108140749|XP_017119215.1|DELE
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC108137997|XP_017115461.1|DELE, LOC108137888|XP_017115315.1|DELE, LOC108137980|XP_017115444.1|DELE, LOC108149120|XP_017132010.1|DELE, LOC108150380|XP_017134008.1|DELE, LOC108149847|XP_017133213.1|DELE, LOC108150178|XP_017133656.1|DELE
OG0000048	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP	LOC108146208|XP_017127615.1|DELE, LOC108146209|XP_017127617.1|DELE, LOC108146206|XP_017127613.1|DELE, LOC108146211|XP_017127619.1|DELE
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC108140399|XP_017118596.1|DELE, LOC108140396|XP_017118593.1|DELE, LOC108140391|XP_017118587.1|DELE, LOC108140398|XP_017118595.1|DELE, LOC108140400|XP_017118597.1|DELE, LOC108140395|XP_017118592.1|DELE
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC108143756|XP_017123775.1|DELE, LOC108143275|XP_017123079.1|DELE, LOC108135018|XP_017111039.1|DELE, LOC108136096|XP_017112560.1|DELE, LOC108141560|XP_017120493.1|DELE
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC108145359|XP_017126241.1|DELE, LOC108145358|XP_017126240.1|DELE, LOC108145357|XP_017126239.1|DELE
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC108140678|XP_017119113.1|DELE, LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE, LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE
OG0000055	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC108148506|XP_017131032.1|DELE, LOC108148507|XP_017131034.1|DELE, LOC108148467|XP_017130988.1|DELE, LOC108148466|XP_017130987.1|DELE, LOC108148509|XP_017131036.1|DELE
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC108148700|XP_017131340.1|DELE, LOC108148703|XP_017131343.1|DELE, LOC108148704|XP_017131344.1|DELE, LOC108148702|XP_017131342.1|DELE, LOC108148701|XP_017131341.1|DELE, LOC108135876|XP_017112266.1|DELE, LOC108135877|XP_017112269.1|DELE
OG0000057	LOC120416643|XP_039434388.1|CPIP, LOC120417873|XP_039436031.1|CPIP, LOC120423183|XP_039442816.1|CPIP, LOC120415000|XP_039432291.1|CPIP, LOC120419827|XP_039438595.1|CPIP, LOC120423416|XP_039443151.1|CPIP, LOC120413078|XP_039429715.1|CPIP, LOC120413834|XP_039430723.1|CPIP, LOC120431422|XP_039452477.1|CPIP, LOC120421556|XP_039440720.1|CPIP, LOC120428776|XP_039449794.1|CPIP, LOC120428475|XP_039449423.1|CPIP, LOC120431484|XP_039452532.1|CPIP, LOC120413508|XP_039430301.1|CPIP, LOC120430733|XP_039451777.1|CPIP, LOC120430810|XP_039451866.1|CPIP, LOC120417862|XP_039436019.1|CPIP, LOC120421112|XP_039440205.1|CPIP, LOC120429688|XP_039450654.1|CPIP, LOC120412431|XP_039428824.1|CPIP, LOC120431763|XP_039452817.1|CPIP, LOC120427889|XP_039448757.1|CPIP, LOC120416631|XP_039434372.1|CPIP, LOC120416632|XP_039434373.1|CPIP, LOC120432090|XP_039453162.1|CPIP, LOC120430801|XP_039451854.1|CPIP, LOC120427199|XP_039447993.1|CPIP, LOC120417632|XP_039435678.1|CPIP, LOC120425704|XP_039446229.1|CPIP, LOC120415116|XP_039432467.1|CPIP, LOC120416630|XP_039434371.1|CPIP, LOC120425554|XP_039446050.1|CPIP, LOC120431653|XP_039452693.1|CPIP, LOC120430326|XP_039451361.1|CPIP, LOC120432005|XP_039453069.1|CPIP, LOC120427806|XP_039448660.1|CPIP, LOC120429948|XP_039450977.1|CPIP, LOC120427823|XP_039448679.1|CPIP, LOC120429656|XP_039450620.1|CPIP, LOC120426060|XP_039446680.1|CPIP, LOC120413469|XP_039430244.1|CPIP, LOC120413100|XP_039429739.1|CPIP, LOC120413815|XP_039430702.1|CPIP, LOC120430443|XP_039451489.1|CPIP, LOC120427248|XP_039448038.1|CPIP, LOC120423998|XP_039443941.1|CPIP	LOC108149908|XP_017133298.1|DELE
OG0000058	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE, LOC108150544|XP_017134265.1|DELE, LOC108149860|XP_017133229.1|DELE
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC108137714|XP_017115086.1|DELE
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC108143025|XP_017122707.1|DELE
OG0000061	LOC120415159|XP_039432529.1|CPIP	LOC108138018|XP_017115477.1|DELE, LOC108138006|XP_017115465.1|DELE, LOC108138025|XP_017115485.1|DELE, LOC108138035|XP_017115497.1|DELE
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC108140552|XP_017118898.1|DELE, LOC108147479|XP_017129518.1|DELE
OG0000067	LOC120432651|XP_039453829.1|CPIP	LOC108141513|XP_017120431.1|DELE, LOC108147383|XP_017129307.1|DELE
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC108142223|XP_017121430.1|DELE
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP	LOC108135597|XP_017111897.1|DELE, LOC108136670|XP_017113481.1|DELE, LOC108143529|XP_017123510.1|DELE, LOC108144464|XP_017124859.1|DELE
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC108136307|XP_017112891.1|DELE, LOC108138084|XP_017115563.1|DELE, LOC108141686|XP_017120657.1|DELE
OG0000071	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP	LOC108146757|XP_017128380.1|DELE, LOC108146589|XP_017128100.1|DELE
OG0000072	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC108137979|XP_017115440.1|DELE, LOC108137893|XP_017115321.1|DELE, LOC108137978|XP_017115439.1|DELE
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC108144661|XP_017125196.1|DELE
OG0000073	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP	LOC108150393|XP_017134024.1|DELE
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC108141036|XP_017119625.1|DELE
OG0000074	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP	LOC108142390|XP_017121714.1|DELE, LOC108135696|XP_017112027.1|DELE
OG0000076	LOC120414119|XP_039431083.1|CPIP	LOC108145993|XP_017127221.1|DELE
OG0000076	LOC120419152|XP_039437732.1|CPIP	LOC108134879|XP_017110865.1|DELE
OG0000077	LOC120428195|XP_039449110.1|CPIP	LOC108143509|XP_017123469.1|DELE
OG0000077	LOC120425394|XP_039445844.1|CPIP	LOC108144573|XP_017125051.1|DELE
OG0000077	LOC120420744|XP_039439774.1|CPIP	LOC108148773|XP_017131468.1|DELE
OG0000078	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP	LOC108143331|XP_017123140.1|DELE, LOC108146642|XP_017128176.1|DELE, LOC108141001|XP_017119564.1|DELE, LOC108144954|XP_017125592.1|DELE, LOC108136186|XP_017112673.1|DELE
OG0000080	LOC120419665|XP_039438362.1|CPIP, LOC120432076|XP_039453147.1|CPIP, LOC120431515|XP_039452549.1|CPIP, LOC120432086|XP_039453158.1|CPIP, LOC120431996|XP_039453065.1|CPIP	LOC108144727|XP_017125313.1|DELE, LOC108144830|XP_017125456.1|DELE, LOC108144561|XP_017125028.1|DELE
OG0000082	LOC120417717|XP_039435802.1|CPIP, LOC120412752|XP_039429279.1|CPIP, LOC120412753|XP_039429280.1|CPIP, LOC120419465|XP_039438084.1|CPIP, LOC120419907|XP_039438710.1|CPIP, LOC120417732|XP_039435823.1|CPIP, LOC120413477|XP_039430262.1|CPIP, LOC120430123|XP_039451143.1|CPIP, LOC120414610|XP_039431767.1|CPIP	LOC108137556|XP_017114771.1|DELE, LOC108137394|XP_017114542.1|DELE, LOC108139183|XP_017117297.1|DELE, LOC108139182|XP_017117296.1|DELE
OG0000083	LOC120420972|XP_039440038.1|CPIP, LOC120420970|XP_039440036.1|CPIP	LOC108141924|XP_017121037.1|DELE, LOC108142089|XP_017121272.1|DELE, LOC108141663|XP_017120626.1|DELE, LOC108141752|XP_017120736.1|DELE, LOC108141923|XP_017121035.1|DELE
OG0000084	LOC120417385|XP_039435338.1|CPIP, LOC120417417|XP_039435394.1|CPIP, LOC120417391|XP_039435346.1|CPIP, LOC120421339|XP_039440455.1|CPIP, LOC120416554|XP_039434220.1|CPIP	LOC108145181|XP_017125909.1|DELE
OG0000084	LOC120424545|XP_039444643.1|CPIP, LOC120424544|XP_039444642.1|CPIP, LOC120422454|XP_039441832.1|CPIP, LOC120424528|XP_039444621.1|CPIP, LOC120424522|XP_039444615.1|CPIP, LOC120426597|XP_039447322.1|CPIP, LOC120424525|XP_039444619.1|CPIP, LOC120424523|XP_039444617.1|CPIP, LOC120424526|XP_039444620.1|CPIP, LOC120424524|XP_039444618.1|CPIP, LOC120423778|XP_039443631.1|CPIP	LOC108141471|XP_017120366.1|DELE
OG0000085	LOC120418894|XP_039437359.1|CPIP	LOC108149598|XP_017132782.1|DELE
OG0000086	LOC120419495|XP_039438120.1|CPIP	LOC108145443|XP_017126361.1|DELE
OG0000087	LOC120431959|XP_039453027.1|CPIP, LOC120424926|XP_039445151.1|CPIP, LOC120424893|XP_039445115.1|CPIP, LOC120431961|XP_039453029.1|CPIP, LOC120431960|XP_039453028.1|CPIP, LOC120424925|XP_039445150.1|CPIP, LOC120424892|XP_039445113.1|CPIP, LOC120424924|XP_039445149.1|CPIP, LOC120424889|XP_039445110.1|CPIP, LOC120425288|XP_039445674.1|CPIP	LOC108141653|XP_017120612.1|DELE
OG0000087	LOC120424910|XP_039445137.1|CPIP, LOC120424913|XP_039445140.1|CPIP	LOC108138695|XP_017116529.1|DELE, LOC108141784|XP_017120782.1|DELE
OG0000088	LOC120424171|XP_039444162.1|CPIP	LOC108145086|XP_017125761.1|DELE
