Orthogroup	CPIP.longest_only	CQUI.longest_only
OG0000001	LOC120417098|XP_039435011.1|CPIP, LOC120431144|XP_039452219.1|CPIP	LOC119769345|XP_038117303.1|CQUI, LOC119766211|XP_038106574.1|CQUI
OG0000001	LOC120423997|XP_039443940.1|CPIP, LOC120426643|XP_039447364.1|CPIP	LOC119769000|XP_038116799.1|CQUI
OG0000001	LOC120412573|XP_039429021.1|CPIP	LOC119769267|XP_038117148.1|CQUI
OG0000001	LOC120432360|XP_039453488.1|CPIP	LOC119768903|XP_038116616.1|CQUI
OG0000001	LOC120432034|XP_039453102.1|CPIP	LOC119766456|XP_038106940.1|CQUI
OG0000001	LOC120423032|XP_039442606.1|CPIP, LOC120431782|XP_039452837.1|CPIP	LOC119770306|XP_038120868.1|CQUI
OG0000001	LOC120417948|XP_039436116.1|CPIP	LOC119768973|XP_038116761.1|CQUI, LOC119766434|XP_038106910.1|CQUI
OG0000001	LOC120423264|XP_039442932.1|CPIP	LOC119769172|XP_038117006.1|CQUI, LOC119770284|XP_038120806.1|CQUI, LOC119767772|XP_038113157.1|CQUI
OG0000001	LOC120426540|XP_039447241.1|CPIP, LOC120417042|XP_039434925.1|CPIP, LOC120421883|XP_039441113.1|CPIP, LOC120429302|XP_039450463.1|CPIP, LOC120416037|XP_039433627.1|CPIP, LOC120431449|XP_039452501.1|CPIP	LOC119766223|XP_038106590.1|CQUI
OG0000001	LOC120426986|XP_039447735.1|CPIP	LOC119769035|XP_038116846.1|CQUI
OG0000001	LOC120428426|XP_039449370.1|CPIP, LOC120416036|XP_039433626.1|CPIP, LOC120429296|XP_039450458.1|CPIP	LOC119766470|XP_038106956.1|CQUI
OG0000001	LOC120415069|XP_039432397.1|CPIP, LOC120412724|XP_039429244.1|CPIP	LOC119766322|XP_038106731.1|CQUI
OG0000001	LOC120414879|XP_039432135.1|CPIP, LOC120425723|XP_039446262.1|CPIP	LOC119766311|XP_038106708.1|CQUI
OG0000001	LOC120417659|XP_039435715.1|CPIP	LOC119766331|XP_038106740.1|CQUI, LOC119769278|XP_038117171.1|CQUI, LOC119769111|XP_038116940.1|CQUI
OG0000001	LOC120427386|XP_039448170.1|CPIP	LOC119769290|XP_038117195.1|CQUI
OG0000001	LOC120415834|XP_039433407.1|CPIP	LOC119769016|XP_038116822.1|CQUI
OG0000001	LOC120412441|XP_039428835.1|CPIP	LOC119766274|XP_038106647.1|CQUI
OG0000001	LOC120418326|XP_039436592.1|CPIP	LOC119770072|XP_038120200.1|CQUI
OG0000001	LOC120431370|XP_039452434.1|CPIP, LOC120419884|XP_039438683.1|CPIP, LOC120424001|XP_039443943.1|CPIP	LOC119769227|XP_038117081.1|CQUI
OG0000001	LOC120418234|XP_039436470.1|CPIP	LOC119769183|XP_038117016.1|CQUI, LOC119766452|XP_038106937.1|CQUI
OG0000001	LOC120416204|XP_039433826.1|CPIP, LOC120426640|XP_039447365.1|CPIP, LOC120415987|XP_039433576.1|CPIP, LOC120413847|XP_039430737.1|CPIP	LOC119766021|XP_038106282.1|CQUI
OG0000001	LOC120417943|XP_039436110.1|CPIP	LOC119766137|XP_038106464.1|CQUI, LOC119769333|XP_038117277.1|CQUI
OG0000001	LOC120423320|XP_039443015.1|CPIP	LOC119765939|XP_038106148.1|CQUI
OG0000001	LOC120430489|XP_039451516.1|CPIP, LOC120421555|XP_039440716.1|CPIP	LOC119769072|XP_038116898.1|CQUI
OG0000002	LOC120426099|XP_039446736.1|CPIP	LOC6051752|XP_038114241.1|CQUI
OG0000002	LOC120422400|XP_039441752.1|CPIP	LOC6048495|XP_038106961.1|CQUI
OG0000002	LOC120426484|XP_039447184.1|CPIP	LOC6043552|XP_038106320.1|CQUI
OG0000002	LOC120414036|XP_039430992.1|CPIP	LOC119767575|XP_038112403.1|CQUI
OG0000002	LOC120420327|XP_039439256.1|CPIP	LOC6049145|XP_001865939.2|CQUI
OG0000002	LOC120428552|XP_039449518.1|CPIP	LOC6038327|XP_038110332.1|CQUI
OG0000002	LOC120424381|XP_039444413.1|CPIP	LOC6031054|XP_038118774.1|CQUI
OG0000002	LOC120424377|XP_039444408.1|CPIP	LOC6031056|XP_001841905.2|CQUI, LOC6031055|XP_038118771.1|CQUI
OG0000002	LOC120424644|XP_039444747.1|CPIP	LOC119770491|XP_038121412.1|CQUI
OG0000002	LOC120419372|XP_039437974.1|CPIP, LOC120413314|XP_039430016.1|CPIP	LOC6038317|XP_001848136.2|CQUI
OG0000002	LOC120419546|XP_039438193.1|CPIP	LOC6031922|XP_001842608.2|CQUI
OG0000002	LOC120419521|XP_039438165.1|CPIP	LOC6031925|XP_001842607.2|CQUI
OG0000002	LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP	LOC119766720|XP_038108058.1|CQUI
OG0000002	LOC120421142|XP_039440266.1|CPIP	LOC6048198|XP_038107103.1|CQUI
OG0000002	LOC120424995|XP_039445299.1|CPIP	LOC6038015|XP_001847862.2|CQUI
OG0000002	LOC120422665|XP_039442103.1|CPIP	LOC6046322|XP_001863540.2|CQUI
OG0000002	LOC120422680|XP_039442124.1|CPIP	LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI
OG0000002	LOC120420901|XP_039439958.1|CPIP	LOC6040857|XP_038109269.1|CQUI
OG0000002	LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP	LOC119766893|XP_038109184.1|CQUI
OG0000002	LOC120422654|XP_039442094.1|CPIP	LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI
OG0000002	LOC120422658|XP_039442097.1|CPIP	LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI
OG0000002	LOC120420898|XP_039439952.1|CPIP	LOC6031282|XP_038106913.1|CQUI
OG0000002	LOC120419545|XP_039438192.1|CPIP	LOC6031923|XP_038114632.1|CQUI
OG0000002	LOC120419977|XP_039438786.1|CPIP	LOC119768597|XP_038114634.1|CQUI
OG0000002	LOC120424991|XP_039445294.1|CPIP	LOC6038017|XP_038110782.1|CQUI
OG0000003	LOC120417737|XP_039435829.1|CPIP	LOC6050719|XP_001867281.2|CQUI
OG0000003	LOC120419471|XP_039438091.1|CPIP	LOC6051441|XP_038112246.1|CQUI
OG0000003	LOC120417750|XP_039435842.1|CPIP	LOC6050716|XP_038110657.1|CQUI
OG0000003	LOC120426116|XP_039446753.1|CPIP	LOC6037852|XP_038108088.1|CQUI
OG0000003	LOC120417719|XP_039435803.1|CPIP	LOC6050718|XP_001867280.2|CQUI
OG0000003	LOC120417745|XP_039435837.1|CPIP	LOC6054221|XP_038110656.1|CQUI
OG0000003	LOC120417746|XP_039435838.1|CPIP	LOC6050707|XP_001867275.2|CQUI
OG0000003	LOC120416693|XP_039434443.1|CPIP	LOC119766556|XP_038107240.1|CQUI
OG0000003	LOC120416692|XP_039434441.1|CPIP	LOC6034501|XP_001844806.2|CQUI
OG0000003	LOC120431322|XP_039452390.1|CPIP	LOC6034518|XP_001844820.2|CQUI
OG0000003	LOC120428937|XP_039450018.1|CPIP	LOC6034534|XP_001844834.2|CQUI
OG0000003	LOC120431319|XP_039452387.1|CPIP	LOC6034520|XP_001844821.2|CQUI
OG0000003	LOC120431320|XP_039452388.1|CPIP	LOC6034522|XP_038114383.1|CQUI
OG0000003	LOC120431318|XP_039452385.1|CPIP	LOC6034521|XP_001844822.2|CQUI
OG0000003	LOC120417738|XP_039435830.1|CPIP	LOC6054224|XP_001870172.2|CQUI
OG0000003	LOC120417747|XP_039435839.1|CPIP	LOC6050709|XP_001867273.2|CQUI
OG0000003	LOC120417748|XP_039435840.1|CPIP	LOC6054222|XP_038106984.1|CQUI
OG0000003	LOC120417751|XP_039435843.1|CPIP	LOC6050720|XP_001867282.2|CQUI
OG0000003	LOC120430922|XP_039451976.1|CPIP	LOC6037490|XP_001847400.2|CQUI
OG0000003	LOC120430925|XP_039451980.1|CPIP	LOC6037494|XP_001847404.2|CQUI
OG0000003	LOC120431835|XP_039452896.1|CPIP	LOC6037497|XP_001847407.2|CQUI, LOC6037496|XP_038105707.1|CQUI, LOC6037495|XP_001847405.2|CQUI
OG0000004	LOC120431997|XP_039453064.1|CPIP	LOC6045322|XP_038104645.1|CQUI, LOC6045318|XP_038105272.1|CQUI, LOC6045334|XP_038105149.1|CQUI
OG0000004	LOC120425541|XP_039446037.1|CPIP	LOC6048217|XP_001865170.2|CQUI
OG0000004	LOC120425520|XP_039446008.1|CPIP	LOC119767631|XP_038112541.1|CQUI
OG0000005	LOC120415438|XP_039432920.1|CPIP, LOC120430243|XP_039451256.1|CPIP	LOC6054619|XP_001870506.1|CQUI
OG0000005	LOC120425531|XP_039446020.1|CPIP	LOC6042909|XP_001853966.2|CQUI
OG0000005	LOC120425546|XP_039446041.1|CPIP, LOC120425522|XP_039446010.1|CPIP	LOC6042917|XP_001854001.1|CQUI, LOC119767402|XP_038111852.1|CQUI
OG0000005	LOC120415356|XP_039432779.1|CPIP	LOC6037816|XP_038107337.1|CQUI
OG0000005	LOC120422944|XP_039442461.1|CPIP	LOC119767184|XP_038111057.1|CQUI, LOC6048601|XP_001865496.2|CQUI, LOC6045278|XP_001862667.1|CQUI, LOC6045266|XP_001862657.1|CQUI, LOC6045300|XP_001862689.1|CQUI, LOC119770425|XP_038121228.1|CQUI, LOC119770423|XP_038121218.1|CQUI
OG0000006	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI
OG0000006	LOC120425523|XP_039446011.1|CPIP	LOC6042916|XP_038112547.1|CQUI
OG0000006	LOC120425547|XP_039446042.1|CPIP	LOC6048214|XP_001865167.1|CQUI
OG0000006	LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP	LOC119765356|XP_038105022.1|CQUI
OG0000006	LOC120425532|XP_039446021.1|CPIP	LOC6042911|XP_001853961.1|CQUI
OG0000006	LOC120415440|XP_039432922.1|CPIP	LOC6037824|XP_038114258.1|CQUI
OG0000006	LOC120420432|XP_039439389.1|CPIP	LOC6054467|XP_038113044.1|CQUI
OG0000007	LOC120412432|XP_039428825.1|CPIP	LOC6036595|XP_001846627.2|CQUI
OG0000007	LOC120412413|XP_039428810.1|CPIP	LOC6036598|XP_001846630.2|CQUI
OG0000007	LOC120412387|XP_039428758.1|CPIP	LOC6036593|XP_001846625.2|CQUI
OG0000007	LOC120412425|XP_039428820.1|CPIP	LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC120426154|XP_039446807.1|CPIP	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI
OG0000008	LOC120426153|XP_039446806.1|CPIP	LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI
OG0000008	LOC120426147|XP_039446799.1|CPIP	LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC120421629|XP_039440794.1|CPIP	LOC6035810|XP_038119144.1|CQUI
OG0000008	LOC120421652|XP_039440822.1|CPIP	LOC6035812|XP_001845934.1|CQUI
OG0000008	LOC120421673|XP_039440840.1|CPIP	LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC120421619|XP_039440783.1|CPIP	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP	LOC6048808|XP_001865675.2|CQUI
OG0000009	LOC120421295|XP_039440420.1|CPIP	LOC6049524|XP_001866266.2|CQUI
OG0000009	LOC120421293|XP_039440418.1|CPIP	LOC6049522|XP_001866265.2|CQUI
OG0000009	LOC120430193|XP_039451208.1|CPIP	LOC6048791|XP_001865658.2|CQUI
OG0000009	LOC120430194|XP_039451209.1|CPIP	LOC6048792|XP_001865659.2|CQUI
OG0000009	LOC120430179|XP_039451193.1|CPIP	LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI
OG0000009	LOC120414768|XP_039432015.1|CPIP	LOC6045661|XP_001862982.2|CQUI
OG0000009	LOC120414769|XP_039432016.1|CPIP	LOC6045662|XP_038113440.1|CQUI
OG0000009	LOC120422527|XP_039441920.1|CPIP	LOC6052277|XP_001868564.2|CQUI
OG0000009	LOC120413328|XP_039430036.1|CPIP	LOC6041283|XP_038104984.1|CQUI
OG0000009	LOC120413359|XP_039430078.1|CPIP	LOC6041282|XP_001850569.2|CQUI
OG0000009	LOC120413353|XP_039430071.1|CPIP	LOC6053772|XP_001869801.2|CQUI
OG0000009	LOC120422471|XP_039441860.1|CPIP	LOC6050120|XP_001866773.2|CQUI
OG0000009	LOC120422470|XP_039441859.1|CPIP	LOC6051133|XP_001867617.2|CQUI
OG0000009	LOC120422469|XP_039441857.1|CPIP	LOC6051132|XP_001867616.2|CQUI
OG0000009	LOC120422468|XP_039441855.1|CPIP	LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC120430236|XP_039451249.1|CPIP, LOC120425524|XP_039446013.1|CPIP, LOC120422947|XP_039442463.1|CPIP	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC120415441|XP_039432923.1|CPIP	LOC6037823|XP_001847698.1|CQUI, LOC6048215|XP_038112551.1|CQUI, LOC6048602|XP_038111058.1|CQUI, LOC119765466|XP_038105274.1|CQUI
OG0000011	LOC120423446|XP_039443198.1|CPIP	LOC6033828|XP_038121046.1|CQUI
OG0000011	LOC120418269|XP_039436521.1|CPIP	LOC6034029|XP_038120227.1|CQUI
OG0000012	LOC120419492|XP_039438114.1|CPIP	LOC6046845|XP_001863980.2|CQUI
OG0000012	LOC120419485|XP_039438104.1|CPIP	LOC6046844|XP_001863979.2|CQUI
OG0000012	LOC120419486|XP_039438105.1|CPIP	LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC120422142|XP_039441447.1|CPIP	LOC6047923|XP_001864910.2|CQUI
OG0000014	LOC120430530|XP_039451578.1|CPIP	LOC119765684|XP_038105995.1|CQUI, LOC119770823|XP_038122313.1|CQUI
OG0000014	LOC120429009|XP_039450081.1|CPIP	LOC119769295|XP_038117199.1|CQUI
OG0000014	LOC120413920|XP_039430833.1|CPIP	LOC119769369|XP_038117346.1|CQUI
OG0000014	LOC120432134|XP_039453197.1|CPIP	LOC119766221|XP_038106588.1|CQUI
OG0000014	LOC120427836|XP_039448690.1|CPIP	LOC119768950|XP_038116718.1|CQUI, LOC6051785|XP_038111747.1|CQUI, LOC119768998|XP_038116797.1|CQUI, LOC119766116|XP_038106443.1|CQUI, LOC119766249|XP_038106616.1|CQUI, LOC119768608|XP_038114666.1|CQUI
OG0000014	LOC120428491|XP_039449435.1|CPIP	LOC119766236|XP_038106604.1|CQUI, LOC119767368|XP_038111766.1|CQUI, LOC119766117|XP_038106444.1|CQUI
OG0000014	LOC120412868|XP_039429433.1|CPIP	LOC119766061|XP_038106359.1|CQUI, LOC119769500|XP_038118102.1|CQUI, LOC119765189|XP_038104493.1|CQUI
OG0000014	LOC120414197|XP_039431212.1|CPIP, LOC120430348|XP_039451380.1|CPIP	LOC119770112|XP_038120333.1|CQUI
OG0000014	LOC120415090|XP_039432441.1|CPIP	LOC119766156|XP_038106484.1|CQUI
OG0000014	LOC120414257|XP_039431304.1|CPIP	LOC119767877|XP_038113588.1|CQUI
OG0000014	LOC120425968|XP_039446554.1|CPIP	LOC119765986|XP_038106227.1|CQUI, LOC119769128|XP_038116955.1|CQUI, LOC119770200|XP_038120578.1|CQUI
OG0000014	LOC120431010|XP_039452100.1|CPIP, LOC120425980|XP_039446568.1|CPIP	LOC6039618|XP_038118115.1|CQUI
OG0000014	LOC120414198|XP_039431214.1|CPIP	LOC119770172|XP_038120519.1|CQUI, LOC119770227|XP_038120610.1|CQUI, LOC119770113|XP_038120345.1|CQUI, LOC119770042|XP_038120099.1|CQUI, LOC119766176|XP_038106535.1|CQUI
OG0000014	LOC120425462|XP_039445926.1|CPIP	LOC119766248|XP_038106615.1|CQUI, LOC119765908|XP_038106039.1|CQUI
OG0000014	LOC120415265|XP_039432667.1|CPIP	LOC119767155|XP_038110922.1|CQUI
OG0000014	LOC120425233|XP_039445597.1|CPIP	LOC119766298|XP_038106687.1|CQUI
OG0000014	LOC120430513|XP_039451546.1|CPIP, LOC120426603|XP_039447331.1|CPIP, LOC120430514|XP_039451547.1|CPIP, LOC120415244|XP_039432642.1|CPIP	LOC119768993|XP_038116791.1|CQUI, LOC119770561|XP_038121595.1|CQUI, LOC119770558|XP_038121586.1|CQUI, LOC119766297|XP_038106686.1|CQUI
OG0000014	LOC120428852|XP_039449909.1|CPIP	LOC119770148|XP_038120448.1|CQUI
OG0000014	LOC120425900|XP_039446450.1|CPIP	LOC119766501|XP_038107015.1|CQUI
OG0000014	LOC120430029|XP_039451057.1|CPIP	LOC119769289|XP_038117193.1|CQUI, LOC119767885|XP_038113636.1|CQUI
OG0000014	LOC120431483|XP_039452531.1|CPIP	LOC119769320|XP_038117250.1|CQUI, LOC119768940|XP_038116696.1|CQUI, LOC119766254|XP_038106621.1|CQUI, LOC119770091|XP_038120243.1|CQUI
OG0000014	LOC120420555|XP_039439556.1|CPIP, LOC120415798|XP_039433357.1|CPIP, LOC120412913|XP_039429482.1|CPIP	LOC119769170|XP_038117003.1|CQUI
OG0000014	LOC120415736|XP_039433265.1|CPIP	LOC119769262|XP_038117135.1|CQUI
OG0000014	LOC120418925|XP_039437390.1|CPIP, LOC120427189|XP_039447986.1|CPIP	LOC119769824|XP_038119441.1|CQUI
OG0000014	LOC120414628|XP_039431796.1|CPIP	LOC119769792|XP_038119346.1|CQUI
OG0000014	LOC120427936|XP_039448815.1|CPIP, LOC120412626|XP_039429145.1|CPIP	LOC119770300|XP_038120852.1|CQUI, LOC119766411|XP_038106872.1|CQUI, LOC119769083|XP_038116910.1|CQUI, LOC119768999|XP_038116798.1|CQUI, LOC119769462|XP_038117930.1|CQUI
OG0000014	LOC120425751|XP_039446291.1|CPIP	LOC6049375|XP_038106666.1|CQUI
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC120429254|XP_039450404.1|CPIP	LOC6050225|XP_001866863.1|CQUI
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC6032259|XP_001842896.1|CQUI
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC120432082|XP_039453150.1|CPIP	LOC6037347|XP_001847270.2|CQUI
OG0000016	LOC120415835|XP_039433406.1|CPIP	LOC6044918|XP_001862348.1|CQUI
OG0000016	LOC120412557|XP_039428995.1|CPIP	LOC6045437|XP_001862808.1|CQUI
OG0000016	LOC120412537|XP_039428967.1|CPIP	LOC6045438|XP_001862809.2|CQUI
OG0000016	LOC120412538|XP_039428968.1|CPIP	LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC6049793|XP_038119134.1|CQUI
OG0000018	LOC120418893|XP_039437358.1|CPIP	LOC6049801|XP_001866507.1|CQUI
OG0000018	LOC120425088|XP_039445415.1|CPIP	LOC6032081|XP_001842747.1|CQUI
OG0000018	LOC120418900|XP_039437364.1|CPIP	LOC6049798|XP_001866504.2|CQUI
OG0000018	LOC120418884|XP_039437351.1|CPIP	LOC6049794|XP_001866500.1|CQUI
OG0000018	LOC120420819|XP_039439873.1|CPIP	LOC6051402|XP_001867843.2|CQUI
OG0000018	LOC120420796|XP_039439842.1|CPIP	LOC6051397|XP_001867844.1|CQUI
OG0000018	LOC120418899|XP_039437363.1|CPIP	LOC6049799|XP_001866505.1|CQUI
OG0000019	LOC120417104|XP_039435015.1|CPIP	LOC6032038|XP_001842705.2|CQUI
OG0000019	LOC120426863|XP_039447601.1|CPIP	LOC6035676|XP_001845810.2|CQUI
OG0000019	LOC120417105|XP_039435016.1|CPIP	LOC6032037|XP_038105442.1|CQUI
OG0000019	LOC120426867|XP_039447605.1|CPIP	LOC6035669|XP_001845803.2|CQUI
OG0000019	LOC120426866|XP_039447604.1|CPIP	LOC6035668|XP_001845802.2|CQUI
OG0000019	LOC120426873|XP_039447610.1|CPIP	LOC6035670|XP_001845804.2|CQUI
OG0000019	LOC120426878|XP_039447615.1|CPIP	LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI
OG0000019	LOC120426877|XP_039447614.1|CPIP	LOC6035674|XP_038108138.1|CQUI
OG0000019	LOC120426875|XP_039447611.1|CPIP	LOC6035673|XP_001845807.2|CQUI
OG0000019	LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP	LOC6035725|XP_001845796.2|CQUI
OG0000019	LOC120415075|XP_039432414.1|CPIP	LOC6050287|XP_038119254.1|CQUI
OG0000019	LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC120424275|XP_039444272.1|CPIP	LOC6039902|XP_038113936.1|CQUI
OG0000020	LOC120424246|XP_039444244.1|CPIP	LOC6039901|XP_038113915.1|CQUI
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC6036302|XP_038116279.1|CQUI
OG0000020	LOC120413926|XP_039430844.1|CPIP	LOC6032569|XP_038117444.1|CQUI
OG0000020	LOC120413930|XP_039430855.1|CPIP	LOC6044312|XP_038117451.1|CQUI
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC120424653|XP_039444760.1|CPIP	LOC6047250|XP_001864331.2|CQUI
OG0000023	LOC120424643|XP_039444746.1|CPIP	LOC6047249|XP_038118268.1|CQUI
