Orthogroup	CPIP.longest_only	DBIA.longest_only
OG0000010	LOC120422947|XP_039442463.1|CPIP	LOC108035868|XP_016967106.1|DBIA, LOC108021910|XP_016946220.1|DBIA
OG0000012	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC108026825|XP_016953482.1|DBIA, LOC108026824|XP_016953480.1|DBIA, LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA, LOC108026906|XP_016953604.1|DBIA, LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC108026153|XP_016952377.1|DBIA, LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	LOC120413983|XP_039430927.1|CPIP, LOC120421589|XP_039440753.1|CPIP	LOC108021915|XP_016946228.1|DBIA, LOC108031505|XP_016960503.1|DBIA
OG0000014	LOC120429879|XP_039450893.1|CPIP, LOC120432134|XP_039453197.1|CPIP	LOC108027391|XP_016954320.1|DBIA
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC108030823|XP_016959429.1|DBIA
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC108028400|XP_016955704.1|DBIA
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC108025227|XP_016951062.1|DBIA, LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA, LOC108025224|XP_016951060.1|DBIA, LOC108025228|XP_016951063.1|DBIA, LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC108026305|XP_016952678.1|DBIA, LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA, LOC108031537|XP_016960562.1|DBIA, LOC108024628|XP_016950157.1|DBIA, LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC108026319|XP_016952697.1|DBIA, LOC108027350|XP_016954258.1|DBIA, LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC108022346|XP_016946698.1|DBIA, LOC108030636|XP_016959139.1|DBIA, LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA, LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA, LOC108029203|XP_016956872.1|DBIA
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC108027148|XP_016953858.1|DBIA, LOC108027146|XP_016953855.1|DBIA, LOC108027143|XP_016953853.1|DBIA, LOC108026627|XP_016953132.1|DBIA, LOC108027145|XP_016953854.1|DBIA, LOC108027009|XP_016953696.1|DBIA, LOC108027245|XP_016954086.1|DBIA, LOC108027357|XP_016954268.1|DBIA, LOC108027244|XP_016954083.1|DBIA
OG0000025	LOC120413278|XP_039429943.1|CPIP, LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC108023228|XP_016947991.1|DBIA
OG0000025	LOC120422943|XP_039442460.1|CPIP	LOC108021904|XP_016946215.1|DBIA
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA, LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC108033374|XP_016963181.1|DBIA, LOC108033303|XP_016963062.1|DBIA, LOC108033359|XP_016963159.1|DBIA
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC108031851|XP_016961097.1|DBIA, LOC108031869|XP_016961120.1|DBIA, LOC108035884|XP_016967128.1|DBIA, LOC108031862|XP_016961109.1|DBIA, LOC108035881|XP_016967123.1|DBIA, LOC108035882|XP_016967124.1|DBIA, LOC108035021|XP_016965853.1|DBIA
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC108036183|XP_016967662.1|DBIA, LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA, LOC108031286|XP_016960018.1|DBIA, LOC108028180|XP_016955330.1|DBIA
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA, LOC108033238|XP_016962991.1|DBIA, LOC108033489|XP_016963320.1|DBIA, LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA, LOC108032586|XP_016961983.1|DBIA
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC108027359|XP_016954271.1|DBIA, LOC108027164|XP_016953916.1|DBIA, LOC108027269|XP_016954133.1|DBIA, LOC108027231|XP_016954053.1|DBIA, LOC108027230|XP_016954052.1|DBIA, LOC108027165|XP_016953917.1|DBIA, LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA, LOC108035237|XP_016966261.1|DBIA, LOC108034999|XP_016965831.1|DBIA, LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA, LOC108036755|XP_016968570.1|DBIA
OG0000035	LOC120422668|XP_039442108.1|CPIP, LOC120417424|XP_039435402.1|CPIP	LOC108027242|XP_016954085.1|DBIA, LOC108036822|XP_016968657.1|DBIA, LOC108035837|XP_016967071.1|DBIA, LOC108036884|XP_016968752.1|DBIA, LOC108027564|XP_016954540.1|DBIA
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC108026449|XP_016952877.1|DBIA
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC108029865|XP_016957843.1|DBIA, LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC108030746|XP_016959281.1|DBIA
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC108030931|XP_016959614.1|DBIA
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC108027177|XP_016953954.1|DBIA
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA, LOC108026021|XP_016952202.1|DBIA, LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC108024814|XP_016950428.1|DBIA, LOC108024406|XP_016949807.1|DBIA, LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA, LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC108026455|XP_016952884.1|DBIA, LOC108026365|XP_016952771.1|DBIA, LOC108026364|XP_016952769.1|DBIA, LOC108026002|XP_016952181.1|DBIA, LOC108025998|XP_016952177.1|DBIA, LOC108026469|XP_016952901.1|DBIA, LOC108025049|XP_016950795.1|DBIA
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC108036240|XP_016967738.1|DBIA, LOC108036255|XP_016967753.1|DBIA, LOC108029392|XP_016957110.1|DBIA, LOC108035707|XP_016966919.1|DBIA, LOC108029377|XP_016957093.1|DBIA, LOC108034788|XP_016965261.1|DBIA
OG0000048	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP	LOC108035017|XP_016965850.1|DBIA, LOC108035032|XP_016965866.1|DBIA, LOC108035016|XP_016965849.1|DBIA, LOC108035019|XP_016965851.1|DBIA
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC108024404|XP_016949805.1|DBIA, LOC108024363|XP_016949755.1|DBIA, LOC108024349|XP_016949740.1|DBIA, LOC108024839|XP_016950464.1|DBIA, LOC108024840|XP_016950465.1|DBIA, LOC108024876|XP_016950510.1|DBIA
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC108031259|XP_016959986.1|DBIA, LOC108031167|XP_016959876.1|DBIA, LOC108031055|XP_016959745.1|DBIA, LOC108031066|XP_016959760.1|DBIA
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC108029369|XP_016957086.1|DBIA, LOC108029362|XP_016957079.1|DBIA, LOC108029361|XP_016957078.1|DBIA
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC108026311|XP_016952687.1|DBIA, LOC108026084|XP_016952272.1|DBIA, LOC108026092|XP_016952281.1|DBIA, LOC108026028|XP_016952208.1|DBIA, LOC108026363|XP_016952768.1|DBIA
OG0000055	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC108025040|XP_016950785.1|DBIA, LOC108025098|XP_016950849.1|DBIA, LOC108025041|XP_016950786.1|DBIA, LOC108025121|XP_016950876.1|DBIA, LOC108025100|XP_016950852.1|DBIA
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC108031456|XP_016960380.1|DBIA, LOC108031453|XP_016960377.1|DBIA, LOC108031455|XP_016960379.1|DBIA, LOC108031454|XP_016960378.1|DBIA, LOC108031452|XP_016960376.1|DBIA, LOC108031088|XP_016959782.1|DBIA, LOC108031982|XP_016961266.1|DBIA
OG0000058	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP	LOC108036205|XP_016967686.1|DBIA, LOC108032411|XP_016961720.1|DBIA, LOC108032495|XP_016961804.1|DBIA, LOC108036206|XP_016967687.1|DBIA, LOC108033435|XP_016963248.1|DBIA, LOC108029081|XP_016956700.1|DBIA
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC108031902|XP_016961196.1|DBIA
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC108025323|XP_016951236.1|DBIA
OG0000061	LOC120415159|XP_039432529.1|CPIP	LOC108032412|XP_016961721.1|DBIA, LOC108032443|XP_016961757.1|DBIA, LOC108032400|XP_016961710.1|DBIA, LOC108032401|XP_016961711.1|DBIA
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC108027215|XP_016954031.1|DBIA, LOC108028025|XP_016955150.1|DBIA
OG0000067	LOC120432651|XP_039453829.1|CPIP	LOC108036631|XP_016968394.1|DBIA, LOC108028052|XP_016955180.1|DBIA
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC108028075|XP_016955204.1|DBIA
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP	LOC108027959|XP_016955073.1|DBIA, LOC108031521|XP_016960528.1|DBIA, LOC108034448|XP_016964821.1|DBIA, LOC108029590|XP_016957445.1|DBIA, LOC108036196|XP_016967676.1|DBIA, LOC108027565|XP_016954535.1|DBIA
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC108032380|XP_016961690.1|DBIA, LOC108034332|XP_016964700.1|DBIA, LOC108028712|XP_016956151.1|DBIA, LOC108033786|XP_016963881.1|DBIA, LOC108023296|XP_016948086.1|DBIA
OG0000071	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP	LOC108034500|XP_016964894.1|DBIA, LOC108034394|XP_016964765.1|DBIA
OG0000072	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC108036662|XP_016968433.1|DBIA, LOC108036290|XP_016967791.1|DBIA, LOC108036249|XP_016967747.1|DBIA
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC108022685|XP_016947244.1|DBIA
OG0000073	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP, LOC120424940|XP_039445180.1|CPIP	LOC108023361|XP_016948233.1|DBIA
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC108027157|XP_016953875.1|DBIA
OG0000074	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP	LOC108028307|XP_016955519.1|DBIA, LOC108028433|XP_016955751.1|DBIA
OG0000076	LOC120414119|XP_039431083.1|CPIP	LOC108035061|XP_016965936.1|DBIA
OG0000076	LOC120419152|XP_039437732.1|CPIP	LOC108027529|XP_016954462.1|DBIA
OG0000077	LOC120428195|XP_039449110.1|CPIP	LOC108026696|XP_016953273.1|DBIA
OG0000077	LOC120425394|XP_039445844.1|CPIP	LOC108026817|XP_016953471.1|DBIA
OG0000077	LOC120420744|XP_039439774.1|CPIP	LOC108024645|XP_016950184.1|DBIA
OG0000078	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP	LOC108026559|XP_016952999.1|DBIA, LOC108030890|XP_016959551.1|DBIA, LOC108027078|XP_016953782.1|DBIA, LOC108027590|XP_016954597.1|DBIA, LOC108023624|XP_016948723.1|DBIA
OG0000080	LOC120419665|XP_039438362.1|CPIP, LOC120432076|XP_039453147.1|CPIP, LOC120431515|XP_039452549.1|CPIP, LOC120432086|XP_039453158.1|CPIP, LOC120431996|XP_039453065.1|CPIP	LOC108023084|XP_016947826.1|DBIA, LOC108022970|XP_016947684.1|DBIA, LOC108036474|XP_016968140.1|DBIA
OG0000082	LOC120417717|XP_039435802.1|CPIP, LOC120412752|XP_039429279.1|CPIP, LOC120412753|XP_039429280.1|CPIP, LOC120419465|XP_039438084.1|CPIP, LOC120419907|XP_039438710.1|CPIP, LOC120417732|XP_039435823.1|CPIP, LOC120413477|XP_039430262.1|CPIP, LOC120430123|XP_039451143.1|CPIP, LOC120414610|XP_039431767.1|CPIP	LOC108026719|XP_016953316.1|DBIA, LOC108032144|XP_016961473.1|DBIA, LOC108030979|XP_016959668.1|DBIA, LOC108030981|XP_016959669.1|DBIA, LOC108030982|XP_016959670.1|DBIA
OG0000083	LOC120420972|XP_039440038.1|CPIP, LOC120420970|XP_039440036.1|CPIP	LOC108034224|XP_016964555.1|DBIA, LOC108036802|XP_016968638.1|DBIA, LOC108036697|XP_016968476.1|DBIA, LOC108036696|XP_016968475.1|DBIA, LOC108034049|XP_016964289.1|DBIA
OG0000084	LOC120417385|XP_039435338.1|CPIP, LOC120417417|XP_039435394.1|CPIP, LOC120417391|XP_039435346.1|CPIP, LOC120421339|XP_039440455.1|CPIP, LOC120416554|XP_039434220.1|CPIP	LOC108029487|XP_016957244.1|DBIA
OG0000084	LOC120424545|XP_039444643.1|CPIP, LOC120424544|XP_039444642.1|CPIP, LOC120422454|XP_039441832.1|CPIP, LOC120424528|XP_039444621.1|CPIP, LOC120424522|XP_039444615.1|CPIP, LOC120426597|XP_039447322.1|CPIP, LOC120424525|XP_039444619.1|CPIP, LOC120424523|XP_039444617.1|CPIP, LOC120424526|XP_039444620.1|CPIP, LOC120424524|XP_039444618.1|CPIP, LOC120423778|XP_039443631.1|CPIP	LOC108030446|XP_016958828.1|DBIA
OG0000085	LOC120418894|XP_039437359.1|CPIP	LOC108030036|XP_016958096.1|DBIA
OG0000086	LOC120419495|XP_039438120.1|CPIP	LOC108026716|XP_016953312.1|DBIA
