Orthogroup	CPIP.longest_only	DBUS.longest_only
OG0000012	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC108595899|XP_017836677.1|DBUS, LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS, LOC108595898|XP_017836676.1|DBUS, LOC108595900|XP_017836679.1|DBUS, LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS, LOC108597255|XP_017839199.1|DBUS, LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000014	LOC120413983|XP_039430927.1|CPIP, LOC120421589|XP_039440753.1|CPIP	LOC117134671|XP_033148998.1|DBUS
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC108603000|XP_017846884.1|DBUS, LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC108599665|XP_017842156.1|DBUS
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC120425088|XP_039445415.1|CPIP	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC108602938|XP_017846769.1|DBUS, LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS, LOC108601285|XP_017844674.1|DBUS, LOC108602937|XP_017846768.1|DBUS, LOC108602931|XP_017846763.1|DBUS, LOC108602936|XP_017846767.1|DBUS, LOC108602933|XP_017846765.1|DBUS, LOC108601284|XP_017844673.1|DBUS
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC108604342|XP_017849258.1|DBUS, LOC108601560|XP_017844947.1|DBUS, LOC108601249|XP_017844637.1|DBUS, LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC108607439|XP_017853757.2|DBUS, LOC108603823|XP_017848442.1|DBUS, LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS, LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC108602127|XP_017845643.1|DBUS, LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC108595778|XP_017836559.1|DBUS, LOC108599848|XP_017842465.1|DBUS, LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS, LOC108597711|XP_017839890.1|DBUS
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC117134624|XP_033150075.1|DBUS, LOC108601632|XP_017845020.1|DBUS, LOC108601651|XP_017845040.1|DBUS, LOC108604301|XP_017849208.1|DBUS, LOC108596143|XP_017837125.1|DBUS, LOC108604433|XP_017849396.1|DBUS, LOC108601245|XP_033150074.1|DBUS, LOC108602727|XP_017846368.1|DBUS, LOC108602726|XP_017846367.1|DBUS, LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC120414088|XP_039431044.1|CPIP	LOC108595405|XP_017836123.1|DBUS
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC108607483|XP_017853815.1|DBUS
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS, LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC108600961|XP_017844639.1|DBUS, LOC108608302|XP_017855118.1|DBUS, LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS, LOC108598250|XP_017840354.1|DBUS, LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC108601292|XP_017844680.1|DBUS, LOC108599285|XP_017841572.1|DBUS
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS, LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS, LOC108595066|XP_017835705.2|DBUS
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC108604099|XP_017848870.1|DBUS, LOC108601631|XP_017845019.1|DBUS, LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP	LOC108600656|XP_017843844.2|DBUS, LOC108597722|XP_017839907.2|DBUS, LOC108608325|XP_017855153.2|DBUS, LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000035	LOC120422668|XP_039442108.1|CPIP, LOC120417424|XP_039435402.1|CPIP	LOC117134686|XP_033149074.1|DBUS, LOC108602071|XP_017845580.2|DBUS, LOC108604409|XP_017849365.2|DBUS, LOC108597433|XP_017839480.2|DBUS
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC120429038|XP_039450110.1|CPIP, LOC120429039|XP_039450111.1|CPIP, LOC120428147|XP_039449065.1|CPIP, LOC120428149|XP_039449068.1|CPIP, LOC120428146|XP_039449064.1|CPIP, LOC120428148|XP_039449067.1|CPIP, LOC120415924|XP_039433504.1|CPIP, LOC120415923|XP_039433503.1|CPIP, LOC120426062|XP_039446682.1|CPIP, LOC120414650|XP_039431833.1|CPIP, LOC120421881|XP_039441110.1|CPIP, LOC120415922|XP_039433501.1|CPIP, LOC120417580|XP_039435624.1|CPIP, LOC120417594|XP_039435641.1|CPIP, LOC120425684|XP_039446205.1|CPIP, LOC120425659|XP_039446177.1|CPIP, LOC120425667|XP_039446188.1|CPIP	LOC108607107|XP_017853223.1|DBUS
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS, LOC108595584|XP_033149202.1|DBUS, LOC117134663|XP_033148953.1|DBUS, LOC108595142|XP_033148951.1|DBUS
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC108604138|XP_017848936.1|DBUS, LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC108602016|XP_033149810.1|DBUS, LOC108602049|XP_017845549.1|DBUS, LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC108602073|XP_017845582.1|DBUS, LOC108601821|XP_017845247.1|DBUS
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC108595113|XP_033148899.1|DBUS, LOC108595086|XP_017835725.1|DBUS, LOC108595112|XP_017835761.1|DBUS, LOC108601150|XP_033149649.1|DBUS, LOC108599569|XP_017841975.1|DBUS, LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS, LOC108599702|XP_017842187.2|DBUS, LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC108604094|XP_017848864.1|DBUS, LOC108604092|XP_017848863.1|DBUS, LOC108602189|XP_017845724.1|DBUS, LOC108602386|XP_017845985.1|DBUS, LOC108601428|XP_017844815.1|DBUS
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC108602122|XP_017845638.1|DBUS, LOC108603519|XP_017847901.1|DBUS, LOC108601326|XP_017844713.1|DBUS
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC108596657|XP_017838132.1|DBUS, LOC108596656|XP_017838131.1|DBUS, LOC108596363|XP_017837514.1|DBUS
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS, LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC108602318|XP_017845891.1|DBUS, LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS, LOC108602521|XP_017846144.1|DBUS
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC108601235|XP_017844623.1|DBUS, LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS, LOC108602080|XP_017845593.1|DBUS, LOC108598485|XP_017840632.1|DBUS
OG0000057	LOC120419827|XP_039438595.1|CPIP, LOC120423416|XP_039443151.1|CPIP, LOC120413078|XP_039429715.1|CPIP, LOC120413834|XP_039430723.1|CPIP, LOC120431422|XP_039452477.1|CPIP, LOC120421556|XP_039440720.1|CPIP, LOC120428776|XP_039449794.1|CPIP, LOC120428475|XP_039449423.1|CPIP, LOC120431484|XP_039452532.1|CPIP, LOC120413508|XP_039430301.1|CPIP, LOC120430733|XP_039451777.1|CPIP, LOC120430810|XP_039451866.1|CPIP, LOC120417862|XP_039436019.1|CPIP, LOC120421112|XP_039440205.1|CPIP, LOC120429688|XP_039450654.1|CPIP, LOC120412431|XP_039428824.1|CPIP, LOC120431763|XP_039452817.1|CPIP, LOC120427889|XP_039448757.1|CPIP, LOC120416631|XP_039434372.1|CPIP, LOC120416632|XP_039434373.1|CPIP, LOC120432090|XP_039453162.1|CPIP, LOC120430801|XP_039451854.1|CPIP, LOC120427199|XP_039447993.1|CPIP, LOC120417632|XP_039435678.1|CPIP, LOC120425704|XP_039446229.1|CPIP, LOC120415116|XP_039432467.1|CPIP, LOC120416630|XP_039434371.1|CPIP, LOC120425554|XP_039446050.1|CPIP, LOC120431653|XP_039452693.1|CPIP, LOC120430326|XP_039451361.1|CPIP, LOC120432005|XP_039453069.1|CPIP, LOC120427806|XP_039448660.1|CPIP, LOC120429948|XP_039450977.1|CPIP, LOC120427823|XP_039448679.1|CPIP, LOC120429656|XP_039450620.1|CPIP, LOC120426060|XP_039446680.1|CPIP, LOC120413469|XP_039430244.1|CPIP, LOC120413100|XP_039429739.1|CPIP, LOC120413815|XP_039430702.1|CPIP, LOC120430443|XP_039451489.1|CPIP	LOC117134803|XP_033149641.1|DBUS
OG0000058	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP	LOC108605169|XP_017850528.2|DBUS, LOC108602617|XP_017846245.1|DBUS, LOC108597982|XP_017840088.1|DBUS, LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS, LOC117135039|XP_033150759.1|DBUS, LOC108606881|XP_017852895.1|DBUS
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC108605486|XP_017850670.1|DBUS, LOC108605501|XP_017850738.1|DBUS
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC108604124|XP_017848902.1|DBUS
OG0000061	LOC120415159|XP_039432529.1|CPIP	LOC108602145|XP_017845670.1|DBUS, LOC108594753|XP_017835384.1|DBUS, LOC108594775|XP_017835406.1|DBUS, LOC108599629|XP_017842090.1|DBUS, LOC108603702|XP_017848228.1|DBUS, LOC108599637|XP_017842101.2|DBUS
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC108603517|XP_017847897.1|DBUS, LOC108598960|XP_017841219.2|DBUS
OG0000067	LOC120432651|XP_039453829.1|CPIP	LOC108596347|XP_017837491.1|DBUS, LOC108600356|XP_017843371.2|DBUS
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC108598075|XP_017840177.1|DBUS
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP	LOC108596576|XP_017837985.1|DBUS, LOC108604183|XP_017849015.1|DBUS, LOC108604996|XP_017850051.2|DBUS
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC108601128|XP_017844545.1|DBUS, LOC108603861|XP_033149223.1|DBUS, LOC108606170|XP_017851511.2|DBUS, LOC108600264|XP_017843206.1|DBUS, LOC108601682|XP_017845084.1|DBUS
OG0000071	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP	LOC108599237|XP_017841523.1|DBUS, LOC108599153|XP_017841429.1|DBUS, LOC108599099|XP_017841377.1|DBUS
OG0000072	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC108595719|XP_017836490.1|DBUS, LOC108594812|XP_017835440.1|DBUS, LOC108595671|XP_017836439.1|DBUS
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC108596382|XP_017837542.1|DBUS
OG0000073	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP	LOC108606257|XP_017851695.1|DBUS
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC108602957|XP_017846798.1|DBUS
OG0000074	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP	LOC108600842|XP_033149439.1|DBUS, LOC108600601|XP_017843769.2|DBUS
OG0000076	LOC120414119|XP_039431083.1|CPIP	LOC108600032|XP_017842842.1|DBUS
OG0000076	LOC120419152|XP_039437732.1|CPIP	LOC108607277|XP_017853461.1|DBUS
OG0000077	LOC120428195|XP_039449110.1|CPIP	LOC108596705|XP_017838216.1|DBUS
OG0000077	LOC120425394|XP_039445844.1|CPIP	LOC108597238|XP_017839176.1|DBUS
OG0000077	LOC120420744|XP_039439774.1|CPIP	LOC108603566|XP_017847972.1|DBUS
OG0000078	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP	LOC108595297|XP_017835998.1|DBUS, LOC108595427|XP_017836144.1|DBUS, LOC108595437|XP_017836156.1|DBUS, LOC108598842|XP_017841085.1|DBUS, LOC108602138|XP_017845655.1|DBUS, LOC108607118|XP_017853240.1|DBUS, LOC108607224|XP_017853386.1|DBUS
