Orthogroup	CPIP.longest_only	BCOP.longest_only
OG0000006	LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP	LOC119075400|XP_037037739.1|BCOP
OG0000007	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC119076148|XP_037038725.1|BCOP
OG0000008	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP	LOC119067198|XP_037025928.1|BCOP
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC119077089|XP_037040143.1|BCOP
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC119067264|XP_037026041.1|BCOP
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
OG0000010	LOC120430236|XP_039451249.1|CPIP, LOC120425524|XP_039446013.1|CPIP	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP
OG0000010	LOC120422947|XP_039442463.1|CPIP	LOC119077573|XP_037040679.1|BCOP, LOC119082505|XP_037047916.1|BCOP, LOC119075112|XP_037037396.1|BCOP, LOC119077564|XP_037040669.1|BCOP, LOC119075517|XP_037037883.1|BCOP
OG0000010	LOC120415441|XP_039432923.1|CPIP	LOC119077572|XP_037040677.1|BCOP, LOC119078399|XP_037041797.1|BCOP, LOC119077565|XP_037040670.1|BCOP, LOC119078398|XP_037041796.1|BCOP, LOC119067746|XP_037026771.1|BCOP, LOC119075105|XP_037037388.1|BCOP, LOC119075519|XP_037037884.1|BCOP, LOC119082442|XP_037047864.1|BCOP, LOC119082500|XP_037047910.1|BCOP, LOC119070779|XP_037031153.1|BCOP
OG0000012	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC119078237|XP_037041593.1|BCOP
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC119071389|XP_037032165.1|BCOP
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC119072742|XP_037033921.1|BCOP
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC119068977|XP_037028742.1|BCOP
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000014	LOC120413983|XP_039430927.1|CPIP, LOC120421589|XP_039440753.1|CPIP, LOC120429879|XP_039450893.1|CPIP, LOC120432134|XP_039453197.1|CPIP	LOC119066014|XP_037024126.1|BCOP
OG0000014	LOC120412868|XP_039429433.1|CPIP	LOC119077000|XP_037040000.1|BCOP
OG0000014	LOC120425462|XP_039445926.1|CPIP, LOC120418631|XP_039437010.1|CPIP, LOC120418890|XP_039437355.1|CPIP, LOC120415265|XP_039432667.1|CPIP, LOC120425233|XP_039445597.1|CPIP, LOC120420345|XP_039439273.1|CPIP, LOC120428568|XP_039449536.1|CPIP, LOC120430513|XP_039451546.1|CPIP, LOC120426603|XP_039447331.1|CPIP, LOC120430514|XP_039451547.1|CPIP, LOC120415244|XP_039432642.1|CPIP, LOC120417025|XP_039434897.1|CPIP, LOC120428852|XP_039449909.1|CPIP, LOC120425900|XP_039446450.1|CPIP, LOC120430029|XP_039451057.1|CPIP, LOC120431483|XP_039452531.1|CPIP, LOC120420555|XP_039439556.1|CPIP, LOC120415798|XP_039433357.1|CPIP, LOC120412913|XP_039429482.1|CPIP, LOC120415736|XP_039433265.1|CPIP, LOC120420857|XP_039439909.1|CPIP, LOC120418925|XP_039437390.1|CPIP, LOC120427189|XP_039447986.1|CPIP, LOC120414628|XP_039431796.1|CPIP, LOC120427936|XP_039448815.1|CPIP, LOC120412626|XP_039429145.1|CPIP, LOC120425751|XP_039446291.1|CPIP	LOC119082466|XP_037047880.1|BCOP, LOC119079734|XP_037043693.1|BCOP
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC119069122|XP_037028916.1|BCOP
OG0000016	LOC120429254|XP_039450404.1|CPIP	LOC119073565|XP_037035016.1|BCOP
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC119071771|XP_037032720.1|BCOP
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC119070068|XP_037030257.1|BCOP
OG0000016	LOC120415835|XP_039433406.1|CPIP, LOC120412557|XP_039428995.1|CPIP, LOC120412554|XP_039428993.1|CPIP	LOC119072516|XP_037033655.1|BCOP, LOC119084274|XP_037050089.1|BCOP, LOC119072264|XP_037033350.1|BCOP
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC119072263|XP_037033347.1|BCOP
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	LOC120418893|XP_039437358.1|CPIP, LOC120425088|XP_039445415.1|CPIP, LOC120418900|XP_039437364.1|CPIP, LOC120418884|XP_039437351.1|CPIP, LOC120420819|XP_039439873.1|CPIP, LOC120420796|XP_039439842.1|CPIP, LOC120418899|XP_039437363.1|CPIP	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP
OG0000019	LOC120415075|XP_039432414.1|CPIP	LOC119082044|XP_037047265.1|BCOP
OG0000020	LOC120424275|XP_039444272.1|CPIP, LOC120424246|XP_039444244.1|CPIP	LOC119070432|XP_037030669.1|BCOP
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC119077634|XP_037040747.1|BCOP
OG0000020	LOC120413926|XP_039430844.1|CPIP	LOC119084833|XP_037050813.1|BCOP, LOC119077828|XP_037041031.1|BCOP, LOC119075380|XP_037037714.1|BCOP
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC119076102|XP_037038654.1|BCOP
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC119074653|XP_037036827.1|BCOP, LOC119078339|XP_037041737.1|BCOP
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
OG0000024	LOC120414088|XP_039431044.1|CPIP	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC120424200|XP_039444192.1|CPIP, LOC120413278|XP_039429943.1|CPIP, LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC119074493|XP_037036540.1|BCOP
OG0000025	LOC120425521|XP_039446009.1|CPIP, LOC120422949|XP_039442466.1|CPIP	LOC119075511|XP_037037876.1|BCOP
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP
OG0000026	LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC119084799|XP_037050765.1|BCOP
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC119077158|XP_037040243.1|BCOP
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP
OG0000031	LOC120415232|XP_039432624.1|CPIP, LOC120415239|XP_039432636.1|CPIP	LOC119070957|XP_037031407.1|BCOP, LOC119070655|XP_037030981.1|BCOP
OG0000032	LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP	LOC119081013|XP_037045591.1|BCOP
OG0000034	LOC120425576|XP_039446083.1|CPIP	LOC119070626|XP_037030946.1|BCOP
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC119070319|XP_037030483.1|BCOP
OG0000036	LOC120429038|XP_039450110.1|CPIP, LOC120429039|XP_039450111.1|CPIP, LOC120428147|XP_039449065.1|CPIP, LOC120428149|XP_039449068.1|CPIP, LOC120428146|XP_039449064.1|CPIP, LOC120428148|XP_039449067.1|CPIP, LOC120415924|XP_039433504.1|CPIP, LOC120415923|XP_039433503.1|CPIP, LOC120426062|XP_039446682.1|CPIP, LOC120414650|XP_039431833.1|CPIP, LOC120421881|XP_039441110.1|CPIP, LOC120415922|XP_039433501.1|CPIP, LOC120417580|XP_039435624.1|CPIP, LOC120417594|XP_039435641.1|CPIP, LOC120425684|XP_039446205.1|CPIP, LOC120425659|XP_039446177.1|CPIP, LOC120425667|XP_039446188.1|CPIP	LOC119074646|XP_037036818.1|BCOP
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC119077484|XP_037040593.1|BCOP
OG0000038	LOC120421641|XP_039440806.1|CPIP, LOC120421656|XP_039440823.1|CPIP, LOC120421639|XP_039440804.1|CPIP, LOC120421655|XP_039440821.1|CPIP, LOC120421657|XP_039440824.1|CPIP, LOC120421640|XP_039440805.1|CPIP, LOC120421648|XP_039440815.1|CPIP, LOC120421642|XP_039440807.1|CPIP, LOC120421645|XP_039440812.1|CPIP, LOC120421646|XP_039440813.1|CPIP, LOC120421650|XP_039440817.1|CPIP, LOC120421651|XP_039440818.1|CPIP, LOC120421649|XP_039440816.1|CPIP, LOC120421643|XP_039440808.1|CPIP, LOC120421644|XP_039440809.1|CPIP, LOC120421637|XP_039440801.1|CPIP, LOC120421638|XP_039440803.1|CPIP, LOC120421660|XP_039440827.1|CPIP, LOC120421647|XP_039440814.1|CPIP, LOC120421661|XP_039440828.1|CPIP, LOC120421662|XP_039440829.1|CPIP, LOC120423242|XP_039442890.1|CPIP, LOC120421636|XP_039440800.1|CPIP, LOC120413593|XP_039430435.1|CPIP, LOC120421635|XP_039440799.1|CPIP, LOC120421634|XP_039440798.1|CPIP, LOC120421654|XP_039440820.1|CPIP	LOC119080135|XP_037044248.1|BCOP
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC119070988|XP_037031473.1|BCOP
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP
OG0000043	LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP
OG0000045	LOC120422329|XP_039441658.1|CPIP, LOC120422328|XP_039441657.1|CPIP, LOC120420581|XP_039439595.1|CPIP, LOC120420564|XP_039439571.1|CPIP, LOC120420582|XP_039439596.1|CPIP	LOC119080622|XP_037044922.1|BCOP, LOC119077644|XP_037040760.1|BCOP
OG0000045	LOC120420579|XP_039439593.1|CPIP	LOC119072379|XP_037033474.1|BCOP
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC119072494|XP_037033629.1|BCOP
OG0000053	LOC120422211|XP_039441529.1|CPIP, LOC120417054|XP_039434940.1|CPIP	LOC119073487|XP_037034887.1|BCOP, LOC119073485|XP_037034885.1|BCOP
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP
