Orthogroup	CPIP.longest_only	ASTE.longest_only
OG0000002	LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP	LOC118511460|XP_035910455.1|ASTE
OG0000002	LOC120424991|XP_039445294.1|CPIP	LOC118509867|XP_035906983.1|ASTE
OG0000003	LOC120417737|XP_039435829.1|CPIP	LOC118510054|XP_035907336.1|ASTE, LOC118517143|XP_035918894.1|ASTE
OG0000003	LOC120419471|XP_039438091.1|CPIP, LOC120417750|XP_039435842.1|CPIP, LOC120426116|XP_039446753.1|CPIP, LOC120417719|XP_039435803.1|CPIP	LOC118513635|XP_035915594.1|ASTE, LOC118517142|XP_035918893.1|ASTE
OG0000003	LOC120417745|XP_039435837.1|CPIP	LOC118513634|XP_035915592.1|ASTE
OG0000003	LOC120416693|XP_039434443.1|CPIP, LOC120416692|XP_039434441.1|CPIP, LOC120431322|XP_039452390.1|CPIP, LOC120428937|XP_039450018.1|CPIP, LOC120431319|XP_039452387.1|CPIP, LOC120431320|XP_039452388.1|CPIP, LOC120431318|XP_039452385.1|CPIP	LOC118503800|XP_035893388.1|ASTE
OG0000003	LOC120417738|XP_039435830.1|CPIP, LOC120417747|XP_039435839.1|CPIP	LOC118513637|XP_035915596.1|ASTE, LOC118517132|XP_035918884.1|ASTE, LOC118513636|XP_035915595.1|ASTE, LOC118517131|XP_035918883.1|ASTE
OG0000003	LOC120417748|XP_039435840.1|CPIP	LOC118513639|XP_035915598.1|ASTE, LOC118517134|XP_035918886.1|ASTE
OG0000003	LOC120417751|XP_039435843.1|CPIP	LOC118517145|XP_035918898.1|ASTE, LOC118513633|XP_035915591.1|ASTE, LOC118513638|XP_035915597.1|ASTE, LOC118517133|XP_035918885.1|ASTE
OG0000003	LOC120430921|XP_039451975.1|CPIP	LOC118504406|XP_035894732.1|ASTE, LOC118504410|XP_035894735.1|ASTE, LOC118504409|XP_035894734.1|ASTE
OG0000003	LOC120431835|XP_039452896.1|CPIP	LOC118504412|XP_035894738.1|ASTE
OG0000004	LOC120431997|XP_039453064.1|CPIP	LOC118508090|XP_035903462.1|ASTE, LOC118508092|XP_035903464.1|ASTE, LOC118508091|XP_035903463.1|ASTE
OG0000004	LOC120425541|XP_039446037.1|CPIP, LOC120425520|XP_039446008.1|CPIP	LOC118508233|XP_035903731.1|ASTE, LOC118508227|XP_035903726.1|ASTE, LOC118508232|XP_035903730.1|ASTE, LOC118508230|XP_035903728.1|ASTE, LOC118508231|XP_035903729.1|ASTE, LOC118508228|XP_035903727.1|ASTE
OG0000005	LOC120422944|XP_039442461.1|CPIP	LOC118516497|XP_035918320.1|ASTE, LOC118516487|XP_035918309.1|ASTE, LOC118516495|XP_035918318.1|ASTE, LOC118516498|XP_035918321.1|ASTE, LOC118516500|XP_035918322.1|ASTE, LOC118516491|XP_035918313.1|ASTE, LOC118516493|XP_035918316.1|ASTE, LOC118516494|XP_035918317.1|ASTE, LOC118516492|XP_035918315.1|ASTE, LOC118516490|XP_035918312.1|ASTE, LOC118516496|XP_035918319.1|ASTE, LOC118517635|XP_035919840.1|ASTE
OG0000006	LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC120421652|XP_039440822.1|CPIP	LOC118506770|XP_035900259.1|ASTE
OG0000008	LOC120421673|XP_039440840.1|CPIP	LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP	LOC118514549|XP_035917433.1|ASTE
OG0000009	LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP	LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE
OG0000009	LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP	LOC118513525|XP_035915292.1|ASTE
OG0000009	LOC120413353|XP_039430071.1|CPIP	LOC118510358|XP_035907960.1|ASTE
OG0000009	LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP	LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC120430236|XP_039451249.1|CPIP, LOC120425524|XP_039446013.1|CPIP	LOC118503730|XP_035893236.1|ASTE
OG0000010	LOC120415441|XP_039432923.1|CPIP	LOC118509785|XP_035906820.1|ASTE
OG0000011	LOC120423446|XP_039443198.1|CPIP	LOC118513952|XP_035916240.1|ASTE
OG0000012	LOC120419492|XP_039438114.1|CPIP	LOC118508901|XP_035904653.1|ASTE
OG0000012	LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000014	LOC120425462|XP_039445926.1|CPIP	LOC118506592|XP_035899843.1|ASTE, LOC118513377|XP_035914925.1|ASTE, LOC118509085|XP_035905110.1|ASTE, LOC118502817|XP_035891359.1|ASTE, LOC118510097|XP_035907419.1|ASTE, LOC118516573|XP_035918430.1|ASTE
OG0000014	LOC120420857|XP_039439909.1|CPIP, LOC120418925|XP_039437390.1|CPIP, LOC120427189|XP_039447986.1|CPIP, LOC120414628|XP_039431796.1|CPIP, LOC120427936|XP_039448815.1|CPIP, LOC120412626|XP_039429145.1|CPIP, LOC120425751|XP_039446291.1|CPIP	LOC118505923|XP_035898309.1|ASTE
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC120429254|XP_039450404.1|CPIP	LOC118509720|XP_035906702.1|ASTE
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC120432082|XP_039453150.1|CPIP	LOC118502963|XP_035891620.1|ASTE
OG0000016	LOC120415835|XP_039433406.1|CPIP	LOC118505225|XP_035896646.1|ASTE
OG0000016	LOC120412557|XP_039428995.1|CPIP	LOC118503559|XP_035892861.1|ASTE
OG0000016	LOC120412554|XP_039428993.1|CPIP	LOC118503557|XP_035892858.1|ASTE
OG0000016	LOC120412537|XP_039428967.1|CPIP	LOC118503558|XP_035892859.1|ASTE
OG0000016	LOC120412538|XP_039428968.1|CPIP	LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC118513024|XP_035914194.1|ASTE
OG0000018	LOC120418893|XP_039437358.1|CPIP	LOC118513028|XP_035914198.1|ASTE
OG0000018	LOC120418900|XP_039437364.1|CPIP	LOC118513023|XP_035914193.1|ASTE
OG0000018	LOC120418884|XP_039437351.1|CPIP, LOC120420819|XP_039439873.1|CPIP, LOC120420796|XP_039439842.1|CPIP, LOC120418899|XP_039437363.1|CPIP	LOC118513026|XP_035914196.1|ASTE
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE
OG0000019	LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP	LOC118505911|XP_035898263.1|ASTE
OG0000019	LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP	LOC118507102|XP_035900997.1|ASTE
OG0000019	LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP	LOC118505907|XP_035898258.1|ASTE
OG0000019	LOC120415075|XP_039432414.1|CPIP	LOC118506335|XP_035899208.1|ASTE
OG0000019	LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC120424275|XP_039444272.1|CPIP, LOC120424246|XP_039444244.1|CPIP	LOC118502378|XP_035890492.1|ASTE
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC118509588|XP_035906253.1|ASTE
OG0000020	LOC120413926|XP_039430844.1|CPIP	LOC118507693|XP_035902420.1|ASTE
OG0000020	LOC120413930|XP_039430855.1|CPIP	LOC118507694|XP_035902424.1|ASTE
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC118505404|XP_035897036.1|ASTE
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC120424653|XP_039444760.1|CPIP	LOC118511284|XP_035910083.1|ASTE
OG0000023	LOC120424643|XP_039444746.1|CPIP	LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC120414088|XP_039431044.1|CPIP	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC120422949|XP_039442466.1|CPIP	LOC118509777|XP_035906810.1|ASTE
OG0000026	LOC120424841|XP_039445018.1|CPIP	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE
OG0000026	LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP	LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC120429926|XP_039450953.1|CPIP, LOC120429919|XP_039450947.1|CPIP	LOC118514318|XP_035916995.1|ASTE, LOC118514317|XP_035916994.1|ASTE
OG0000027	LOC120429931|XP_039450959.1|CPIP, LOC120429934|XP_039450962.1|CPIP, LOC120429936|XP_039450963.1|CPIP, LOC120429932|XP_039450960.1|CPIP	LOC118514316|XP_035916993.1|ASTE
OG0000027	LOC120429929|XP_039450957.1|CPIP, LOC120429928|XP_039450956.1|CPIP, LOC120429927|XP_039450954.1|CPIP, LOC120429930|XP_039450958.1|CPIP	LOC118514315|XP_035916992.1|ASTE, LOC118514308|XP_035916985.1|ASTE, LOC118514312|XP_035916989.1|ASTE, LOC118514313|XP_035916990.1|ASTE, LOC118514314|XP_035916991.1|ASTE, LOC118514310|XP_035916987.1|ASTE, LOC118514309|XP_035916986.1|ASTE, LOC118514311|XP_035916988.1|ASTE, LOC118514306|XP_035916982.1|ASTE
OG0000027	LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP	LOC118509804|XP_035906835.1|ASTE
OG0000027	LOC120419660|XP_039438354.1|CPIP	LOC118509855|XP_035906957.1|ASTE
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP	LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE
OG0000029	LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000031	LOC120415232|XP_039432624.1|CPIP	LOC118503404|XP_035892502.1|ASTE
OG0000031	LOC120415239|XP_039432636.1|CPIP	LOC118503635|XP_035893026.1|ASTE, LOC118503631|XP_035893019.1|ASTE
OG0000031	LOC120415223|XP_039432612.1|CPIP, LOC120415228|XP_039432619.1|CPIP, LOC120415242|XP_039432640.1|CPIP	LOC118503636|XP_035893027.1|ASTE
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP	LOC118503124|XP_035891971.1|ASTE
OG0000032	LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP	LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE
OG0000034	LOC120424426|XP_039444477.1|CPIP	LOC118512083|XP_035911935.1|ASTE
OG0000034	LOC120424428|XP_039444478.1|CPIP	LOC118512076|XP_035911906.1|ASTE
OG0000034	LOC120425576|XP_039446083.1|CPIP	LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC118502424|XP_035890544.1|ASTE
OG0000036	LOC120426062|XP_039446682.1|CPIP	LOC118505354|XP_035896919.1|ASTE
OG0000036	LOC120415922|XP_039433501.1|CPIP	LOC118506976|XP_035900728.1|ASTE
OG0000036	LOC120417580|XP_039435624.1|CPIP, LOC120417594|XP_039435641.1|CPIP, LOC120425684|XP_039446205.1|CPIP, LOC120425659|XP_039446177.1|CPIP, LOC120425667|XP_039446188.1|CPIP	LOC118506974|XP_035900726.1|ASTE
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC120421631|XP_039440792.1|CPIP, LOC120424485|XP_039444561.1|CPIP	LOC118510898|XP_035909176.1|ASTE
OG0000038	LOC120421641|XP_039440806.1|CPIP, LOC120421656|XP_039440823.1|CPIP, LOC120421639|XP_039440804.1|CPIP	LOC118514617|XP_035917507.1|ASTE, LOC118514616|XP_035917506.1|ASTE, LOC118514615|XP_035917505.1|ASTE
OG0000038	LOC120421655|XP_039440821.1|CPIP, LOC120421657|XP_039440824.1|CPIP	LOC118514610|XP_035917498.1|ASTE, LOC118514613|XP_035917504.1|ASTE
OG0000038	LOC120421640|XP_039440805.1|CPIP, LOC120421648|XP_039440815.1|CPIP, LOC120421642|XP_039440807.1|CPIP, LOC120421645|XP_039440812.1|CPIP, LOC120421646|XP_039440813.1|CPIP, LOC120421650|XP_039440817.1|CPIP, LOC120421651|XP_039440818.1|CPIP, LOC120421649|XP_039440816.1|CPIP, LOC120421643|XP_039440808.1|CPIP, LOC120421644|XP_039440809.1|CPIP, LOC120421637|XP_039440801.1|CPIP, LOC120421638|XP_039440803.1|CPIP, LOC120421660|XP_039440827.1|CPIP, LOC120421647|XP_039440814.1|CPIP, LOC120421661|XP_039440828.1|CPIP, LOC120421662|XP_039440829.1|CPIP, LOC120423242|XP_039442890.1|CPIP, LOC120421636|XP_039440800.1|CPIP, LOC120413593|XP_039430435.1|CPIP, LOC120421635|XP_039440799.1|CPIP	LOC118510905|XP_035909186.1|ASTE
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE
OG0000039	LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP	LOC118514201|XP_035916783.1|ASTE
OG0000045	LOC120422329|XP_039441658.1|CPIP	LOC118514603|XP_035917492.1|ASTE
OG0000045	LOC120422328|XP_039441657.1|CPIP	LOC118511567|XP_035910700.1|ASTE
OG0000045	LOC120420581|XP_039439595.1|CPIP	LOC118513290|XP_035914756.1|ASTE, LOC118514320|XP_035916997.1|ASTE
OG0000045	LOC120420579|XP_039439593.1|CPIP	LOC118509249|XP_035905476.1|ASTE
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC120428345|XP_039449278.1|CPIP	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP	LOC118510116|XP_035907473.1|ASTE
OG0000049	LOC120422276|XP_039441594.1|CPIP	LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP	LOC118504525|XP_035894960.1|ASTE
OG0000053	LOC120416815|XP_039434629.1|CPIP	LOC118503243|XP_035892157.1|ASTE
OG0000053	LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP	LOC118503347|XP_035892412.1|ASTE
OG0000053	LOC120422199|XP_039441515.1|CPIP	LOC118503346|XP_035892410.1|ASTE
OG0000053	LOC120422211|XP_039441529.1|CPIP	LOC118503349|XP_035892422.1|ASTE
OG0000053	LOC120417054|XP_039434940.1|CPIP	LOC118504346|XP_035894606.1|ASTE
OG0000054	LOC120424642|XP_039444745.1|CPIP	LOC118511291|XP_035910092.1|ASTE
OG0000054	LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP	LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE
OG0000054	LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP	LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE
OG0000054	LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP	LOC118512788|XP_035913599.1|ASTE
OG0000054	LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC120417320|XP_039435220.1|CPIP	LOC118508181|XP_035903635.1|ASTE
OG0000055	LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC118507841|XP_035902865.1|ASTE
OG0000057	LOC120415000|XP_039432291.1|CPIP	LOC118502375|XP_035890488.1|ASTE, LOC118505467|XP_035897214.1|ASTE, LOC118505227|XP_035896692.1|ASTE
OG0000057	LOC120413834|XP_039430723.1|CPIP	LOC118508066|XP_035903416.1|ASTE, LOC118517019|XP_035918765.1|ASTE, LOC118517018|XP_035918764.1|ASTE, LOC118517021|XP_035918767.1|ASTE
OG0000057	LOC120421556|XP_039440720.1|CPIP	LOC118516442|XP_035918223.1|ASTE, LOC118507119|XP_035901058.1|ASTE, LOC118517016|XP_035918761.1|ASTE, LOC118517017|XP_035918762.1|ASTE
