Orthogroup	CPIP.longest_only	DANA.longest_only
OG0000010	LOC120422947|XP_039442463.1|CPIP	LOC6502876|XP_001967786.1|DANA, LOC116656007|XP_032310968.1|DANA
OG0000012	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC6495461|XP_014763319.1|DANA, LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA, LOC6495181|XP_001958900.1|DANA, LOC6495184|XP_001958896.1|DANA, LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA, LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA, LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC6494224|XP_001960708.1|DANA
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC6502959|XP_001963513.1|DANA
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC6494241|XP_001965950.1|DANA
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC6506687|XP_032309811.1|DANA
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC6500356|XP_001953043.1|DANA
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC6500746|XP_001953834.1|DANA, LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA
OG0000014	LOC120429879|XP_039450893.1|CPIP, LOC120432134|XP_039453197.1|CPIP	LOC116654535|XP_032305652.1|DANA, LOC116656408|XP_032311858.1|DANA, LOC116655579|XP_032309422.1|DANA
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC6500386|XP_001953106.1|DANA, LOC6495063|XP_001959144.1|DANA
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC6499904|XP_001953662.1|DANA
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC6504746|XP_032309021.1|DANA
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC6493807|XP_014764542.1|DANA
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC6493787|XP_001958436.1|DANA
OG0000018	LOC120425088|XP_039445415.1|CPIP	LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC6505609|XP_001964601.1|DANA, LOC6505610|XP_001964600.1|DANA, LOC6505613|XP_032305481.1|DANA, LOC6505612|XP_001964599.1|DANA, LOC6505608|XP_001964602.1|DANA
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC6499398|XP_032312200.1|DANA, LOC6494967|XP_001959313.1|DANA
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA, LOC6500139|XP_032312147.1|DANA, LOC6501153|XP_001954651.1|DANA, LOC6506852|XP_001965261.1|DANA, LOC6497510|XP_032307412.1|DANA
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC6503446|XP_001967498.1|DANA, LOC6499833|XP_001953817.3|DANA, LOC6503731|XP_032308490.1|DANA
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC6495509|XP_001959002.1|DANA, LOC6492952|XP_001956727.1|DANA, LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA, LOC6507069|XP_001956716.1|DANA, LOC6492946|XP_001956717.1|DANA
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC6500082|XP_001953260.1|DANA, LOC6500077|XP_001953265.1|DANA, LOC6500461|XP_001953266.1|DANA, LOC6494760|XP_001959725.1|DANA, LOC6500076|XP_001953267.1|DANA, LOC6500083|XP_001953259.2|DANA, LOC6500087|XP_001953255.2|DANA, LOC6500085|XP_032312233.1|DANA, LOC6500088|XP_014766376.1|DANA
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC6498525|XP_001962995.1|DANA
OG0000025	LOC120430239|XP_039451253.1|CPIP, LOC120415439|XP_039432921.1|CPIP, LOC120425530|XP_039446018.1|CPIP	LOC116655711|XP_032309469.1|DANA, LOC6504302|XP_032309461.1|DANA
OG0000025	LOC120422949|XP_039442466.1|CPIP	LOC26513707|XP_032309216.1|DANA
OG0000025	LOC120416729|XP_039434489.1|CPIP, LOC120422943|XP_039442460.1|CPIP	LOC6498725|XP_001967729.1|DANA
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC6502964|XP_001963504.1|DANA, LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA, LOC6500045|XP_001953325.1|DANA
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC6497408|XP_001962144.1|DANA, LOC6497406|XP_001962147.2|DANA, LOC6497407|XP_001962145.1|DANA
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC6506315|XP_001958127.1|DANA, LOC116655856|XP_032310373.1|DANA, LOC6493628|XP_001958129.1|DANA, LOC6493626|XP_001958124.2|DANA, LOC6506316|XP_001958125.1|DANA, LOC116655895|XP_032310688.1|DANA, LOC26514521|XP_014765635.1|DANA, LOC6506314|XP_001958128.1|DANA, LOC6506803|XP_001957208.1|DANA
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC116655417|XP_032309201.1|DANA, LOC6502513|XP_001960684.2|DANA, LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA, LOC6506262|XP_014764698.1|DANA
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA, LOC6495934|XP_001959882.2|DANA, LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC6499841|XP_001953793.1|DANA, LOC26515040|XP_014767372.2|DANA, LOC6500725|XP_032312300.1|DANA, LOC6500722|XP_032312297.1|DANA, LOC6499843|XP_032305552.1|DANA, LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP	LOC6498174|XP_001962232.1|DANA, LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA, LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA, LOC6498553|XP_001963047.1|DANA, LOC26514669|XP_014762356.1|DANA, LOC6498552|XP_001963046.3|DANA, LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000035	LOC120422668|XP_039442108.1|CPIP, LOC120417424|XP_039435402.1|CPIP	LOC116656532|XP_032312057.1|DANA, LOC116655392|XP_032309148.1|DANA, LOC116655456|XP_032309239.1|DANA, LOC116655738|XP_032309482.1|DANA, LOC116655677|XP_032309434.1|DANA, LOC116656512|XP_032312047.1|DANA, LOC116656511|XP_032312046.1|DANA, LOC116654548|XP_032305690.1|DANA
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC6500465|XP_001953274.1|DANA
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC6505844|XP_001964473.1|DANA
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC6493979|XP_001961214.2|DANA, LOC6498848|XP_001955809.2|DANA
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC6506319|XP_001958116.1|DANA
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC6492929|XP_032310430.1|DANA
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC6501134|XP_001954615.2|DANA
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC6501040|XP_001954441.3|DANA, LOC6499525|XP_001954440.1|DANA, LOC6499526|XP_001954439.3|DANA, LOC6499523|XP_032311279.1|DANA, LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC6500203|XP_032305729.1|DANA, LOC6500197|XP_001953036.1|DANA, LOC26515569|XP_014767439.1|DANA, LOC6500202|XP_001953032.2|DANA, LOC6500199|XP_001953034.1|DANA, LOC6500198|XP_001953035.1|DANA, LOC6499418|XP_001954679.1|DANA
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC6496443|XP_001960921.1|DANA, LOC6496440|XP_001960917.1|DANA, LOC6496543|XP_001961111.1|DANA, LOC6493464|XP_001957813.1|DANA, LOC6494029|XP_001961117.1|DANA, LOC6493465|XP_001957814.1|DANA
OG0000048	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP	LOC6506811|XP_001957192.1|DANA, LOC6493171|XP_001957195.2|DANA, LOC6493169|XP_001957191.1|DANA
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC6500644|XP_001953636.2|DANA, LOC6499920|XP_001953633.1|DANA, LOC6500645|XP_001953637.1|DANA, LOC6499917|XP_001953639.1|DANA, LOC6502640|XP_001953638.1|DANA, LOC6499921|XP_001953632.1|DANA
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC6499129|XP_001955245.1|DANA, LOC6500659|XP_001953666.2|DANA, LOC26513640|XP_032305475.1|DANA, LOC26515388|XP_014767422.1|DANA, LOC116654744|XP_032306925.1|DANA, LOC6500518|XP_032306907.1|DANA, LOC6500517|XP_032306874.1|DANA, LOC6500516|XP_014766594.2|DANA
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC6495215|XP_001958835.1|DANA, LOC6495434|XP_001958836.2|DANA, LOC6495214|XP_001958837.1|DANA
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC6499283|XP_001954953.1|DANA, LOC6499280|XP_032305658.1|DANA, LOC6499281|XP_001954955.1|DANA, LOC6499278|XP_001954958.1|DANA, LOC6499282|XP_032305401.1|DANA, LOC6499279|XP_001954957.1|DANA
OG0000055	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC6501597|XP_001955556.1|DANA, LOC6501596|XP_001955554.1|DANA, LOC6498987|XP_001955555.1|DANA
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC6499765|XP_001953966.1|DANA, LOC6499766|XP_001953965.2|DANA, LOC6499767|XP_001953964.1|DANA, LOC6499768|XP_001953963.1|DANA, LOC6499769|XP_001953962.1|DANA, LOC6500303|XP_001952932.1|DANA, LOC6500302|XP_001952931.2|DANA
OG0000058	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP	LOC6493582|XP_001958038.2|DANA, LOC6507265|XP_001956364.1|DANA, LOC6502760|XP_001964984.2|DANA, LOC6497335|XP_001962298.1|DANA, LOC6503754|XP_001963803.1|DANA
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC6504067|XP_001964111.1|DANA
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC6505935|XP_001964647.1|DANA
OG0000061	LOC120415159|XP_039432529.1|CPIP	LOC6496734|XP_001967353.1|DANA, LOC6496703|XP_001967348.1|DANA, LOC6496732|XP_001967351.1|DANA
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC6499795|XP_032305657.1|DANA, LOC6499794|XP_001953901.1|DANA, LOC6506620|XP_001957527.1|DANA
OG0000067	LOC120432651|XP_039453829.1|CPIP	LOC6495325|XP_001958630.1|DANA, LOC6493325|XP_001957528.1|DANA
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC6506201|XP_001958352.1|DANA
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP	LOC6506532|XP_001957704.2|DANA, LOC6500414|XP_001953168.2|DANA, LOC6507230|XP_001956426.2|DANA, LOC6495108|XP_001959037.2|DANA, LOC6504517|XP_032308101.1|DANA
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC6503961|XP_001965215.1|DANA, LOC6503769|XP_001963776.1|DANA, LOC6498205|XP_001962291.1|DANA, LOC6498204|XP_001962290.1|DANA
OG0000071	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP	LOC6506125|XP_001958498.2|DANA, LOC6493818|XP_001958499.2|DANA, LOC6493817|XP_001958497.2|DANA
OG0000072	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC6496435|XP_001960911.2|DANA, LOC6494126|XP_001960916.1|DANA, LOC6496437|XP_001960913.2|DANA
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC6495130|XP_032306843.1|DANA
OG0000073	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP	LOC6504831|XP_032309092.1|DANA
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC6501709|XP_014767186.1|DANA
OG0000074	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP	LOC6506390|XP_001957961.1|DANA, LOC6493409|XP_001957690.2|DANA
OG0000076	LOC120414119|XP_039431083.1|CPIP	LOC6507708|XP_032310567.1|DANA
OG0000076	LOC120419152|XP_039437732.1|CPIP	LOC6498742|XP_001967290.3|DANA
OG0000077	LOC120428195|XP_039449110.1|CPIP	LOC6495454|XP_001958879.1|DANA
OG0000077	LOC120425394|XP_039445844.1|CPIP	LOC6494255|XP_001960658.2|DANA
OG0000077	LOC120420744|XP_039439774.1|CPIP	LOC6498930|XP_001955657.2|DANA
OG0000078	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP	LOC6496013|XP_001960040.1|DANA, LOC6506366|XP_001958015.1|DANA, LOC6500459|XP_001953252.2|DANA, LOC6504531|XP_014759488.1|DANA
OG0000080	LOC120419665|XP_039438362.1|CPIP, LOC120432076|XP_039453147.1|CPIP, LOC120431515|XP_039452549.1|CPIP, LOC120432086|XP_039453158.1|CPIP, LOC120431996|XP_039453065.1|CPIP	LOC6492911|XP_032306632.1|DANA, LOC6492910|XP_001955590.1|DANA, LOC6501610|XP_001955588.1|DANA, LOC116656055|XP_032311275.1|DANA, LOC26515084|XP_014764086.1|DANA, LOC116656191|XP_032311532.1|DANA, LOC116656193|XP_032311533.1|DANA, LOC6505843|XP_032311161.1|DANA, LOC6492912|XP_001960641.1|DANA
OG0000082	LOC120417717|XP_039435802.1|CPIP, LOC120412752|XP_039429279.1|CPIP, LOC120412753|XP_039429280.1|CPIP, LOC120419465|XP_039438084.1|CPIP, LOC120419907|XP_039438710.1|CPIP, LOC120417732|XP_039435823.1|CPIP, LOC120413477|XP_039430262.1|CPIP, LOC120430123|XP_039451143.1|CPIP, LOC120414610|XP_039431767.1|CPIP	LOC6496417|XP_001960874.1|DANA, LOC6501080|XP_032305850.1|DANA, LOC6501083|XP_001954522.1|DANA, LOC6499028|XP_001955484.1|DANA, LOC6499027|XP_032311475.1|DANA
OG0000083	LOC120420972|XP_039440038.1|CPIP, LOC120420970|XP_039440036.1|CPIP	LOC6496922|XP_001963135.1|DANA, LOC6497178|XP_001962608.1|DANA, LOC6497179|XP_001962607.1|DANA, LOC6497181|XP_001962605.1|DANA, LOC6497182|XP_001962604.2|DANA, LOC6497183|XP_001962603.1|DANA, LOC6497180|XP_001962606.1|DANA, LOC6498600|XP_014762200.1|DANA
OG0000084	LOC120417385|XP_039435338.1|CPIP, LOC120417417|XP_039435394.1|CPIP, LOC120417391|XP_039435346.1|CPIP, LOC120421339|XP_039440455.1|CPIP, LOC120416554|XP_039434220.1|CPIP	LOC6493976|XP_001961222.1|DANA
OG0000084	LOC120424545|XP_039444643.1|CPIP, LOC120424544|XP_039444642.1|CPIP, LOC120422454|XP_039441832.1|CPIP, LOC120424528|XP_039444621.1|CPIP, LOC120424522|XP_039444615.1|CPIP, LOC120426597|XP_039447322.1|CPIP, LOC120424525|XP_039444619.1|CPIP, LOC120424523|XP_039444617.1|CPIP, LOC120424526|XP_039444620.1|CPIP, LOC120424524|XP_039444618.1|CPIP, LOC120423778|XP_039443631.1|CPIP	LOC6496169|XP_001960366.1|DANA
OG0000085	LOC120418894|XP_039437359.1|CPIP	LOC6496031|XP_001960084.1|DANA
OG0000086	LOC120419495|XP_039438120.1|CPIP	LOC6495180|XP_001958901.1|DANA
