Orthogroup	CPIP.longest_only	AEAL.longest_only
OG0000009	LOC120413353|XP_039430071.1|CPIP	LOC109405076|XP_019533612.2|AEAL
OG0000009	LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP	LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL
OG0000009	LOC120422468|XP_039441855.1|CPIP	LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL
OG0000010	LOC120430236|XP_039451249.1|CPIP, LOC120425524|XP_039446013.1|CPIP	LOC115261272|XP_029718507.1|AEAL
OG0000010	LOC120422947|XP_039442463.1|CPIP	LOC115261273|XP_029718508.1|AEAL, LOC115261278|XP_029718513.1|AEAL, LOC115261281|XP_029718517.1|AEAL, LOC115261274|XP_029718509.1|AEAL, LOC109401799|XP_029718532.1|AEAL, LOC115261275|XP_029718510.1|AEAL
OG0000010	LOC120415441|XP_039432923.1|CPIP	LOC115264614|XP_029724349.1|AEAL, LOC109420100|XP_019549952.1|AEAL, LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL
OG0000011	LOC120423446|XP_039443198.1|CPIP	LOC109417348|XP_029718707.1|AEAL
OG0000011	LOC120418269|XP_039436521.1|CPIP	LOC115261495|XP_029719074.1|AEAL
OG0000012	LOC120419492|XP_039438114.1|CPIP	LOC109423253|XP_029726458.1|AEAL
OG0000012	LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC109423301|XP_019553773.2|AEAL
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC109401240|XP_019529248.2|AEAL
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC109430791|XP_019562417.1|AEAL
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL
OG0000013	LOC120422142|XP_039441447.1|CPIP	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL
OG0000013	LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL
OG0000014	LOC120413983|XP_039430927.1|CPIP, LOC120421589|XP_039440753.1|CPIP	LOC115264834|XP_029724698.1|AEAL
OG0000014	LOC120429879|XP_039450893.1|CPIP	LOC115258617|XP_029714765.1|AEAL, LOC115254741|XP_029708279.1|AEAL
OG0000014	LOC120432134|XP_039453197.1|CPIP	LOC115261576|XP_029719333.1|AEAL, LOC115255704|XP_029709664.1|AEAL, LOC115255748|XP_029709726.1|AEAL, LOC115260149|XP_029716918.1|AEAL
OG0000014	LOC120427836|XP_039448690.1|CPIP, LOC120428491|XP_039449435.1|CPIP, LOC120412868|XP_039429433.1|CPIP, LOC120431353|XP_039452415.1|CPIP, LOC120414197|XP_039431212.1|CPIP, LOC120430348|XP_039451380.1|CPIP, LOC120415090|XP_039432441.1|CPIP, LOC120419726|XP_039438455.1|CPIP, LOC120414257|XP_039431304.1|CPIP, LOC120425968|XP_039446554.1|CPIP, LOC120431010|XP_039452100.1|CPIP, LOC120425980|XP_039446568.1|CPIP, LOC120414198|XP_039431214.1|CPIP	LOC115260572|XP_029717367.1|AEAL
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL
OG0000016	LOC120429254|XP_039450404.1|CPIP	LOC115267287|XP_029730061.1|AEAL, LOC109426671|XP_019557748.2|AEAL
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL
OG0000016	LOC120432082|XP_039453150.1|CPIP	LOC109432057|XP_019563902.1|AEAL
OG0000016	LOC120415835|XP_039433406.1|CPIP	LOC109432714|XP_019564645.1|AEAL, LOC109408752|XP_029730782.1|AEAL
OG0000016	LOC120412557|XP_039428995.1|CPIP	LOC109401547|XP_029734087.1|AEAL, LOC109412625|XP_019541794.2|AEAL, LOC115264648|XP_029724442.1|AEAL, LOC115264655|XP_029724449.1|AEAL
OG0000016	LOC120412554|XP_039428993.1|CPIP	LOC109401551|XP_029724420.1|AEAL, LOC115264654|XP_029724448.1|AEAL
OG0000016	LOC120412537|XP_039428967.1|CPIP	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL
OG0000016	LOC120412538|XP_039428968.1|CPIP	LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC109414002|XP_019543272.1|AEAL
OG0000018	LOC120418893|XP_039437358.1|CPIP	LOC109399209|XP_019527192.1|AEAL
OG0000018	LOC120425088|XP_039445415.1|CPIP	LOC109415712|XP_019545185.2|AEAL, LOC109416102|XP_019545617.2|AEAL
OG0000018	LOC120418900|XP_039437364.1|CPIP	LOC109413967|XP_019543245.2|AEAL
OG0000018	LOC120418884|XP_039437351.1|CPIP	LOC109399166|XP_019527139.1|AEAL, LOC109413968|XP_029726577.1|AEAL, LOC109413965|XP_019543244.1|AEAL
OG0000018	LOC120420819|XP_039439873.1|CPIP	LOC115258683|XP_029714868.1|AEAL, LOC109398683|XP_019526605.1|AEAL, LOC109405058|XP_019533604.1|AEAL, LOC115258702|XP_029714905.1|AEAL
OG0000018	LOC120420796|XP_039439842.1|CPIP	LOC115265099|XP_029725190.1|AEAL, LOC109405051|XP_019533595.1|AEAL, LOC109398688|XP_019526607.1|AEAL
OG0000018	LOC120418899|XP_039437363.1|CPIP	LOC109413969|XP_019543246.2|AEAL
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP	LOC109623324|XP_029721557.1|AEAL
OG0000019	LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP	LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL
OG0000019	LOC120426873|XP_039447610.1|CPIP	LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL
OG0000019	LOC120426878|XP_039447615.1|CPIP	LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL
OG0000019	LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP	LOC109426885|XP_019557991.2|AEAL
OG0000019	LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP	LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL
OG0000019	LOC120415075|XP_039432414.1|CPIP	LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL
OG0000019	LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL
OG0000020	LOC120424275|XP_039444272.1|CPIP	LOC115268755|XP_029732776.1|AEAL, LOC109402380|XP_029718005.1|AEAL
OG0000020	LOC120424246|XP_039444244.1|CPIP	LOC109405472|XP_029732768.1|AEAL, LOC115260817|XP_029718001.1|AEAL, LOC109402397|XP_029712618.1|AEAL
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL
OG0000020	LOC120413926|XP_039430844.1|CPIP	LOC109424074|XP_019554703.2|AEAL
OG0000020	LOC120413930|XP_039430855.1|CPIP	LOC109424077|XP_019554704.2|AEAL
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC109412802|XP_029732887.1|AEAL
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL
OG0000023	LOC120424653|XP_039444760.1|CPIP	LOC109403033|XP_019531286.2|AEAL
OG0000023	LOC120424643|XP_039444746.1|CPIP	LOC109403032|XP_019531283.2|AEAL
OG0000024	LOC120414088|XP_039431044.1|CPIP	LOC109412054|XP_019541244.2|AEAL
OG0000025	LOC120424200|XP_039444192.1|CPIP	LOC109409461|XP_019538450.3|AEAL
OG0000025	LOC120413278|XP_039429943.1|CPIP, LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC109413799|XP_019543073.1|AEAL
OG0000025	LOC120422949|XP_039442466.1|CPIP	LOC109431226|XP_029724373.1|AEAL
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP	LOC109399647|XP_019527683.2|AEAL
OG0000026	LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP	LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL
OG0000026	LOC120424841|XP_039445018.1|CPIP	LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL
OG0000026	LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL
OG0000027	LOC120429915|XP_039450942.1|CPIP, LOC120419654|XP_039438348.1|CPIP, LOC120419653|XP_039438347.1|CPIP, LOC120419641|XP_039438333.1|CPIP, LOC120419652|XP_039438346.1|CPIP, LOC120419643|XP_039438335.1|CPIP, LOC120419642|XP_039438334.1|CPIP, LOC120429914|XP_039450941.1|CPIP, LOC120419656|XP_039438349.1|CPIP, LOC120419681|XP_039438402.1|CPIP, LOC120429933|XP_039450961.1|CPIP, LOC120429923|XP_039450951.1|CPIP	LOC109421227|XP_019551257.2|AEAL, LOC115259289|XP_029715680.1|AEAL, LOC109432469|XP_019564343.2|AEAL, LOC109421226|XP_019551256.2|AEAL, LOC115265828|XP_029727637.1|AEAL, LOC109432471|XP_019564345.2|AEAL
OG0000027	LOC120429916|XP_039450943.1|CPIP	LOC109421221|XP_019551253.2|AEAL, LOC115265812|XP_029727615.1|AEAL, LOC109432445|XP_019564323.1|AEAL
OG0000027	LOC120429926|XP_039450953.1|CPIP	LOC109432439|XP_019564318.2|AEAL
OG0000027	LOC120429919|XP_039450947.1|CPIP	LOC115265195|XP_029725331.1|AEAL, LOC109421209|XP_019551242.2|AEAL
OG0000027	LOC120429929|XP_039450957.1|CPIP, LOC120429928|XP_039450956.1|CPIP, LOC120429927|XP_039450954.1|CPIP, LOC120429930|XP_039450958.1|CPIP	LOC115265571|XP_029727062.1|AEAL, LOC115253746|XP_029726930.1|AEAL, LOC115253563|XP_019564355.2|AEAL, LOC109432453|XP_019564330.2|AEAL, LOC109421223|XP_019551254.2|AEAL, LOC115265527|XP_029726929.1|AEAL, LOC115253427|XP_019564349.2|AEAL, LOC115265528|XP_029726931.1|AEAL, LOC109432477|XP_019564350.2|AEAL, LOC115265570|XP_029727061.1|AEAL, LOC115265526|XP_029726928.1|AEAL, LOC115253430|XP_019564352.2|AEAL, LOC109432478|XP_029726927.1|AEAL, LOC109421332|XP_019551387.2|AEAL, LOC115259291|XP_029715685.1|AEAL
OG0000027	LOC120419680|XP_039438401.1|CPIP	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL
OG0000027	LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP	LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL
OG0000027	LOC120419660|XP_039438354.1|CPIP	LOC109421231|XP_019564335.2|AEAL
