Orthogroup	CPIP.longest_only	DGUA.longest_only
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC117587357|XP_034133889.1|DGUA
OG0000018	LOC120425088|XP_039445415.1|CPIP	LOC117587365|XP_034133899.1|DGUA
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA, LOC117583705|XP_034128081.1|DGUA, LOC117583723|XP_034128130.1|DGUA, LOC117583722|XP_034128122.1|DGUA
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC117583658|XP_034128012.1|DGUA, LOC117578526|XP_034119977.1|DGUA
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC117587736|XP_034134545.1|DGUA, LOC117586337|XP_034132223.1|DGUA, LOC117590165|XP_034138451.1|DGUA, LOC117584402|XP_034129156.1|DGUA
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC117590869|XP_034139782.1|DGUA
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC117585696|XP_034131203.1|DGUA, LOC117582802|XP_034126721.1|DGUA
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC117585826|XP_034131453.1|DGUA, LOC117587283|XP_034133760.1|DGUA, LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA, LOC117587284|XP_034133762.1|DGUA, LOC117587282|XP_034133759.1|DGUA, LOC117587286|XP_034133764.1|DGUA
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC117586396|XP_034132318.1|DGUA, LOC117586009|XP_034131729.1|DGUA, LOC117586008|XP_034131728.1|DGUA, LOC117591288|XP_034140381.1|DGUA, LOC117586007|XP_034131727.1|DGUA, LOC117586005|XP_034131725.1|DGUA, LOC117586006|XP_034131726.1|DGUA, LOC117586004|XP_034131723.1|DGUA, LOC117586277|XP_034132120.1|DGUA
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC117590412|XP_034138901.1|DGUA
OG0000025	LOC120422949|XP_039442466.1|CPIP	LOC117591670|XP_034140884.1|DGUA
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC117581101|XP_034123883.1|DGUA, LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA, LOC117589578|XP_034137528.1|DGUA
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC117581694|XP_034124962.1|DGUA, LOC117582236|XP_034125737.1|DGUA, LOC117581693|XP_034124961.1|DGUA
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC117579889|XP_034121915.1|DGUA, LOC117579893|XP_034121921.1|DGUA, LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA, LOC117579887|XP_034121914.1|DGUA, LOC117588956|XP_034136434.1|DGUA
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC117592282|XP_034141836.1|DGUA, LOC117589682|XP_034137727.1|DGUA, LOC117579424|XP_034121195.1|DGUA
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC117584126|XP_034128769.1|DGUA
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC117583029|XP_034127075.1|DGUA, LOC117583030|XP_034127077.1|DGUA, LOC117583031|XP_034127078.1|DGUA, LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP	LOC117584525|XP_034129365.1|DGUA, LOC117584539|XP_034129382.1|DGUA, LOC117584364|XP_034129093.1|DGUA, LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA, LOC117588068|XP_034135019.1|DGUA
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC117586375|XP_034132294.1|DGUA
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC117589622|XP_034137600.1|DGUA
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC117581190|XP_034124041.1|DGUA, LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC117579886|XP_034121913.1|DGUA
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC117579879|XP_034121893.1|DGUA
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC117586049|XP_034131784.1|DGUA
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC117585018|XP_034130150.1|DGUA, LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA, LOC117585502|XP_034130891.1|DGUA, LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC117585917|XP_034131574.1|DGUA, LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA, LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA, LOC117590011|XP_034138189.1|DGUA
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC117591384|XP_034140523.1|DGUA, LOC117592295|XP_034141855.1|DGUA, LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA, LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA, LOC117591732|XP_034140939.1|DGUA, LOC117580178|XP_034122428.1|DGUA
OG0000048	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP	LOC117588941|XP_034136410.1|DGUA, LOC117589276|XP_034136957.1|DGUA, LOC117588957|XP_034136435.1|DGUA
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC117583088|XP_034127157.1|DGUA, LOC117583087|XP_034127156.1|DGUA, LOC117583320|XP_034127470.1|DGUA, LOC117583322|XP_034127471.1|DGUA, LOC117583323|XP_034127472.1|DGUA, LOC117583085|XP_034127153.1|DGUA
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC117584976|XP_034130071.1|DGUA, LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA, LOC117586424|XP_034132352.1|DGUA, LOC117586281|XP_034132126.1|DGUA
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC117591851|XP_034141110.1|DGUA, LOC117591850|XP_034141108.1|DGUA
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA, LOC117585613|XP_034131060.1|DGUA, LOC117585615|XP_034131067.1|DGUA
OG0000055	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC117586370|XP_034132288.1|DGUA, LOC117586371|XP_034132289.1|DGUA, LOC117591731|XP_034140936.1|DGUA, LOC117585073|XP_034130229.1|DGUA, LOC117586372|XP_034132290.1|DGUA, LOC117591775|XP_034140976.1|DGUA, LOC117586558|XP_034132612.1|DGUA, LOC117583475|XP_034127675.1|DGUA
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC117582718|XP_034126532.1|DGUA, LOC117582720|XP_034126536.1|DGUA, LOC117582719|XP_034126535.1|DGUA, LOC117589786|XP_034137875.1|DGUA, LOC117589687|XP_034137734.1|DGUA
OG0000058	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP	LOC117588076|XP_034135032.1|DGUA, LOC117588074|XP_034135030.1|DGUA, LOC117581983|XP_034125368.1|DGUA, LOC117588075|XP_034135031.1|DGUA, LOC117580786|XP_034123373.1|DGUA
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC117591001|XP_034139974.1|DGUA
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC117583542|XP_034127790.1|DGUA
OG0000061	LOC120415159|XP_039432529.1|CPIP	LOC117584177|XP_034128835.1|DGUA, LOC117583930|XP_034128502.1|DGUA, LOC117584180|XP_034128838.1|DGUA
OG0000064	LOC120418388|XP_039436700.1|CPIP	LOC117582043|XP_034125476.1|DGUA
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC117589502|XP_034137375.1|DGUA, LOC117579493|XP_034121284.1|DGUA
OG0000067	LOC120432651|XP_039453829.1|CPIP	LOC117591024|XP_034140007.1|DGUA, LOC117579492|XP_034121282.1|DGUA
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC117589212|XP_034136847.1|DGUA
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP	LOC117580519|XP_034123003.1|DGUA, LOC117579302|XP_034121001.1|DGUA, LOC117581720|XP_034124991.1|DGUA, LOC117581342|XP_034124357.1|DGUA
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC117587796|XP_034134632.1|DGUA, LOC117581211|XP_034124075.1|DGUA, LOC117587545|XP_034134242.1|DGUA, LOC117587797|XP_034134633.1|DGUA
OG0000071	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP	LOC117579680|XP_034121559.1|DGUA, LOC117579679|XP_034121558.1|DGUA, LOC117579678|XP_034121557.1|DGUA
OG0000072	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC117592297|XP_034141858.1|DGUA, LOC117592384|XP_034141985.1|DGUA, LOC117592296|XP_034141857.1|DGUA
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC117578569|XP_034120037.1|DGUA
OG0000073	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP	LOC117588625|XP_034135936.1|DGUA
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC117589637|XP_034137623.1|DGUA
OG0000074	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP	LOC117587150|XP_034133548.1|DGUA, LOC117587426|XP_034133988.1|DGUA, LOC117586962|XP_034133225.1|DGUA
OG0000076	LOC120414119|XP_039431083.1|CPIP	LOC117579058|XP_034120653.1|DGUA
OG0000076	LOC120419152|XP_039437732.1|CPIP	LOC117590327|XP_034138711.1|DGUA
OG0000077	LOC120425394|XP_039445844.1|CPIP	LOC117578654|XP_034120163.1|DGUA
OG0000077	LOC120420744|XP_039439774.1|CPIP	LOC117583686|XP_034128052.1|DGUA
OG0000078	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP	LOC117581097|XP_034123881.1|DGUA, LOC117588902|XP_034136350.1|DGUA, LOC117586436|XP_034132364.1|DGUA, LOC117588496|XP_034135697.1|DGUA, LOC117581264|XP_034124165.1|DGUA
OG0000080	LOC120419665|XP_039438362.1|CPIP, LOC120432076|XP_039453147.1|CPIP, LOC120431515|XP_039452549.1|CPIP, LOC120432086|XP_039453158.1|CPIP, LOC120431996|XP_039453065.1|CPIP	LOC117592694|XP_034142549.1|DGUA, LOC117584421|XP_034129184.1|DGUA, LOC117580573|XP_034123072.1|DGUA, LOC117586467|XP_034132445.1|DGUA
OG0000082	LOC120417717|XP_039435802.1|CPIP, LOC120412752|XP_039429279.1|CPIP, LOC120412753|XP_039429280.1|CPIP, LOC120419465|XP_039438084.1|CPIP, LOC120419907|XP_039438710.1|CPIP, LOC120417732|XP_039435823.1|CPIP, LOC120413477|XP_039430262.1|CPIP, LOC120430123|XP_039451143.1|CPIP, LOC120414610|XP_039431767.1|CPIP	LOC117582225|XP_034125728.1|DGUA, LOC117584905|XP_034129938.1|DGUA, LOC117589906|XP_034138069.1|DGUA
OG0000083	LOC120420972|XP_039440038.1|CPIP, LOC120420970|XP_039440036.1|CPIP	LOC117584370|XP_034129100.1|DGUA, LOC117591765|XP_034140968.1|DGUA, LOC117584781|XP_034129778.1|DGUA, LOC117584140|XP_034128787.1|DGUA
OG0000084	LOC120417385|XP_039435338.1|CPIP, LOC120417417|XP_039435394.1|CPIP, LOC120417391|XP_039435346.1|CPIP, LOC120421339|XP_039440455.1|CPIP, LOC120416554|XP_039434220.1|CPIP	LOC117584511|XP_034129342.1|DGUA
OG0000084	LOC120424545|XP_039444643.1|CPIP, LOC120424544|XP_039444642.1|CPIP, LOC120422454|XP_039441832.1|CPIP, LOC120424528|XP_039444621.1|CPIP, LOC120424522|XP_039444615.1|CPIP, LOC120426597|XP_039447322.1|CPIP, LOC120424525|XP_039444619.1|CPIP, LOC120424523|XP_039444617.1|CPIP, LOC120424526|XP_039444620.1|CPIP, LOC120424524|XP_039444618.1|CPIP, LOC120423778|XP_039443631.1|CPIP	LOC117587100|XP_034133482.1|DGUA
OG0000085	LOC120418894|XP_039437359.1|CPIP	LOC117584775|XP_034129774.1|DGUA
OG0000086	LOC120419495|XP_039438120.1|CPIP	LOC117591981|XP_034141311.1|DGUA
OG0000087	LOC120431959|XP_039453027.1|CPIP, LOC120424926|XP_039445151.1|CPIP, LOC120424893|XP_039445115.1|CPIP, LOC120431961|XP_039453029.1|CPIP, LOC120431960|XP_039453028.1|CPIP, LOC120424925|XP_039445150.1|CPIP, LOC120424892|XP_039445113.1|CPIP, LOC120424924|XP_039445149.1|CPIP, LOC120424889|XP_039445110.1|CPIP, LOC120425288|XP_039445674.1|CPIP	LOC117587854|XP_034134711.1|DGUA
OG0000087	LOC120424910|XP_039445137.1|CPIP, LOC120424913|XP_039445140.1|CPIP	LOC117590892|XP_034139815.1|DGUA, LOC117587527|XP_034134219.1|DGUA
OG0000088	LOC120424171|XP_039444162.1|CPIP	LOC117591442|XP_034140602.1|DGUA
OG0000089	LOC120414898|XP_039432159.1|CPIP	LOC117586065|XP_034131804.1|DGUA
OG0000089	LOC120419960|XP_039438755.1|CPIP, LOC120419983|XP_039438795.1|CPIP	LOC117580023|XP_034122138.1|DGUA
