Orthogroup	CPIP.longest_only	DMAU.longest_only
OG0000012	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC117136761|XP_033153688.1|DMAU, LOC117136760|XP_033153687.1|DMAU, LOC117136898|XP_033153902.1|DMAU, LOC117137864|XP_033155471.1|DMAU, LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU, LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU, LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC117143333|XP_033163884.1|DMAU
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC117142344|XP_033162152.1|DMAU, LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC117143253|XP_033163704.1|DMAU, LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC117140134|XP_033158791.1|DMAU
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC117143233|XP_033163675.1|DMAU, LOC117143237|XP_033163678.1|DMAU, LOC117143236|XP_033163677.1|DMAU, LOC117143229|XP_033163670.1|DMAU, LOC117143234|XP_033163676.1|DMAU, LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC117143636|XP_033164304.1|DMAU, LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU, LOC117145918|XP_033167668.1|DMAU, LOC117143368|XP_033163935.1|DMAU, LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC117142241|XP_033161985.1|DMAU, LOC117143646|XP_033164316.1|DMAU, LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC117138252|XP_033156103.1|DMAU, LOC117139751|XP_033158206.1|DMAU, LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU, LOC117139203|XP_033157266.1|DMAU, LOC117139198|XP_033157262.1|DMAU
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC117144283|XP_033165277.1|DMAU, LOC117144284|XP_033165278.1|DMAU, LOC117144282|XP_033165275.1|DMAU, LOC117135977|XP_033152481.1|DMAU, LOC117145126|XP_033166537.1|DMAU, LOC117144278|XP_033165272.1|DMAU, LOC117144775|XP_033166033.1|DMAU, LOC117144277|XP_033165271.1|DMAU, LOC117144765|XP_033166018.1|DMAU
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC117146899|XP_033169397.1|DMAU, LOC117142902|XP_033163074.1|DMAU, LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC117142835|XP_033162961.1|DMAU, LOC117140739|XP_033159710.1|DMAU, LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC117139362|XP_033157505.1|DMAU, LOC117139334|XP_033157472.1|DMAU, LOC117139375|XP_033157515.1|DMAU, LOC117139373|XP_033157513.1|DMAU, LOC117139374|XP_033157514.1|DMAU, LOC117139371|XP_033157510.1|DMAU, LOC117139372|XP_033157511.1|DMAU, LOC117141110|XP_033160324.1|DMAU
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC117145028|XP_033166421.1|DMAU, LOC117136167|XP_033152799.1|DMAU, LOC117136614|XP_033153490.1|DMAU, LOC117135122|XP_033151033.1|DMAU, LOC117144854|XP_033166148.1|DMAU, LOC117140740|XP_033159707.1|DMAU
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU, LOC117135426|XP_033151476.1|DMAU, LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU, LOC117138460|XP_033156477.1|DMAU
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC117145857|XP_033167568.1|DMAU, LOC117145860|XP_033167571.1|DMAU, LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU, LOC117145862|XP_033167573.1|DMAU, LOC117145859|XP_033167570.1|DMAU
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU, LOC117150484|XP_033173274.1|DMAU, LOC117150483|XP_033173273.1|DMAU, LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU, LOC117143867|XP_033164627.1|DMAU
OG0000035	LOC120422668|XP_039442108.1|CPIP, LOC120417424|XP_039435402.1|CPIP	LOC117149959|XP_033172748.1|DMAU, LOC117139681|XP_033158055.1|DMAU, LOC117138223|XP_033156059.1|DMAU, LOC117138222|XP_033156058.1|DMAU, LOC117143714|XP_033164404.1|DMAU, LOC117150075|XP_033172814.1|DMAU, LOC117150140|XP_033172837.1|DMAU, LOC117141067|XP_033160256.1|DMAU, LOC117150145|XP_033172839.1|DMAU, LOC117149971|XP_033172758.1|DMAU, LOC117150146|XP_033172840.1|DMAU, LOC117150018|XP_033172786.1|DMAU, LOC117150076|XP_033172815.1|DMAU, LOC117149623|XP_033172695.1|DMAU, LOC117149638|XP_033172698.1|DMAU, LOC117142656|XP_033162678.1|DMAU, LOC117149972|XP_033172759.1|DMAU, LOC117149044|XP_033172603.1|DMAU, LOC117149965|XP_033172753.1|DMAU, LOC117149095|XP_033172630.1|DMAU
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC117145004|XP_033166383.1|DMAU
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC117137024|XP_033154116.1|DMAU, LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC117144249|XP_033165219.1|DMAU
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC117143574|XP_033164210.1|DMAU, LOC117143570|XP_033164205.1|DMAU, LOC117143572|XP_033164208.1|DMAU, LOC117145149|XP_033166580.1|DMAU, LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC117143901|XP_033164698.1|DMAU, LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU, LOC117145163|XP_033166599.1|DMAU, LOC117143590|XP_033164229.1|DMAU, LOC117143652|XP_033164322.1|DMAU, LOC117143435|XP_033164032.1|DMAU
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC117137846|XP_033155439.1|DMAU, LOC117137896|XP_033155525.1|DMAU, LOC117136744|XP_033153666.1|DMAU, LOC117141645|XP_033161109.1|DMAU, LOC117137194|XP_033154412.1|DMAU, LOC117141646|XP_033161110.1|DMAU
OG0000048	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU, LOC117140935|XP_033160022.1|DMAU, LOC117140941|XP_033160028.1|DMAU
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC117144267|XP_033165261.1|DMAU, LOC117143819|XP_033164555.1|DMAU, LOC117145062|XP_033166468.1|DMAU, LOC117145059|XP_033166464.1|DMAU, LOC117145061|XP_033166467.1|DMAU, LOC117144466|XP_033165523.1|DMAU
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC117143815|XP_033164552.1|DMAU, LOC117143638|XP_033164307.1|DMAU, LOC117142373|XP_033162194.1|DMAU, LOC117145370|XP_033166885.1|DMAU, LOC117145371|XP_033166886.1|DMAU
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC117137106|XP_033154284.1|DMAU, LOC117137105|XP_033154282.1|DMAU, LOC117137096|XP_033154272.1|DMAU
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC117144491|XP_033165568.1|DMAU, LOC117145202|XP_033166655.1|DMAU, LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU
OG0000055	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC117143514|XP_033164128.1|DMAU, LOC117143478|XP_033164083.1|DMAU, LOC117143727|XP_033164422.1|DMAU
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC117145913|XP_033167658.1|DMAU, LOC117145909|XP_033167655.1|DMAU, LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU, LOC117144813|XP_033166080.1|DMAU
OG0000057	LOC120423183|XP_039442816.1|CPIP	LOC117135677|XP_033151968.1|DMAU
OG0000058	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU, LOC117141672|XP_033161161.1|DMAU, LOC117147163|XP_033169841.1|DMAU
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC117148535|XP_033171846.1|DMAU
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC117142997|XP_033163243.1|DMAU
OG0000061	LOC120415159|XP_039432529.1|CPIP	LOC117144713|XP_033165946.1|DMAU, LOC117147510|XP_033170317.1|DMAU, LOC117146062|XP_033167897.1|DMAU, LOC117148009|XP_033171063.1|DMAU
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC117143290|XP_033163776.1|DMAU, LOC117141618|XP_033161029.1|DMAU
OG0000067	LOC120432651|XP_039453829.1|CPIP	LOC117137893|XP_033155518.1|DMAU, LOC117139071|XP_033157072.1|DMAU
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC117140079|XP_033158722.1|DMAU
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP	LOC117140267|XP_033158984.1|DMAU, LOC117142608|XP_033162579.1|DMAU, LOC117139306|XP_033157439.1|DMAU, LOC117135414|XP_033151458.1|DMAU, LOC117147929|XP_033170959.1|DMAU
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC117140982|XP_033160124.1|DMAU, LOC117148893|XP_033172490.1|DMAU, LOC117137413|XP_033154736.1|DMAU, LOC117146922|XP_033169442.1|DMAU
OG0000071	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP	LOC117139290|XP_033157411.1|DMAU, LOC117139289|XP_033157410.1|DMAU, LOC117139278|XP_033157396.1|DMAU
OG0000072	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC117136935|XP_033153969.1|DMAU, LOC117136352|XP_033153109.1|DMAU, LOC117136936|XP_033153970.1|DMAU
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC117138354|XP_033156291.1|DMAU
OG0000073	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP	LOC117147893|XP_033170883.1|DMAU
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC117142466|XP_033162348.1|DMAU
OG0000074	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP	LOC117142069|XP_033161840.1|DMAU, LOC117139233|XP_033157330.1|DMAU
OG0000076	LOC120414119|XP_039431083.1|CPIP	LOC117141100|XP_033160313.1|DMAU
OG0000076	LOC120419152|XP_039437732.1|CPIP	LOC117147320|XP_033170062.1|DMAU
OG0000077	LOC120428195|XP_039449110.1|CPIP	LOC117138525|XP_033156554.1|DMAU
OG0000077	LOC120425394|XP_039445844.1|CPIP	LOC117138466|XP_033156483.1|DMAU
OG0000077	LOC120420744|XP_039439774.1|CPIP	LOC117144652|XP_033165842.1|DMAU
OG0000078	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP	LOC117138008|XP_033155701.1|DMAU, LOC117140111|XP_033158764.1|DMAU, LOC117145393|XP_033166920.1|DMAU, LOC117146596|XP_033168812.1|DMAU, LOC117147316|XP_033170056.1|DMAU
OG0000080	LOC120419665|XP_039438362.1|CPIP, LOC120432076|XP_039453147.1|CPIP, LOC120431515|XP_039452549.1|CPIP, LOC120432086|XP_039453158.1|CPIP, LOC120431996|XP_039453065.1|CPIP	LOC117137720|XP_033155183.1|DMAU, LOC117137725|XP_033155191.1|DMAU, LOC117136966|XP_033154021.1|DMAU
OG0000082	LOC120417717|XP_039435802.1|CPIP, LOC120412752|XP_039429279.1|CPIP, LOC120412753|XP_039429280.1|CPIP, LOC120419465|XP_039438084.1|CPIP, LOC120419907|XP_039438710.1|CPIP, LOC120417732|XP_039435823.1|CPIP, LOC120413477|XP_039430262.1|CPIP, LOC120430123|XP_039451143.1|CPIP, LOC120414610|XP_039431767.1|CPIP	LOC117138620|XP_033156721.1|DMAU, LOC117135990|XP_033152496.1|DMAU, LOC117142679|XP_033162708.1|DMAU, LOC117143259|XP_033163721.1|DMAU
OG0000083	LOC120420972|XP_039440038.1|CPIP, LOC120420970|XP_039440036.1|CPIP	LOC117145762|XP_033167461.1|DMAU, LOC117140536|XP_033159420.1|DMAU, LOC117146342|XP_033168371.1|DMAU, LOC117144457|XP_033165508.1|DMAU, LOC117144620|XP_033165809.1|DMAU, LOC117145464|XP_033167065.1|DMAU
OG0000084	LOC120417385|XP_039435338.1|CPIP, LOC120417417|XP_039435394.1|CPIP, LOC120417391|XP_039435346.1|CPIP, LOC120421339|XP_039440455.1|CPIP, LOC120416554|XP_039434220.1|CPIP	LOC117136635|XP_033153517.1|DMAU
OG0000084	LOC120424545|XP_039444643.1|CPIP, LOC120424544|XP_039444642.1|CPIP, LOC120422454|XP_039441832.1|CPIP, LOC120424528|XP_039444621.1|CPIP, LOC120424522|XP_039444615.1|CPIP, LOC120426597|XP_039447322.1|CPIP, LOC120424525|XP_039444619.1|CPIP, LOC120424523|XP_039444617.1|CPIP, LOC120424526|XP_039444620.1|CPIP, LOC120424524|XP_039444618.1|CPIP, LOC120423778|XP_039443631.1|CPIP	LOC117137735|XP_033155207.1|DMAU
OG0000085	LOC120418894|XP_039437359.1|CPIP	LOC117136080|XP_033152640.1|DMAU
OG0000086	LOC120419495|XP_039438120.1|CPIP	LOC117136149|XP_033152757.1|DMAU, LOC117136148|XP_033152756.1|DMAU
OG0000087	LOC120431959|XP_039453027.1|CPIP, LOC120424926|XP_039445151.1|CPIP, LOC120424893|XP_039445115.1|CPIP, LOC120431961|XP_039453029.1|CPIP, LOC120431960|XP_039453028.1|CPIP, LOC120424925|XP_039445150.1|CPIP, LOC120424892|XP_039445113.1|CPIP, LOC120424924|XP_039445149.1|CPIP, LOC120424889|XP_039445110.1|CPIP, LOC120425288|XP_039445674.1|CPIP	LOC117147902|XP_033170903.1|DMAU
