Orthogroup	CPIP.longest_only	DALB.longest_only
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000014	LOC120412868|XP_039429433.1|CPIP	LOC117571584|XP_034109691.1|DALB
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC117573987|XP_034113425.1|DALB, LOC117567642|XP_034103639.1|DALB
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC117568261|XP_034104638.1|DALB
OG0000018	LOC120425088|XP_039445415.1|CPIP	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC117576477|XP_034117138.1|DALB, LOC117568572|XP_034105192.1|DALB
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC117565600|XP_034100691.1|DALB, LOC117576162|XP_034116628.1|DALB, LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB, LOC117565601|XP_034100693.1|DALB
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC117574572|XP_034114338.1|DALB, LOC117576017|XP_034116416.1|DALB, LOC117575314|XP_034115363.1|DALB
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC117569951|XP_034107204.1|DALB, LOC117567521|XP_034103458.1|DALB, LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB, LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB, LOC117569847|XP_034107067.1|DALB
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC117576456|XP_034117119.1|DALB, LOC117565137|XP_034099998.1|DALB, LOC117568013|XP_034104228.1|DALB, LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB, LOC117576455|XP_034117118.1|DALB, LOC117576451|XP_034117113.1|DALB, LOC117576915|XP_034117947.1|DALB
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC117570342|XP_034107792.1|DALB
OG0000025	LOC120422949|XP_039442466.1|CPIP	LOC117566085|XP_034101455.1|DALB
OG0000025	LOC120422943|XP_039442460.1|CPIP	LOC117563559|XP_034097830.1|DALB
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC117577677|XP_034118462.1|DALB, LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB, LOC117573365|XP_034112385.1|DALB
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC117566241|XP_034101678.1|DALB, LOC117564244|XP_034098829.1|DALB, LOC117565445|XP_034100427.1|DALB
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB, LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB, LOC117569056|XP_034105958.1|DALB
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC117574198|XP_034113792.1|DALB, LOC117574485|XP_034114214.1|DALB, LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP	LOC117565378|XP_034100343.1|DALB, LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB, LOC117563632|XP_034097930.1|DALB, LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB, LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	LOC120422668|XP_039442108.1|CPIP, LOC120417424|XP_039435402.1|CPIP	LOC117577292|XP_034118160.1|DALB, LOC117577461|XP_034118238.1|DALB, LOC117577285|XP_034118153.1|DALB, LOC117577448|XP_034118230.1|DALB, LOC117577266|XP_034118142.1|DALB, LOC117577460|XP_034118236.1|DALB, LOC117577290|XP_034118157.1|DALB, LOC117576887|XP_034117917.1|DALB
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC120429038|XP_039450110.1|CPIP, LOC120429039|XP_039450111.1|CPIP, LOC120428147|XP_039449065.1|CPIP, LOC120428149|XP_039449068.1|CPIP, LOC120428146|XP_039449064.1|CPIP, LOC120428148|XP_039449067.1|CPIP, LOC120415924|XP_039433504.1|CPIP, LOC120415923|XP_039433503.1|CPIP, LOC120426062|XP_039446682.1|CPIP, LOC120414650|XP_039431833.1|CPIP, LOC120421881|XP_039441110.1|CPIP, LOC120415922|XP_039433501.1|CPIP, LOC120417580|XP_039435624.1|CPIP, LOC120417594|XP_039435641.1|CPIP, LOC120425684|XP_039446205.1|CPIP, LOC120425659|XP_039446177.1|CPIP, LOC120425667|XP_039446188.1|CPIP	LOC117565385|XP_034100358.1|DALB
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC117568663|XP_034105356.1|DALB, LOC117575741|XP_034115985.1|DALB, LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB, LOC117569403|XP_034106430.1|DALB
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC117575707|XP_034115928.1|DALB
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC117575844|XP_034116145.1|DALB, LOC117574557|XP_034114320.1|DALB, LOC117576156|XP_034116620.1|DALB, LOC117576178|XP_034116653.1|DALB, LOC117576081|XP_034116519.1|DALB, LOC117575845|XP_034116146.1|DALB, LOC117573341|XP_034112342.1|DALB, LOC117575360|XP_034115416.1|DALB, LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC117574637|XP_034114425.1|DALB, LOC117574639|XP_034114428.1|DALB, LOC117574208|XP_034113803.1|DALB, LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC117576108|XP_034116557.1|DALB, LOC117576553|XP_034117282.1|DALB, LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB, LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB, LOC117574699|XP_034114502.1|DALB
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC117570271|XP_034107678.1|DALB, LOC117570312|XP_034107745.1|DALB, LOC117567370|XP_034103204.1|DALB, LOC117567748|XP_034103827.1|DALB, LOC117570179|XP_034107548.1|DALB, LOC117570238|XP_034107631.1|DALB
OG0000048	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP	LOC117571564|XP_034109658.1|DALB, LOC117572034|XP_034110480.1|DALB, LOC117569405|XP_034106432.1|DALB
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC117574804|XP_034114660.1|DALB, LOC117574253|XP_034113873.1|DALB, LOC117574270|XP_034113907.1|DALB, LOC117576198|XP_034116681.1|DALB, LOC117574439|XP_034114168.1|DALB
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC117576304|XP_034116849.1|DALB, LOC117576889|XP_034117914.1|DALB, LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB, LOC117576902|XP_034117931.1|DALB
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC117569597|XP_034106723.1|DALB, LOC117569598|XP_034106724.1|DALB, LOC117569609|XP_034106736.1|DALB
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC117575896|XP_034116230.1|DALB, LOC117575899|XP_034116231.1|DALB
OG0000055	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC117575962|XP_034116331.1|DALB, LOC117575960|XP_034116330.1|DALB, LOC117574528|XP_034114281.1|DALB, LOC117574682|XP_034114479.1|DALB, LOC117575963|XP_034116332.1|DALB, LOC117574889|XP_034114817.1|DALB
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC117573873|XP_034113241.1|DALB, LOC117573870|XP_034113237.1|DALB, LOC117573868|XP_034113236.1|DALB, LOC117573871|XP_034113238.1|DALB, LOC117576772|XP_034117714.1|DALB, LOC117573872|XP_034113239.1|DALB, LOC117565555|XP_034100612.1|DALB
OG0000058	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP	LOC117563763|XP_034098158.1|DALB, LOC117564238|XP_034098822.1|DALB, LOC117564239|XP_034098823.1|DALB, LOC117563762|XP_034098157.1|DALB, LOC117563768|XP_034098166.1|DALB, LOC117563764|XP_034098159.1|DALB, LOC117563767|XP_034098165.1|DALB, LOC117563761|XP_034098156.1|DALB, LOC117563760|XP_034098154.1|DALB, LOC117570528|XP_034108128.1|DALB
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC117568914|XP_034105715.1|DALB
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC117574003|XP_034113462.1|DALB
OG0000061	LOC120415159|XP_039432529.1|CPIP	LOC117564862|XP_034099701.1|DALB, LOC117564863|XP_034099702.1|DALB, LOC117564865|XP_034099704.1|DALB, LOC117564867|XP_034099707.1|DALB, LOC117564866|XP_034099705.1|DALB
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC117576940|XP_034117988.1|DALB, LOC117569520|XP_034106607.1|DALB
OG0000067	LOC120432651|XP_039453829.1|CPIP	LOC117570140|XP_034107497.1|DALB, LOC117569519|XP_034106606.1|DALB
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC117570707|XP_034108403.1|DALB
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP	LOC117575545|XP_034115693.1|DALB, LOC117566789|XP_034102222.1|DALB, LOC117563644|XP_034097948.1|DALB
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC117564516|XP_034099227.1|DALB, LOC117564519|XP_034099229.1|DALB, LOC117575370|XP_034115434.1|DALB, LOC117564518|XP_034099228.1|DALB, LOC117564520|XP_034099230.1|DALB
OG0000071	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP	LOC117570623|XP_034108276.1|DALB, LOC117566528|XP_034101960.1|DALB
OG0000072	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC117566569|XP_034102002.1|DALB, LOC117567900|XP_034104064.1|DALB, LOC117570917|XP_034108716.1|DALB
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC117572206|XP_034110763.1|DALB
OG0000073	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP	LOC117576610|XP_034117406.1|DALB
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC117575585|XP_034115743.1|DALB
OG0000074	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP	LOC117570160|XP_034107519.1|DALB, LOC117571484|XP_034109540.1|DALB, LOC117571440|XP_034109474.1|DALB, LOC117570586|XP_034108221.1|DALB
OG0000076	LOC120414119|XP_039431083.1|CPIP	LOC117567636|XP_034103628.1|DALB
OG0000076	LOC120419152|XP_039437732.1|CPIP	LOC117577756|XP_034118557.1|DALB
OG0000077	LOC120428195|XP_039449110.1|CPIP	LOC117569813|XP_034107023.1|DALB
OG0000077	LOC120425394|XP_039445844.1|CPIP	LOC117567769|XP_034103852.1|DALB
OG0000077	LOC120420744|XP_039439774.1|CPIP	LOC117573885|XP_034113262.1|DALB
