Orthogroup	CPIP.longest_only	SLEB.longest_only
OG0000010	LOC120430236|XP_039451249.1|CPIP, LOC120425524|XP_039446013.1|CPIP	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC120422947|XP_039442463.1|CPIP	LOC115630347|XP_030382740.1|SLEB, LOC115633455|XP_030386770.1|SLEB, LOC115630140|XP_030382609.1|SLEB, LOC115630331|XP_030382729.1|SLEB, LOC115630332|XP_030382730.1|SLEB
OG0000010	LOC120415441|XP_039432923.1|CPIP	LOC115630368|XP_030382761.1|SLEB, LOC115630369|XP_030382762.1|SLEB, LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC115626791|XP_030378121.1|SLEB, LOC115634820|XP_030388598.1|SLEB, LOC115624523|XP_030375106.1|SLEB, LOC115632632|XP_030385725.1|SLEB, LOC115625784|XP_030376819.1|SLEB, LOC115630730|XP_030383248.1|SLEB, LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC115624312|XP_030374797.1|SLEB, LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000014	LOC120429879|XP_039450893.1|CPIP	LOC115629406|XP_030381727.1|SLEB
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC115621740|XP_030371332.1|SLEB, LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC115634447|XP_030388017.1|SLEB
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC115633159|XP_030386430.1|SLEB
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB, LOC115621701|XP_030371268.1|SLEB, LOC115621698|XP_030371264.1|SLEB, LOC115621699|XP_030371266.1|SLEB, LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC115620461|XP_030369552.1|SLEB, LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC115625139|XP_030375917.1|SLEB, LOC115623558|XP_030373816.1|SLEB, LOC115623561|XP_030373817.1|SLEB, LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC115625208|XP_030376037.1|SLEB, LOC115620616|XP_030369796.1|SLEB, LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC115634544|XP_030388214.1|SLEB, LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB, LOC115624802|XP_030375508.1|SLEB, LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC115623327|XP_030373450.1|SLEB, LOC115623328|XP_030373451.1|SLEB, LOC115623320|XP_030373442.1|SLEB, LOC115623826|XP_030374229.1|SLEB, LOC115623325|XP_030373446.1|SLEB, LOC115623824|XP_030374228.1|SLEB, LOC115623322|XP_030373444.1|SLEB, LOC115623324|XP_030373445.1|SLEB, LOC115623321|XP_030373443.1|SLEB, LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC120414088|XP_039431044.1|CPIP	LOC115630204|XP_030382632.1|SLEB, LOC115633283|XP_030386551.1|SLEB, LOC115633275|XP_030386546.1|SLEB, LOC115633288|XP_030386557.1|SLEB, LOC115629800|XP_030382222.1|SLEB, LOC115629806|XP_030382233.1|SLEB
OG0000025	LOC120424200|XP_039444192.1|CPIP	LOC115633541|XP_030386858.1|SLEB, LOC115633463|XP_030386778.1|SLEB
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC120422949|XP_039442466.1|CPIP	LOC115633508|XP_030386830.1|SLEB
OG0000025	LOC120422943|XP_039442460.1|CPIP	LOC115630125|XP_030382596.1|SLEB
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC115632057|XP_030384894.1|SLEB, LOC115632056|XP_030384892.1|SLEB, LOC115631416|XP_030384002.1|SLEB
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC115634414|XP_030387972.1|SLEB, LOC115634466|XP_030388054.1|SLEB, LOC115634465|XP_030388053.1|SLEB, LOC115634409|XP_030387965.1|SLEB
OG0000029	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP	LOC115634071|XP_030387478.1|SLEB
OG0000031	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB, LOC115626596|XP_030377839.1|SLEB
OG0000032	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP	LOC115621800|XP_030371439.1|SLEB, LOC115621799|XP_030371437.1|SLEB
OG0000034	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP	LOC115631238|XP_030383807.1|SLEB, LOC115631233|XP_030383802.1|SLEB, LOC115631236|XP_030383804.1|SLEB, LOC115631298|XP_030383873.1|SLEB, LOC115631016|XP_030383488.1|SLEB, LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000035	LOC120422668|XP_039442108.1|CPIP, LOC120417424|XP_039435402.1|CPIP	LOC115630074|XP_030382558.1|SLEB, LOC115628142|XP_030379974.1|SLEB, LOC115628135|XP_030379972.1|SLEB, LOC115628137|XP_030379973.1|SLEB, LOC115628134|XP_030379971.1|SLEB, LOC115628143|XP_030379975.1|SLEB, LOC115628789|XP_030380864.1|SLEB, LOC115628787|XP_030380863.1|SLEB, LOC115628216|XP_030380068.1|SLEB, LOC115628783|XP_030380857.1|SLEB, LOC115629977|XP_030382461.1|SLEB, LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB
OG0000036	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC120428713|XP_039449719.1|CPIP	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC120429038|XP_039450110.1|CPIP, LOC120429039|XP_039450111.1|CPIP, LOC120428147|XP_039449065.1|CPIP, LOC120428149|XP_039449068.1|CPIP, LOC120428146|XP_039449064.1|CPIP, LOC120428148|XP_039449067.1|CPIP, LOC120415924|XP_039433504.1|CPIP, LOC120415923|XP_039433503.1|CPIP, LOC120426062|XP_039446682.1|CPIP, LOC120414650|XP_039431833.1|CPIP, LOC120421881|XP_039441110.1|CPIP, LOC120415922|XP_039433501.1|CPIP, LOC120417580|XP_039435624.1|CPIP, LOC120417594|XP_039435641.1|CPIP, LOC120425684|XP_039446205.1|CPIP, LOC120425659|XP_039446177.1|CPIP, LOC120425667|XP_039446188.1|CPIP	LOC115627397|XP_030378912.1|SLEB
OG0000037	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP	LOC115626848|XP_030378208.1|SLEB, LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB, LOC115620739|XP_030369986.1|SLEB
OG0000038	LOC120421672|XP_039440837.1|CPIP	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC120424485|XP_039444561.1|CPIP	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP	LOC115633921|XP_030387291.1|SLEB
OG0000041	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB
OG0000043	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP	LOC115623987|XP_030374418.1|SLEB, LOC115623491|XP_030373724.1|SLEB, LOC115627355|XP_030378864.1|SLEB, LOC115623337|XP_030373467.1|SLEB, LOC115623816|XP_030374219.1|SLEB, LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC120431841|XP_039452903.1|CPIP	LOC115624024|XP_030374460.1|SLEB, LOC115624181|XP_030374637.1|SLEB, LOC115623538|XP_030373780.1|SLEB, LOC115631500|XP_030384120.1|SLEB, LOC115624165|XP_030374623.1|SLEB
OG0000047	LOC120423119|XP_039442732.1|CPIP	LOC115631261|XP_030383836.1|SLEB, LOC115632503|XP_030385556.1|SLEB, LOC115630926|XP_030383356.1|SLEB, LOC115626702|XP_030377994.1|SLEB, LOC115627115|XP_030378542.1|SLEB, LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP	LOC115632621|XP_030385709.1|SLEB, LOC115632620|XP_030385708.1|SLEB, LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP	LOC115631187|XP_030383738.1|SLEB, LOC115625471|XP_030376380.1|SLEB, LOC115625469|XP_030376378.1|SLEB, LOC115625467|XP_030376376.1|SLEB, LOC115625232|XP_030376077.1|SLEB, LOC115621014|XP_030370394.1|SLEB
OG0000051	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP	LOC115624036|XP_030374474.1|SLEB, LOC115632496|XP_030385533.1|SLEB, LOC115620987|XP_030370367.1|SLEB
OG0000053	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB, LOC115634038|XP_030387442.1|SLEB
OG0000054	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB, LOC115623633|XP_030373934.1|SLEB, LOC115624033|XP_030374471.1|SLEB
OG0000055	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP	LOC115621100|XP_030370499.1|SLEB, LOC115621082|XP_030370472.1|SLEB, LOC115621350|XP_030370832.1|SLEB
OG0000056	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP	LOC115626734|XP_030378039.1|SLEB, LOC115626727|XP_030378033.1|SLEB, LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB
OG0000057	LOC120419827|XP_039438595.1|CPIP, LOC120423416|XP_039443151.1|CPIP, LOC120413078|XP_039429715.1|CPIP, LOC120413834|XP_039430723.1|CPIP, LOC120431422|XP_039452477.1|CPIP, LOC120421556|XP_039440720.1|CPIP, LOC120428776|XP_039449794.1|CPIP, LOC120428475|XP_039449423.1|CPIP, LOC120431484|XP_039452532.1|CPIP, LOC120413508|XP_039430301.1|CPIP, LOC120430733|XP_039451777.1|CPIP, LOC120430810|XP_039451866.1|CPIP, LOC120417862|XP_039436019.1|CPIP, LOC120421112|XP_039440205.1|CPIP, LOC120429688|XP_039450654.1|CPIP, LOC120412431|XP_039428824.1|CPIP, LOC120431763|XP_039452817.1|CPIP, LOC120427889|XP_039448757.1|CPIP, LOC120416631|XP_039434372.1|CPIP, LOC120416632|XP_039434373.1|CPIP, LOC120432090|XP_039453162.1|CPIP, LOC120430801|XP_039451854.1|CPIP, LOC120427199|XP_039447993.1|CPIP, LOC120417632|XP_039435678.1|CPIP, LOC120425704|XP_039446229.1|CPIP, LOC120415116|XP_039432467.1|CPIP, LOC120416630|XP_039434371.1|CPIP, LOC120425554|XP_039446050.1|CPIP, LOC120431653|XP_039452693.1|CPIP, LOC120430326|XP_039451361.1|CPIP, LOC120432005|XP_039453069.1|CPIP, LOC120427806|XP_039448660.1|CPIP, LOC120429948|XP_039450977.1|CPIP, LOC120427823|XP_039448679.1|CPIP, LOC120429656|XP_039450620.1|CPIP, LOC120426060|XP_039446680.1|CPIP, LOC120413469|XP_039430244.1|CPIP, LOC120413100|XP_039429739.1|CPIP, LOC120413815|XP_039430702.1|CPIP, LOC120430443|XP_039451489.1|CPIP	LOC115620011|XP_030368972.1|SLEB, LOC115630052|XP_030382544.1|SLEB
OG0000057	LOC120427248|XP_039448038.1|CPIP, LOC120423998|XP_039443941.1|CPIP	LOC115628853|XP_030380964.1|SLEB, LOC115631335|XP_030383916.1|SLEB, LOC115628503|XP_030380504.1|SLEB
OG0000058	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB, LOC115629610|XP_030381967.1|SLEB
OG0000060	LOC120420228|XP_039439150.1|CPIP	LOC115629930|XP_030382394.1|SLEB, LOC115629929|XP_030382393.1|SLEB
OG0000060	LOC120426886|XP_039447624.1|CPIP	LOC115620624|XP_030369812.1|SLEB
OG0000061	LOC120415159|XP_039432529.1|CPIP	LOC115631729|XP_030384426.1|SLEB, LOC115631701|XP_030384388.1|SLEB
OG0000064	LOC120418388|XP_039436700.1|CPIP	LOC115630780|XP_030383296.1|SLEB
OG0000067	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP	LOC115621860|XP_030371539.1|SLEB, LOC115622383|XP_030372167.1|SLEB
OG0000067	LOC120432651|XP_039453829.1|CPIP	LOC115628126|XP_030379967.1|SLEB, LOC115622466|XP_030372269.1|SLEB
OG0000067	LOC120427625|XP_039448443.1|CPIP	LOC115622364|XP_030372139.1|SLEB
OG0000068	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP	LOC115623202|XP_030373286.1|SLEB, LOC115631954|XP_030384717.1|SLEB, LOC115622769|XP_030372686.1|SLEB, LOC115622252|XP_030372011.1|SLEB, LOC115623907|XP_030374323.1|SLEB, LOC115629354|XP_030381665.1|SLEB, LOC115632765|XP_030385874.1|SLEB, LOC115628062|XP_030379882.1|SLEB
OG0000070	LOC120414155|XP_039431129.1|CPIP	LOC115625714|XP_030376720.1|SLEB, LOC115629807|XP_030382234.1|SLEB, LOC115625715|XP_030376721.1|SLEB, LOC115625716|XP_030376722.1|SLEB
OG0000071	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP	LOC115624679|XP_030375338.1|SLEB, LOC115624678|XP_030375337.1|SLEB
OG0000072	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP	LOC115625138|XP_030375920.1|SLEB, LOC115633654|XP_030386963.1|SLEB, LOC115625130|XP_030375908.1|SLEB
OG0000073	LOC120414900|XP_039432160.1|CPIP	LOC115626625|XP_030377891.1|SLEB
OG0000073	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP	LOC115626672|XP_030377958.1|SLEB
OG0000073	LOC120418372|XP_039436675.1|CPIP	LOC115624374|XP_030374908.1|SLEB
OG0000074	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP	LOC115632425|XP_030385425.1|SLEB
OG0000076	LOC120414119|XP_039431083.1|CPIP	LOC115623022|XP_030373056.1|SLEB
OG0000076	LOC120419152|XP_039437732.1|CPIP	LOC115627672|XP_030379274.1|SLEB
OG0000077	LOC120428195|XP_039449110.1|CPIP	LOC115629260|XP_030381546.1|SLEB
OG0000077	LOC120425394|XP_039445844.1|CPIP	LOC115624410|XP_030375008.1|SLEB
OG0000077	LOC120420744|XP_039439774.1|CPIP	LOC115621758|XP_030371352.1|SLEB
OG0000078	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP	LOC115624829|XP_030375536.1|SLEB, LOC115624752|XP_030375442.1|SLEB, LOC115620798|XP_030370081.1|SLEB, LOC115627604|XP_030379186.1|SLEB, LOC115627905|XP_030379660.1|SLEB
OG0000080	LOC120423909|XP_039443823.1|CPIP, LOC120417736|XP_039435828.1|CPIP, LOC120419918|XP_039438719.1|CPIP, LOC120428681|XP_039449670.1|CPIP, LOC120423702|XP_039443538.1|CPIP, LOC120429653|XP_039450613.1|CPIP	LOC115627205|XP_030378688.1|SLEB
