Orthogroup	DSEC.longest_only	BTRY.longest_only
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY
OG0000007	LOC6610954|XP_002035511.1|DSEC, LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY
OG0000007	LOC6613406|XP_032583270.1|DSEC, LOC6608215|XP_032572281.1|DSEC, LOC6612871|XP_002037363.1|DSEC, LOC6612775|XP_032579057.1|DSEC, LOC6613407|XP_032570241.1|DSEC, LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC, LOC6610955|XP_032575304.1|DSEC, LOC6610956|XP_002035513.1|DSEC	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC120778932|XP_039966913.1|BTRY
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC120778933|XP_039966914.1|BTRY
OG0000008	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY
OG0000008	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC	LOC120778217|XP_039965948.1|BTRY
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC120780533|XP_039968729.1|BTRY
OG0000008	LOC6614149|XP_002038602.2|DSEC	LOC120778133|XP_039965828.1|BTRY
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC120780988|XP_039969143.1|BTRY
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC120780063|XP_039968275.1|BTRY
OG0000009	LOC6619043|XP_032582932.1|DSEC, LOC6619041|XP_032576486.1|DSEC	LOC120771333|XP_039955212.1|BTRY
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC, LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC, LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC	LOC120782593|XP_039970879.1|BTRY
OG0000009	LOC6618810|XP_002043059.1|DSEC, LOC6606719|XP_002031518.1|DSEC, LOC6608841|XP_002033555.1|DSEC, LOC6608840|XP_002033554.1|DSEC	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC120767528|XP_039949554.1|BTRY
OG0000012	LOC6609925|XP_002034575.2|DSEC	LOC120772295|XP_039956737.1|BTRY
OG0000012	LOC6609924|XP_002034574.2|DSEC	LOC120771372|XP_039955267.1|BTRY
OG0000012	LOC6609923|XP_032571611.1|DSEC	LOC120772056|XP_039956371.1|BTRY
OG0000012	LOC6609926|XP_002034576.1|DSEC	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY
OG0000012	LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC, LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC, LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC	LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC120778592|XP_039966397.1|BTRY
OG0000013	LOC6606578|XP_002031379.1|DSEC	LOC120782170|XP_039970244.1|BTRY
OG0000013	LOC6607674|XP_002032439.2|DSEC	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY
OG0000013	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000014	LOC116802439|XP_032582809.1|DSEC	LOC120774632|XP_039960290.1|BTRY, LOC120778358|XP_039966079.1|BTRY
OG0000015	LOC6614679|XP_002039106.1|DSEC, LOC6613280|XP_002037757.1|DSEC, LOC116803534|XP_032583120.1|DSEC, LOC6617420|XP_032571737.1|DSEC, LOC6611526|XP_002036067.1|DSEC, LOC116800339|XP_032570434.1|DSEC, LOC6608675|XP_002033404.2|DSEC, LOC116801741|XP_032578887.1|DSEC	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY
OG0000016	LOC6606525|XP_002031326.2|DSEC, LOC6615268|XP_002039673.2|DSEC	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	LOC6606623|XP_002031424.1|DSEC	LOC120774116|XP_039959415.1|BTRY
OG0000016	LOC6619144|XP_002043384.1|DSEC	LOC120775405|XP_039961502.1|BTRY
OG0000016	LOC6606248|XP_002031056.2|DSEC	LOC120767942|XP_039950259.1|BTRY
OG0000016	LOC6616531|XP_002040890.1|DSEC	LOC120773675|XP_039958634.1|BTRY
OG0000017	LOC6620183|XP_002044394.1|DSEC	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY
OG0000017	LOC6608076|XP_002032824.1|DSEC, LOC6619131|XP_002043371.1|DSEC	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY
OG0000018	LOC6610980|XP_002035537.1|DSEC	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000018	LOC6610983|XP_002035540.1|DSEC	LOC120777489|XP_039964764.1|BTRY
OG0000018	LOC6621634|XP_002045742.2|DSEC	LOC120777549|XP_039964872.1|BTRY
OG0000019	LOC6617118|XP_002041445.1|DSEC, LOC6617116|XP_002041443.2|DSEC, LOC6617117|XP_002041444.1|DSEC, LOC6617113|XP_002041440.2|DSEC, LOC6617114|XP_002041441.1|DSEC, LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY
OG0000020	LOC116801805|XP_032579403.1|DSEC	LOC120772465|XP_039957032.1|BTRY
OG0000020	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC	LOC120782274|XP_039970399.1|BTRY
OG0000020	LOC6619030|XP_032578205.1|DSEC	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	LOC6617550|XP_032580648.1|DSEC	LOC120776121|XP_039962581.1|BTRY
OG0000021	LOC6607757|XP_002032520.1|DSEC	LOC120780423|XP_039968662.1|BTRY
OG0000021	LOC6606667|XP_002031467.1|DSEC, LOC6620369|XP_002044577.1|DSEC	LOC120766828|XP_039948474.1|BTRY
OG0000022	LOC6609401|XP_002034086.1|DSEC	LOC120770783|XP_039954296.1|BTRY
OG0000022	LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY
OG0000023	LOC6614272|XP_002038712.1|DSEC, LOC6615538|XP_002039917.1|DSEC, LOC6614271|XP_032578446.1|DSEC	LOC120782575|XP_039970851.1|BTRY
OG0000023	LOC6614265|XP_002038705.1|DSEC	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY
OG0000023	LOC6614261|XP_032579066.1|DSEC	LOC120766880|XP_039948548.1|BTRY
OG0000023	LOC6614263|XP_002038703.1|DSEC	LOC120774273|XP_039959699.1|BTRY
OG0000023	LOC6614259|XP_032579064.1|DSEC	LOC120766882|XP_039948559.1|BTRY
OG0000024	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY
OG0000024	LOC6608651|XP_032573063.1|DSEC	LOC120771072|XP_039954818.1|BTRY
OG0000024	LOC6618118|XP_002042417.2|DSEC, LOC6608649|XP_032571742.1|DSEC	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY
OG0000025	LOC6613440|XP_002037914.1|DSEC	LOC120774110|XP_039959404.1|BTRY
OG0000026	LOC6613582|XP_002038050.1|DSEC	LOC120773924|XP_039959055.1|BTRY
OG0000026	LOC6619909|XP_002044121.1|DSEC, LOC6614041|XP_002038495.1|DSEC, LOC6620024|XP_002044237.2|DSEC	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY
OG0000027	LOC6611562|XP_002036100.1|DSEC	LOC120768378|XP_039950978.1|BTRY
OG0000027	LOC6611565|XP_002036103.2|DSEC	LOC120768612|XP_039951313.1|BTRY
OG0000027	LOC6611563|XP_002036101.1|DSEC	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY
OG0000028	LOC6605908|XP_002030721.1|DSEC	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY
OG0000029	LOC6606884|XP_002031678.1|DSEC, LOC6608399|XP_002033133.1|DSEC, LOC6609830|XP_002034482.1|DSEC, LOC6611703|XP_002036237.1|DSEC, LOC6607309|XP_002032088.1|DSEC, LOC6618299|XP_002042572.1|DSEC	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY
OG0000030	LOC6617677|XP_032583255.1|DSEC, LOC6617675|XP_002041988.1|DSEC, LOC6617676|XP_002041989.1|DSEC	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY
OG0000030	LOC6613129|XP_002037610.2|DSEC	LOC120773026|XP_039957889.1|BTRY
OG0000030	LOC6615712|XP_002040083.1|DSEC	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY
OG0000030	LOC6616124|XP_002040489.1|DSEC	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY
OG0000030	LOC6615087|XP_032581969.1|DSEC	LOC120776112|XP_039962547.1|BTRY
OG0000031	LOC6611956|XP_002036473.1|DSEC	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY
OG0000032	LOC6606692|XP_002031492.2|DSEC	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY
OG0000032	LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC	LOC120782780|XP_039971181.1|BTRY
OG0000034	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC, LOC6614429|XP_032583720.1|DSEC, LOC6614430|XP_002038863.1|DSEC, LOC6618128|XP_032583108.1|DSEC, LOC6613602|XP_002038072.1|DSEC	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY
OG0000036	LOC6614280|XP_002038720.1|DSEC	LOC120776996|XP_039964035.1|BTRY
OG0000036	LOC6606280|XP_032578992.1|DSEC	LOC120778788|XP_039966724.1|BTRY
OG0000036	LOC6613804|XP_032577945.1|DSEC	LOC120782503|XP_039970745.1|BTRY
OG0000036	LOC6607601|XP_002032369.2|DSEC	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY
OG0000037	LOC6609848|XP_002034500.1|DSEC	LOC120770870|XP_039954430.1|BTRY
OG0000038	LOC6619358|XP_002043575.1|DSEC	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY
OG0000039	LOC6619553|XP_002043768.1|DSEC	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY
OG0000040	LOC6616682|XP_002041037.1|DSEC, LOC6606863|XP_002031657.1|DSEC, LOC6606864|XP_002031658.1|DSEC, LOC6616681|XP_002041036.1|DSEC, LOC6616680|XP_002041035.2|DSEC, LOC6616678|XP_002041033.1|DSEC, LOC6619507|XP_002043722.1|DSEC	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY
OG0000041	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY
OG0000043	LOC6606882|XP_002031676.2|DSEC, LOC6606880|XP_002031674.2|DSEC, LOC6606881|XP_032578763.1|DSEC	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY
OG0000043	LOC6606886|XP_002031680.1|DSEC, LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY
OG0000044	LOC6619712|XP_032578272.1|DSEC	LOC120772588|XP_039957233.1|BTRY
OG0000044	LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC, LOC6619713|XP_032578123.1|DSEC, LOC6619715|XP_002043930.1|DSEC, LOC6619714|XP_002043929.1|DSEC	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY
OG0000045	LOC6605191|XP_002030030.1|DSEC	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY
OG0000045	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC	LOC120778581|XP_039966382.1|BTRY
OG0000045	LOC6611095|XP_002035652.1|DSEC	LOC120778222|XP_039965914.1|BTRY
OG0000045	LOC6611094|XP_002035651.1|DSEC	LOC120777964|XP_039965517.1|BTRY
OG0000047	LOC6609458|XP_002034143.1|DSEC, LOC6609455|XP_002034140.1|DSEC, LOC6609036|XP_032573031.1|DSEC, LOC6605158|XP_002029997.1|DSEC, LOC6609046|XP_032572064.1|DSEC, LOC6605159|XP_002029998.2|DSEC	LOC120775795|XP_039962073.1|BTRY
OG0000048	LOC6605929|XP_002030742.1|DSEC, LOC6605928|XP_002030741.1|DSEC	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY
OG0000048	LOC6605924|XP_002030737.1|DSEC, LOC6605925|XP_002030738.1|DSEC, LOC6605923|XP_002030736.1|DSEC	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY
OG0000048	LOC6605926|XP_002030739.1|DSEC	LOC120770486|XP_039953934.1|BTRY
OG0000049	LOC6616787|XP_002041124.1|DSEC	LOC120782870|XP_039971347.1|BTRY
OG0000049	LOC6616784|XP_002041121.1|DSEC	LOC120782209|XP_039970301.1|BTRY
OG0000049	LOC6616788|XP_002041125.1|DSEC	LOC120781673|XP_039969832.1|BTRY
OG0000049	LOC6616790|XP_032578183.1|DSEC, LOC6616789|XP_002041126.1|DSEC	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY
OG0000049	LOC6616783|XP_002041120.1|DSEC	LOC120772847|XP_039957638.1|BTRY
OG0000050	LOC6608707|XP_002033431.1|DSEC	LOC120776369|XP_039962882.1|BTRY
OG0000050	LOC6616568|XP_002040927.1|DSEC, LOC6616571|XP_032575631.1|DSEC, LOC6616570|XP_002040929.1|DSEC, LOC116800887|XP_032573137.1|DSEC, LOC6616572|XP_002040931.1|DSEC, LOC6616569|XP_032573136.1|DSEC	LOC120778411|XP_039966128.1|BTRY
OG0000051	LOC6607242|XP_032578378.1|DSEC	LOC120776450|XP_039963045.1|BTRY
OG0000051	LOC6606627|XP_002031428.1|DSEC	LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY
OG0000051	LOC6606391|XP_002031196.1|DSEC, LOC6606710|XP_002031509.1|DSEC, LOC6606709|XP_002031508.1|DSEC	LOC120774683|XP_039960350.1|BTRY, LOC120766819|XP_039948463.1|BTRY, LOC120766441|XP_039947883.1|BTRY
OG0000052	LOC6607024|XP_002031813.1|DSEC, LOC6607642|XP_002032407.1|DSEC, LOC6607025|XP_002031814.1|DSEC, LOC6607026|XP_002031815.1|DSEC, LOC6607022|XP_002031811.2|DSEC, LOC6607023|XP_002031812.1|DSEC, LOC6609846|XP_002034498.1|DSEC, LOC6609845|XP_002034497.1|DSEC	LOC120771792|XP_039955923.1|BTRY, LOC120772636|XP_039957293.1|BTRY, LOC120772635|XP_039957292.1|BTRY, LOC120772637|XP_039957294.1|BTRY
OG0000053	LOC6608189|XP_002032934.2|DSEC, LOC6608187|XP_002032932.1|DSEC	LOC120770153|XP_039953281.1|BTRY
OG0000053	LOC6608186|XP_002032931.2|DSEC	LOC120770564|XP_039954076.1|BTRY
OG0000053	LOC6608184|XP_002032929.1|DSEC	LOC120770562|XP_039954075.1|BTRY
OG0000053	LOC6608180|XP_002032925.1|DSEC	LOC120771115|XP_039954899.1|BTRY, LOC120772335|XP_039956813.1|BTRY, LOC120771116|XP_039954900.1|BTRY
OG0000054	LOC6606233|XP_002031041.1|DSEC	LOC120766688|XP_039948268.1|BTRY, LOC120773479|XP_039958337.1|BTRY
OG0000054	LOC6606232|XP_002031040.1|DSEC, LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC	LOC120766314|XP_039947666.1|BTRY, LOC120771817|XP_039955972.1|BTRY, LOC120766166|XP_039947447.1|BTRY
OG0000056	LOC6607531|XP_002032300.1|DSEC, LOC6607532|XP_002032301.1|DSEC, LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC	LOC120773463|XP_039958298.1|BTRY, LOC120773462|XP_039958296.1|BTRY, LOC120773461|XP_039958295.1|BTRY
OG0000056	LOC6606941|XP_002031735.1|DSEC, LOC6606940|XP_002031734.1|DSEC	LOC120775660|XP_039961862.1|BTRY
OG0000058	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC, LOC6613603|XP_002038073.1|DSEC, LOC6612350|XP_002036859.1|DSEC	LOC120778110|XP_039965747.1|BTRY, LOC120778815|XP_039966755.1|BTRY, LOC120777383|XP_039964608.1|BTRY
