Orthogroup	DSEC.longest_only	DBUS.longest_only
OG0000007	LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC6614149|XP_002038602.2|DSEC	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC6618810|XP_002043059.1|DSEC	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC6608841|XP_002033555.1|DSEC	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000011	LOC6607077|XP_002031865.1|DSEC	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC6609925|XP_002034575.2|DSEC	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC6609924|XP_002034574.2|DSEC	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC6609923|XP_032571611.1|DSEC	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC6609926|XP_002034576.1|DSEC	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC6606578|XP_002031379.1|DSEC	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000014	LOC116802438|XP_032582808.1|DSEC	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS
OG0000016	LOC6606525|XP_002031326.2|DSEC	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC6615268|XP_002039673.2|DSEC	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC6606623|XP_002031424.1|DSEC	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC6609492|XP_032572820.1|DSEC	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC6612339|XP_002036849.1|DSEC	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC6619144|XP_002043384.1|DSEC	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC6606248|XP_002031056.2|DSEC	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC6616531|XP_002040890.1|DSEC	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC6619131|XP_002043371.1|DSEC	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC6618718|XP_002042977.1|DSEC	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC6615716|XP_032571357.1|DSEC	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC6619133|XP_002043373.1|DSEC	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC6617387|XP_032577559.1|DSEC	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC6610980|XP_002035537.1|DSEC	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC6610983|XP_002035540.1|DSEC	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC6621634|XP_002045742.2|DSEC	LOC108599156|XP_017841431.1|DBUS
OG0000019	LOC6617118|XP_002041445.1|DSEC	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC6617113|XP_002041440.2|DSEC	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC6617114|XP_002041441.1|DSEC	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC116801805|XP_032579403.1|DSEC	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC6615344|XP_002039742.1|DSEC	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC6619030|XP_032578205.1|DSEC	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC6606811|XP_002031608.2|DSEC	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC6613204|XP_002037684.1|DSEC	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC116803465|XP_032583061.1|DSEC	LOC108595013|XP_017835637.1|DBUS
OG0000021	LOC6615454|XP_002039834.1|DSEC	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC6615468|XP_002039848.1|DSEC	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC6609714|XP_002034371.1|DSEC	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC116803406|XP_032583029.1|DSEC	LOC108595014|XP_017835638.1|DBUS
OG0000021	LOC6617550|XP_032580648.1|DSEC	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC6607757|XP_002032520.1|DSEC	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC6620369|XP_002044577.1|DSEC	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC6609401|XP_002034086.1|DSEC	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000023	LOC6614266|XP_002038706.1|DSEC	LOC117134624|XP_033150075.1|DBUS
OG0000023	LOC6614270|XP_002038710.2|DSEC	LOC108601632|XP_017845020.1|DBUS
OG0000023	LOC6614272|XP_002038712.1|DSEC	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC6615538|XP_002039917.1|DSEC	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC6614271|XP_032578446.1|DSEC	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC6614265|XP_002038705.1|DSEC	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC6614261|XP_032579066.1|DSEC	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC6614263|XP_002038703.1|DSEC	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC6614259|XP_032579064.1|DSEC	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC6608651|XP_032573063.1|DSEC	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC6618118|XP_002042417.2|DSEC	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC6609002|XP_002033708.1|DSEC	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC6613440|XP_002037914.1|DSEC	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS
OG0000026	LOC6617640|XP_002041953.1|DSEC	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC6613582|XP_002038050.1|DSEC	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC6619909|XP_002044121.1|DSEC, LOC6614041|XP_002038495.1|DSEC	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	LOC6620024|XP_002044237.2|DSEC	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC6611562|XP_002036100.1|DSEC	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC6611565|XP_002036103.2|DSEC	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC6611563|XP_002036101.1|DSEC	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC6605908|XP_002030721.1|DSEC	LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC6607309|XP_002032088.1|DSEC	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC6618299|XP_002042572.1|DSEC	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC6617677|XP_032583255.1|DSEC	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC6613129|XP_002037610.2|DSEC	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC6615712|XP_002040083.1|DSEC	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC6616124|XP_002040489.1|DSEC	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC116803563|XP_032583263.1|DSEC, LOC6610715|XP_032575982.1|DSEC, LOC6613163|XP_002037644.1|DSEC, LOC6608128|XP_002032876.2|DSEC	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS
OG0000031	LOC6611956|XP_002036473.1|DSEC	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC6606692|XP_002031492.2|DSEC	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC6606686|XP_002031486.2|DSEC, LOC6606689|XP_002031489.2|DSEC, LOC6606693|XP_002031493.1|DSEC	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC6618199|XP_032571400.1|DSEC, LOC6618200|XP_032577814.1|DSEC, LOC6618198|XP_002042473.1|DSEC, LOC6607913|XP_002032667.1|DSEC, LOC6607912|XP_002032666.2|DSEC	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC6607918|XP_002032668.1|DSEC	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC6614429|XP_032583720.1|DSEC	LOC108597722|XP_017839907.2|DBUS
OG0000034	LOC6614430|XP_002038863.1|DSEC	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC6613602|XP_002038072.1|DSEC	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000035	LOC116803217|XP_032582992.1|DSEC, LOC116800553|XP_032572019.1|DSEC, LOC116800552|XP_032572012.1|DSEC, LOC116800883|XP_032573129.1|DSEC, LOC116801568|XP_032577885.1|DSEC, LOC116801299|XP_032575930.1|DSEC, LOC116800469|XP_032571521.1|DSEC, LOC116803428|XP_032583044.1|DSEC, LOC116802308|XP_032582319.1|DSEC, LOC116802335|XP_032582529.1|DSEC, LOC116800211|XP_032569882.1|DSEC, LOC6620638|XP_032580578.1|DSEC, LOC116803388|XP_032583021.1|DSEC, LOC116801547|XP_032577763.1|DSEC, LOC116800586|XP_032572243.1|DSEC, LOC116800388|XP_032570916.1|DSEC, LOC116800434|XP_032571263.1|DSEC, LOC116802179|XP_032581560.1|DSEC, LOC116800554|XP_032572024.1|DSEC, LOC116803549|XP_032583216.1|DSEC, LOC116802087|XP_032581080.1|DSEC, LOC116801098|XP_032574612.1|DSEC, LOC116802097|XP_032581114.1|DSEC, LOC116801497|XP_032577414.1|DSEC, LOC116803488|XP_032583073.1|DSEC, LOC116800558|XP_032572039.1|DSEC	LOC117134686|XP_033149074.1|DBUS, LOC108602071|XP_017845580.2|DBUS, LOC108604409|XP_017849365.2|DBUS, LOC108597433|XP_017839480.2|DBUS
OG0000036	LOC6614280|XP_002038720.1|DSEC	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC6606280|XP_032578992.1|DSEC	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC6613804|XP_032577945.1|DSEC	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC6607601|XP_002032369.2|DSEC	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	LOC6619358|XP_002043575.1|DSEC	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC6619360|XP_032575071.1|DSEC	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC6614108|XP_032577608.1|DSEC	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC6619553|XP_002043768.1|DSEC	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC6617545|XP_032581966.1|DSEC	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC6616682|XP_002041037.1|DSEC, LOC6606863|XP_002031657.1|DSEC	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC6606864|XP_002031658.1|DSEC	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC6616681|XP_002041036.1|DSEC, LOC6616680|XP_002041035.2|DSEC	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC6616678|XP_002041033.1|DSEC	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC6619507|XP_002043722.1|DSEC	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC6609765|XP_002034419.1|DSEC, LOC6609768|XP_002034422.2|DSEC, LOC6609766|XP_032571746.1|DSEC, LOC6609767|XP_032571748.1|DSEC, LOC116800694|XP_032572982.1|DSEC	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC6609769|XP_002034423.2|DSEC	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC6606881|XP_032578763.1|DSEC	LOC108602016|XP_033149810.1|DBUS
OG0000043	LOC6606886|XP_002031680.1|DSEC	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC6619712|XP_032578272.1|DSEC	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC6605191|XP_002030030.1|DSEC	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC6611095|XP_002035652.1|DSEC	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC6611094|XP_002035651.1|DSEC	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC6615012|XP_002039429.1|DSEC, LOC6615013|XP_002039430.2|DSEC	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC6615011|XP_032581038.1|DSEC, LOC6607592|XP_032578892.1|DSEC, LOC6618806|XP_002043055.1|DSEC, LOC6607590|XP_002032359.1|DSEC, LOC6608938|XP_002033652.1|DSEC	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC6609458|XP_002034143.1|DSEC	LOC108595113|XP_033148899.1|DBUS
OG0000047	LOC6609455|XP_002034140.1|DSEC	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC6609036|XP_032573031.1|DSEC	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC6605158|XP_002029997.1|DSEC	LOC108601150|XP_033149649.1|DBUS
OG0000047	LOC6609046|XP_032572064.1|DSEC	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC6605929|XP_002030742.1|DSEC, LOC6605928|XP_002030741.1|DSEC	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC6605924|XP_002030737.1|DSEC, LOC6605925|XP_002030738.1|DSEC	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS
OG0000048	LOC6605923|XP_002030736.1|DSEC	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC6605926|XP_002030739.1|DSEC	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC6616787|XP_002041124.1|DSEC	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC6616784|XP_002041121.1|DSEC	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC6616788|XP_002041125.1|DSEC	LOC108602189|XP_017845724.1|DBUS
OG0000049	LOC6616789|XP_002041126.1|DSEC	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC6616783|XP_002041120.1|DSEC	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC6616570|XP_002040929.1|DSEC	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC6616572|XP_002040931.1|DSEC	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC6607242|XP_032578378.1|DSEC	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC6606627|XP_002031428.1|DSEC	LOC108603519|XP_017847901.1|DBUS
OG0000051	LOC6606391|XP_002031196.1|DSEC, LOC6606710|XP_002031509.1|DSEC, LOC6606709|XP_002031508.1|DSEC	LOC108601326|XP_017844713.1|DBUS
OG0000052	LOC6607024|XP_002031813.1|DSEC, LOC6607642|XP_002032407.1|DSEC, LOC6607025|XP_002031814.1|DSEC, LOC6607026|XP_002031815.1|DSEC, LOC6607022|XP_002031811.2|DSEC, LOC6607023|XP_002031812.1|DSEC	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC6609846|XP_002034498.1|DSEC	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS
OG0000052	LOC6609845|XP_002034497.1|DSEC	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC6608189|XP_002032934.2|DSEC	LOC108596657|XP_017838132.1|DBUS
OG0000053	LOC6608187|XP_002032932.1|DSEC	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC6608186|XP_002032931.2|DSEC	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC6608184|XP_002032929.1|DSEC	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC6608180|XP_002032925.1|DSEC	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC6606233|XP_002031041.1|DSEC	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC6606232|XP_002031040.1|DSEC	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC6612845|XP_002037339.1|DSEC	LOC108602318|XP_017845891.1|DBUS
OG0000055	LOC6612846|XP_002037340.1|DSEC	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS
OG0000056	LOC6607531|XP_002032300.1|DSEC	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC	LOC108602080|XP_017845593.1|DBUS
OG0000056	LOC6606941|XP_002031735.1|DSEC, LOC6606940|XP_002031734.1|DSEC	LOC108598485|XP_017840632.1|DBUS
OG0000058	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS
OG0000058	LOC6613603|XP_002038073.1|DSEC	LOC117135039|XP_033150759.1|DBUS
OG0000058	LOC6612350|XP_002036859.1|DSEC	LOC108606881|XP_017852895.1|DBUS
OG0000059	LOC6617064|XP_002041392.1|DSEC, LOC6617063|XP_002041391.1|DSEC	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS
OG0000059	LOC6617065|XP_002041393.1|DSEC	LOC108602589|XP_017846217.1|DBUS
OG0000059	LOC6617058|XP_002041386.1|DSEC	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS
OG0000060	LOC6618583|XP_002042842.1|DSEC	LOC108605501|XP_017850738.1|DBUS
OG0000060	LOC6614500|XP_002038933.1|DSEC	LOC108596314|XP_017837413.1|DBUS
OG0000060	LOC6613944|XP_032578849.1|DSEC	LOC108602170|XP_017845695.1|DBUS
OG0000060	LOC6612941|XP_032579191.1|DSEC	LOC108604124|XP_017848902.1|DBUS
OG0000060	LOC6618552|XP_002042809.1|DSEC	LOC108605927|XP_017851236.1|DBUS
