Orthogroup	DSEC.longest_only	DKIK.longest_only
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC6612353|XP_002036862.1|DSEC	LOC108070862|XP_017016987.1|DKIK
OG0000008	LOC6614150|XP_002038603.2|DSEC	LOC108080420|XP_017030642.1|DKIK
OG0000008	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC	LOC108080451|XP_017030677.1|DKIK
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC108080419|XP_017030641.1|DKIK
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC108076150|XP_017024404.1|DKIK
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC108076246|XP_017024517.1|DKIK
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK
OG0000009	LOC6619042|XP_032576485.1|DSEC	LOC108075985|XP_017024164.1|DKIK
OG0000009	LOC6618810|XP_002043059.1|DSEC	LOC108070751|XP_017016837.1|DKIK
OG0000009	LOC6606719|XP_002031518.1|DSEC	LOC108080446|XP_017030671.1|DKIK
OG0000009	LOC6608841|XP_002033555.1|DSEC	LOC108082335|XP_017033154.1|DKIK
OG0000009	LOC6608840|XP_002033554.1|DSEC	LOC108082367|XP_017033197.1|DKIK
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC108075010|XP_017022751.1|DKIK, LOC108084633|XP_017036410.1|DKIK
OG0000011	LOC6613215|XP_002037694.2|DSEC, LOC6613214|XP_002037693.2|DSEC	LOC108077100|XP_017025772.1|DKIK
OG0000011	LOC6613356|XP_002037830.1|DSEC	LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK
OG0000011	LOC6616450|XP_032574488.1|DSEC	LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK
OG0000011	LOC6614408|XP_032583172.1|DSEC, LOC6614413|XP_032577346.1|DSEC, LOC6618632|XP_032581615.1|DSEC, LOC6618634|XP_002042893.2|DSEC	LOC108074515|XP_017022082.1|DKIK
OG0000011	LOC6605627|XP_002030445.2|DSEC	LOC108075323|XP_017023218.1|DKIK
OG0000011	LOC6607077|XP_002031865.1|DSEC	LOC108073175|XP_017020170.1|DKIK
OG0000012	LOC6609925|XP_002034575.2|DSEC	LOC108076784|XP_017025279.1|DKIK
OG0000012	LOC6609924|XP_002034574.2|DSEC	LOC108076783|XP_017025278.1|DKIK
OG0000012	LOC6609923|XP_032571611.1|DSEC	LOC108076799|XP_017025312.1|DKIK
OG0000012	LOC6609926|XP_002034576.1|DSEC	LOC108076590|XP_017024991.1|DKIK
OG0000012	LOC6609929|XP_032571342.1|DSEC	LOC108076575|XP_017024974.1|DKIK
OG0000012	LOC6609927|XP_002034577.1|DSEC	LOC108076609|XP_017025012.1|DKIK
OG0000012	LOC6608817|XP_032571423.1|DSEC	LOC108082430|XP_017033289.1|DKIK
OG0000012	LOC6608818|XP_032571424.1|DSEC	LOC108082433|XP_017033293.1|DKIK
OG0000012	LOC6608819|XP_002033533.2|DSEC	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK
OG0000012	LOC6608820|XP_032571616.1|DSEC	LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK
OG0000012	LOC6608821|XP_032571618.1|DSEC	LOC108082347|XP_017033172.1|DKIK
OG0000012	LOC6608822|XP_032571615.1|DSEC	LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC108075225|XP_017023059.1|DKIK
OG0000013	LOC6606578|XP_002031379.1|DSEC	LOC108080801|XP_017031181.1|DKIK
OG0000013	LOC6607674|XP_002032439.2|DSEC	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK
OG0000013	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000015	LOC6613280|XP_002037757.1|DSEC	LOC108086091|XP_017038403.1|DKIK
OG0000015	LOC6611526|XP_002036067.1|DSEC, LOC116800339|XP_032570434.1|DSEC	LOC108085342|XP_017037387.1|DKIK
OG0000015	LOC6608675|XP_002033404.2|DSEC	LOC108073116|XP_017020100.1|DKIK
OG0000015	LOC116801741|XP_032578887.1|DSEC	LOC108073474|XP_017020616.1|DKIK, LOC108073502|XP_017020662.1|DKIK, LOC108073482|XP_017020629.1|DKIK, LOC108074488|XP_017022050.1|DKIK
OG0000016	LOC6606525|XP_002031326.2|DSEC	LOC108074071|XP_017021434.1|DKIK
OG0000016	LOC6615268|XP_002039673.2|DSEC	LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC6606623|XP_002031424.1|DSEC	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC6612339|XP_002036849.1|DSEC	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC6619144|XP_002043384.1|DSEC	LOC108071378|XP_017017603.1|DKIK
OG0000016	LOC6606248|XP_002031056.2|DSEC	LOC108081075|XP_017031544.1|DKIK
OG0000016	LOC6616531|XP_002040890.1|DSEC	LOC108075195|XP_017023019.1|DKIK
OG0000017	LOC6620183|XP_002044394.1|DSEC	LOC108083777|XP_017035189.1|DKIK
OG0000017	LOC6608076|XP_002032824.1|DSEC	LOC108076702|XP_017025149.1|DKIK
OG0000017	LOC6619131|XP_002043371.1|DSEC	LOC108074963|XP_017022684.1|DKIK
OG0000017	LOC6607277|XP_002032056.1|DSEC	LOC108085024|XP_017036959.1|DKIK
OG0000017	LOC6618718|XP_002042977.1|DSEC	LOC108083626|XP_017034986.1|DKIK
OG0000017	LOC6615716|XP_032571357.1|DSEC	LOC108076532|XP_017024932.1|DKIK
OG0000017	LOC6619133|XP_002043373.1|DSEC	LOC108070625|XP_017016677.1|DKIK
OG0000017	LOC6615717|XP_002040088.1|DSEC	LOC108076530|XP_017024931.1|DKIK
OG0000017	LOC6617387|XP_032577559.1|DSEC	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK
OG0000018	LOC6610980|XP_002035537.1|DSEC	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC6610983|XP_002035540.1|DSEC	LOC108071573|XP_017017843.1|DKIK
OG0000019	LOC6617118|XP_002041445.1|DSEC	LOC108084990|XP_017036905.1|DKIK
OG0000019	LOC6617116|XP_002041443.2|DSEC, LOC6617117|XP_002041444.1|DSEC	LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK
OG0000019	LOC6617113|XP_002041440.2|DSEC	LOC108084902|XP_017036785.1|DKIK
OG0000019	LOC6617114|XP_002041441.1|DSEC	LOC108084991|XP_017036906.1|DKIK
OG0000019	LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC116801805|XP_032579403.1|DSEC	LOC108075744|XP_017023787.1|DKIK
OG0000020	LOC6615344|XP_002039742.1|DSEC	LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC6608343|XP_032571142.1|DSEC	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK
OG0000020	LOC6611665|XP_032583373.1|DSEC	LOC108074835|XP_017022525.1|DKIK
OG0000020	LOC6619030|XP_032578205.1|DSEC	LOC108077930|XP_017026994.1|DKIK
OG0000020	LOC6606811|XP_002031608.2|DSEC	LOC108072156|XP_017018689.1|DKIK
OG0000020	LOC6618224|XP_032583413.1|DSEC	LOC108074862|XP_017022564.1|DKIK
OG0000020	LOC6614621|XP_002039049.1|DSEC	LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC116803465|XP_032583061.1|DSEC	LOC108072937|XP_017019783.1|DKIK
OG0000021	LOC6615454|XP_002039834.1|DSEC	LOC108072344|XP_017018923.1|DKIK
OG0000021	LOC6615468|XP_002039848.1|DSEC	LOC108085116|XP_017037095.1|DKIK
OG0000021	LOC6609714|XP_002034371.1|DSEC	LOC108072889|XP_017019701.1|DKIK
OG0000021	LOC116803406|XP_032583029.1|DSEC	LOC108072267|XP_017018826.1|DKIK
OG0000021	LOC6617550|XP_032580648.1|DSEC	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC6607757|XP_002032520.1|DSEC	LOC108073195|XP_017020199.1|DKIK
OG0000021	LOC6606667|XP_002031467.1|DSEC	LOC108077813|XP_017026825.1|DKIK
OG0000021	LOC6620369|XP_002044577.1|DSEC	LOC108080856|XP_017031249.1|DKIK
OG0000022	LOC6609401|XP_002034086.1|DSEC	LOC108082382|XP_017033212.1|DKIK
OG0000022	LOC6610269|XP_002034864.1|DSEC	LOC108071489|XP_017017741.1|DKIK
OG0000023	LOC6614272|XP_002038712.1|DSEC	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK
OG0000023	LOC6615538|XP_002039917.1|DSEC	LOC108078099|XP_017027186.1|DKIK
OG0000023	LOC6614271|XP_032578446.1|DSEC	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK
OG0000023	LOC6614265|XP_002038705.1|DSEC	LOC108084052|XP_017035560.1|DKIK
OG0000023	LOC6614261|XP_032579066.1|DSEC	LOC108084215|XP_017035827.1|DKIK
OG0000023	LOC6614263|XP_002038703.1|DSEC	LOC108084051|XP_017035559.1|DKIK
OG0000023	LOC6614259|XP_032579064.1|DSEC	LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC6608650|XP_002033384.1|DSEC	LOC108078191|XP_017027348.1|DKIK
OG0000024	LOC6608651|XP_032573063.1|DSEC	LOC108078192|XP_017027349.1|DKIK
OG0000024	LOC6618118|XP_002042417.2|DSEC	LOC108072495|XP_017019150.1|DKIK
OG0000024	LOC6608649|XP_032571742.1|DSEC	LOC108078211|XP_017027385.1|DKIK
OG0000024	LOC6609002|XP_002033708.1|DSEC	LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC6613440|XP_002037914.1|DSEC	LOC108086239|XP_017038600.1|DKIK
OG0000026	LOC6617640|XP_002041953.1|DSEC	LOC108074121|XP_017021510.1|DKIK
OG0000026	LOC6613582|XP_002038050.1|DSEC	LOC108072841|XP_017019625.1|DKIK
OG0000026	LOC6619909|XP_002044121.1|DSEC	LOC108079334|XP_017029126.1|DKIK
OG0000026	LOC6614041|XP_002038495.1|DSEC	LOC108070686|XP_017016752.1|DKIK
OG0000026	LOC6620024|XP_002044237.2|DSEC	LOC108075406|XP_017023320.1|DKIK
OG0000027	LOC6611562|XP_002036100.1|DSEC	LOC108079592|XP_017029427.1|DKIK
OG0000027	LOC6611565|XP_002036103.2|DSEC	LOC108079587|XP_017029421.1|DKIK
OG0000027	LOC6611563|XP_002036101.1|DSEC	LOC108079588|XP_017029422.1|DKIK
OG0000028	LOC116801284|XP_032575821.1|DSEC, LOC6619351|XP_032575820.1|DSEC	LOC108083651|XP_017035012.1|DKIK, LOC108083637|XP_017034996.1|DKIK
OG0000029	LOC6606884|XP_002031678.1|DSEC	LOC108082661|XP_017033647.1|DKIK
OG0000029	LOC6608399|XP_002033133.1|DSEC	LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK
OG0000029	LOC6609830|XP_002034482.1|DSEC, LOC6611703|XP_002036237.1|DSEC	LOC108085551|XP_017037679.1|DKIK
OG0000029	LOC6607309|XP_002032088.1|DSEC	LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK
OG0000029	LOC6618299|XP_002042572.1|DSEC	LOC108080624|XP_017030937.1|DKIK
OG0000030	LOC6617677|XP_032583255.1|DSEC	LOC108075768|XP_017023819.1|DKIK
OG0000030	LOC6617675|XP_002041988.1|DSEC	LOC108075896|XP_017024005.1|DKIK
OG0000030	LOC6617676|XP_002041989.1|DSEC	LOC108075779|XP_017023830.1|DKIK
OG0000030	LOC6613129|XP_002037610.2|DSEC	LOC108077325|XP_017026102.1|DKIK
OG0000030	LOC6615712|XP_002040083.1|DSEC	LOC108076242|XP_017024479.1|DKIK
OG0000030	LOC6616124|XP_002040489.1|DSEC	LOC108083344|XP_017034576.1|DKIK
OG0000030	LOC6615087|XP_032581969.1|DSEC	LOC108079999|XP_017030054.1|DKIK
OG0000031	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC	LOC108082121|XP_017032911.1|DKIK
OG0000031	LOC6613163|XP_002037644.1|DSEC	LOC108075780|XP_017023827.1|DKIK
OG0000031	LOC6611956|XP_002036473.1|DSEC	LOC108077225|XP_017025972.1|DKIK
OG0000032	LOC6606692|XP_002031492.2|DSEC	LOC108077824|XP_017026839.1|DKIK
OG0000032	LOC6606694|XP_002031494.1|DSEC	LOC108077790|XP_017026779.1|DKIK
OG0000032	LOC6606689|XP_002031489.2|DSEC	LOC108077713|XP_017026652.1|DKIK
OG0000032	LOC6606693|XP_002031493.1|DSEC	LOC108077612|XP_017026507.1|DKIK
OG0000032	LOC6606685|XP_002031485.1|DSEC	LOC108077846|XP_017026865.1|DKIK
OG0000033	LOC6612608|XP_032578226.1|DSEC	LOC108080886|XP_017031277.1|DKIK, LOC108080887|XP_017031279.1|DKIK, LOC108081203|XP_017031760.1|DKIK
OG0000033	LOC6607913|XP_002032667.1|DSEC	LOC108080716|XP_017031056.1|DKIK
OG0000033	LOC6607912|XP_002032666.2|DSEC	LOC108080717|XP_017031057.1|DKIK
OG0000033	LOC6607918|XP_002032668.1|DSEC	LOC108080718|XP_017031058.1|DKIK
OG0000033	LOC6606119|XP_002030927.1|DSEC	LOC108084001|XP_017035503.1|DKIK
OG0000033	LOC6614345|XP_002038784.1|DSEC, LOC6614346|XP_032579053.1|DSEC	LOC108076855|XP_017025374.1|DKIK
OG0000033	LOC6609451|XP_002034136.1|DSEC	LOC108076138|XP_017024355.1|DKIK
OG0000033	LOC6609450|XP_002034135.2|DSEC	LOC108076137|XP_017024354.1|DKIK, LOC108076136|XP_017024353.1|DKIK
OG0000034	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK
OG0000034	LOC6614429|XP_032583720.1|DSEC	LOC108076836|XP_017025354.1|DKIK
OG0000034	LOC6614430|XP_002038863.1|DSEC	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK
OG0000034	LOC6618128|XP_032583108.1|DSEC	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK
OG0000034	LOC6613602|XP_002038072.1|DSEC	LOC108082755|XP_017033759.1|DKIK
OG0000035	LOC116800883|XP_032573129.1|DSEC, LOC116801568|XP_032577885.1|DSEC, LOC116801299|XP_032575930.1|DSEC, LOC116800469|XP_032571521.1|DSEC, LOC116803428|XP_032583044.1|DSEC, LOC116802308|XP_032582319.1|DSEC, LOC116802335|XP_032582529.1|DSEC, LOC116800211|XP_032569882.1|DSEC, LOC6620638|XP_032580578.1|DSEC, LOC116803388|XP_032583021.1|DSEC, LOC116801547|XP_032577763.1|DSEC, LOC116800586|XP_032572243.1|DSEC, LOC116800388|XP_032570916.1|DSEC, LOC116800434|XP_032571263.1|DSEC, LOC116802179|XP_032581560.1|DSEC, LOC116800554|XP_032572024.1|DSEC, LOC116803549|XP_032583216.1|DSEC, LOC116802087|XP_032581080.1|DSEC, LOC116801098|XP_032574612.1|DSEC, LOC116802097|XP_032581114.1|DSEC, LOC116801497|XP_032577414.1|DSEC, LOC116803488|XP_032583073.1|DSEC, LOC116800558|XP_032572039.1|DSEC	LOC108078054|XP_017027107.1|DKIK
OG0000036	LOC6614280|XP_002038720.1|DSEC	LOC108084034|XP_017035539.1|DKIK
OG0000036	LOC6606280|XP_032578992.1|DSEC	LOC108081215|XP_017031778.1|DKIK
OG0000036	LOC6613804|XP_032577945.1|DSEC	LOC108080827|XP_017031220.1|DKIK
OG0000036	LOC6607601|XP_002032369.2|DSEC	LOC108081087|XP_017031565.1|DKIK
OG0000037	LOC6609848|XP_002034500.1|DSEC	LOC108082568|XP_017033513.1|DKIK
OG0000037	LOC6619109|XP_002043349.1|DSEC	LOC108073148|XP_017020150.1|DKIK
OG0000037	LOC6619108|XP_002043348.1|DSEC	LOC108073159|XP_017020158.1|DKIK
OG0000038	LOC6619358|XP_002043575.1|DSEC	LOC108083255|XP_017034451.1|DKIK
OG0000038	LOC6619360|XP_032575071.1|DSEC	LOC108083246|XP_017034442.1|DKIK
OG0000039	LOC6614108|XP_032577608.1|DSEC	LOC108081169|XP_017031714.1|DKIK
OG0000039	LOC6619553|XP_002043768.1|DSEC	LOC108071695|XP_017017998.1|DKIK
OG0000039	LOC6619552|XP_002043767.1|DSEC	LOC108071709|XP_017018018.1|DKIK
OG0000039	LOC6617545|XP_032581966.1|DSEC	LOC108082955|XP_017034059.1|DKIK
OG0000040	LOC6616682|XP_002041037.1|DSEC	LOC108070642|XP_017016699.1|DKIK
OG0000040	LOC6606863|XP_002031657.1|DSEC	LOC108084882|XP_017036766.1|DKIK
OG0000040	LOC6606864|XP_002031658.1|DSEC	LOC108084883|XP_017036767.1|DKIK
OG0000040	LOC6616681|XP_002041036.1|DSEC	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK
OG0000040	LOC6616680|XP_002041035.2|DSEC	LOC108070662|XP_017016722.1|DKIK
OG0000040	LOC6616678|XP_002041033.1|DSEC	LOC108070710|XP_017016793.1|DKIK
OG0000040	LOC6619507|XP_002043722.1|DSEC	LOC108084976|XP_017036887.1|DKIK
OG0000041	LOC6619701|XP_002043916.1|DSEC	LOC108071265|XP_017017445.1|DKIK
OG0000041	LOC6619703|XP_032579544.1|DSEC	LOC108071358|XP_017017589.1|DKIK
OG0000041	LOC6619709|XP_002043924.1|DSEC	LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK
OG0000041	LOC6619708|XP_032579543.1|DSEC	LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK
OG0000042	LOC6609765|XP_002034419.1|DSEC	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK
OG0000042	LOC6609768|XP_002034422.2|DSEC	LOC108076658|XP_017025082.1|DKIK
OG0000042	LOC6609766|XP_032571746.1|DSEC	LOC108076656|XP_017025079.1|DKIK
OG0000042	LOC6609767|XP_032571748.1|DSEC, LOC116800694|XP_032572982.1|DSEC	LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK
OG0000042	LOC6609769|XP_002034423.2|DSEC	LOC108076657|XP_017025080.1|DKIK
OG0000043	LOC6606882|XP_002031676.2|DSEC	LOC108081486|XP_017032174.1|DKIK
OG0000043	LOC6606880|XP_002031674.2|DSEC	LOC108081508|XP_017032216.1|DKIK
OG0000043	LOC6606881|XP_032578763.1|DSEC	LOC108081485|XP_017032173.1|DKIK
OG0000043	LOC6606886|XP_002031680.1|DSEC	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK
OG0000043	LOC6606875|XP_002031669.2|DSEC	LOC108081483|XP_017032171.1|DKIK
OG0000043	LOC6612980|XP_002037471.1|DSEC	LOC108086038|XP_017038347.1|DKIK
OG0000043	LOC6606874|XP_002031668.1|DSEC	LOC108081480|XP_017032168.1|DKIK
OG0000044	LOC6619712|XP_032578272.1|DSEC	LOC108071988|XP_017018451.1|DKIK
OG0000044	LOC6619716|XP_002043931.1|DSEC	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK
OG0000044	LOC6619717|XP_002043932.1|DSEC	LOC108072010|XP_017018477.1|DKIK
OG0000044	LOC6619713|XP_032578123.1|DSEC	LOC108072006|XP_017018472.1|DKIK
OG0000044	LOC6619715|XP_002043930.1|DSEC	LOC108072020|XP_017018489.1|DKIK
OG0000044	LOC6619714|XP_002043929.1|DSEC	LOC108072017|XP_017018486.1|DKIK
OG0000045	LOC6605191|XP_002030030.1|DSEC	LOC108073518|XP_017020682.1|DKIK
OG0000045	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK
OG0000045	LOC6611095|XP_002035652.1|DSEC	LOC108073894|XP_017021172.1|DKIK
OG0000045	LOC6611094|XP_002035651.1|DSEC	LOC108073882|XP_017021156.1|DKIK
OG0000046	LOC6620032|XP_032578694.1|DSEC	LOC108075359|XP_017023259.1|DKIK
OG0000046	LOC6615012|XP_002039429.1|DSEC	LOC108083339|XP_017034572.1|DKIK
OG0000046	LOC6615013|XP_002039430.2|DSEC	LOC108083340|XP_017034573.1|DKIK
OG0000046	LOC6615011|XP_032581038.1|DSEC	LOC108083611|XP_017034972.1|DKIK, LOC108083337|XP_017034570.1|DKIK
OG0000046	LOC6607592|XP_032578892.1|DSEC	LOC108080891|XP_017031283.1|DKIK
OG0000046	LOC6618806|XP_002043055.1|DSEC	LOC108080893|XP_017031285.1|DKIK, LOC108080892|XP_017031284.1|DKIK
OG0000046	LOC6607590|XP_002032359.1|DSEC, LOC6608938|XP_002033652.1|DSEC	LOC108080934|XP_017031327.1|DKIK, LOC108080984|XP_017031399.1|DKIK, LOC108080895|XP_017031286.1|DKIK, LOC108080933|XP_017031326.1|DKIK
