Orthogroup	DSEC.longest_only	SLEB.longest_only
OG0000030	LOC6617675|XP_002041988.1|DSEC, LOC6617676|XP_002041989.1|DSEC	LOC115631186|XP_030383737.1|SLEB
OG0000030	LOC6613129|XP_002037610.2|DSEC	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC6615712|XP_002040083.1|DSEC	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC6616124|XP_002040489.1|DSEC	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC6615087|XP_032581969.1|DSEC	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	LOC6611956|XP_002036473.1|DSEC	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC6606692|XP_002031492.2|DSEC	LOC115621800|XP_030371439.1|SLEB
OG0000032	LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC	LOC115621799|XP_030371437.1|SLEB
OG0000033	LOC6618199|XP_032571400.1|DSEC, LOC6618200|XP_032577814.1|DSEC, LOC6618198|XP_002042473.1|DSEC, LOC6607913|XP_002032667.1|DSEC, LOC6607912|XP_002032666.2|DSEC	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	LOC6607918|XP_002032668.1|DSEC	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC6614429|XP_032583720.1|DSEC	LOC115631233|XP_030383802.1|SLEB
OG0000034	LOC6614430|XP_002038863.1|DSEC	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC6618128|XP_032583108.1|DSEC, LOC6613602|XP_002038072.1|DSEC	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000035	LOC116803217|XP_032582992.1|DSEC, LOC116800553|XP_032572019.1|DSEC, LOC116800552|XP_032572012.1|DSEC	LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB
OG0000036	LOC6614280|XP_002038720.1|DSEC	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC6606280|XP_032578992.1|DSEC	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC6613804|XP_032577945.1|DSEC	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC6607601|XP_002032369.2|DSEC	LOC115621341|XP_030370821.1|SLEB
OG0000037	LOC6609848|XP_002034500.1|DSEC	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000038	LOC6619358|XP_002043575.1|DSEC	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC6619360|XP_032575071.1|DSEC	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC6614108|XP_032577608.1|DSEC	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC6619553|XP_002043768.1|DSEC	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC6619552|XP_002043767.1|DSEC	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC6617545|XP_032581966.1|DSEC	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC6616682|XP_002041037.1|DSEC, LOC6606863|XP_002031657.1|DSEC	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC6606864|XP_002031658.1|DSEC	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC6616681|XP_002041036.1|DSEC, LOC6616680|XP_002041035.2|DSEC	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB
OG0000040	LOC6619507|XP_002043722.1|DSEC	LOC115621426|XP_030370938.1|SLEB
OG0000042	LOC6617460|XP_002041777.2|DSEC	LOC115630085|XP_030382572.1|SLEB
OG0000042	LOC6609765|XP_002034419.1|DSEC, LOC6609768|XP_002034422.2|DSEC, LOC6609766|XP_032571746.1|DSEC, LOC6609767|XP_032571748.1|DSEC, LOC116800694|XP_032572982.1|DSEC	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	LOC6606882|XP_002031676.2|DSEC	LOC115623987|XP_030374418.1|SLEB
OG0000043	LOC6606880|XP_002031674.2|DSEC	LOC115623491|XP_030373724.1|SLEB
OG0000043	LOC6606881|XP_032578763.1|DSEC	LOC115623337|XP_030373467.1|SLEB
OG0000043	LOC6606886|XP_002031680.1|DSEC	LOC115623816|XP_030374219.1|SLEB
OG0000043	LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC	LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC6619712|XP_032578272.1|DSEC	LOC115624024|XP_030374460.1|SLEB
OG0000044	LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC	LOC115623538|XP_030373780.1|SLEB
OG0000044	LOC6619713|XP_032578123.1|DSEC, LOC6619715|XP_002043930.1|DSEC, LOC6619714|XP_002043929.1|DSEC	LOC115631500|XP_030384120.1|SLEB
OG0000045	LOC6605191|XP_002030030.1|DSEC	LOC115632695|XP_030385792.1|SLEB
OG0000045	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC	LOC115632698|XP_030385795.1|SLEB
OG0000045	LOC6611095|XP_002035652.1|DSEC	LOC115632700|XP_030385796.1|SLEB
OG0000045	LOC6611094|XP_002035651.1|DSEC	LOC115632701|XP_030385797.1|SLEB
OG0000046	LOC6620032|XP_032578694.1|DSEC, LOC6615012|XP_002039429.1|DSEC, LOC6615013|XP_002039430.2|DSEC, LOC6615011|XP_032581038.1|DSEC, LOC6607592|XP_032578892.1|DSEC, LOC6618806|XP_002043055.1|DSEC, LOC6607590|XP_002032359.1|DSEC, LOC6608938|XP_002033652.1|DSEC	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB
OG0000047	LOC6609458|XP_002034143.1|DSEC	LOC115631261|XP_030383836.1|SLEB
OG0000047	LOC6609455|XP_002034140.1|DSEC	LOC115632503|XP_030385556.1|SLEB
OG0000047	LOC6609036|XP_032573031.1|DSEC	LOC115626702|XP_030377994.1|SLEB
OG0000047	LOC6609046|XP_032572064.1|DSEC, LOC6605159|XP_002029998.2|DSEC	LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC6605929|XP_002030742.1|DSEC, LOC6605928|XP_002030741.1|DSEC	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	LOC6605923|XP_002030736.1|DSEC	LOC115632620|XP_030385708.1|SLEB
OG0000048	LOC6605926|XP_002030739.1|DSEC	LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC6616787|XP_002041124.1|DSEC	LOC115631187|XP_030383738.1|SLEB
OG0000049	LOC6616784|XP_002041121.1|DSEC	LOC115625471|XP_030376380.1|SLEB
OG0000049	LOC6616788|XP_002041125.1|DSEC	LOC115625469|XP_030376378.1|SLEB
OG0000049	LOC6616790|XP_032578183.1|DSEC	LOC115625467|XP_030376376.1|SLEB
OG0000049	LOC6616789|XP_002041126.1|DSEC	LOC115625232|XP_030376077.1|SLEB
OG0000049	LOC6616783|XP_002041120.1|DSEC	LOC115621014|XP_030370394.1|SLEB
OG0000050	LOC6616570|XP_002040929.1|DSEC	LOC115632844|XP_030385961.1|SLEB
OG0000050	LOC116800887|XP_032573137.1|DSEC	LOC115632845|XP_030385962.1|SLEB
OG0000050	LOC6616572|XP_002040931.1|DSEC	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB
OG0000051	LOC6607242|XP_032578378.1|DSEC	LOC115624036|XP_030374474.1|SLEB
OG0000051	LOC6606627|XP_002031428.1|DSEC	LOC115620987|XP_030370367.1|SLEB
OG0000052	LOC6607024|XP_002031813.1|DSEC, LOC6607642|XP_002032407.1|DSEC, LOC6607025|XP_002031814.1|DSEC, LOC6607026|XP_002031815.1|DSEC, LOC6607022|XP_002031811.2|DSEC, LOC6607023|XP_002031812.1|DSEC	LOC115621355|XP_030370842.1|SLEB
OG0000052	LOC6609846|XP_002034498.1|DSEC, LOC6609845|XP_002034497.1|DSEC	LOC115621366|XP_030370854.1|SLEB
OG0000053	LOC6608189|XP_002032934.2|DSEC, LOC6608187|XP_002032932.1|DSEC	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB
OG0000053	LOC6608186|XP_002032931.2|DSEC	LOC115634038|XP_030387442.1|SLEB
OG0000053	LOC6608184|XP_002032929.1|DSEC	LOC115634037|XP_030387441.1|SLEB
OG0000053	LOC6608180|XP_002032925.1|DSEC	LOC115634626|XP_030388341.1|SLEB
OG0000054	LOC6606233|XP_002031041.1|DSEC	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB
OG0000054	LOC6606232|XP_002031040.1|DSEC	LOC115623633|XP_030373934.1|SLEB
OG0000054	LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC	LOC115624033|XP_030374471.1|SLEB
OG0000056	LOC6607531|XP_002032300.1|DSEC	LOC115626734|XP_030378039.1|SLEB
OG0000056	LOC6607532|XP_002032301.1|DSEC, LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC	LOC115626727|XP_030378033.1|SLEB
OG0000056	LOC6606941|XP_002031735.1|DSEC, LOC6606940|XP_002031734.1|DSEC	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB
OG0000058	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC, LOC6613603|XP_002038073.1|DSEC	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB
OG0000058	LOC6612350|XP_002036859.1|DSEC	LOC115629610|XP_030381967.1|SLEB
OG0000059	LOC6617066|XP_002041394.1|DSEC	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB
OG0000059	LOC6617065|XP_002041393.1|DSEC	LOC115621386|XP_030370879.1|SLEB
OG0000059	LOC6617058|XP_002041386.1|DSEC	LOC115620757|XP_030370013.1|SLEB
OG0000060	LOC6618583|XP_002042842.1|DSEC	LOC115629929|XP_030382393.1|SLEB
OG0000060	LOC6614500|XP_002038933.1|DSEC	LOC115630565|XP_030383041.1|SLEB
OG0000060	LOC6613944|XP_032578849.1|DSEC	LOC115623364|XP_030373510.1|SLEB
OG0000060	LOC6612941|XP_032579191.1|DSEC	LOC115620624|XP_030369812.1|SLEB
OG0000060	LOC6618552|XP_002042809.1|DSEC	LOC115629360|XP_030381672.1|SLEB
OG0000060	LOC6613126|XP_002037607.1|DSEC	LOC115630767|XP_030383283.1|SLEB
OG0000061	LOC6611375|XP_002035920.1|DSEC	LOC115631729|XP_030384426.1|SLEB
OG0000061	LOC6611377|XP_032583318.1|DSEC	LOC115631701|XP_030384388.1|SLEB
OG0000062	LOC6619830|XP_032581369.1|DSEC	LOC115627142|XP_030378579.1|SLEB
OG0000062	LOC6614677|XP_002039104.1|DSEC, LOC6613921|XP_002038386.1|DSEC, LOC6614678|XP_002039105.1|DSEC	LOC115626214|XP_030377370.1|SLEB, LOC115626016|XP_030377124.1|SLEB
OG0000063	LOC6616903|XP_002041237.1|DSEC, LOC6616904|XP_032577925.1|DSEC, LOC6616902|XP_002041236.1|DSEC	LOC115623704|XP_030374042.1|SLEB
OG0000063	LOC116800923|XP_032573468.1|DSEC	LOC115622384|XP_030372168.1|SLEB
OG0000063	LOC6605135|XP_002029976.1|DSEC	LOC115622972|XP_030372983.1|SLEB
OG0000063	LOC6605136|XP_002029977.1|DSEC, LOC6605137|XP_032573466.1|DSEC	LOC115622382|XP_030372165.1|SLEB, LOC115622982|XP_030372994.1|SLEB, LOC115622183|XP_030371934.1|SLEB, LOC115622843|XP_030372783.1|SLEB
