Orthogroup	DSEC.longest_only	CQUI.longest_only
OG0000012	LOC6609925|XP_002034575.2|DSEC, LOC6609924|XP_002034574.2|DSEC, LOC6609923|XP_032571611.1|DSEC, LOC6609926|XP_002034576.1|DSEC, LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC, LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC, LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC6606578|XP_002031379.1|DSEC	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC6607674|XP_002032439.2|DSEC, LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC	LOC6047923|XP_001864910.2|CQUI
OG0000016	LOC6606525|XP_002031326.2|DSEC, LOC6615268|XP_002039673.2|DSEC	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC6606623|XP_002031424.1|DSEC	LOC6032259|XP_001842896.1|CQUI
OG0000016	LOC6612339|XP_002036849.1|DSEC	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC6616531|XP_002040890.1|DSEC	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC6610980|XP_002035537.1|DSEC	LOC6049793|XP_038119134.1|CQUI
OG0000019	LOC6617118|XP_002041445.1|DSEC, LOC6617116|XP_002041443.2|DSEC, LOC6617117|XP_002041444.1|DSEC, LOC6617113|XP_002041440.2|DSEC, LOC6617114|XP_002041441.1|DSEC, LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC116801805|XP_032579403.1|DSEC, LOC6615344|XP_002039742.1|DSEC	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC, LOC6619030|XP_032578205.1|DSEC, LOC6606811|XP_002031608.2|DSEC, LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC	LOC6036302|XP_038116279.1|CQUI
OG0000021	LOC6617550|XP_032580648.1|DSEC	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC6607757|XP_002032520.1|DSEC, LOC6606667|XP_002031467.1|DSEC, LOC6620369|XP_002044577.1|DSEC	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC6609401|XP_002034086.1|DSEC, LOC6610269|XP_002034864.1|DSEC, LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC, LOC116801300|XP_032575946.1|DSEC	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC6614266|XP_002038706.1|DSEC, LOC6614270|XP_002038710.2|DSEC, LOC6614272|XP_002038712.1|DSEC, LOC6615538|XP_002039917.1|DSEC, LOC6614271|XP_032578446.1|DSEC, LOC6614265|XP_002038705.1|DSEC, LOC6614261|XP_032579066.1|DSEC, LOC6614263|XP_002038703.1|DSEC, LOC6614259|XP_032579064.1|DSEC	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI
OG0000024	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC, LOC6608651|XP_032573063.1|DSEC, LOC6618118|XP_002042417.2|DSEC, LOC6608649|XP_032571742.1|DSEC, LOC6609002|XP_002033708.1|DSEC	LOC6034201|XP_001844555.2|CQUI
OG0000025	LOC6613440|XP_002037914.1|DSEC	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000026	LOC6619909|XP_002044121.1|DSEC, LOC6614041|XP_002038495.1|DSEC, LOC6620024|XP_002044237.2|DSEC	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI
OG0000027	LOC6611562|XP_002036100.1|DSEC, LOC6611565|XP_002036103.2|DSEC, LOC6611563|XP_002036101.1|DSEC	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI
OG0000028	LOC116801287|XP_032575822.1|DSEC, LOC116801288|XP_032575823.1|DSEC, LOC6619350|XP_032575819.1|DSEC, LOC116801283|XP_032575818.1|DSEC, LOC116800996|XP_032573943.1|DSEC, LOC116801284|XP_032575821.1|DSEC, LOC6619351|XP_032575820.1|DSEC, LOC6605908|XP_002030721.1|DSEC	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI
OG0000029	LOC6606884|XP_002031678.1|DSEC, LOC6608399|XP_002033133.1|DSEC, LOC6609830|XP_002034482.1|DSEC, LOC6611703|XP_002036237.1|DSEC, LOC6607309|XP_002032088.1|DSEC, LOC6618299|XP_002042572.1|DSEC	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI
OG0000031	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC, LOC116803563|XP_032583263.1|DSEC, LOC6610715|XP_032575982.1|DSEC, LOC6613163|XP_002037644.1|DSEC, LOC6608128|XP_002032876.2|DSEC	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI
OG0000032	LOC6606692|XP_002031492.2|DSEC, LOC6606694|XP_002031494.1|DSEC, LOC6606686|XP_002031486.2|DSEC, LOC6606689|XP_002031489.2|DSEC, LOC6606693|XP_002031493.1|DSEC, LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI
OG0000034	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC, LOC6614429|XP_032583720.1|DSEC, LOC6614430|XP_002038863.1|DSEC, LOC6618128|XP_032583108.1|DSEC, LOC6613602|XP_002038072.1|DSEC	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI
OG0000036	LOC6614280|XP_002038720.1|DSEC	LOC6035433|XP_001845622.2|CQUI
OG0000037	LOC6609848|XP_002034500.1|DSEC, LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI
OG0000038	LOC6619358|XP_002043575.1|DSEC	LOC6034620|XP_001844912.2|CQUI
OG0000038	LOC6619360|XP_032575071.1|DSEC	LOC6047259|XP_001864341.2|CQUI
OG0000039	LOC6614108|XP_032577608.1|DSEC	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI
OG0000041	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI
OG0000043	LOC6606882|XP_002031676.2|DSEC, LOC6606880|XP_002031674.2|DSEC, LOC6606881|XP_032578763.1|DSEC, LOC6606886|XP_002031680.1|DSEC, LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI
OG0000044	LOC6619712|XP_032578272.1|DSEC, LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC, LOC6619713|XP_032578123.1|DSEC, LOC6619715|XP_002043930.1|DSEC, LOC6619714|XP_002043929.1|DSEC	LOC6043407|XP_038120989.1|CQUI
OG0000047	LOC6609458|XP_002034143.1|DSEC, LOC6609455|XP_002034140.1|DSEC, LOC6609036|XP_032573031.1|DSEC, LOC6605158|XP_002029997.1|DSEC, LOC6609046|XP_032572064.1|DSEC, LOC6605159|XP_002029998.2|DSEC	LOC6034913|XP_001845179.1|CQUI
OG0000048	LOC6605924|XP_002030737.1|DSEC, LOC6605925|XP_002030738.1|DSEC, LOC6605923|XP_002030736.1|DSEC, LOC6605926|XP_002030739.1|DSEC	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI
OG0000049	LOC6616787|XP_002041124.1|DSEC, LOC6616784|XP_002041121.1|DSEC, LOC6616788|XP_002041125.1|DSEC, LOC6616790|XP_032578183.1|DSEC, LOC6616789|XP_002041126.1|DSEC, LOC6616783|XP_002041120.1|DSEC	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI
OG0000051	LOC6607242|XP_032578378.1|DSEC, LOC6606627|XP_002031428.1|DSEC, LOC6606391|XP_002031196.1|DSEC, LOC6606710|XP_002031509.1|DSEC, LOC6606709|XP_002031508.1|DSEC	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI
OG0000053	LOC6608189|XP_002032934.2|DSEC, LOC6608187|XP_002032932.1|DSEC, LOC6608186|XP_002032931.2|DSEC	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI
OG0000054	LOC6606233|XP_002031041.1|DSEC, LOC6606232|XP_002031040.1|DSEC, LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI
OG0000055	LOC6612847|XP_002037341.1|DSEC, LOC6612845|XP_002037339.1|DSEC, LOC6612846|XP_002037340.1|DSEC, LOC116801473|XP_032577167.1|DSEC	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI
OG0000056	LOC6607531|XP_002032300.1|DSEC, LOC6607532|XP_002032301.1|DSEC, LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC, LOC6606941|XP_002031735.1|DSEC, LOC6606940|XP_002031734.1|DSEC	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI
OG0000058	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC, LOC6613603|XP_002038073.1|DSEC, LOC6612350|XP_002036859.1|DSEC	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI
OG0000060	LOC6618583|XP_002042842.1|DSEC	LOC6052719|XP_038111213.1|CQUI
OG0000060	LOC6612941|XP_032579191.1|DSEC	LOC6034874|XP_038108204.1|CQUI
OG0000061	LOC6611375|XP_002035920.1|DSEC, LOC6611382|XP_002035927.1|DSEC, LOC6611377|XP_032583318.1|DSEC, LOC6611378|XP_002035923.2|DSEC	LOC6034209|XP_001844562.2|CQUI
OG0000067	LOC6620079|XP_002044291.1|DSEC, LOC6610892|XP_002035455.1|DSEC	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI
OG0000067	LOC6616446|XP_002040807.1|DSEC	LOC6032826|XP_038121454.1|CQUI
OG0000068	LOC6606120|XP_032575928.1|DSEC, LOC6620399|XP_032576530.1|DSEC, LOC6606128|XP_032573930.1|DSEC, LOC6610046|XP_002034662.2|DSEC, LOC6615215|XP_032581888.1|DSEC	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI
OG0000070	LOC6613612|XP_002038082.1|DSEC, LOC6615903|XP_002040271.1|DSEC, LOC6613611|XP_002038081.1|DSEC, LOC6614825|XP_002039244.1|DSEC	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI
OG0000071	LOC6605331|XP_002030168.2|DSEC	LOC119766520|XP_038107045.1|CQUI
OG0000071	LOC6605584|XP_032575054.1|DSEC, LOC6605583|XP_002030402.2|DSEC, LOC6605585|XP_002030404.1|DSEC	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI
OG0000072	LOC6609446|XP_002034131.1|DSEC, LOC6609453|XP_002034138.1|DSEC, LOC6609448|XP_032571731.1|DSEC	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI
OG0000073	LOC6609744|XP_002034398.2|DSEC	LOC6036627|XP_001846655.1|CQUI
OG0000073	LOC6616009|XP_032581764.1|DSEC	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI
OG0000074	LOC6610960|XP_002035517.1|DSEC, LOC6606103|XP_002030912.1|DSEC	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI
OG0000076	LOC6610804|XP_032574471.1|DSEC	LOC6052885|XP_038117932.1|CQUI
OG0000076	LOC6614957|XP_002039374.1|DSEC	LOC119770103|XP_038120268.1|CQUI
OG0000077	LOC6609946|XP_002034592.1|DSEC	LOC6034293|XP_038107616.1|CQUI
OG0000077	LOC6607116|XP_002031904.1|DSEC	LOC119766730|XP_038108150.1|CQUI
OG0000077	LOC6618789|XP_002043039.2|DSEC	LOC6034296|XP_038108770.1|CQUI
OG0000077	LOC6618743|XP_032576637.1|DSEC	LOC6035184|XP_038117374.1|CQUI
OG0000078	LOC6609985|XP_032572329.1|DSEC, LOC6616471|XP_032574945.1|DSEC, LOC6614250|XP_032578587.1|DSEC, LOC6615175|XP_002039591.1|DSEC, LOC6618086|XP_002042384.1|DSEC	LOC6049605|XP_038114648.1|CQUI
OG0000080	LOC6609553|XP_032570859.1|DSEC, LOC6609476|XP_002034161.1|DSEC	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI
OG0000082	LOC6615566|XP_002039940.2|DSEC, LOC6606452|XP_002031255.1|DSEC	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI
OG0000083	LOC116800215|XP_032569927.1|DSEC, LOC6611746|XP_002036269.1|DSEC, LOC6611745|XP_032583492.1|DSEC, LOC6611743|XP_032583597.1|DSEC, LOC6611744|XP_032583168.1|DSEC, LOC6612009|XP_032569925.1|DSEC	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI
OG0000084	LOC6609841|XP_002034493.1|DSEC	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI
OG0000084	LOC6609358|XP_002034047.1|DSEC	LOC6044981|XP_001862405.1|CQUI, LOC6050126|XP_038105300.1|CQUI, LOC6044985|XP_001862409.2|CQUI, LOC6044987|XP_038112285.1|CQUI, LOC6046173|XP_001863404.2|CQUI, LOC6044988|XP_001862412.2|CQUI, LOC6044990|XP_038121275.1|CQUI, LOC6044989|XP_001862413.2|CQUI, LOC6044991|XP_038112291.1|CQUI, LOC6035601|XP_001845751.2|CQUI
OG0000085	LOC6608029|XP_032572862.1|DSEC	LOC6043704|XP_001861330.2|CQUI
OG0000086	LOC6609922|XP_002034572.1|DSEC	LOC6046855|XP_001863974.2|CQUI
OG0000087	LOC6611885|XP_002036403.2|DSEC	LOC6046704|XP_001863865.2|CQUI, LOC6046705|XP_001863866.1|CQUI, LOC6046699|XP_038111910.1|CQUI, LOC6046707|XP_001863868.2|CQUI, LOC6046702|XP_001863863.2|CQUI, LOC6046700|XP_001863862.1|CQUI, LOC6046706|XP_001863867.2|CQUI
OG0000087	LOC6611274|XP_002035829.1|DSEC, LOC6611909|XP_002036426.1|DSEC	LOC6046726|XP_001863885.1|CQUI, LOC6046725|XP_001863884.1|CQUI
OG0000088	LOC6607857|XP_032572237.1|DSEC	LOC6043654|XP_038106206.1|CQUI
OG0000088	LOC6612055|XP_002036572.1|DSEC, LOC6605272|XP_002030110.1|DSEC, LOC6609520|XP_002034204.1|DSEC, LOC6605273|XP_002030111.1|DSEC	LOC119768033|XP_038114253.1|CQUI
OG0000089	LOC6614195|XP_002038642.1|DSEC, LOC6614269|XP_002038709.1|DSEC	LOC6051513|XP_001867948.1|CQUI
OG0000089	LOC6607057|XP_002031845.1|DSEC	LOC6044343|XP_001861873.1|CQUI
OG0000089	LOC6605081|XP_002029922.1|DSEC	LOC6036223|XP_001846298.2|CQUI, LOC6036139|XP_038118377.1|CQUI
OG0000090	LOC6608382|XP_002033118.1|DSEC, LOC6608386|XP_032571023.1|DSEC, LOC6610773|XP_002035339.1|DSEC, LOC6610282|XP_032573795.1|DSEC	LOC6048426|XP_038107457.1|CQUI, LOC6048423|XP_038106295.1|CQUI
OG0000091	LOC6612658|XP_032576233.1|DSEC	LOC6037334|XP_038105758.1|CQUI
OG0000091	LOC6612181|XP_032580799.1|DSEC, LOC6613760|XP_032578418.1|DSEC, LOC116801651|XP_032578417.1|DSEC	LOC6034718|XP_038115256.1|CQUI
OG0000093	LOC6611634|XP_002036170.1|DSEC	LOC6032151|XP_001842804.1|CQUI, LOC6039544|XP_001849142.2|CQUI
OG0000094	LOC6605148|XP_002029989.1|DSEC, LOC6614059|XP_002038513.1|DSEC	LOC6036946|XP_038120531.1|CQUI, LOC6036948|XP_038120528.1|CQUI, LOC6052036|XP_038120533.1|CQUI, LOC119768838|XP_038116183.1|CQUI, LOC6054728|XP_001870597.2|CQUI, LOC6052393|XP_001868672.1|CQUI, LOC6052389|XP_001868673.2|CQUI, LOC6036596|XP_038120440.1|CQUI, LOC6036597|XP_001846629.2|CQUI, LOC6046778|XP_001863915.2|CQUI, LOC6053269|XP_038104508.1|CQUI, LOC6053270|XP_001869386.2|CQUI, LOC6038134|XP_001847967.2|CQUI, LOC6039930|XP_001849428.2|CQUI
