Orthogroup	DSEC.longest_only	DNOV.longest_only
OG0000013	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000015	LOC6614679|XP_002039106.1|DSEC	LOC115763530|XP_030562001.1|DNOV
OG0000016	LOC6606525|XP_002031326.2|DSEC	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC6615268|XP_002039673.2|DSEC	LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC6606623|XP_002031424.1|DSEC	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC6609492|XP_032572820.1|DSEC	LOC115764479|XP_030563416.1|DNOV
OG0000016	LOC6612339|XP_002036849.1|DSEC	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC6619144|XP_002043384.1|DSEC	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC6606248|XP_002031056.2|DSEC	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC6616531|XP_002040890.1|DSEC	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC6619131|XP_002043371.1|DSEC	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	LOC6618718|XP_002042977.1|DSEC	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	LOC6615716|XP_032571357.1|DSEC	LOC115760654|XP_030557981.1|DNOV
OG0000017	LOC6619133|XP_002043373.1|DSEC	LOC115762485|XP_030560583.1|DNOV
OG0000017	LOC6617387|XP_032577559.1|DSEC	LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC6610980|XP_002035537.1|DSEC	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC6610983|XP_002035540.1|DSEC	LOC115762718|XP_030560904.1|DNOV
OG0000018	LOC6621634|XP_002045742.2|DSEC	LOC115762873|XP_030561108.1|DNOV
OG0000019	LOC6617118|XP_002041445.1|DSEC	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV
OG0000019	LOC6617113|XP_002041440.2|DSEC	LOC115771639|XP_030573299.1|DNOV
OG0000019	LOC6617114|XP_002041441.1|DSEC	LOC115771840|XP_030573582.1|DNOV
OG0000019	LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC	LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC116801805|XP_032579403.1|DSEC	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC6615344|XP_002039742.1|DSEC	LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC6619030|XP_032578205.1|DSEC	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000020	LOC6606811|XP_002031608.2|DSEC	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV
OG0000020	LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC	LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC6613204|XP_002037684.1|DSEC	LOC115762362|XP_030560400.1|DNOV
OG0000021	LOC116803465|XP_032583061.1|DSEC	LOC115768250|XP_030568679.1|DNOV
OG0000021	LOC6615454|XP_002039834.1|DSEC	LOC115763104|XP_030561408.1|DNOV
OG0000021	LOC6615468|XP_002039848.1|DSEC	LOC115764505|XP_030563459.1|DNOV
OG0000021	LOC6609714|XP_002034371.1|DSEC	LOC115772083|XP_030573900.1|DNOV
OG0000021	LOC116803406|XP_032583029.1|DSEC	LOC115762372|XP_030560413.1|DNOV
OG0000021	LOC6617550|XP_032580648.1|DSEC	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC6607757|XP_002032520.1|DSEC	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC6606667|XP_002031467.1|DSEC	LOC115771758|XP_030573467.1|DNOV
OG0000021	LOC6620369|XP_002044577.1|DSEC	LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC6609401|XP_002034086.1|DSEC	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000022	LOC116801300|XP_032575946.1|DSEC	LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC6614266|XP_002038706.1|DSEC	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV
OG0000023	LOC6614270|XP_002038710.2|DSEC	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV
OG0000023	LOC6614272|XP_002038712.1|DSEC	LOC115761263|XP_030558837.1|DNOV
OG0000023	LOC6615538|XP_002039917.1|DSEC	LOC115761778|XP_030559575.1|DNOV
OG0000023	LOC6614271|XP_032578446.1|DSEC	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC6614265|XP_002038705.1|DSEC	LOC115761262|XP_030558836.1|DNOV
OG0000023	LOC6614261|XP_032579066.1|DSEC	LOC115761326|XP_030558919.1|DNOV
OG0000023	LOC6614263|XP_002038703.1|DSEC	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC6614259|XP_032579064.1|DSEC	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV
OG0000024	LOC6618118|XP_002042417.2|DSEC	LOC115763072|XP_030561360.1|DNOV
OG0000024	LOC6608649|XP_032571742.1|DSEC	LOC115758183|XP_030554583.1|DNOV
OG0000024	LOC6609002|XP_002033708.1|DSEC	LOC115764549|XP_030563528.1|DNOV
OG0000025	LOC6619774|XP_032582021.1|DSEC, LOC6613440|XP_002037914.1|DSEC	LOC115758436|XP_030554952.1|DNOV
OG0000026	LOC6617640|XP_002041953.1|DSEC	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC6613582|XP_002038050.1|DSEC	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC6620024|XP_002044237.2|DSEC	LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC6611562|XP_002036100.1|DSEC	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC6611563|XP_002036101.1|DSEC	LOC115765940|XP_030565545.1|DNOV
OG0000029	LOC6607309|XP_002032088.1|DSEC	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV
OG0000029	LOC6618299|XP_002042572.1|DSEC	LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC6617677|XP_032583255.1|DSEC	LOC115760078|XP_030557121.1|DNOV
OG0000030	LOC6613129|XP_002037610.2|DSEC	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC6615712|XP_002040083.1|DSEC	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC6616124|XP_002040489.1|DSEC	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC6615087|XP_032581969.1|DSEC	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC6611956|XP_002036473.1|DSEC	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC6606692|XP_002031492.2|DSEC	LOC115771909|XP_030573659.1|DNOV
OG0000032	LOC6606686|XP_002031486.2|DSEC, LOC6606689|XP_002031489.2|DSEC	LOC115771910|XP_030573660.1|DNOV
OG0000032	LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000033	LOC6618199|XP_032571400.1|DSEC, LOC6618200|XP_032577814.1|DSEC, LOC6618198|XP_002042473.1|DSEC, LOC6607913|XP_002032667.1|DSEC, LOC6607912|XP_002032666.2|DSEC	LOC115762530|XP_030560671.1|DNOV
OG0000033	LOC6607918|XP_002032668.1|DSEC	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV
OG0000034	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC	LOC115758611|XP_030555202.1|DNOV
OG0000034	LOC6614429|XP_032583720.1|DSEC	LOC115759087|XP_030555781.1|DNOV
OG0000034	LOC6614430|XP_002038863.1|DSEC	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV
OG0000034	LOC6613602|XP_002038072.1|DSEC	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC6614280|XP_002038720.1|DSEC	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC6606280|XP_032578992.1|DSEC	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC6613804|XP_032577945.1|DSEC	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC6607601|XP_002032369.2|DSEC	LOC115772100|XP_030573922.1|DNOV
OG0000037	LOC6609848|XP_002034500.1|DSEC	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC	LOC115761932|XP_030559822.1|DNOV
OG0000038	LOC6619358|XP_002043575.1|DSEC	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC6619360|XP_032575071.1|DSEC	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC6614108|XP_032577608.1|DSEC	LOC115764701|XP_030563759.1|DNOV
OG0000039	LOC6619553|XP_002043768.1|DSEC	LOC115766337|XP_030566090.1|DNOV
OG0000039	LOC6619552|XP_002043767.1|DSEC	LOC115767237|XP_030567298.1|DNOV
OG0000039	LOC6617545|XP_032581966.1|DSEC	LOC115766288|XP_030566016.1|DNOV
OG0000040	LOC6616682|XP_002041037.1|DSEC, LOC6606863|XP_002031657.1|DSEC	LOC115764750|XP_030563834.1|DNOV
OG0000040	LOC6606864|XP_002031658.1|DSEC	LOC115764751|XP_030563835.1|DNOV
OG0000040	LOC6616681|XP_002041036.1|DSEC, LOC6616680|XP_002041035.2|DSEC	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV
OG0000040	LOC6616678|XP_002041033.1|DSEC	LOC115764684|XP_030563733.1|DNOV
OG0000040	LOC6619507|XP_002043722.1|DSEC	LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000042	LOC6609765|XP_002034419.1|DSEC, LOC6609768|XP_002034422.2|DSEC, LOC6609766|XP_032571746.1|DSEC, LOC6609767|XP_032571748.1|DSEC, LOC116800694|XP_032572982.1|DSEC	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV
OG0000043	LOC6606880|XP_002031674.2|DSEC	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC6606886|XP_002031680.1|DSEC	LOC115770561|XP_030571734.1|DNOV
OG0000043	LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC	LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC6619712|XP_032578272.1|DSEC	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000045	LOC6605191|XP_002030030.1|DSEC	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC6611095|XP_002035652.1|DSEC	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC6611094|XP_002035651.1|DSEC	LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC6615012|XP_002039429.1|DSEC, LOC6615013|XP_002039430.2|DSEC	LOC115768148|XP_030568502.1|DNOV
OG0000046	LOC6615011|XP_032581038.1|DSEC, LOC6607592|XP_032578892.1|DSEC, LOC6618806|XP_002043055.1|DSEC, LOC6607590|XP_002032359.1|DSEC, LOC6608938|XP_002033652.1|DSEC	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC6609455|XP_002034140.1|DSEC	LOC115760745|XP_030558082.1|DNOV
OG0000047	LOC6609036|XP_032573031.1|DSEC	LOC115757956|XP_030554291.1|DNOV
OG0000047	LOC6609046|XP_032572064.1|DSEC	LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC6605929|XP_002030742.1|DSEC, LOC6605928|XP_002030741.1|DSEC	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC6605924|XP_002030737.1|DSEC, LOC6605925|XP_002030738.1|DSEC	LOC115762848|XP_030561084.1|DNOV
OG0000048	LOC6605923|XP_002030736.1|DSEC	LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC6605926|XP_002030739.1|DSEC	LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC6616787|XP_002041124.1|DSEC	LOC115761547|XP_030559189.1|DNOV
OG0000049	LOC6616784|XP_002041121.1|DSEC	LOC115761542|XP_030559185.1|DNOV
OG0000049	LOC6616788|XP_002041125.1|DSEC	LOC115761399|XP_030559017.1|DNOV
OG0000049	LOC6616789|XP_002041126.1|DSEC	LOC115761457|XP_030559084.1|DNOV
OG0000049	LOC6616783|XP_002041120.1|DSEC	LOC115761552|XP_030559195.1|DNOV
OG0000050	LOC6608707|XP_002033431.1|DSEC	LOC115758280|XP_030554702.1|DNOV
OG0000050	LOC6616571|XP_032575631.1|DSEC	LOC115770327|XP_030571425.1|DNOV
OG0000050	LOC6616570|XP_002040929.1|DSEC	LOC115770328|XP_030571426.1|DNOV
OG0000050	LOC116800887|XP_032573137.1|DSEC	LOC115770326|XP_030571424.1|DNOV
OG0000050	LOC6616572|XP_002040931.1|DSEC	LOC115770322|XP_030571419.1|DNOV
OG0000051	LOC6607242|XP_032578378.1|DSEC	LOC115763752|XP_030562324.1|DNOV
OG0000051	LOC6606627|XP_002031428.1|DSEC	LOC115761373|XP_030558983.1|DNOV
OG0000052	LOC6607024|XP_002031813.1|DSEC, LOC6607642|XP_002032407.1|DSEC, LOC6607025|XP_002031814.1|DSEC, LOC6607026|XP_002031815.1|DSEC, LOC6607022|XP_002031811.2|DSEC, LOC6607023|XP_002031812.1|DSEC	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV
OG0000052	LOC6609846|XP_002034498.1|DSEC	LOC115771518|XP_030573117.1|DNOV
OG0000052	LOC6609845|XP_002034497.1|DSEC	LOC115771510|XP_030573105.1|DNOV
OG0000053	LOC6608189|XP_002032934.2|DSEC	LOC115771927|XP_030573689.1|DNOV
OG0000053	LOC6608187|XP_002032932.1|DSEC	LOC115771866|XP_030573609.1|DNOV
OG0000053	LOC6608186|XP_002032931.2|DSEC	LOC115771921|XP_030573679.1|DNOV
OG0000053	LOC6608184|XP_002032929.1|DSEC	LOC115771855|XP_030573599.1|DNOV
OG0000053	LOC6608180|XP_002032925.1|DSEC	LOC115771936|XP_030573699.1|DNOV
OG0000054	LOC6606233|XP_002031041.1|DSEC	LOC115766043|XP_030565674.1|DNOV
OG0000054	LOC6606232|XP_002031040.1|DSEC	LOC115770765|XP_030572036.1|DNOV
OG0000054	LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC	LOC115766097|XP_030565772.1|DNOV
OG0000055	LOC6612845|XP_002037339.1|DSEC	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV
OG0000055	LOC116801473|XP_032577167.1|DSEC	LOC115761644|XP_030559338.1|DNOV
OG0000056	LOC6607531|XP_002032300.1|DSEC	LOC115764820|XP_030563929.1|DNOV
OG0000056	LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC	LOC115764821|XP_030563930.1|DNOV
OG0000058	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC	LOC115758934|XP_030555595.1|DNOV
OG0000058	LOC6613603|XP_002038073.1|DSEC	LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV
OG0000058	LOC6612350|XP_002036859.1|DSEC	LOC115766835|XP_030566732.1|DNOV
OG0000059	LOC6617066|XP_002041394.1|DSEC	LOC115764095|XP_030562808.1|DNOV
OG0000059	LOC6617064|XP_002041392.1|DSEC, LOC6617063|XP_002041391.1|DSEC	LOC115764107|XP_030562822.1|DNOV
OG0000059	LOC6617065|XP_002041393.1|DSEC	LOC115764042|XP_030562742.1|DNOV
OG0000059	LOC6617058|XP_002041386.1|DSEC	LOC115764028|XP_030562719.1|DNOV, LOC115764210|XP_030562960.1|DNOV, LOC115764024|XP_030562715.1|DNOV
OG0000060	LOC6618583|XP_002042842.1|DSEC	LOC115768521|XP_030568971.1|DNOV
OG0000060	LOC6614500|XP_002038933.1|DSEC	LOC115760275|XP_030557406.1|DNOV
OG0000060	LOC6613944|XP_032578849.1|DSEC	LOC115767943|XP_030568181.1|DNOV
OG0000060	LOC6612941|XP_032579191.1|DSEC	LOC115765029|XP_030564252.1|DNOV
OG0000060	LOC6618552|XP_002042809.1|DSEC	LOC115767352|XP_030567464.1|DNOV
OG0000060	LOC6613126|XP_002037607.1|DSEC	LOC115759170|XP_030555902.1|DNOV
OG0000061	LOC6611375|XP_002035920.1|DSEC	LOC115763134|XP_030561437.1|DNOV
OG0000061	LOC6611382|XP_002035927.1|DSEC	LOC115763110|XP_030561414.1|DNOV, LOC115763055|XP_030561340.1|DNOV
OG0000061	LOC6611377|XP_032583318.1|DSEC	LOC115763160|XP_030561472.1|DNOV
OG0000061	LOC6611378|XP_002035923.2|DSEC	LOC115763156|XP_030561467.1|DNOV
OG0000062	LOC6619830|XP_032581369.1|DSEC	LOC115766456|XP_030566248.1|DNOV
OG0000062	LOC6614677|XP_002039104.1|DSEC, LOC6613921|XP_002038386.1|DSEC, LOC6614678|XP_002039105.1|DSEC	LOC115763354|XP_030561739.1|DNOV
OG0000063	LOC6616903|XP_002041237.1|DSEC, LOC6616904|XP_032577925.1|DSEC, LOC6616902|XP_002041236.1|DSEC	LOC115770680|XP_030571925.1|DNOV, LOC115770681|XP_030571926.1|DNOV
