Orthogroup	DHYD.longest_only	DSAN.longest_only
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC120458775|XP_039502488.1|DSAN
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC120457954|XP_039501393.1|DSAN, LOC120445992|XP_039482658.1|DSAN, LOC120446202|XP_039482985.1|DSAN, LOC120457948|XP_039501388.1|DSAN, LOC120457682|XP_039501106.1|DSAN, LOC120457956|XP_039501395.1|DSAN, LOC120457950|XP_039501390.1|DSAN, LOC120457673|XP_039501099.1|DSAN, LOC120457947|XP_039501387.1|DSAN, LOC120457955|XP_039501394.1|DSAN, LOC120457951|XP_039501391.1|DSAN, LOC120457946|XP_039501386.1|DSAN, LOC120457671|XP_039501098.1|DSAN, LOC120457952|XP_039501392.1|DSAN, LOC120457949|XP_039501389.1|DSAN, LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN
OG0000006	LOC115483213|XP_030080345.1|DHYD	LOC120457934|XP_039501374.1|DSAN
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC120457936|XP_039501377.1|DSAN, LOC120457670|XP_039501096.1|DSAN
OG0000006	LOC115483280|XP_030080483.1|DHYD	LOC120445991|XP_039482657.1|DSAN
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC120450299|XP_039489171.1|DSAN
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC120449593|XP_039488092.1|DSAN
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC120455948|XP_039498425.1|DSAN
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC120458508|XP_039502112.1|DSAN
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC120451092|XP_039490416.1|DSAN
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC120449655|XP_039488186.1|DSAN
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC120449654|XP_039488185.1|DSAN
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC120458586|XP_039502222.1|DSAN
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC120453056|XP_039493512.1|DSAN
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC120453871|XP_039494710.1|DSAN
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC120453053|XP_039493508.1|DSAN
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC120452274|XP_039492339.1|DSAN
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC120453887|XP_039494738.1|DSAN
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC120452846|XP_039493217.1|DSAN
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC120453968|XP_039494853.1|DSAN
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC120446532|XP_039483479.1|DSAN
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC120445192|XP_039481349.1|DSAN
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN
OG0000010	LOC115483192|XP_030080237.1|DHYD, LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD, LOC115483263|XP_030080468.1|DHYD	LOC120446204|XP_039482989.1|DSAN
OG0000010	LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD	LOC120457684|XP_039501107.1|DSAN
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC120452178|XP_039492220.1|DSAN
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC120445821|XP_039482372.1|DSAN
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC120445820|XP_039482371.1|DSAN
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC120446192|XP_039482973.1|DSAN
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC120446256|XP_039483062.1|DSAN
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC120444865|XP_039480765.1|DSAN
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC120444466|XP_039480072.1|DSAN
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC120456796|XP_039499752.1|DSAN
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC120450753|XP_039489810.1|DSAN
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC120447659|XP_039485107.1|DSAN
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC120450808|XP_039489911.1|DSAN
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC120452623|XP_039492863.1|DSAN
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC120446987|XP_039484221.1|DSAN
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC120451140|XP_039490495.1|DSAN
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC120444605|XP_039480314.1|DSAN
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC120454635|XP_039496058.1|DSAN
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC120445231|XP_039481423.1|DSAN
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC120457379|XP_039500852.1|DSAN
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC120444059|XP_039479503.1|DSAN
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC120450954|XP_039490174.1|DSAN
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC120450393|XP_039489322.1|DSAN
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC120453270|XP_039493835.1|DSAN
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	LOC120452471|XP_039492644.1|DSAN, LOC120452472|XP_039492645.1|DSAN
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC120445309|XP_039481553.1|DSAN
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC120454864|XP_039496354.1|DSAN
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC120454377|XP_039495551.1|DSAN
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC120448958|XP_039487148.1|DSAN
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC120447671|XP_039485130.1|DSAN
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	LOC120453199|XP_039493718.1|DSAN
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC120453194|XP_039493696.1|DSAN
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC120453200|XP_039493720.1|DSAN
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC120451285|XP_039490765.1|DSAN
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC120445014|XP_039481012.1|DSAN
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC120450860|XP_039490007.1|DSAN
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC120453863|XP_039494701.1|DSAN
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC120458794|XP_039502520.1|DSAN
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC120445641|XP_039482116.1|DSAN
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC120445227|XP_039481419.1|DSAN
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC120444372|XP_039479913.1|DSAN
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC120456405|XP_039499169.1|DSAN
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC120450748|XP_039489804.1|DSAN
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC120454061|XP_039495000.1|DSAN
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC120456471|XP_039499263.1|DSAN
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC120445477|XP_039481858.1|DSAN
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC120454388|XP_039495572.1|DSAN
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC120444959|XP_039480909.1|DSAN
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC120453781|XP_039494563.1|DSAN
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC120453806|XP_039494614.1|DSAN
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC120450927|XP_039490127.1|DSAN
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC120453011|XP_039493460.1|DSAN
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC120450929|XP_039490129.1|DSAN
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC120445293|XP_039481530.1|DSAN
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC120446616|XP_039483595.1|DSAN
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC120446257|XP_039483064.1|DSAN
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC120446965|XP_039484167.1|DSAN
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC120456451|XP_039499224.1|DSAN
OG0000025	LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD	LOC120457929|XP_039501366.1|DSAN
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC120456669|XP_039499542.1|DSAN
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC120458576|XP_039502209.1|DSAN
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC120453885|XP_039494736.1|DSAN
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC120458674|XP_039502344.1|DSAN
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC120458543|XP_039502157.1|DSAN
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC120458684|XP_039502355.1|DSAN
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC120447587|XP_039484989.1|DSAN
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC120452245|XP_039492306.1|DSAN
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC120448524|XP_039486496.1|DSAN
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC120458250|XP_039501773.1|DSAN
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC120458849|XP_039502609.1|DSAN
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC120445779|XP_039482317.1|DSAN
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC120455262|XP_039497197.1|DSAN
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC120456032|XP_039498536.1|DSAN
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC120446453|XP_039483382.1|DSAN, LOC120444733|XP_039480594.1|DSAN, LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN, LOC120443941|XP_039479322.1|DSAN
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC120456119|XP_039498683.1|DSAN
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC120451694|XP_039491522.1|DSAN
OG0000032	LOC111598628|XP_023169740.2|DHYD	LOC120453292|XP_039493855.1|DSAN
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC120453694|XP_039494449.1|DSAN, LOC120453066|XP_039493525.1|DSAN, LOC120451611|XP_039491379.1|DSAN
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC120445509|XP_039481901.1|DSAN, LOC120443742|XP_039478933.1|DSAN, LOC120443740|XP_039478930.1|DSAN
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC120443741|XP_039478932.1|DSAN
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC120447092|XP_039484432.1|DSAN
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC120458883|XP_039502653.1|DSAN
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC120453442|XP_039494083.1|DSAN
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC120450981|XP_039490212.1|DSAN
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC120452669|XP_039492941.1|DSAN
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC120445359|XP_039481651.1|DSAN
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC120447582|XP_039484984.1|DSAN
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC120448623|XP_039486674.1|DSAN
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC120453556|XP_039494243.1|DSAN
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC120456815|XP_039499797.1|DSAN
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC120456766|XP_039499698.1|DSAN
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC120455951|XP_039498428.1|DSAN
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC120453842|XP_039494671.1|DSAN, LOC120453227|XP_039493756.1|DSAN
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC120453230|XP_039493764.1|DSAN
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC120453844|XP_039494674.1|DSAN, LOC120453843|XP_039494672.1|DSAN
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC120453846|XP_039494677.1|DSAN
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC120454621|XP_039496023.1|DSAN
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC120446237|XP_039483042.1|DSAN, LOC120446238|XP_039483043.1|DSAN, LOC120446233|XP_039483037.1|DSAN, LOC120446235|XP_039483039.1|DSAN, LOC120446236|XP_039483040.1|DSAN
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC120446234|XP_039483038.1|DSAN
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC120453019|XP_039493471.1|DSAN
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC120453349|XP_039493953.1|DSAN
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC120453637|XP_039494364.1|DSAN
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC120452826|XP_039493165.1|DSAN
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC120451723|XP_039491559.1|DSAN
OG0000044	LOC111592024|XP_023159785.2|DHYD	LOC120453569|XP_039494260.1|DSAN
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC120448397|XP_039486321.1|DSAN
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC120448761|XP_039486880.1|DSAN
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC120448760|XP_039486879.1|DSAN
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC120455081|XP_039496878.1|DSAN, LOC120455080|XP_039496876.1|DSAN
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC120453874|XP_039494712.1|DSAN, LOC120454242|XP_039495288.1|DSAN, LOC120453872|XP_039494711.1|DSAN, LOC120453971|XP_039494857.1|DSAN, LOC120451794|XP_039491681.1|DSAN, LOC120446793|XP_039483883.1|DSAN
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC120446362|XP_039483228.1|DSAN
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC120446445|XP_039483359.1|DSAN
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC120447165|XP_039484555.1|DSAN
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC120446374|XP_039483239.1|DSAN
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC120448637|XP_039486695.1|DSAN, LOC120448833|XP_039486966.1|DSAN
OG0000048	LOC111604700|XP_023178641.1|DHYD	LOC120447859|XP_039485400.1|DSAN, LOC120447862|XP_039485404.1|DSAN
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC120447858|XP_039485399.1|DSAN
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC120447864|XP_039485406.1|DSAN
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC120451912|XP_039491855.1|DSAN
OG0000049	LOC111594529|XP_023163631.2|DHYD	LOC120454479|XP_039495747.1|DSAN
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC120451908|XP_039491850.1|DSAN
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC120451911|XP_039491854.1|DSAN
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC120454478|XP_039495745.1|DSAN
OG0000050	LOC111592220|XP_023160064.2|DHYD	LOC120444560|XP_039480251.1|DSAN
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC120450199|XP_039489001.1|DSAN
OG0000050	LOC111597563|XP_023168130.1|DHYD	LOC120449121|XP_039487366.1|DSAN
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC120450198|XP_039489000.1|DSAN
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC120454079|XP_039495023.1|DSAN
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC120450805|XP_039489908.1|DSAN
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC120451899|XP_039491841.1|DSAN, LOC120452530|XP_039492728.1|DSAN, LOC120451902|XP_039491845.1|DSAN, LOC120451901|XP_039491844.1|DSAN, LOC120451898|XP_039491840.1|DSAN, LOC120451896|XP_039491839.1|DSAN
OG0000052	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	LOC120446961|XP_039484150.1|DSAN
OG0000052	LOC111604234|XP_023177982.1|DHYD	LOC120446960|XP_039484149.1|DSAN
OG0000053	LOC111602599|XP_023175526.2|DHYD	LOC120458373|XP_039501926.1|DSAN
OG0000053	LOC111602600|XP_023175527.2|DHYD	LOC120458372|XP_039501925.1|DSAN
OG0000053	LOC111596382|XP_023166356.2|DHYD	LOC120458371|XP_039501924.1|DSAN
OG0000053	LOC111596381|XP_023166355.2|DHYD	LOC120458368|XP_039501922.1|DSAN
OG0000053	LOC111596379|XP_023166352.2|DHYD	LOC120458380|XP_039501934.1|DSAN
OG0000054	LOC111604826|XP_023178817.2|DHYD	LOC120451731|XP_039491574.1|DSAN
OG0000054	LOC111593322|XP_023161796.2|DHYD	LOC120451217|XP_039490630.1|DSAN
OG0000054	LOC111604856|XP_023178857.2|DHYD	LOC120451218|XP_039490631.1|DSAN, LOC120451219|XP_039490632.1|DSAN
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	LOC120452017|XP_039491994.1|DSAN, LOC120452015|XP_039491992.1|DSAN
OG0000056	LOC111599611|XP_023171068.2|DHYD	LOC120454503|XP_039495790.1|DSAN
OG0000056	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD	LOC120454505|XP_039495792.1|DSAN, LOC120454507|XP_039495793.1|DSAN, LOC120454504|XP_039495791.1|DSAN
