Orthogroup	DHYD.longest_only	DMEL.longest_only
OG0000006	LOC115483280|XP_030080483.1|DHYD	His2A_CG33808|NP_001027292.1|DMEL
OG0000007	LOC111592429|XP_023160382.1|DHYD	Jon65Aiv|NP_648012.1|DMEL
OG0000007	LOC111592441|XP_023160393.1|DHYD	yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL
OG0000007	LOC111596952|XP_023167177.2|DHYD	Jon44E|NP_724699.1|DMEL
OG0000007	LOC111596951|XP_023167176.2|DHYD	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL
OG0000008	LOC111604267|XP_023178033.1|DHYD	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC111598804|XP_023169992.1|DHYD	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC111599437|XP_023170859.2|DHYD	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC111603756|XP_023177254.2|DHYD	Crys|NP_476906.1|DMEL
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	Ccp84Ad|NP_649680.1|DMEL
OG0000008	LOC111600832|XP_023172904.2|DHYD	Ccp84Af|NP_649678.1|DMEL
OG0000008	LOC111600831|XP_023172902.2|DHYD	Ccp84Ac|NP_649681.1|DMEL
OG0000008	LOC111600808|XP_023172870.1|DHYD	Ccp84Ae|NP_649679.1|DMEL
OG0000008	LOC111600811|XP_023172873.1|DHYD	Ccp84Ag|NP_649677.1|DMEL
OG0000009	LOC111604985|XP_023179049.1|DHYD	CG11453|NP_650832.1|DMEL
OG0000009	LOC111604987|XP_023179051.2|DHYD	CG11391|NP_650830.1|DMEL
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL
OG0000009	LOC111603540|XP_030079215.1|DHYD	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	CG4563|NP_611913.1|DMEL
OG0000009	LOC111593549|XP_023162171.2|DHYD	CG8834|NP_610779.1|DMEL
OG0000010	LOC115483264|XP_030080469.1|DHYD	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL
OG0000010	LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD	His4_CG33885|NP_001027342.1|DMEL
OG0000010	LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD	His4_CG33883|NP_001027347.1|DMEL
OG0000011	LOC111599147|XP_023170484.2|DHYD	CG8319|NP_649920.2|DMEL
OG0000012	LOC111603849|XP_023177406.2|DHYD	CG9416|NP_611415.2|DMEL
OG0000012	LOC111603850|XP_023177409.2|DHYD	CG10051|NP_611414.1|DMEL
OG0000012	LOC111603802|XP_023177320.1|DHYD	CG11961|NP_725876.1|DMEL
OG0000012	LOC111603848|XP_023177404.2|DHYD	CG10062|NP_001261089.1|DMEL
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL
OG0000012	LOC111597898|XP_023168600.2|DHYD	CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL
OG0000012	LOC111597903|XP_023168607.2|DHYD	CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL
OG0000013	LOC111593737|XP_023162498.2|DHYD	Hsc70-5|NP_523741.2|DMEL
OG0000013	LOC111605302|XP_030080103.1|DHYD	Hsc70-3|NP_727563.1|DMEL
OG0000013	LOC111603010|XP_023176183.1|DHYD	Hsc70-4|NP_524356.1|DMEL
OG0000013	LOC111604413|XP_023178237.2|DHYD	Hsc70-1|NP_524063.1|DMEL
OG0000013	LOC111594553|XP_023163674.1|DHYD	Hsc70-2|NP_524339.1|DMEL
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	Hsp68|NP_524474.1|DMEL
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL
OG0000015	LOC111592667|XP_023160798.2|DHYD	lectin-37Db|NP_001188847.1|DMEL
OG0000016	LOC111605496|XP_023179814.1|DHYD	Act87E|NP_477091.1|DMEL
OG0000016	LOC111602093|XP_023174795.1|DHYD	Act57B|NP_523800.1|DMEL
OG0000016	LOC111598341|XP_023169316.1|DHYD	Arp1|NP_524331.2|DMEL
OG0000016	LOC111592540|XP_023160594.1|DHYD	Arp53D|NP_477037.2|DMEL
OG0000016	LOC111597353|XP_023167768.1|DHYD	Act5C|NP_511052.1|DMEL
OG0000016	LOC111603208|XP_023176475.1|DHYD	Act42A|NP_523625.1|DMEL
OG0000016	LOC111595218|XP_023164600.1|DHYD	Act88F|NP_524367.1|DMEL
OG0000016	LOC111599234|XP_023170599.1|DHYD	Act79B|NP_524210.1|DMEL
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	Or42a|NP_523622.2|DMEL
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	Or98a|NP_524536.2|DMEL
OG0000017	LOC111603822|XP_023177351.2|DHYD	Or59b|NP_523822.1|DMEL
OG0000017	LOC111600903|XP_030081002.1|DHYD	Or42b|NP_523624.2|DMEL
OG0000017	LOC111595834|XP_023165510.2|DHYD	Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL
OG0000018	LOC111600492|XP_023172388.2|DHYD	Cpr65Av|NP_729146.1|DMEL
OG0000018	LOC111600507|XP_023172403.1|DHYD	Lcp65Ac|NP_477279.1|DMEL
OG0000018	LOC111600497|XP_023172393.2|DHYD	Lcp65Ad|NP_477278.1|DMEL
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	CG6283|NP_651524.1|DMEL
OG0000019	LOC111598920|XP_023170158.2|DHYD	CG6296|NP_651520.1|DMEL
OG0000019	LOC111603248|XP_023176523.1|DHYD	CG6295|NP_651521.1|DMEL
OG0000019	LOC111598923|XP_023170162.2|DHYD	CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL
OG0000020	LOC111594494|XP_030080618.1|DHYD	rdog|NP_651678.1|DMEL
OG0000020	LOC111593180|XP_023161558.2|DHYD	CG10505|NP_611571.2|DMEL
OG0000020	LOC111598962|XP_023170216.2|DHYD	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL
OG0000020	LOC111596686|XP_023166760.2|DHYD	CG4562|NP_001262747.1|DMEL
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	Mrp4|NP_650086.2|DMEL
OG0000020	LOC111598978|XP_030080535.1|DHYD	CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL
OG0000021	LOC111601219|XP_023173482.1|DHYD	PpD6|NP_524947.1|DMEL
OG0000021	LOC111601270|XP_023173549.2|DHYD	PpN58A|NP_477384.1|DMEL
OG0000021	LOC111596996|XP_023167262.1|DHYD	PpD5|NP_524707.1|DMEL
OG0000021	LOC111600652|XP_023172641.1|DHYD	PpY-55A|NP_476689.1|DMEL
OG0000021	LOC111601220|XP_023173483.1|DHYD	Pp1-Y2|NP_001015497.4|DMEL
OG0000021	LOC111602062|XP_023174743.2|DHYD	flw|NP_727418.1|DMEL
OG0000021	LOC111593360|XP_023161841.1|DHYD	Pp1alpha-96A|NP_524484.1|DMEL
OG0000021	LOC111601414|XP_023173744.1|DHYD	Pp1-87B|NP_524937.1|DMEL
OG0000021	LOC111604024|XP_023177648.1|DHYD	Pp1-13C|NP_524921.1|DMEL
OG0000022	LOC111595585|XP_023165164.2|DHYD	CG7798|NP_611098.1|DMEL
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL
OG0000023	LOC111602788|XP_023175829.2|DHYD	alpha-Est5|NP_001246965.1|DMEL
OG0000023	LOC111602703|XP_023175706.2|DHYD	alpha-Est3|NP_524267.2|DMEL
OG0000023	LOC111602748|XP_023175768.2|DHYD	alpha-Est2|NP_524268.3|DMEL
OG0000023	LOC111600543|XP_023172455.2|DHYD	gas|NP_611678.1|DMEL
OG0000023	LOC111602765|XP_023175792.2|DHYD	alpha-Est1|NP_524269.3|DMEL
OG0000023	LOC111602764|XP_023175791.1|DHYD	alpha-Est7|NP_524261.1|DMEL
OG0000023	LOC111602801|XP_023175861.1|DHYD	alpha-Est9|NP_731165.2|DMEL
OG0000023	LOC111602761|XP_023175787.2|DHYD	alpha-Est8|NP_524259.2|DMEL
OG0000023	LOC111602800|XP_023175857.2|DHYD	alpha-Est10|NP_001246962.1|DMEL
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL
OG0000024	LOC111592141|XP_023159955.2|DHYD	epsilonTry|NP_525112.1|DMEL
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	CG17571|NP_610109.1|DMEL
OG0000024	LOC111592145|XP_023159959.2|DHYD	thetaTry|NP_523693.1|DMEL
OG0000024	LOC111598026|XP_023168817.2|DHYD	Ser8|NP_610874.1|DMEL
OG0000025	LOC111599384|XP_023170789.1|DHYD	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL
OG0000025	LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD	His3_CG33839|NP_001027343.1|DMEL
OG0000025	LOC115482900|XP_030079008.1|DHYD	His3_CG33854|NP_001027368.1|DMEL, His3_CG33833|NP_001027333.1|DMEL, His3_CG33803|NP_001027285.1|DMEL, His3_CG33821|NP_001027313.1|DMEL, His3_CG33818|NP_001027308.1|DMEL, His3_CG33809|NP_001027294.1|DMEL, His3_CG33863|NP_001027383.1|DMEL, His3_CG33806|NP_001027289.1|DMEL
OG0000026	LOC111600180|XP_023171950.2|DHYD	antdh|NP_572695.2|DMEL
OG0000026	LOC111596354|XP_023166318.1|DHYD	CG9150|NP_608991.2|DMEL
OG0000026	LOC111602647|XP_023175583.2|DHYD	CG3301|NP_650964.1|DMEL
OG0000027	LOC111599153|XP_023170492.2|DHYD	Acp1|NP_477115.1|DMEL
OG0000027	LOC111595849|XP_023165527.1|DHYD	CG7203|NP_609143.2|DMEL
OG0000027	LOC111599119|XP_023170448.2|DHYD	CG7214|NP_609141.1|DMEL
OG0000028	LOC111605107|XP_023179216.2|DHYD	CG14095|NP_649112.1|DMEL
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	CheA84a|NP_001027150.1|DMEL
OG0000029	LOC111599253|XP_023170620.2|DHYD	CheA75a|NP_649035.2|DMEL
OG0000030	LOC111603775|XP_023177278.2|DHYD	Or33c|NP_523555.1|DMEL
OG0000030	LOC111596081|XP_023165908.2|DHYD	Or23a|NP_523458.3|DMEL
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	Or59a|NP_523821.1|DMEL
OG0000030	LOC111596747|XP_030080079.1|DHYD	Or2a|NP_525046.1|DMEL
OG0000030	LOC111598248|XP_023169180.2|DHYD	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL
OG0000031	LOC111596192|XP_023166065.2|DHYD	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	SPH93|NP_609840.1|DMEL, CG14990|NP_647856.2|DMEL, CG3117|NP_608722.2|DMEL, CG18478|NP_609764.1|DMEL, CG31827|NP_723923.1|DMEL
OG0000031	LOC111594664|XP_023163834.1|DHYD	CG5390|NP_609374.1|DMEL
OG0000032	LOC111599037|XP_023170323.1|DHYD	GstD1|NP_524326.1|DMEL
OG0000032	LOC111598628|XP_023169740.2|DHYD	GstD10|NP_652713.1|DMEL
OG0000032	LOC111599021|XP_023170312.2|DHYD	GstD9|NP_650181.1|DMEL
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL
OG0000033	LOC111599962|XP_023171625.2|DHYD	CheB38a|NP_995736.1|DMEL, CheB38c|NP_610061.2|DMEL, CheB38b|NP_995735.1|DMEL, CheB42c|NP_995764.2|DMEL, CheB42b|NP_995763.1|DMEL
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	CheB42a|NP_995765.1|DMEL
OG0000034	LOC111602472|XP_023175302.2|DHYD	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL
OG0000034	LOC111602462|XP_023175290.2|DHYD	Ugt37D1|NP_652627.2|DMEL
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	Ugt37B1|NP_525008.2|DMEL
OG0000036	LOC111602683|XP_023175671.1|DHYD	Sp7|NP_649734.2|DMEL
OG0000036	LOC111602776|XP_023175811.1|DHYD	ea|NP_524362.2|DMEL
OG0000036	LOC111602665|XP_023175617.1|DHYD	MP1|NP_001303421.1|DMEL
OG0000036	LOC111601529|XP_023173926.1|DHYD	SPE|NP_651168.1|DMEL
OG0000037	LOC111604322|XP_030081296.1|DHYD	Cyp12b2|NP_611370.2|DMEL
OG0000037	LOC111601750|XP_023174255.2|DHYD	Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL
OG0000038	LOC111605099|XP_023179209.2|DHYD	Cpr76Bb|NP_649121.1|DMEL
OG0000038	LOC111605094|XP_023179201.2|DHYD	Cpr76Bd|NP_001262052.1|DMEL
OG0000039	LOC111599549|XP_023170981.2|DHYD	CG42564|NP_649651.2|DMEL
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	Ag5r|NP_524770.1|DMEL
OG0000039	LOC111602852|XP_023175933.1|DHYD	Ag5r2|NP_524689.2|DMEL
OG0000039	LOC111592722|XP_023160878.1|DHYD	CG32679|NP_727412.2|DMEL
OG0000040	LOC111604247|XP_023178000.2|DHYD	CG17803|NP_650657.2|DMEL, CG6689|NP_650051.1|DMEL
OG0000040	LOC111604248|XP_023178001.2|DHYD	CG4820|NP_001097748.1|DMEL
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	CG17806|NP_650658.1|DMEL, CG17802|NP_650659.2|DMEL
OG0000040	LOC111604211|XP_023177942.2|DHYD	Odj|NP_650661.1|DMEL
OG0000040	LOC111594486|XP_023163562.2|DHYD	CG1792|NP_651878.1|DMEL
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	CG14502|NP_611311.1|DMEL, CG18539|NP_611315.3|DMEL, CG18536|NP_611312.1|DMEL, CG18538|NP_611314.2|DMEL, CG18537|NP_611313.1|DMEL
OG0000042	LOC111598606|XP_023169706.2|DHYD	CG18540|NP_611316.2|DMEL
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	Ugt302C1|NP_652626.1|DMEL
OG0000043	LOC111600264|XP_023172080.2|DHYD	Ugt302E1|NP_652625.2|DMEL
OG0000043	LOC111600253|XP_023172066.2|DHYD	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL
OG0000044	LOC111604839|XP_023178838.2|DHYD	CG31087|NP_733100.1|DMEL
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL
OG0000044	LOC111604847|XP_023178847.2|DHYD	CG10559|NP_651382.2|DMEL
OG0000044	LOC111592024|XP_023159785.2|DHYD	CG6908|NP_650105.1|DMEL
OG0000045	LOC111597387|XP_023167819.1|DHYD	Cpr67Fb|NP_648420.1|DMEL
OG0000045	LOC111597391|XP_023167823.1|DHYD	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL
OG0000045	LOC111597386|XP_023167816.1|DHYD	Cpr65Ec|NP_648077.1|DMEL
OG0000045	LOC111597377|XP_023167802.1|DHYD	Cpr65Eb|NP_648076.3|DMEL
OG0000046	LOC111591975|XP_023159692.2|DHYD	CG14219|NP_608322.1|DMEL, CG14205|NP_608323.1|DMEL
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	CG14204|NP_608321.1|DMEL, CG16723|NP_651159.3|DMEL, CG10183|NP_651160.3|DMEL, CG33337|NP_996269.2|DMEL, CG10182|NP_651158.1|DMEL, CG13325|NP_610836.1|DMEL
OG0000047	LOC111596622|XP_023166677.1|DHYD	loopin-1|NP_001097338.1|DMEL
OG0000047	LOC111594123|XP_023163050.2|DHYD	S-Lap8|NP_611132.1|DMEL
OG0000047	LOC111595469|XP_023165002.1|DHYD	S-Lap5|NP_610892.1|DMEL
OG0000047	LOC111595525|XP_023165074.2|DHYD	S-Lap7|NP_610900.1|DMEL
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	CG13060|NP_648873.1|DMEL, CG13041|NP_648872.1|DMEL
OG0000048	LOC111604700|XP_023178641.1|DHYD	CG13043|NP_648868.2|DMEL, CG13063|NP_648869.1|DMEL
OG0000048	LOC111604676|XP_023178606.1|DHYD	CG13044|NP_648867.1|DMEL
OG0000048	LOC111604701|XP_023178642.1|DHYD	CG13042|NP_648870.1|DMEL
OG0000049	LOC111594543|XP_023163663.2|DHYD	CG4053|NP_650601.2|DMEL
OG0000049	LOC111594529|XP_023163631.2|DHYD	CG5246|NP_650603.1|DMEL
OG0000049	LOC111594475|XP_023163544.1|DHYD	CG17475|NP_650600.2|DMEL
OG0000049	LOC111594476|XP_023163545.2|DHYD	CG31265|NP_650599.1|DMEL
OG0000049	LOC111594581|XP_023163706.2|DHYD	CG5255|NP_650604.1|DMEL
OG0000050	LOC111592220|XP_023160064.2|DHYD	CG13193|NP_610699.1|DMEL
OG0000050	LOC111597562|XP_023168129.2|DHYD	CG33769|NP_001027143.1|DMEL
OG0000050	LOC111597563|XP_023168130.1|DHYD	CG33767|NP_001027141.1|DMEL
OG0000050	LOC111597557|XP_023168122.2|DHYD	CG33771|NP_001027145.3|DMEL
OG0000051	LOC111604842|XP_023178842.2|DHYD	Cyp313b1|NP_649807.1|DMEL
OG0000051	LOC111598254|XP_023169188.2|DHYD	Cyp313a4|NP_650224.3|DMEL
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	CG16904|NP_649957.1|DMEL, CG31141|NP_732912.2|DMEL, eloF|NP_649956.1|DMEL, CG8534|NP_649955.1|DMEL, CG9458|NP_731419.1|DMEL, CG9459|NP_649958.2|DMEL
OG0000052	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	CG17821|NP_725820.2|DMEL
OG0000052	LOC111604234|XP_023177982.1|DHYD	CG18609|NP_611365.2|DMEL
OG0000053	LOC111602599|XP_023175526.2|DHYD	Mal-A8|NP_610384.1|DMEL
OG0000053	LOC111602600|XP_023175527.2|DHYD	Mal-A7|NP_610383.1|DMEL
OG0000053	LOC111596382|XP_023166356.2|DHYD	Mal-A6|NP_995779.2|DMEL
OG0000053	LOC111596381|XP_023166355.2|DHYD	Mal-A5|NP_610382.2|DMEL
OG0000053	LOC111596379|XP_023166352.2|DHYD	Mal-A1|NP_476627.3|DMEL
OG0000054	LOC111604826|XP_023178817.2|DHYD	AOX1|NP_650475.1|DMEL
OG0000054	LOC111593322|XP_023161796.2|DHYD	AOX2|NP_732047.2|DMEL
OG0000054	LOC111604856|XP_023178857.2|DHYD	AOX4|NP_650478.1|DMEL, AOX3|NP_650477.1|DMEL
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	CecA2|NP_524589.1|DMEL, CecA1|NP_524588.1|DMEL
OG0000056	LOC111599611|XP_023171068.2|DHYD	CG6726|NP_651120.1|DMEL
OG0000056	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD	CG17109|NP_651122.2|DMEL, CG6738|NP_651124.1|DMEL, CG6733|NP_651123.1|DMEL
OG0000056	LOC111600558|XP_023172478.1|DHYD	CG6465|NP_650004.1|DMEL
