Orthogroup	DHYD.longest_only	DFIC.longest_only
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC108100331|XP_017059630.1|DFIC
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC108093477|XP_017049051.1|DFIC
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC108091746|XP_017046577.1|DFIC
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC108091769|XP_017046605.1|DFIC
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC108091757|XP_017046589.1|DFIC
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC108091754|XP_017046587.1|DFIC
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC108101115|XP_017060823.1|DFIC
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC108101125|XP_017060838.1|DFIC
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC108101809|XP_017061774.1|DFIC
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC108086769|XP_017039304.1|DFIC
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC
OG0000010	LOC115483272|XP_030080475.1|DHYD, LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD	LOC108098255|XP_017056544.1|DFIC
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC108098799|XP_017057429.1|DFIC
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC108096904|XP_017054341.1|DFIC
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC108096903|XP_017054340.1|DFIC
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC108096929|XP_017054370.1|DFIC
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC108096943|XP_017054393.1|DFIC
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC108086910|XP_017039470.1|DFIC
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC108087118|XP_017039788.1|DFIC
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC108091996|XP_017046910.1|DFIC
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC108091644|XP_017046435.1|DFIC
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC108090474|XP_017044659.1|DFIC
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC108091135|XP_017045658.1|DFIC
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC108096392|XP_017053452.1|DFIC
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC108093583|XP_017049197.1|DFIC
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC108099991|XP_017059177.1|DFIC
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	LOC108095642|XP_017052296.1|DFIC
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC108087716|XP_017040726.1|DFIC
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC108099990|XP_017059176.1|DFIC
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC108093128|XP_017048562.1|DFIC
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC108093130|XP_017048564.1|DFIC
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	LOC108086541|XP_017038967.1|DFIC
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC108086535|XP_017038961.1|DFIC
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC108086543|XP_017038970.1|DFIC
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC108086571|XP_017039016.1|DFIC
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC108087826|XP_017040886.1|DFIC
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC108100979|XP_017060622.1|DFIC
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC108101093|XP_017060792.1|DFIC
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC108102060|XP_017062180.1|DFIC
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC108090792|XP_017045128.1|DFIC
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC108090653|XP_017044920.1|DFIC
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC108093638|XP_017049284.1|DFIC
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC108095541|XP_017052159.1|DFIC
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC108091979|XP_017046877.1|DFIC
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC108088013|XP_017041113.1|DFIC
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC108094694|XP_017050914.1|DFIC
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC108093677|XP_017049345.1|DFIC
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC108096122|XP_017052987.1|DFIC
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC108096128|XP_017052994.1|DFIC
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC108096606|XP_017053802.1|DFIC
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC108096129|XP_017052995.1|DFIC
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC108096118|XP_017052982.1|DFIC
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC108096119|XP_017052984.1|DFIC
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC108096117|XP_017052981.1|DFIC
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC108086472|XP_017038887.1|DFIC
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC108098296|XP_017056595.1|DFIC
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC108086381|XP_017038771.1|DFIC
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC111600166|XP_023171925.1|DHYD, LOC111599384|XP_023170789.1|DHYD	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC108091247|XP_017045848.1|DFIC
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC108093407|XP_017048931.1|DFIC
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC108100821|XP_017060378.1|DFIC
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC108100819|XP_017060376.1|DFIC
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC108095285|XP_017051819.1|DFIC
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC108099785|XP_017058903.1|DFIC
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC108087621|XP_017040552.1|DFIC
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC108091341|XP_017045978.1|DFIC
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC108088560|XP_017041895.1|DFIC
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC, LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC108089228|XP_017042875.1|DFIC
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC108087889|XP_017040956.1|DFIC, LOC108088062|XP_017041192.1|DFIC, LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC, LOC108087890|XP_017040957.1|DFIC, LOC108087979|XP_017041070.1|DFIC
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC108089808|XP_017043694.1|DFIC, LOC108089807|XP_017043693.1|DFIC, LOC108089809|XP_017043695.1|DFIC, LOC108089769|XP_017043650.1|DFIC, LOC108091266|XP_017045867.1|DFIC, LOC108089806|XP_017043692.1|DFIC, LOC108094281|XP_017050264.1|DFIC, LOC108094283|XP_017050266.1|DFIC
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC108094282|XP_017050265.1|DFIC
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC108098285|XP_017056581.1|DFIC
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC108093450|XP_017049013.1|DFIC
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC108097979|XP_017056090.1|DFIC
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC108098533|XP_017057003.1|DFIC
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC108087237|XP_017040017.1|DFIC
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC108087844|XP_017040913.1|DFIC
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC108088854|XP_017042318.1|DFIC
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC108088914|XP_017042416.1|DFIC
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC108091791|XP_017046639.1|DFIC
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC108097516|XP_017055329.1|DFIC
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC108097515|XP_017055328.1|DFIC
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC108095512|XP_017052111.1|DFIC
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC108092229|XP_017047255.1|DFIC, LOC108087305|XP_017040113.1|DFIC
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC108087307|XP_017040114.1|DFIC
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC108092211|XP_017047228.1|DFIC, LOC108092212|XP_017047230.1|DFIC
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC108092206|XP_017047224.1|DFIC
OG0000040	LOC111604244|XP_023177997.1|DHYD	LOC108102071|XP_017062201.1|DFIC
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC108100764|XP_017060292.1|DFIC
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC108090330|XP_017044433.1|DFIC, LOC108090327|XP_017044430.1|DFIC, LOC108090329|XP_017044432.1|DFIC, LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC108090331|XP_017044434.1|DFIC
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC108087351|XP_017040180.1|DFIC
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC108087056|XP_017039721.1|DFIC
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC108092195|XP_017047211.1|DFIC
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC108095953|XP_017052779.1|DFIC
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC108096011|XP_017052849.1|DFIC
OG0000044	LOC111592024|XP_023159785.2|DHYD	LOC108102017|XP_017062104.1|DFIC
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC108099782|XP_017058900.1|DFIC
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC108089346|XP_017043016.1|DFIC
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC108089335|XP_017043004.1|DFIC
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC108097441|XP_017055199.1|DFIC, LOC108097439|XP_017055197.1|DFIC
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC108097454|XP_017055215.1|DFIC, LOC108091603|XP_017046371.1|DFIC, LOC108091584|XP_017046349.1|DFIC, LOC108091607|XP_017046377.1|DFIC, LOC108091593|XP_017046357.1|DFIC, LOC108091587|XP_017046351.1|DFIC, LOC108091594|XP_017046358.1|DFIC, LOC108091585|XP_017046350.1|DFIC
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC108090569|XP_017044803.1|DFIC
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC108090570|XP_017044804.1|DFIC
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC108094901|XP_017051236.1|DFIC
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC108094950|XP_017051302.1|DFIC
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC108089539|XP_017043364.1|DFIC, LOC108089337|XP_017043007.1|DFIC
OG0000048	LOC111604700|XP_023178641.1|DHYD	LOC108089537|XP_017043362.1|DFIC, LOC108089538|XP_017043363.1|DFIC
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC108089535|XP_017043361.1|DFIC
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC108089542|XP_017043368.1|DFIC
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC108091886|XP_017046759.1|DFIC
OG0000049	LOC111594529|XP_023163631.2|DHYD	LOC108091864|XP_017046732.1|DFIC
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC108091860|XP_017046729.1|DFIC
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC108091993|XP_017046906.1|DFIC
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC108092198|XP_017047214.1|DFIC
OG0000050	LOC111592220|XP_023160064.2|DHYD	LOC108093905|XP_017049757.1|DFIC
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC108088745|XP_017042182.1|DFIC
OG0000050	LOC111597563|XP_023168130.1|DHYD	LOC108088747|XP_017042184.1|DFIC
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC108088743|XP_017042180.1|DFIC
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC108099282|XP_017058161.1|DFIC
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC108087911|XP_017040982.1|DFIC
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC108087102|XP_017039773.1|DFIC, LOC108098807|XP_017057437.1|DFIC, LOC108098902|XP_017057587.1|DFIC, LOC108098776|XP_017057399.1|DFIC, LOC108098773|XP_017057394.1|DFIC
OG0000052	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	LOC108087760|XP_017040779.1|DFIC
OG0000052	LOC111604234|XP_023177982.1|DHYD	LOC108087818|XP_017040874.1|DFIC
OG0000053	LOC111602599|XP_023175526.2|DHYD	LOC108090322|XP_017044423.1|DFIC
OG0000053	LOC111602600|XP_023175527.2|DHYD	LOC108090310|XP_017044412.1|DFIC
OG0000053	LOC111596382|XP_023166356.2|DHYD	LOC108090321|XP_017044422.1|DFIC
OG0000053	LOC111596381|XP_023166355.2|DHYD	LOC108090309|XP_017044411.1|DFIC
OG0000053	LOC111596379|XP_023166352.2|DHYD	LOC108090323|XP_017044424.1|DFIC
OG0000054	LOC111604826|XP_023178817.2|DHYD	LOC108097528|XP_017055365.1|DFIC
OG0000054	LOC111593322|XP_023161796.2|DHYD	LOC108096334|XP_017053362.1|DFIC
OG0000054	LOC111604856|XP_023178857.2|DHYD	LOC108096244|XP_017053162.1|DFIC, LOC108097685|XP_017055644.1|DFIC
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	LOC108099261|XP_017058124.1|DFIC, LOC108099262|XP_017058125.1|DFIC, LOC108099276|XP_017058153.1|DFIC, LOC108099287|XP_017058168.1|DFIC, LOC108099258|XP_017058122.1|DFIC
OG0000056	LOC111599611|XP_023171068.2|DHYD	LOC108091640|XP_017046431.1|DFIC
OG0000056	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD	LOC108091643|XP_017046434.1|DFIC, LOC108091642|XP_017046433.1|DFIC
OG0000056	LOC111600558|XP_023172478.1|DHYD	LOC108098775|XP_017057398.1|DFIC, LOC108098940|XP_017057636.1|DFIC
