Orthogroup	DHYD.longest_only	AALB.longest_only
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD, LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000016	LOC111605496|XP_023179814.1|DHYD, LOC111602093|XP_023174795.1|DHYD	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC118463128|XP_035785378.1|AALB
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD, LOC111598920|XP_023170158.2|DHYD, LOC111603248|XP_023176523.1|DHYD, LOC111598923|XP_023170162.2|DHYD	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC111594494|XP_030080618.1|DHYD, LOC111593180|XP_023161558.2|DHYD	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC111598962|XP_023170216.2|DHYD, LOC111596686|XP_023166760.2|DHYD, LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD, LOC111598978|XP_030080535.1|DHYD	LOC118467629|XP_035794243.1|AALB
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC111593360|XP_023161841.1|DHYD, LOC111601414|XP_023173744.1|DHYD, LOC111604024|XP_023177648.1|DHYD	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC111595585|XP_023165164.2|DHYD, LOC111596894|XP_023167111.1|DHYD, LOC115482988|XP_030079478.1|DHYD, LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD, LOC111601208|XP_030081929.1|DHYD	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC111602788|XP_023175829.2|DHYD, LOC111602703|XP_023175706.2|DHYD, LOC111602748|XP_023175768.2|DHYD, LOC111600543|XP_023172455.2|DHYD, LOC111602765|XP_023175792.2|DHYD, LOC111602764|XP_023175791.1|DHYD, LOC111602801|XP_023175861.1|DHYD, LOC111602761|XP_023175787.2|DHYD, LOC111602800|XP_023175857.2|DHYD	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD, LOC111592141|XP_023159955.2|DHYD, LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD, LOC111592145|XP_023159959.2|DHYD, LOC111598026|XP_023168817.2|DHYD, LOC111599681|XP_023171155.2|DHYD	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC115483232|XP_030080436.1|DHYD	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB
OG0000025	LOC115482900|XP_030079008.1|DHYD	LOC118467560|XP_035794083.1|AALB
OG0000026	LOC111596716|XP_023166806.2|DHYD, LOC115482855|XP_030078964.1|DHYD, LOC111602869|XP_023175962.1|DHYD, LOC111602647|XP_023175583.2|DHYD	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC111599153|XP_023170492.2|DHYD, LOC111595849|XP_023165527.1|DHYD, LOC111599119|XP_023170448.2|DHYD	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB
OG0000028	LOC111605093|XP_030081794.1|DHYD, LOC111605104|XP_030081807.1|DHYD, LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD, LOC111605106|XP_023179215.2|DHYD, LOC111605107|XP_023179216.2|DHYD	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB
OG0000029	LOC111600747|XP_023172794.1|DHYD, LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD, LOC111599253|XP_023170620.2|DHYD	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC111596192|XP_023166065.2|DHYD, LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC118467279|XP_035793475.1|AALB
OG0000032	LOC111599037|XP_023170323.1|DHYD, LOC111598628|XP_023169740.2|DHYD, LOC111599021|XP_023170312.2|DHYD, LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB
OG0000034	LOC111602472|XP_023175302.2|DHYD, LOC111602462|XP_023175290.2|DHYD, LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC118457097|XP_035774277.1|AALB
OG0000036	LOC111605324|XP_023179557.2|DHYD	LOC118460050|XP_035779920.1|AALB, LOC118459729|XP_035779295.1|AALB, LOC118468930|XP_035796146.1|AALB, LOC118465413|XP_035789528.1|AALB
OG0000037	LOC111604322|XP_030081296.1|DHYD, LOC111601750|XP_023174255.2|DHYD, LOC111599598|XP_023171051.2|DHYD, LOC111592218|XP_023160061.2|DHYD	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC118467862|XP_035794660.1|AALB
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB
OG0000041	LOC111597538|XP_023168095.2|DHYD, LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD, LOC111598483|XP_023169509.2|DHYD, LOC111597534|XP_023168080.2|DHYD, LOC111597523|XP_023168066.2|DHYD, LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD, LOC111600264|XP_023172080.2|DHYD, LOC111600256|XP_023172069.2|DHYD, LOC111600253|XP_023172066.2|DHYD	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB
OG0000047	LOC111596622|XP_023166677.1|DHYD, LOC111594123|XP_023163050.2|DHYD, LOC111595469|XP_023165002.1|DHYD, LOC111595525|XP_023165074.2|DHYD	LOC118458488|XP_035776933.1|AALB
OG0000048	LOC111604700|XP_023178641.1|DHYD, LOC111604676|XP_023178606.1|DHYD, LOC111604701|XP_023178642.1|DHYD	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB
OG0000049	LOC111594543|XP_023163663.2|DHYD, LOC111594529|XP_023163631.2|DHYD, LOC111594475|XP_023163544.1|DHYD, LOC111594476|XP_023163545.2|DHYD, LOC111594581|XP_023163706.2|DHYD	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB
OG0000050	LOC111592220|XP_023160064.2|DHYD, LOC111597562|XP_023168129.2|DHYD, LOC111597563|XP_023168130.1|DHYD, LOC111597557|XP_023168122.2|DHYD	LOC118466326|XP_035791335.1|AALB
OG0000051	LOC111604842|XP_023178842.2|DHYD, LOC115482777|XP_030078620.1|DHYD, LOC115482800|XP_030078769.1|DHYD, LOC115482799|XP_030078766.1|DHYD, LOC111598254|XP_023169188.2|DHYD	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB
OG0000053	LOC111602599|XP_023175526.2|DHYD, LOC111602600|XP_023175527.2|DHYD, LOC111596382|XP_023166356.2|DHYD	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB
OG0000054	LOC111604826|XP_023178817.2|DHYD, LOC111593322|XP_023161796.2|DHYD, LOC111604856|XP_023178857.2|DHYD	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD, LOC111603272|XP_023176553.1|DHYD	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB
OG0000056	LOC111599614|XP_023171073.2|DHYD, LOC111599611|XP_023171068.2|DHYD, LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD, LOC111600558|XP_023172478.1|DHYD	LOC118463646|XP_035786286.1|AALB
OG0000058	LOC111602372|XP_023175155.1|DHYD, LOC111602373|XP_023175156.2|DHYD, LOC111602375|XP_023175159.2|DHYD, LOC111602371|XP_023175154.1|DHYD, LOC111602374|XP_023175158.2|DHYD, LOC111591894|XP_023159568.1|DHYD	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB
OG0000060	LOC111605127|XP_023179254.1|DHYD, LOC111605118|XP_023179239.1|DHYD	LOC118462342|XP_035784016.1|AALB
OG0000060	LOC111597837|XP_023168500.1|DHYD	LOC118457079|XP_035774255.1|AALB
OG0000067	LOC111603515|XP_023176907.2|DHYD, LOC111593087|XP_023161450.1|DHYD	LOC118462964|XP_035785018.1|AALB
OG0000067	LOC111601094|XP_023173298.2|DHYD	LOC118463317|XP_035785696.1|AALB
OG0000068	LOC111593542|XP_023162133.2|DHYD, LOC111598177|XP_023169045.2|DHYD	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB
OG0000070	LOC111602191|XP_023174921.2|DHYD, LOC111591972|XP_023159687.1|DHYD, LOC111602192|XP_023174922.2|DHYD, LOC111602194|XP_023174924.2|DHYD	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB
OG0000071	LOC111599791|XP_030081795.1|DHYD	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB
OG0000072	LOC111604605|XP_023178486.1|DHYD, LOC111594128|XP_023163054.2|DHYD, LOC111594127|XP_023163053.2|DHYD	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB
OG0000073	LOC111595450|XP_023164945.1|DHYD	LOC118466982|XP_035792790.1|AALB
OG0000073	LOC111597481|XP_023168396.1|DHYD	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB
OG0000073	LOC111602674|XP_023175635.2|DHYD	LOC118458541|XP_035777018.1|AALB
OG0000074	LOC111596936|XP_023167155.1|DHYD, LOC111596937|XP_023167156.2|DHYD, LOC111601089|XP_023173284.2|DHYD	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB
OG0000076	LOC111599682|XP_023171158.1|DHYD	LOC118462886|XP_035784863.1|AALB
OG0000076	LOC111600172|XP_023171933.1|DHYD	LOC118456474|XP_035773167.1|AALB
OG0000077	LOC111599997|XP_023171665.1|DHYD	LOC118467920|XP_035794755.1|AALB
OG0000077	LOC111595708|XP_023165321.1|DHYD	LOC118460116|XP_035780047.1|AALB
OG0000077	LOC111599697|XP_023171187.1|DHYD	LOC118463835|XP_035786622.1|AALB
OG0000077	LOC111592482|XP_023160465.1|DHYD	LOC118466147|XP_035791003.1|AALB
OG0000078	LOC111593533|XP_023162105.1|DHYD, LOC111593319|XP_023161795.1|DHYD, LOC111604289|XP_023178073.2|DHYD, LOC111603428|XP_023176780.2|DHYD, LOC111603133|XP_023176376.1|DHYD, LOC111596540|XP_023166579.2|DHYD	LOC118456476|XP_035773179.1|AALB
OG0000080	LOC111600911|XP_023173040.2|DHYD, LOC111592557|XP_023160621.1|DHYD	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB
OG0000082	LOC111600682|XP_023172704.2|DHYD, LOC111595221|XP_023164604.2|DHYD, LOC111595651|XP_023165246.2|DHYD	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB
OG0000083	LOC111605744|XP_023180216.2|DHYD, LOC111592658|XP_030079136.1|DHYD	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB
OG0000084	LOC111604038|XP_023177666.2|DHYD	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB
OG0000084	LOC111594007|XP_023162872.2|DHYD	LOC118463937|XP_035786798.1|AALB
OG0000085	LOC111604178|XP_023177892.1|DHYD	LOC118467757|XP_035794478.1|AALB
OG0000086	LOC115483460|XP_030081395.1|DHYD, LOC111602150|XP_030081396.1|DHYD	LOC118467052|XP_035792946.1|AALB
OG0000087	LOC111598477|XP_023169504.1|DHYD	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB
OG0000088	LOC111592149|XP_023159964.1|DHYD	LOC118462894|XP_035784880.1|AALB
OG0000089	LOC111603588|XP_023177012.1|DHYD	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB
OG0000089	LOC111598635|XP_023169747.1|DHYD	LOC118465461|XP_035789653.1|AALB
OG0000089	LOC111603721|XP_023177200.1|DHYD	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB
OG0000090	LOC111592171|XP_023159993.2|DHYD, LOC111592119|XP_023159918.2|DHYD, LOC111592435|XP_023160386.1|DHYD, LOC111593119|XP_030080405.1|DHYD, LOC111598762|XP_023169942.2|DHYD	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB
OG0000091	LOC111601403|XP_023173720.2|DHYD	LOC118468298|XP_035794920.1|AALB
OG0000091	LOC111599470|XP_023170907.2|DHYD, LOC111592942|XP_023161174.1|DHYD, LOC111592941|XP_023161173.1|DHYD	LOC118461077|XP_035781863.1|AALB
OG0000093	LOC111601939|XP_023174562.2|DHYD	LOC118468732|XP_035795763.1|AALB
OG0000094	LOC111597580|XP_023168146.2|DHYD, LOC111599491|XP_023170925.1|DHYD	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB
OG0000096	LOC111595909|XP_023165620.2|DHYD, LOC111595917|XP_023165636.1|DHYD, LOC111595908|XP_023165619.2|DHYD, LOC111594349|XP_023163377.2|DHYD	LOC118467953|XP_035794822.1|AALB
OG0000098	LOC111596482|XP_023166511.1|DHYD	LOC118458982|XP_035777873.1|AALB
OG0000099	LOC115483034|XP_030079680.1|DHYD, LOC111605619|XP_030079681.1|DHYD, LOC111596155|XP_023166055.2|DHYD	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB
OG0000101	LOC111605102|XP_023179212.1|DHYD, LOC115483448|XP_030081298.1|DHYD, LOC111605109|XP_030081823.1|DHYD	LOC118462817|XP_035784730.1|AALB
OG0000102	LOC111597672|XP_023168266.1|DHYD	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB
OG0000102	LOC111597731|XP_023168344.2|DHYD	LOC118457482|XP_035775000.1|AALB
OG0000103	LOC111601118|XP_023173340.1|DHYD, LOC111601119|XP_023173341.2|DHYD, LOC111601117|XP_023173339.2|DHYD, LOC111605234|XP_023179437.1|DHYD	LOC118467670|XP_035794319.1|AALB
OG0000104	LOC111600397|XP_023172245.2|DHYD, LOC115483402|XP_030081053.1|DHYD, LOC111604693|XP_023178632.2|DHYD	LOC118464278|XP_035787434.1|AALB
OG0000105	LOC111603935|XP_023177532.2|DHYD, LOC111597551|XP_023168115.2|DHYD, LOC111598625|XP_023169726.2|DHYD, LOC111597554|XP_023168119.2|DHYD	LOC118457265|XP_035774549.1|AALB
OG0000109	LOC111600828|XP_023172903.2|DHYD	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB
OG0000109	LOC111601162|XP_023173410.2|DHYD, LOC111601018|XP_023173193.2|DHYD	LOC118459572|XP_035778973.1|AALB
OG0000110	LOC111602899|XP_030081123.1|DHYD, LOC111602896|XP_023176001.2|DHYD, LOC111602908|XP_030081181.1|DHYD, LOC111602891|XP_023175994.1|DHYD	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB
OG0000111	LOC111593853|XP_023162670.1|DHYD, LOC111592679|XP_023160814.1|DHYD, LOC111594826|XP_023164062.1|DHYD	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB
OG0000112	LOC111605329|XP_023179566.2|DHYD, LOC111605332|XP_023179568.2|DHYD, LOC111603144|XP_023176388.1|DHYD, LOC111603201|XP_023176458.2|DHYD	LOC118467359|XP_035793654.1|AALB
OG0000113	LOC111599912|XP_023171509.1|DHYD, LOC111604401|XP_023178220.2|DHYD, LOC111603366|XP_023176683.2|DHYD, LOC111604045|XP_023177669.1|DHYD	LOC118462848|XP_035784798.1|AALB
OG0000117	LOC111600402|XP_023172250.2|DHYD, LOC111600404|XP_023172253.2|DHYD, LOC111600405|XP_023172254.1|DHYD, LOC111600409|XP_023172258.2|DHYD	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB
OG0000118	LOC111602186|XP_023174913.2|DHYD, LOC111602185|XP_023174912.2|DHYD, LOC111602611|XP_023175538.2|DHYD	LOC118457110|XP_035774302.1|AALB
OG0000119	LOC111594626|XP_023163785.1|DHYD, LOC111594598|XP_023163731.1|DHYD, LOC111594582|XP_023163708.1|DHYD	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB
OG0000120	LOC111604779|XP_023178762.1|DHYD	LOC118463432|XP_035785893.1|AALB
OG0000120	LOC111600604|XP_023172567.2|DHYD	LOC118464687|XP_035788103.1|AALB
OG0000121	LOC111596987|XP_023167243.2|DHYD, LOC111596993|XP_023167257.2|DHYD, LOC111603179|XP_023176430.1|DHYD, LOC111597218|XP_030080606.1|DHYD, LOC111597213|XP_023167555.2|DHYD, LOC111597090|XP_023167398.1|DHYD	LOC118459567|XP_035778961.1|AALB
OG0000122	LOC111594761|XP_023163978.2|DHYD, LOC111601844|XP_023174446.2|DHYD, LOC111604606|XP_023178487.1|DHYD, LOC111602177|XP_030079238.1|DHYD	LOC118456844|XP_035773833.1|AALB
OG0000123	LOC111604152|XP_023177844.1|DHYD, LOC111604143|XP_023177833.1|DHYD, LOC115482780|XP_030078625.1|DHYD, LOC111592387|XP_023160330.2|DHYD	LOC118461289|XP_035782355.1|AALB
OG0000124	LOC111596345|XP_023166304.2|DHYD, LOC111596341|XP_023166294.2|DHYD, LOC111596342|XP_023166295.2|DHYD, LOC111597130|XP_023167459.2|DHYD	LOC118465756|XP_035790152.1|AALB
OG0000125	LOC111598816|XP_023170014.1|DHYD	LOC118457525|XP_035775063.1|AALB
OG0000125	LOC111596553|XP_023166598.2|DHYD	LOC118463575|XP_035786112.1|AALB
OG0000126	LOC111600358|XP_023172204.2|DHYD, LOC111598993|XP_023170265.1|DHYD	LOC118460528|XP_035780801.1|AALB
OG0000127	LOC111602713|XP_023175721.1|DHYD, LOC111602743|XP_023175763.2|DHYD, LOC111602747|XP_023175766.2|DHYD	LOC118456552|XP_035773315.1|AALB, LOC118456551|XP_035773312.1|AALB
OG0000128	LOC111604073|XP_030081308.1|DHYD, LOC111604098|XP_023177766.2|DHYD, LOC115483459|XP_030081391.1|DHYD, LOC115483450|XP_030081307.1|DHYD	LOC118463140|XP_035785395.1|AALB
OG0000129	LOC111597362|XP_023167785.1|DHYD, LOC111600994|XP_023173154.2|DHYD, LOC111600993|XP_023173153.1|DHYD, LOC111597361|XP_023167784.1|DHYD	LOC118456548|XP_035773308.1|AALB
OG0000130	LOC111595665|XP_023165255.2|DHYD, LOC111595642|XP_023165234.2|DHYD, LOC111595647|XP_023165239.2|DHYD, LOC111595659|XP_023165250.1|DHYD, LOC111595648|XP_023165240.2|DHYD, LOC111595664|XP_023165254.2|DHYD	LOC118464719|XP_035788184.1|AALB
OG0000132	LOC111595014|XP_023164289.2|DHYD, LOC111603549|XP_023176951.2|DHYD	LOC118458943|XP_035777814.1|AALB, LOC118468465|XP_035795152.1|AALB
OG0000134	LOC111602019|XP_023174685.1|DHYD	LOC118464308|XP_035787537.1|AALB
OG0000134	LOC111598831|XP_030078873.1|DHYD, LOC111601548|XP_023173960.1|DHYD	LOC118458491|XP_035776937.1|AALB
OG0000136	LOC111597401|XP_023167848.2|DHYD	LOC118468175|XP_035794891.1|AALB
OG0000137	LOC111596505|XP_023166534.1|DHYD, LOC111594447|XP_023163503.2|DHYD	LOC118459373|XP_035778562.1|AALB
OG0000137	LOC111601021|XP_023173196.2|DHYD	LOC118466961|XP_035792755.1|AALB, LOC118467197|XP_035793304.1|AALB
