Orthogroup	DHYD.longest_only	DEUG.longest_only
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC108116118|XP_017083331.1|DEUG
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC108116123|XP_017083335.1|DEUG
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC108117290|XP_017085135.1|DEUG
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC108107216|XP_017070122.1|DEUG
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC108106283|XP_017068739.1|DEUG
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG
OG0000010	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD, LOC115483263|XP_030080468.1|DHYD	LOC108105230|XP_017067186.1|DEUG
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC108109998|XP_017074326.1|DEUG
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC108113192|XP_017079208.1|DEUG
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC108113191|XP_017079207.1|DEUG
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC108113343|XP_017079393.1|DEUG
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC108113377|XP_017079435.1|DEUG
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC108105962|XP_017068250.1|DEUG
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC108116899|XP_017084498.1|DEUG
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC108116618|XP_017084081.1|DEUG
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC108106955|XP_017069721.1|DEUG
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC108116882|XP_017084468.1|DEUG
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC108109063|XP_017072885.1|DEUG
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC108117273|XP_017085115.1|DEUG
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC108113063|XP_017078988.1|DEUG
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC108103209|XP_017064088.1|DEUG
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC108110347|XP_017074869.1|DEUG
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC108105551|XP_017067677.1|DEUG
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC108108726|XP_017072348.1|DEUG
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC108104154|XP_017065544.1|DEUG
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC108109233|XP_017073194.1|DEUG
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC108110339|XP_017074859.1|DEUG
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC108107641|XP_017070716.1|DEUG
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC108107531|XP_017070561.1|DEUG
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC108108164|XP_017071591.1|DEUG
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	LOC108115822|XP_017082901.1|DEUG
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC108115829|XP_017082909.1|DEUG
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC108115823|XP_017082903.1|DEUG
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC108116051|XP_017083239.1|DEUG
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC108109261|XP_017073233.1|DEUG
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC108117182|XP_017084963.1|DEUG
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC108116455|XP_017083873.1|DEUG
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC108107046|XP_017069896.1|DEUG
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC108110545|XP_017075123.1|DEUG
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC108112706|XP_017078416.1|DEUG
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC108112288|XP_017077598.1|DEUG
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC108112285|XP_017077596.1|DEUG
OG0000021	LOC111601220|XP_023173483.1|DHYD	LOC108109877|XP_017074162.1|DEUG
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC108105026|XP_017066911.1|DEUG
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC108117533|XP_017085522.1|DEUG
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC108111770|XP_017076824.1|DEUG
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC108110043|XP_017074396.1|DEUG
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC108113005|XP_017078913.1|DEUG
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC108115114|XP_017081855.1|DEUG
OG0000023	LOC111602703|XP_023175706.2|DHYD	LOC108115112|XP_017081853.1|DEUG
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC108115052|XP_017081788.1|DEUG
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC108112507|XP_017077883.1|DEUG
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC108115111|XP_017081852.1|DEUG
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC108115051|XP_017081787.1|DEUG
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC108115158|XP_017081958.1|DEUG
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC108115110|XP_017081851.1|DEUG
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC108115157|XP_017081956.1|DEUG
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG, LOC108106506|XP_017069088.1|DEUG
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC108106500|XP_017069084.1|DEUG
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC108115421|XP_017082346.1|DEUG
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC108106503|XP_017069087.1|DEUG
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC108111932|XP_017077077.1|DEUG
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC108103147|XP_017064008.1|DEUG
OG0000025	LOC115482900|XP_030079008.1|DHYD	LOC108103398|XP_017064344.1|DEUG
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC108111839|XP_017076932.1|DEUG
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC108113449|XP_017079511.1|DEUG
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC108110172|XP_017074584.1|DEUG
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC108106863|XP_017069596.1|DEUG
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC108106871|XP_017069603.1|DEUG
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC108106870|XP_017069602.1|DEUG
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC108108455|XP_017071998.1|DEUG
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC108108451|XP_017071993.1|DEUG
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC108104028|XP_017065349.1|DEUG
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC108109021|XP_017072783.1|DEUG
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC108103318|XP_017064237.1|DEUG
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC108104999|XP_017066865.1|DEUG
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC108105922|XP_017068599.1|DEUG, LOC108103077|XP_017063915.1|DEUG, LOC108103075|XP_017063912.1|DEUG, LOC108103076|XP_017063913.1|DEUG, LOC108118411|XP_017086576.1|DEUG, LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG, LOC108110535|XP_017075106.1|DEUG, LOC108105167|XP_017067096.1|DEUG
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC108111003|XP_017075802.1|DEUG
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC108111801|XP_017076881.1|DEUG
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG, LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG, LOC108111711|XP_017076750.1|DEUG
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC108115450|XP_017082374.1|DEUG, LOC108115449|XP_017082373.1|DEUG, LOC108115445|XP_017082370.1|DEUG, LOC108115429|XP_017082354.1|DEUG, LOC108115474|XP_017082423.1|DEUG, LOC108115416|XP_017082341.1|DEUG, LOC108115417|XP_017082342.1|DEUG, LOC108112609|XP_017078188.1|DEUG, LOC108112610|XP_017078190.1|DEUG
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC108112608|XP_017078187.1|DEUG
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC108118494|XP_017086716.1|DEUG
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC108113407|XP_017079451.1|DEUG
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC108115061|XP_017081795.1|DEUG
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC108105599|XP_017067763.1|DEUG
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC108114960|XP_017081642.1|DEUG
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC108116661|XP_017084141.1|DEUG
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC108112000|XP_017077225.1|DEUG
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC108108735|XP_017072362.1|DEUG
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC108108809|XP_017072482.1|DEUG
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC108109615|XP_017073668.1|DEUG
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC108102893|XP_017063585.1|DEUG
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC108103025|XP_017063841.1|DEUG
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC108105051|XP_017066944.1|DEUG
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC108116469|XP_017083889.1|DEUG
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC108116470|XP_017083890.1|DEUG
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC108111562|XP_017076575.1|DEUG, LOC108111560|XP_017076573.1|DEUG
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC108111548|XP_017076556.1|DEUG
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC108109350|XP_017073299.1|DEUG
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG, LOC108113689|XP_017079854.1|DEUG, LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC108112378|XP_017077703.1|DEUG, LOC108112385|XP_017077715.1|DEUG, LOC108112383|XP_017077713.1|DEUG, LOC108112381|XP_017077708.1|DEUG, LOC108112379|XP_017077705.1|DEUG, LOC108112382|XP_017077709.1|DEUG, LOC108112377|XP_017077699.1|DEUG, LOC108112386|XP_017077716.1|DEUG
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC108112384|XP_017077714.1|DEUG
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC108116482|XP_017083904.1|DEUG
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC108116483|XP_017083905.1|DEUG
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC108113702|XP_017079868.1|DEUG
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC108113686|XP_017079852.1|DEUG
OG0000044	LOC111592024|XP_023159785.2|DHYD	LOC108116281|XP_017083557.1|DEUG
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC108114047|XP_017080284.1|DEUG
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC108107675|XP_017070752.1|DEUG
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC108107619|XP_017070678.1|DEUG
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC108104996|XP_017066862.1|DEUG, LOC108104997|XP_017066863.1|DEUG
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC108105004|XP_017066870.1|DEUG, LOC108116573|XP_017084003.1|DEUG, LOC108116534|XP_017083961.1|DEUG, LOC108116575|XP_017084005.1|DEUG, LOC108116563|XP_017083991.1|DEUG, LOC108116555|XP_017083982.1|DEUG, LOC108112347|XP_017077663.1|DEUG
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC108112199|XP_017077502.1|DEUG
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC108113383|XP_017079444.1|DEUG
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC108106728|XP_017069453.1|DEUG
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC108106783|XP_017069514.1|DEUG
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC108114267|XP_017080653.1|DEUG, LOC108114271|XP_017080657.1|DEUG
OG0000048	LOC111604700|XP_023178641.1|DHYD	LOC108114269|XP_017080655.1|DEUG
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC108113900|XP_017080095.1|DEUG
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC108114275|XP_017080660.1|DEUG
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC108117079|XP_017084741.1|DEUG
OG0000049	LOC111594529|XP_023163631.2|DHYD	LOC108117054|XP_017084715.1|DEUG
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC108117035|XP_017084693.1|DEUG
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC108117036|XP_017084694.1|DEUG
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC108117318|XP_017085175.1|DEUG
OG0000050	LOC111592220|XP_023160064.2|DHYD	LOC108106209|XP_017068623.1|DEUG
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC108116757|XP_017084265.1|DEUG
OG0000050	LOC111597563|XP_023168130.1|DHYD	LOC108116725|XP_017084231.1|DEUG
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC108116727|XP_017084233.1|DEUG
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC108109429|XP_017073417.1|DEUG
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC108117064|XP_017084724.1|DEUG
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC108109404|XP_017073394.1|DEUG, LOC108116631|XP_017084099.1|DEUG, LOC108109394|XP_017073383.1|DEUG, LOC108110610|XP_017075201.1|DEUG, LOC108110028|XP_017074367.1|DEUG, LOC108110036|XP_017074380.1|DEUG
