Orthogroup	DHYD.longest_only	DBIA.longest_only
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC108032245|XP_016961597.1|DBIA
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC108028108|XP_016955244.1|DBIA
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC108022184|XP_016946525.1|DBIA
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC108023117|XP_016947872.1|DBIA
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA
OG0000010	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD	LOC108024778|XP_016950383.1|DBIA
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC108024710|XP_016950292.1|DBIA
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC108026825|XP_016953482.1|DBIA
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC108026824|XP_016953480.1|DBIA
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC108026906|XP_016953604.1|DBIA
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC108026153|XP_016952377.1|DBIA
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC108033679|XP_016963624.1|DBIA
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC108031488|XP_016960465.1|DBIA
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC108036535|XP_016968248.1|DBIA
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC108024269|XP_016949648.1|DBIA
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC108026160|XP_016952383.1|DBIA
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC108030823|XP_016959429.1|DBIA
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC108036878|XP_016968743.1|DBIA
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	LOC108026055|XP_016952238.1|DBIA
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC108022955|XP_016947661.1|DBIA
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC108024069|XP_016949327.1|DBIA
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC108028081|XP_016955212.1|DBIA
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC108028402|XP_016955706.1|DBIA
OG0000018	LOC111600505|XP_023172401.2|DHYD, LOC111600499|XP_023172394.2|DHYD	LOC108028162|XP_016955311.1|DBIA
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	LOC108025227|XP_016951062.1|DBIA
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC108025224|XP_016951060.1|DBIA
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC108025228|XP_016951063.1|DBIA
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC108026305|XP_016952678.1|DBIA
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC108031537|XP_016960562.1|DBIA
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC108024628|XP_016950157.1|DBIA
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC108027666|XP_016954700.1|DBIA
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC108022678|XP_016947238.1|DBIA
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC108022247|XP_016946595.1|DBIA
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC108022243|XP_016946590.1|DBIA
OG0000021	LOC111601220|XP_023173483.1|DHYD	LOC108036897|XP_016968766.1|DBIA
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC108026319|XP_016952697.1|DBIA
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC108027350|XP_016954258.1|DBIA
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC108022346|XP_016946698.1|DBIA
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC108027148|XP_016953858.1|DBIA
OG0000023	LOC111602703|XP_023175706.2|DHYD	LOC108027146|XP_016953855.1|DBIA
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC108027143|XP_016953853.1|DBIA
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC108026627|XP_016953132.1|DBIA
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC108027145|XP_016953854.1|DBIA
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC108027009|XP_016953696.1|DBIA
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC108027245|XP_016954086.1|DBIA
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC108027357|XP_016954268.1|DBIA
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC108022668|XP_016947226.1|DBIA, LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA, LOC108022666|XP_016947224.1|DBIA
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC108022667|XP_016947225.1|DBIA
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC108034270|XP_016964618.1|DBIA
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC108022158|XP_016946489.1|DBIA
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC108032654|XP_016962104.1|DBIA
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC108033571|XP_016963404.1|DBIA
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC108033374|XP_016963181.1|DBIA
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC108033303|XP_016963062.1|DBIA
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC108033359|XP_016963159.1|DBIA
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC108035881|XP_016967123.1|DBIA
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC108031286|XP_016960018.1|DBIA
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC108028180|XP_016955330.1|DBIA
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC108036692|XP_016968470.1|DBIA
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC108022382|XP_016946753.1|DBIA
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC108023610|XP_016948706.1|DBIA
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC108024286|XP_016949674.1|DBIA
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC108033238|XP_016962991.1|DBIA, LOC108033489|XP_016963320.1|DBIA, LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA, LOC108032586|XP_016961983.1|DBIA
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC108027359|XP_016954271.1|DBIA
OG0000032	LOC111598628|XP_023169740.2|DHYD	LOC108027164|XP_016953916.1|DBIA
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC108027269|XP_016954133.1|DBIA, LOC108027231|XP_016954053.1|DBIA, LOC108027230|XP_016954052.1|DBIA, LOC108027165|XP_016953917.1|DBIA
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC108035889|XP_016967133.1|DBIA, LOC108033536|XP_016963370.1|DBIA, LOC108033501|XP_016963332.1|DBIA, LOC108030100|XP_016958275.1|DBIA, LOC108030101|XP_016958276.1|DBIA
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC108030098|XP_016958274.1|DBIA
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC108034999|XP_016965831.1|DBIA
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC108036755|XP_016968570.1|DBIA
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC108026449|XP_016952877.1|DBIA
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC108024985|XP_016950728.1|DBIA
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC108024657|XP_016950207.1|DBIA
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC108029865|XP_016957843.1|DBIA
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC108030746|XP_016959281.1|DBIA
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC108030931|XP_016959614.1|DBIA
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC108027177|XP_016953954.1|DBIA
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC108025609|XP_016951633.1|DBIA
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC108025634|XP_016951658.1|DBIA
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC108025590|XP_016951608.1|DBIA
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC108025546|XP_016951565.1|DBIA, LOC108024820|XP_016950438.1|DBIA
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC108024821|XP_016950440.1|DBIA
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC108025434|XP_016951413.1|DBIA, LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC108025485|XP_016951488.1|DBIA
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC108023851|XP_016948987.1|DBIA
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA, LOC108026021|XP_016952202.1|DBIA, LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC108029979|XP_016957976.1|DBIA, LOC108029981|XP_016957978.1|DBIA, LOC108029869|XP_016957848.1|DBIA, LOC108029870|XP_016957849.1|DBIA, LOC108029978|XP_016957975.1|DBIA, LOC108029980|XP_016957977.1|DBIA
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC108029982|XP_016957980.1|DBIA
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC108024814|XP_016950428.1|DBIA
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC108024406|XP_016949807.1|DBIA
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC108026455|XP_016952884.1|DBIA
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC108026365|XP_016952771.1|DBIA, LOC108026364|XP_016952769.1|DBIA
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC108026002|XP_016952181.1|DBIA
OG0000044	LOC111592024|XP_023159785.2|DHYD	LOC108025049|XP_016950795.1|DBIA
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC108028610|XP_016956020.1|DBIA
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC108034658|XP_016965085.1|DBIA, LOC108034642|XP_016965069.1|DBIA
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC108028181|XP_016955331.1|DBIA
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC108028143|XP_016955289.1|DBIA
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC108024100|XP_016949365.1|DBIA, LOC108024103|XP_016949370.1|DBIA
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC108024088|XP_016949352.1|DBIA, LOC108024336|XP_016949726.1|DBIA, LOC108024337|XP_016949728.1|DBIA, LOC108024872|XP_016950506.1|DBIA, LOC108024879|XP_016950512.1|DBIA, LOC108029852|XP_016957830.1|DBIA
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC108036240|XP_016967738.1|DBIA
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC108036255|XP_016967753.1|DBIA
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC108029392|XP_016957110.1|DBIA
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC108029377|XP_016957093.1|DBIA
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC108034662|XP_016965090.1|DBIA, LOC108034416|XP_016964788.1|DBIA
OG0000048	LOC111604700|XP_023178641.1|DHYD	LOC108035017|XP_016965850.1|DBIA, LOC108035032|XP_016965866.1|DBIA
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC108035016|XP_016965849.1|DBIA
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC108035019|XP_016965851.1|DBIA
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC108024404|XP_016949805.1|DBIA
OG0000049	LOC111594529|XP_023163631.2|DHYD	LOC108024363|XP_016949755.1|DBIA
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC108024349|XP_016949740.1|DBIA
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC108024840|XP_016950465.1|DBIA
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC108024876|XP_016950510.1|DBIA
OG0000050	LOC111592220|XP_023160064.2|DHYD	LOC108029844|XP_016957821.1|DBIA
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC108030724|XP_016959254.1|DBIA
OG0000050	LOC111597563|XP_023168130.1|DHYD	LOC108030784|XP_016959325.1|DBIA
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC108030723|XP_016959253.1|DBIA
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC108031259|XP_016959986.1|DBIA
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC108031167|XP_016959876.1|DBIA
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC108031139|XP_016959843.1|DBIA, LOC108024786|XP_016950390.1|DBIA, LOC108031304|XP_016960037.1|DBIA, LOC108031177|XP_016959886.1|DBIA, LOC108031170|XP_016959879.1|DBIA
OG0000052	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	LOC108029994|XP_016957997.1|DBIA
OG0000052	LOC111604234|XP_023177982.1|DHYD	LOC108029937|XP_016957921.1|DBIA
OG0000053	LOC111602599|XP_023175526.2|DHYD	LOC108029369|XP_016957086.1|DBIA
OG0000053	LOC111602600|XP_023175527.2|DHYD	LOC108029362|XP_016957079.1|DBIA
OG0000053	LOC111596382|XP_023166356.2|DHYD	LOC108029361|XP_016957078.1|DBIA
OG0000053	LOC111596381|XP_023166355.2|DHYD	LOC108029360|XP_016957077.1|DBIA
OG0000053	LOC111596379|XP_023166352.2|DHYD	LOC108029370|XP_016957087.1|DBIA
OG0000054	LOC111604826|XP_023178817.2|DHYD	LOC108026311|XP_016952687.1|DBIA
OG0000054	LOC111593322|XP_023161796.2|DHYD	LOC108026084|XP_016952272.1|DBIA, LOC108026092|XP_016952281.1|DBIA
OG0000054	LOC111604856|XP_023178857.2|DHYD	LOC108026028|XP_016952208.1|DBIA, LOC108026363|XP_016952768.1|DBIA
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	LOC108025041|XP_016950786.1|DBIA, LOC108025121|XP_016950876.1|DBIA
OG0000056	LOC111599611|XP_023171068.2|DHYD	LOC108031456|XP_016960380.1|DBIA
OG0000056	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD	LOC108031455|XP_016960379.1|DBIA, LOC108031454|XP_016960378.1|DBIA, LOC108031452|XP_016960376.1|DBIA
OG0000056	LOC111600558|XP_023172478.1|DHYD	LOC108031088|XP_016959782.1|DBIA, LOC108031982|XP_016961266.1|DBIA
