Orthogroup	DHYD.longest_only	DELE.longest_only
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC108134991|XP_017111013.1|DELE
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	LOC108137351|XP_017114475.1|DELE
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC108143462|XP_017123388.1|DELE
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC108141554|XP_017120482.1|DELE
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC108147936|XP_017130210.1|DELE, LOC108147886|XP_017130134.1|DELE
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC108142474|XP_017121847.1|DELE
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC108142172|XP_017121346.1|DELE
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC108142475|XP_017121848.1|DELE
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	LOC108148666|XP_017131288.1|DELE
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC108148661|XP_017131282.1|DELE
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC108148667|XP_017131289.1|DELE
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC108148802|XP_017131514.1|DELE
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC108145240|XP_017125995.1|DELE
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC108136813|XP_017113705.1|DELE
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC108140627|XP_017119032.1|DELE
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC108143679|XP_017123678.1|DELE
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC108143658|XP_017123658.1|DELE
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC108144237|XP_017124406.1|DELE
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC108140888|XP_017119410.1|DELE
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC108139148|XP_017117255.1|DELE
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC108134787|XP_017110724.1|DELE
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC108137723|XP_017115107.1|DELE
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC108144256|XP_017124426.1|DELE
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC108145944|XP_017127140.1|DELE, LOC108145943|XP_017127139.1|DELE
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC108140988|XP_017119550.1|DELE
OG0000023	LOC111602703|XP_023175706.2|DHYD	LOC108140990|XP_017119554.1|DELE
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC108137536|XP_017114748.1|DELE
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC108140985|XP_017119548.1|DELE
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC108140949|XP_017119506.1|DELE
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC108141054|XP_017119691.1|DELE
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC108141157|XP_017119872.1|DELE
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC108141055|XP_017119693.1|DELE
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC108144322|XP_017124512.1|DELE, LOC108144853|XP_017125489.1|DELE, LOC108144323|XP_017124513.1|DELE, LOC108144321|XP_017124511.1|DELE
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC108144317|XP_017124507.1|DELE
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC108134565|XP_017110407.1|DELE
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC108149067|XP_017131913.1|DELE
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC108136491|XP_017113196.1|DELE
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC108142200|XP_017121376.1|DELE
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC108148207|XP_017130606.1|DELE
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC108140970|XP_017119526.1|DELE
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC108138066|XP_017115531.1|DELE
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC108138053|XP_017115518.1|DELE
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC108138043|XP_017115505.1|DELE
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC108146069|XP_017127372.1|DELE
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC108135556|XP_017111792.1|DELE
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC108138030|XP_017115492.1|DELE
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC108147758|XP_017129978.1|DELE
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC108143463|XP_017123389.1|DELE
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC108136286|XP_017112860.1|DELE
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC108147607|XP_017129735.1|DELE
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC108138004|XP_017115462.1|DELE, LOC108138214|XP_017115823.1|DELE, LOC108138259|XP_017115893.1|DELE, LOC108138165|XP_017115746.1|DELE
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC108138948|XP_017117015.1|DELE, LOC108150405|XP_017134051.1|DELE, LOC108138949|XP_017117016.1|DELE, LOC108150412|XP_017134059.1|DELE, LOC108148078|XP_017130421.1|DELE, LOC108147853|XP_017130100.1|DELE, LOC108148083|XP_017130428.1|DELE, LOC108138166|XP_017115747.1|DELE
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC108142073|XP_017121248.1|DELE
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC108134794|XP_017110732.1|DELE, LOC108134793|XP_017110731.1|DELE, LOC108141568|XP_017120503.1|DELE
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC108141856|XP_017120938.1|DELE, LOC108141639|XP_017120598.1|DELE, LOC108141763|XP_017120751.1|DELE, LOC108145061|XP_017125731.1|DELE, LOC108145062|XP_017125732.1|DELE, LOC108136520|XP_017113279.1|DELE
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC108145060|XP_017125730.1|DELE
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC108150425|XP_017134072.1|DELE
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC108150530|XP_017134248.1|DELE
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC108134580|XP_017110423.1|DELE
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC108141221|XP_017119962.1|DELE
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC108141229|XP_017119974.1|DELE
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC108141167|XP_017119884.1|DELE
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC108134742|XP_017110664.1|DELE
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC108145158|XP_017125873.1|DELE
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC108146067|XP_017127370.1|DELE
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC108146005|XP_017127248.1|DELE
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC108148259|XP_017130681.1|DELE
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC108135451|XP_017111682.1|DELE
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC108135405|XP_017111592.1|DELE
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC108147617|XP_017129742.1|DELE
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC108140733|XP_017119198.1|DELE, LOC108136930|XP_017113894.1|DELE
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC108136932|XP_017113896.1|DELE
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC108140734|XP_017119199.1|DELE, LOC108140735|XP_017119200.1|DELE
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC108140405|XP_017118609.1|DELE
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC108143008|XP_017122685.1|DELE
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE, LOC108143886|XP_017123949.1|DELE, LOC108143890|XP_017123952.1|DELE, LOC108143732|XP_017123755.1|DELE, LOC108143888|XP_017123951.1|DELE
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC108139192|XP_017117319.1|DELE, LOC108139163|XP_017117272.1|DELE, LOC108139199|XP_017117331.1|DELE, LOC108139151|XP_017117261.1|DELE, LOC108147611|XP_017129779.1|DELE
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC108139178|XP_017117292.1|DELE
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC108136884|XP_017113826.1|DELE
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC108137000|XP_017113987.1|DELE
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC108143748|XP_017123768.1|DELE
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC108143753|XP_017123772.1|DELE, LOC108143769|XP_017123786.1|DELE, LOC108143754|XP_017123773.1|DELE
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC108143771|XP_017123788.1|DELE
OG0000044	LOC111592024|XP_023159785.2|DHYD	LOC108140749|XP_017119215.1|DELE
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC108150162|XP_017133621.1|DELE
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC108150135|XP_017133591.1|DELE, LOC108150141|XP_017133599.1|DELE
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC108146641|XP_017128175.1|DELE
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC108146602|XP_017128138.1|DELE
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC108134821|XP_017110764.1|DELE, LOC108134933|XP_017110942.1|DELE
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC108147306|XP_017129219.1|DELE, LOC108147302|XP_017129214.1|DELE, LOC108147114|XP_017128893.1|DELE, LOC108144852|XP_017125488.1|DELE
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC108137997|XP_017115461.1|DELE
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC108137888|XP_017115315.1|DELE
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC108137980|XP_017115444.1|DELE, LOC108149120|XP_017132010.1|DELE
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC108149847|XP_017133213.1|DELE
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC108145662|XP_017126704.1|DELE, LOC108145661|XP_017126703.1|DELE
OG0000048	LOC111604700|XP_023178641.1|DHYD	LOC108146208|XP_017127615.1|DELE, LOC108146209|XP_017127617.1|DELE
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC108146206|XP_017127613.1|DELE
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC108146211|XP_017127619.1|DELE
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC108140399|XP_017118596.1|DELE
OG0000049	LOC111594529|XP_023163631.2|DHYD	LOC108140396|XP_017118593.1|DELE
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC108140391|XP_017118587.1|DELE
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC108140400|XP_017118597.1|DELE
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC108140395|XP_017118592.1|DELE
OG0000050	LOC111592220|XP_023160064.2|DHYD	LOC108144105|XP_017124238.1|DELE
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC108143121|XP_017122851.1|DELE
OG0000050	LOC111597563|XP_023168130.1|DHYD	LOC108143197|XP_017122939.1|DELE
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC108143120|XP_017122849.1|DELE
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC108143756|XP_017123775.1|DELE
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC108143275|XP_017123079.1|DELE
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC108135036|XP_017111063.1|DELE, LOC108136729|XP_017113543.1|DELE, LOC108135035|XP_017111062.1|DELE, LOC108135034|XP_017111060.1|DELE, LOC108135047|XP_017111075.1|DELE, LOC108135173|XP_017111287.1|DELE
OG0000052	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	LOC108145160|XP_017125875.1|DELE
OG0000052	LOC111604234|XP_023177982.1|DHYD	LOC108145159|XP_017125874.1|DELE
OG0000053	LOC111602599|XP_023175526.2|DHYD	LOC108145359|XP_017126241.1|DELE
OG0000053	LOC111602600|XP_023175527.2|DHYD	LOC108145358|XP_017126240.1|DELE
OG0000053	LOC111596382|XP_023166356.2|DHYD	LOC108145357|XP_017126239.1|DELE
OG0000053	LOC111596381|XP_023166355.2|DHYD	LOC108145356|XP_017126238.1|DELE
OG0000053	LOC111596379|XP_023166352.2|DHYD	LOC108145362|XP_017126243.1|DELE
OG0000054	LOC111604826|XP_023178817.2|DHYD	LOC108140678|XP_017119113.1|DELE
OG0000054	LOC111593322|XP_023161796.2|DHYD	LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE
OG0000054	LOC111604856|XP_023178857.2|DHYD	LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	LOC108148467|XP_017130988.1|DELE, LOC108148466|XP_017130987.1|DELE
OG0000056	LOC111599611|XP_023171068.2|DHYD	LOC108148700|XP_017131340.1|DELE
OG0000056	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD	LOC108148704|XP_017131344.1|DELE, LOC108148702|XP_017131342.1|DELE, LOC108148701|XP_017131341.1|DELE
OG0000056	LOC111600558|XP_023172478.1|DHYD	LOC108135876|XP_017112266.1|DELE, LOC108135877|XP_017112269.1|DELE
OG0000058	LOC111602372|XP_023175155.1|DHYD, LOC111602373|XP_023175156.2|DHYD	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE
OG0000058	LOC111602375|XP_023175159.2|DHYD, LOC111602371|XP_023175154.1|DHYD, LOC111602374|XP_023175158.2|DHYD	LOC108150544|XP_017134265.1|DELE
OG0000058	LOC111591894|XP_023159568.1|DHYD	LOC108149860|XP_017133229.1|DELE
OG0000059	LOC111595783|XP_030078737.1|DHYD	LOC108148904|XP_017131709.1|DELE
OG0000059	LOC111595875|XP_023165572.2|DHYD	LOC108148902|XP_017131707.1|DELE, LOC108148903|XP_017131708.1|DELE
OG0000059	LOC111595256|XP_023164673.2|DHYD	LOC108148901|XP_017131706.1|DELE
OG0000059	LOC111595830|XP_030078745.1|DHYD, LOC111595757|XP_023165402.2|DHYD, LOC111595792|XP_023165450.1|DHYD	LOC108148470|XP_017130991.1|DELE
OG0000060	LOC111605118|XP_023179239.1|DHYD	LOC108137714|XP_017115086.1|DELE
OG0000060	LOC111594203|XP_023163168.1|DHYD	LOC108138657|XP_017116487.1|DELE
OG0000060	LOC115482748|XP_030081618.1|DHYD	LOC108137459|XP_017114652.1|DELE
OG0000060	LOC111597837|XP_023168500.1|DHYD	LOC108143025|XP_017122707.1|DELE
OG0000060	LOC111598840|XP_023170044.1|DHYD	LOC108149967|XP_017133376.1|DELE
