Orthogroup	DHYD.longest_only	DSIM.longest_only
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC6733581|XP_002080635.1|DSIM
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC6731021|XP_002078182.1|DSIM
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC6726998|XP_016033494.2|DSIM
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC6726996|XP_002102397.1|DSIM
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC6726997|XP_002102398.2|DSIM
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC6726995|XP_002102396.1|DSIM
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC6727419|XP_002102801.1|DSIM
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC6727422|XP_002102804.2|DSIM
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC6736062|XP_002082963.1|DSIM
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC6734157|XP_002081186.1|DSIM
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
OG0000010	LOC115483264|XP_030080469.1|DHYD	LOC120285280|XP_039152696.1|DSIM
OG0000010	LOC115483262|XP_030080467.1|DHYD	LOC120285282|XP_039152699.1|DSIM
OG0000010	LOC115483312|XP_030080549.1|DHYD	LOC120285813|XP_039154363.1|DSIM
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC6728756|XP_002104091.1|DSIM
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC6735247|XP_016028572.1|DSIM
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC6735246|XP_016028570.1|DSIM
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC6735245|XP_016028569.1|DSIM
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC6735248|XP_016028574.1|DSIM
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC6735250|XP_002082223.1|DSIM, LOC6735249|XP_016028575.1|DSIM
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC6734131|XP_002081160.1|DSIM, LOC6734132|XP_016027145.1|DSIM, LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC6734135|XP_002081164.1|DSIM, LOC6734136|XP_016027147.1|DSIM
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC6734455|XP_002081474.1|DSIM
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC6725717|XP_016038992.1|DSIM
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC6728006|XP_016034604.1|DSIM
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC6737992|XP_016031791.1|DSIM
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC6728269|XP_002103618.2|DSIM
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC6729335|XP_016035977.1|DSIM
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC6732807|XP_002079920.3|DSIM
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC6728214|XP_016034853.1|DSIM
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC6735456|XP_002082396.1|DSIM
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC6728317|XP_002103666.1|DSIM
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC6734815|XP_016028043.1|DSIM
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC6725225|XP_016038239.1|DSIM
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC6733183|XP_016026067.1|DSIM
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC6727955|XP_016034553.1|DSIM
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC6739089|XP_016032930.1|DSIM
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC6733173|XP_002080249.1|DSIM
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	LOC6729887|XP_002105190.2|DSIM
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC6735880|XP_002082790.1|DSIM
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC6733175|XP_002080251.2|DSIM
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC6730585|XP_016023026.1|DSIM, LOC6730584|XP_002077763.1|DSIM
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC6736980|XP_002083827.1|DSIM
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC6736983|XP_002083830.1|DSIM
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC6736982|XP_002083829.1|DSIM
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	LOC6729811|XP_002105114.1|DSIM
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC6729806|XP_002105109.2|DSIM
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC6729809|XP_002105112.1|DSIM
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC6730019|XP_002105313.2|DSIM
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC6735524|XP_016028869.1|DSIM
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC6727407|XP_016033953.2|DSIM
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC6728507|XP_016035147.1|DSIM
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC6733023|XP_016025710.1|DSIM, LOC6732748|XP_016025473.2|DSIM
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC6730820|XP_002077987.1|DSIM
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC6735639|XP_002082557.1|DSIM
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC6739483|XP_002076381.1|DSIM
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC27206609|XP_016028304.1|DSIM
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC6725592|XP_039153232.1|DSIM
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC6729419|XP_002104734.2|DSIM
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC6728358|XP_016034980.1|DSIM
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC6726014|XP_016039394.1|DSIM
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC27206614|XP_039147853.1|DSIM
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC6727104|XP_002102497.2|DSIM
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC6727107|XP_016033584.1|DSIM
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC6735713|XP_002082629.1|DSIM
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC6727106|XP_039151383.1|DSIM
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC6727099|XP_002102492.1|DSIM
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC6727095|XP_016033580.1|DSIM
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC6727097|XP_002102490.1|DSIM
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC6727094|XP_016033578.1|DSIM
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC6733991|XP_002081035.1|DSIM, LOC120284488|XP_039148839.1|DSIM, LOC6739389|XP_002076289.1|DSIM, LOC27209398|XP_016027021.1|DSIM
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC6733990|XP_002081034.2|DSIM
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC6732909|XP_002080014.1|DSIM
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC6733989|XP_002081033.1|DSIM
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC6739427|XP_002076329.1|DSIM
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC27207833|XP_016038650.1|DSIM
OG0000025	LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD	LOC120285797|XP_039154346.1|DSIM
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC6725654|XP_002106661.1|DSIM
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC6731167|XP_002078325.1|DSIM
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC6727211|XP_002102603.1|DSIM
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC6731383|XP_002078536.1|DSIM
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC6731386|XP_002078539.1|DSIM
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC6731384|XP_002078537.1|DSIM
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC6738680|XP_039149230.1|DSIM
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC6731962|XP_016024641.1|DSIM, LOC6728974|XP_002104302.1|DSIM
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC27208471|XP_016032409.1|DSIM
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC6732024|XP_016024722.1|DSIM
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC6730745|XP_002077913.2|DSIM
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC6735876|XP_002082786.1|DSIM
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC27208281|XP_039152536.1|DSIM
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC6740355|XP_002077222.1|DSIM
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC6732472|XP_016025109.1|DSIM, LOC27206502|XP_016025100.2|DSIM, LOC6732447|XP_002079568.2|DSIM
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC6736718|XP_002083574.1|DSIM, LOC6730782|XP_002077950.2|DSIM, LOC6733504|XP_016026473.1|DSIM
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC6731777|XP_016024472.1|DSIM
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC6728385|XP_016034993.2|DSIM
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC6728379|XP_016034990.1|DSIM, LOC6728383|XP_002103731.2|DSIM, LOC6728381|XP_016034991.1|DSIM, LOC6728387|XP_039151488.1|DSIM
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	LOC6728378|XP_002103726.1|DSIM
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC6732999|XP_002080078.1|DSIM, LOC6733000|XP_016025683.2|DSIM, LOC6732998|XP_016025682.1|DSIM, LOC6733292|XP_016026219.1|DSIM, LOC6733291|XP_002080354.2|DSIM
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC6733297|XP_016026220.1|DSIM
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC27209034|XP_016025242.1|DSIM
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC6731186|XP_002078345.3|DSIM
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC6727116|XP_002102509.1|DSIM
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC6727985|XP_002103337.2|DSIM
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC6726665|XP_039151600.1|DSIM
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC6729259|XP_016035909.1|DSIM, LOC6729260|XP_002104580.2|DSIM
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC6735171|XP_016028454.1|DSIM
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC6727491|XP_002102871.2|DSIM, LOC6727490|XP_002102870.2|DSIM
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC6738693|XP_002085495.1|DSIM
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC6738696|XP_016032514.1|DSIM
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC6726964|XP_002102366.2|DSIM
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC27207643|XP_016039311.1|DSIM
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC6740324|XP_002077196.2|DSIM
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC6725586|XP_039153235.1|DSIM
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC6727642|XP_002103019.1|DSIM, LOC6728556|XP_002103897.1|DSIM
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC6728557|XP_002103898.1|DSIM
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC6727641|XP_002103018.1|DSIM, LOC6727640|XP_016034235.1|DSIM
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC6727638|XP_002103015.1|DSIM
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC6730355|XP_002105637.2|DSIM
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC6729586|XP_002104894.1|DSIM, LOC6740781|XP_016036235.1|DSIM, LOC6729587|XP_002104895.1|DSIM, LOC6729591|XP_002104899.1|DSIM, LOC6729588|XP_016036234.1|DSIM, LOC6729589|XP_002104897.1|DSIM, LOC6729598|XP_002104906.1|DSIM, LOC6729596|XP_002104904.1|DSIM, LOC6729597|XP_016036238.1|DSIM
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC6735085|XP_039148041.1|DSIM, LOC6735089|XP_039148042.1|DSIM, LOC6735086|XP_002082063.1|DSIM, LOC120284425|XP_039148040.1|DSIM, LOC6735088|XP_039148043.1|DSIM, LOC120284426|XP_039148044.1|DSIM, LOC6735087|XP_002082064.1|DSIM
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC6735090|XP_016028363.1|DSIM
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC6728570|XP_016035206.2|DSIM
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC6728571|XP_002103912.1|DSIM
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC6728574|XP_002103915.1|DSIM
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC6728568|XP_002103909.1|DSIM, LOC6728566|XP_002103907.3|DSIM, LOC6730335|XP_016037102.1|DSIM
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC6729601|XP_016036243.1|DSIM
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC6729605|XP_002104913.1|DSIM, LOC6729606|XP_002104914.1|DSIM
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC6729602|XP_016036244.1|DSIM
OG0000044	LOC111592024|XP_023159785.2|DHYD	LOC6728484|XP_016035123.1|DSIM
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC27207701|XP_016031376.1|DSIM
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC6737583|XP_039149017.1|DSIM, LOC120284704|XP_039149018.1|DSIM, LOC120284202|XP_002084415.1|DSIM
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC6737082|XP_002083929.1|DSIM
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC6737081|XP_002083928.1|DSIM
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC27208258|XP_039152751.1|DSIM, LOC6726461|XP_002107418.1|DSIM
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC6726459|XP_016040040.1|DSIM, LOC6729249|XP_002104570.1|DSIM, LOC6729250|XP_016035903.2|DSIM, LOC6729248|XP_016035902.2|DSIM, LOC6729247|XP_039150891.1|DSIM, LOC6736058|XP_016029460.1|DSIM, LOC6729246|XP_002104567.2|DSIM, LOC6734258|XP_016027304.1|DSIM
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC6734785|XP_039147648.1|DSIM
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC6734782|XP_002081785.2|DSIM
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC6734347|XP_002081368.2|DSIM
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC6734356|XP_002081377.1|DSIM
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC6738296|XP_002085107.2|DSIM, LOC6738295|XP_002085106.1|DSIM
OG0000048	LOC111604700|XP_023178641.1|DHYD	LOC6738290|XP_002085101.1|DSIM
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC6738287|XP_039149226.1|DSIM
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC6738291|XP_002085102.1|DSIM
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC6727737|XP_002103099.1|DSIM
OG0000049	LOC111594529|XP_023163631.2|DHYD	LOC6727734|XP_002103096.1|DSIM
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC6727738|XP_002103100.1|DSIM
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC6727739|XP_002103101.1|DSIM
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC6727733|XP_002103095.1|DSIM
OG0000050	LOC111592220|XP_023160064.2|DHYD	LOC6734037|XP_002081073.1|DSIM
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC6739124|XP_002085917.1|DSIM
OG0000050	LOC111597563|XP_023168130.1|DHYD	LOC27208454|XP_016032970.1|DSIM
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC6739126|XP_002085919.1|DSIM
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC6728912|XP_016035601.1|DSIM
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC6728321|XP_002103670.1|DSIM
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC6728714|XP_002104050.1|DSIM, LOC6729302|XP_002104619.1|DSIM, LOC6728715|XP_016035378.1|DSIM, LOC6728716|XP_002104052.1|DSIM, LOC6728712|XP_002104048.2|DSIM, LOC6728713|XP_002104049.1|DSIM
OG0000052	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	LOC6735169|XP_016028453.1|DSIM
OG0000052	LOC111604234|XP_023177982.1|DHYD	LOC6735168|XP_002082143.1|DSIM
OG0000053	LOC111602599|XP_023175526.2|DHYD	LOC6733546|XP_002080601.2|DSIM
OG0000053	LOC111602600|XP_023175527.2|DHYD	LOC6733544|XP_016026500.1|DSIM
OG0000053	LOC111596382|XP_023166356.2|DHYD	LOC6733543|XP_002080598.2|DSIM
OG0000053	LOC111596381|XP_023166355.2|DHYD	LOC6733541|XP_002080596.2|DSIM
OG0000053	LOC111596379|XP_023166352.2|DHYD	LOC6733535|XP_002080590.2|DSIM
OG0000054	LOC111604826|XP_023178817.2|DHYD	LOC6727939|XP_039151973.1|DSIM
OG0000054	LOC111593322|XP_023161796.2|DHYD	LOC6727938|XP_016034544.1|DSIM
OG0000054	LOC111604856|XP_023178857.2|DHYD	LOC6727936|XP_002103291.1|DSIM, LOC6727937|XP_016034543.1|DSIM
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	LOC6730202|XP_002105487.1|DSIM
OG0000056	LOC111599611|XP_023171068.2|DHYD	LOC6729191|XP_016035843.1|DSIM
OG0000056	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD	LOC6729193|XP_002104514.1|DSIM, LOC6729195|XP_002104516.1|DSIM, LOC6729194|XP_002104515.1|DSIM
