Orthogroup	DHYD.longest_only	DALB.longest_only
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC111592160|XP_023159980.2|DHYD	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB
OG0000012	LOC111592239|XP_023160091.2|DHYD	LOC117571638|XP_034109755.1|DALB
OG0000012	LOC111603807|XP_023177327.2|DHYD	LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB
OG0000012	LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC111601485|XP_023173841.2|DHYD	LOC117574089|XP_034113616.1|DALB, LOC117574087|XP_034113614.1|DALB
OG0000015	LOC111598320|XP_023169285.2|DHYD	LOC117574088|XP_034113615.1|DALB
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC111603761|XP_023177261.1|DHYD	LOC117565916|XP_034101175.1|DALB
OG0000015	LOC111599488|XP_023170923.2|DHYD	LOC117564597|XP_034099342.1|DALB, LOC117564598|XP_034099344.1|DALB, LOC117564596|XP_034099340.1|DALB, LOC117564343|XP_034098944.1|DALB, LOC117564332|XP_034098928.1|DALB
OG0000015	LOC111599832|XP_023171393.2|DHYD	LOC117567386|XP_034103227.1|DALB
OG0000015	LOC111603762|XP_023177262.1|DHYD, LOC111603745|XP_023177233.1|DHYD	LOC117564019|XP_034098510.1|DALB, LOC117564020|XP_034098511.1|DALB
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB
OG0000017	LOC111602301|XP_023175069.1|DHYD	LOC117574957|XP_034114906.1|DALB
OG0000017	LOC111592321|XP_023160210.2|DHYD	LOC117569360|XP_034106383.1|DALB
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC111592948|XP_023161193.2|DHYD	LOC117575876|XP_034116205.1|DALB
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC111600522|XP_023172425.2|DHYD	LOC117570357|XP_034107819.1|DALB
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC111604565|XP_023178433.2|DHYD	LOC117576471|XP_034117133.1|DALB
OG0000020	LOC111604594|XP_030078785.1|DHYD	LOC117576474|XP_034117135.1|DALB
OG0000020	LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC117576472|XP_034117134.1|DALB
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC111604510|XP_023178374.1|DHYD	LOC117570665|XP_034108343.1|DALB
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC111601220|XP_023173483.1|DHYD	LOC117570906|XP_034108702.1|DALB
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC111596894|XP_023167111.1|DHYD, LOC115482988|XP_030079478.1|DHYD	LOC117567521|XP_034103458.1|DALB
OG0000022	LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC111601208|XP_030081929.1|DHYD	LOC117569847|XP_034107067.1|DALB
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD	LOC117566085|XP_034101455.1|DALB
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC111596716|XP_023166806.2|DHYD, LOC115482855|XP_030078964.1|DHYD, LOC111602869|XP_023175962.1|DHYD	LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC117566595|XP_034102028.1|DALB
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC117565254|XP_034100159.1|DALB
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC117574485|XP_034114214.1|DALB
OG0000032	LOC111598586|XP_023169670.2|DHYD	LOC117575800|XP_034116069.1|DALB
OG0000032	LOC111598885|XP_023170120.2|DHYD	LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC117576608|XP_034117400.1|DALB
OG0000036	LOC111605324|XP_023179557.2|DHYD	LOC117565385|XP_034100358.1|DALB
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC117575741|XP_034115985.1|DALB
OG0000037	LOC111599598|XP_023171051.2|DHYD	LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB
OG0000037	LOC111592218|XP_023160061.2|DHYD	LOC117569403|XP_034106430.1|DALB
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD	LOC117574799|XP_034114654.1|DALB
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC117573618|XP_034112808.1|DALB
OG0000040	LOC111604244|XP_023177997.1|DHYD	LOC117573616|XP_034112804.1|DALB
OG0000041	LOC111597538|XP_023168095.2|DHYD	LOC117575844|XP_034116145.1|DALB
OG0000041	LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD	LOC117574557|XP_034114320.1|DALB
OG0000041	LOC111598483|XP_023169509.2|DHYD, LOC111597534|XP_023168080.2|DHYD	LOC117576156|XP_034116620.1|DALB, LOC117576178|XP_034116653.1|DALB, LOC117576081|XP_034116519.1|DALB, LOC117575845|XP_034116146.1|DALB
OG0000041	LOC111597523|XP_023168066.2|DHYD	LOC117573341|XP_034112342.1|DALB
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB
OG0000041	LOC111604851|XP_023178852.2|DHYD	LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC117574639|XP_034114428.1|DALB
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC111604858|XP_023178860.2|DHYD, LOC111604849|XP_023178850.2|DHYD	LOC117576553|XP_034117282.1|DALB
OG0000044	LOC111604836|XP_023178833.2|DHYD	LOC117576551|XP_034117281.1|DALB
OG0000044	LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC117576550|XP_034117280.1|DALB
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC111592024|XP_023159785.2|DHYD	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
OG0000046	LOC111594427|XP_023163484.2|DHYD	LOC117566493|XP_034101923.1|DALB
OG0000046	LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD	LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB
OG0000046	LOC111594428|XP_030080652.1|DHYD	LOC117576921|XP_034117957.1|DALB
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC117570312|XP_034107745.1|DALB
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC117567370|XP_034103204.1|DALB
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC117570238|XP_034107631.1|DALB
