Orthogroup	DHYD.longest_only	DSEC.longest_only
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC6611565|XP_002036103.2|DSEC
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC6611563|XP_002036101.1|DSEC
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC6607309|XP_002032088.1|DSEC
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC6618299|XP_002042572.1|DSEC
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC6617677|XP_032583255.1|DSEC
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC6613129|XP_002037610.2|DSEC
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC6615712|XP_002040083.1|DSEC
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC6616124|XP_002040489.1|DSEC
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC6615087|XP_032581969.1|DSEC
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC116803563|XP_032583263.1|DSEC, LOC6610715|XP_032575982.1|DSEC, LOC6613163|XP_002037644.1|DSEC, LOC6608128|XP_002032876.2|DSEC
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC6611956|XP_002036473.1|DSEC
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC6606692|XP_002031492.2|DSEC
OG0000032	LOC111598628|XP_023169740.2|DHYD	LOC6606694|XP_002031494.1|DSEC
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC6606686|XP_002031486.2|DSEC, LOC6606689|XP_002031489.2|DSEC, LOC6606693|XP_002031493.1|DSEC
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC6618199|XP_032571400.1|DSEC, LOC6618200|XP_032577814.1|DSEC, LOC6618198|XP_002042473.1|DSEC, LOC6607913|XP_002032667.1|DSEC, LOC6607912|XP_002032666.2|DSEC
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC6607918|XP_002032668.1|DSEC
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC6614430|XP_002038863.1|DSEC
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC6613602|XP_002038072.1|DSEC
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC6614280|XP_002038720.1|DSEC
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC6606280|XP_032578992.1|DSEC
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC6613804|XP_032577945.1|DSEC
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC6607601|XP_002032369.2|DSEC
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC6609848|XP_002034500.1|DSEC
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC6619358|XP_002043575.1|DSEC
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC6619360|XP_032575071.1|DSEC
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC6614108|XP_032577608.1|DSEC
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC6619553|XP_002043768.1|DSEC
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC6619552|XP_002043767.1|DSEC
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC6617545|XP_032581966.1|DSEC
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC6616682|XP_002041037.1|DSEC, LOC6606863|XP_002031657.1|DSEC
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC6606864|XP_002031658.1|DSEC
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC6616681|XP_002041036.1|DSEC, LOC6616680|XP_002041035.2|DSEC
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC6616678|XP_002041033.1|DSEC
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC6619507|XP_002043722.1|DSEC
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC6609765|XP_002034419.1|DSEC, LOC6609768|XP_002034422.2|DSEC, LOC6609766|XP_032571746.1|DSEC, LOC6609767|XP_032571748.1|DSEC, LOC116800694|XP_032572982.1|DSEC
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC6609769|XP_002034423.2|DSEC
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC6606880|XP_002031674.2|DSEC
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC6606881|XP_032578763.1|DSEC
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC6606886|XP_002031680.1|DSEC
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC6619712|XP_032578272.1|DSEC
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC6619713|XP_032578123.1|DSEC
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC6605191|XP_002030030.1|DSEC
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC6611095|XP_002035652.1|DSEC
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC6611094|XP_002035651.1|DSEC
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC6615012|XP_002039429.1|DSEC, LOC6615013|XP_002039430.2|DSEC
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC6615011|XP_032581038.1|DSEC, LOC6607592|XP_032578892.1|DSEC, LOC6618806|XP_002043055.1|DSEC, LOC6607590|XP_002032359.1|DSEC, LOC6608938|XP_002033652.1|DSEC
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC6609458|XP_002034143.1|DSEC
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC6609455|XP_002034140.1|DSEC
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC6609036|XP_032573031.1|DSEC
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC6609046|XP_032572064.1|DSEC
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC6605929|XP_002030742.1|DSEC, LOC6605928|XP_002030741.1|DSEC
OG0000048	LOC111604700|XP_023178641.1|DHYD	LOC6605924|XP_002030737.1|DSEC, LOC6605925|XP_002030738.1|DSEC
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC6605923|XP_002030736.1|DSEC
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC6605926|XP_002030739.1|DSEC
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC6616787|XP_002041124.1|DSEC
OG0000049	LOC111594529|XP_023163631.2|DHYD	LOC6616784|XP_002041121.1|DSEC
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC6616788|XP_002041125.1|DSEC
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC6616789|XP_002041126.1|DSEC
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC6616783|XP_002041120.1|DSEC
OG0000050	LOC111592220|XP_023160064.2|DHYD	LOC6608707|XP_002033431.1|DSEC
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC6616570|XP_002040929.1|DSEC
OG0000050	LOC111597563|XP_023168130.1|DHYD	LOC116800887|XP_032573137.1|DSEC
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC6616572|XP_002040931.1|DSEC
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC6607242|XP_032578378.1|DSEC
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC6606627|XP_002031428.1|DSEC
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC6607024|XP_002031813.1|DSEC, LOC6607642|XP_002032407.1|DSEC, LOC6607025|XP_002031814.1|DSEC, LOC6607026|XP_002031815.1|DSEC, LOC6607022|XP_002031811.2|DSEC, LOC6607023|XP_002031812.1|DSEC
OG0000052	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	LOC6609846|XP_002034498.1|DSEC
OG0000052	LOC111604234|XP_023177982.1|DHYD	LOC6609845|XP_002034497.1|DSEC
OG0000053	LOC111602599|XP_023175526.2|DHYD	LOC6608189|XP_002032934.2|DSEC
OG0000053	LOC111602600|XP_023175527.2|DHYD	LOC6608187|XP_002032932.1|DSEC
OG0000053	LOC111596382|XP_023166356.2|DHYD	LOC6608186|XP_002032931.2|DSEC
OG0000053	LOC111596381|XP_023166355.2|DHYD	LOC6608184|XP_002032929.1|DSEC
OG0000053	LOC111596379|XP_023166352.2|DHYD	LOC6608180|XP_002032925.1|DSEC
OG0000054	LOC111604826|XP_023178817.2|DHYD	LOC6606233|XP_002031041.1|DSEC
OG0000054	LOC111593322|XP_023161796.2|DHYD	LOC6606232|XP_002031040.1|DSEC
OG0000054	LOC111604856|XP_023178857.2|DHYD	LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	LOC6612845|XP_002037339.1|DSEC
OG0000055	LOC111603272|XP_023176553.1|DHYD	LOC116801473|XP_032577167.1|DSEC
OG0000056	LOC111599611|XP_023171068.2|DHYD	LOC6607531|XP_002032300.1|DSEC
OG0000056	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD	LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC
OG0000056	LOC111600558|XP_023172478.1|DHYD	LOC6606941|XP_002031735.1|DSEC, LOC6606940|XP_002031734.1|DSEC
OG0000058	LOC111602372|XP_023175155.1|DHYD, LOC111602373|XP_023175156.2|DHYD	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC
OG0000058	LOC111602375|XP_023175159.2|DHYD, LOC111602371|XP_023175154.1|DHYD, LOC111602374|XP_023175158.2|DHYD	LOC6613603|XP_002038073.1|DSEC
OG0000058	LOC111591894|XP_023159568.1|DHYD	LOC6612350|XP_002036859.1|DSEC
OG0000059	LOC111595783|XP_030078737.1|DHYD	LOC6617066|XP_002041394.1|DSEC
OG0000059	LOC111595875|XP_023165572.2|DHYD	LOC6617064|XP_002041392.1|DSEC, LOC6617063|XP_002041391.1|DSEC
OG0000059	LOC111595256|XP_023164673.2|DHYD	LOC6617065|XP_002041393.1|DSEC
OG0000059	LOC111595830|XP_030078745.1|DHYD, LOC111595757|XP_023165402.2|DHYD, LOC111595792|XP_023165450.1|DHYD	LOC6617058|XP_002041386.1|DSEC
OG0000060	LOC111605118|XP_023179239.1|DHYD	LOC6618583|XP_002042842.1|DSEC
OG0000060	LOC111594203|XP_023163168.1|DHYD	LOC6614500|XP_002038933.1|DSEC
OG0000060	LOC115482748|XP_030081618.1|DHYD	LOC6613944|XP_032578849.1|DSEC
OG0000060	LOC111597837|XP_023168500.1|DHYD	LOC6612941|XP_032579191.1|DSEC
OG0000060	LOC111598840|XP_023170044.1|DHYD	LOC6618552|XP_002042809.1|DSEC
OG0000060	LOC111596076|XP_023165902.2|DHYD	LOC6613126|XP_002037607.1|DSEC
OG0000061	LOC111601172|XP_023173419.2|DHYD	LOC6611375|XP_002035920.1|DSEC
