Orthogroup	DHYD.longest_only	DBUS.longest_only
OG0000004	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD	LOC117134690|XP_033149085.1|DBUS
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC111592528|XP_023160554.2|DHYD	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC111593562|XP_023162191.2|DHYD	LOC108595290|XP_017835992.1|DBUS, LOC108595467|XP_017836201.1|DBUS
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD, LOC115483263|XP_030080468.1|DHYD	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC115482891|XP_030079000.1|DHYD, LOC115483272|XP_030080475.1|DHYD, LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC108599014|XP_017841282.1|DBUS
OG0000011	LOC111605669|XP_023180101.2|DHYD, LOC111603319|XP_023176609.2|DHYD	LOC108606030|XP_017851346.1|DBUS, LOC108600675|XP_017843868.1|DBUS
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC111603807|XP_023177327.2|DHYD	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000015	LOC111601485|XP_023173841.2|DHYD	LOC108602396|XP_017845996.1|DBUS, LOC108602619|XP_017846247.1|DBUS, LOC108602576|XP_017846203.1|DBUS
OG0000015	LOC111603761|XP_023177261.1|DHYD	LOC108605744|XP_017851034.1|DBUS
OG0000015	LOC111603774|XP_023177277.2|DHYD	LOC108594831|XP_017835461.1|DBUS, LOC108603867|XP_017848527.1|DBUS, LOC108606193|XP_017851541.2|DBUS, LOC108604954|XP_017850016.1|DBUS, LOC108605941|XP_017851254.2|DBUS
OG0000015	LOC111599488|XP_023170923.2|DHYD	LOC117134842|XP_033149849.1|DBUS, LOC117134841|XP_033149848.1|DBUS, LOC108607907|XP_017854509.1|DBUS
OG0000015	LOC111599832|XP_023171393.2|DHYD	LOC117134844|XP_033149858.1|DBUS, LOC108598228|XP_017840333.1|DBUS
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD	LOC108601423|XP_017844811.1|DBUS
OG0000017	LOC111602301|XP_023175069.1|DHYD	LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC111592948|XP_023161193.2|DHYD	LOC117134873|XP_033150152.1|DBUS, LOC108601314|XP_017844702.1|DBUS, LOC117134851|XP_033149937.1|DBUS, LOC108601332|XP_033149826.1|DBUS
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC108599156|XP_017841431.1|DBUS
OG0000019	LOC111598921|XP_023170159.1|DHYD	LOC108602932|XP_017846764.1|DBUS
OG0000019	LOC111603256|XP_023176531.2|DHYD	LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC111604565|XP_023178433.2|DHYD	LOC108604274|XP_033150157.1|DBUS
OG0000020	LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC111604510|XP_023178374.1|DHYD	LOC108598850|XP_017841097.1|DBUS
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC111601220|XP_023173483.1|DHYD	LOC108595014|XP_017835638.1|DBUS
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC111596894|XP_023167111.1|DHYD, LOC115482988|XP_030079478.1|DHYD	LOC108599848|XP_017842465.1|DBUS
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000022	LOC111601208|XP_030081929.1|DHYD	LOC108597711|XP_017839890.1|DBUS
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC108601632|XP_017845020.1|DBUS
OG0000023	LOC111602703|XP_023175706.2|DHYD	LOC108601651|XP_017845040.1|DBUS
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS
OG0000025	LOC115482900|XP_030079008.1|DHYD	LOC117134728|XP_033149262.1|DBUS
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC108598250|XP_017840354.1|DBUS
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC108600689|XP_033150743.1|DBUS
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC111598586|XP_023169670.2|DHYD	LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000036	LOC111605324|XP_023179557.2|DHYD	LOC108607107|XP_017853223.1|DBUS
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000037	LOC111592218|XP_023160061.2|DHYD	LOC108595584|XP_033149202.1|DBUS, LOC117134663|XP_033148953.1|DBUS, LOC108595142|XP_033148951.1|DBUS
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD	LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS
OG0000039	LOC111600203|XP_023171988.2|DHYD	LOC108606087|XP_017851422.2|DBUS
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC111597538|XP_023168095.2|DHYD, LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD, LOC111598483|XP_023169509.2|DHYD, LOC111597534|XP_023168080.2|DHYD	LOC108604138|XP_017848936.1|DBUS
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD	LOC117134763|XP_033149297.1|DBUS
OG0000042	LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC108602016|XP_033149810.1|DBUS
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC108595113|XP_033148899.1|DBUS
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC111604700|XP_023178641.1|DHYD	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC111594529|XP_023163631.2|DHYD	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC108602189|XP_017845724.1|DBUS
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC108603519|XP_017847901.1|DBUS
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC111604228|XP_023177970.1|DHYD	LOC108595895|XP_017836674.1|DBUS
OG0000052	LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	LOC108594866|XP_017835493.1|DBUS
OG0000052	LOC111604234|XP_023177982.1|DHYD	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC111602599|XP_023175526.2|DHYD	LOC108596657|XP_017838132.1|DBUS
OG0000053	LOC111602600|XP_023175527.2|DHYD	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC111596382|XP_023166356.2|DHYD	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC111596381|XP_023166355.2|DHYD	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC111596379|XP_023166352.2|DHYD	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC111604826|XP_023178817.2|DHYD	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC111593322|XP_023161796.2|DHYD	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	LOC108602318|XP_017845891.1|DBUS
OG0000056	LOC111599614|XP_023171073.2|DHYD	LOC108601235|XP_017844623.1|DBUS
OG0000056	LOC111599611|XP_023171068.2|DHYD	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
