Orthogroup	DHYD.longest_only	DVIR.longest_only
OG0000004	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC6636998|XP_002060428.1|DVIR, LOC26530621|XP_015023595.2|DVIR
OG0000005	LOC115483190|XP_030080235.1|DHYD	LOC116649820|XP_032288853.1|DVIR
OG0000005	LOC115482890|XP_030078999.1|DHYD	LOC6630835|XP_002053111.1|DVIR
OG0000005	LOC115483259|XP_030080464.1|DHYD	LOC116649819|XP_032288852.1|DVIR
OG0000005	LOC115483285|XP_030080488.1|DHYD	LOC116649816|XP_032288846.1|DVIR
OG0000006	LOC115483249|XP_030080454.1|DHYD	LOC116649803|XP_032288825.1|DVIR
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC115483279|XP_030080482.1|DHYD	LOC116649810|XP_032288837.1|DVIR
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR
OG0000007	LOC111601090|XP_023173285.1|DHYD	LOC6623864|XP_002046827.1|DVIR
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC111596954|XP_023167178.2|DHYD	LOC6624577|XP_032291102.1|DVIR, LOC6624526|XP_032291100.1|DVIR
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD	LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR
OG0000007	LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC111592528|XP_023160554.2|DHYD	LOC6626762|XP_032292470.1|DVIR
OG0000009	LOC111594331|XP_023163344.2|DHYD	LOC6626659|XP_002049470.1|DVIR
OG0000009	LOC111602576|XP_023175499.2|DHYD	LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC111593562|XP_023162191.2|DHYD	LOC6626544|XP_002050754.1|DVIR, LOC6626543|XP_032292517.1|DVIR
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC115483264|XP_030080469.1|DHYD	LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC115483262|XP_030080467.1|DHYD	LOC6636962|XP_002060409.1|DVIR
OG0000010	LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD	LOC116649824|XP_032288860.1|DVIR
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC6635697|XP_002059270.2|DVIR
OG0000011	LOC111596019|XP_023165812.2|DHYD	LOC6624097|XP_002046304.2|DVIR
OG0000011	LOC111595276|XP_023164694.1|DHYD	LOC6629279|XP_002054687.1|DVIR
OG0000011	LOC111605669|XP_023180101.2|DHYD	LOC6624639|XP_002048133.1|DVIR, LOC6624698|XP_002048132.1|DVIR
OG0000011	LOC111603319|XP_023176609.2|DHYD	LOC6624619|XP_002048380.1|DVIR
OG0000011	LOC111599256|XP_023170624.2|DHYD	LOC6624268|XP_002048361.3|DVIR
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC111592160|XP_023159980.2|DHYD	LOC6625066|XP_002049213.2|DVIR
OG0000012	LOC111592239|XP_023160091.2|DHYD	LOC6625067|XP_032293151.1|DVIR
OG0000012	LOC111603807|XP_023177327.2|DHYD	LOC6624920|XP_002050775.2|DVIR
OG0000012	LOC111604855|XP_030081317.1|DHYD	LOC6624919|XP_002050774.2|DVIR
OG0000012	LOC111604825|XP_023178816.2|DHYD	LOC26531760|XP_015030363.1|DVIR
OG0000012	LOC115483455|XP_030081371.1|DHYD	LOC6627007|XP_032292288.1|DVIR
OG0000012	LOC111597905|XP_030081306.1|DHYD	LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC6633997|XP_032293758.1|DVIR
OG0000015	LOC111603761|XP_023177261.1|DHYD	LOC116651432|XP_032293641.1|DVIR
OG0000015	LOC111603774|XP_023177277.2|DHYD	LOC116651430|XP_032293637.1|DVIR, LOC116651431|XP_032293638.1|DVIR
OG0000015	LOC111599488|XP_023170923.2|DHYD	LOC6629199|XP_002051601.2|DVIR
OG0000015	LOC111599832|XP_023171393.2|DHYD	LOC26531129|XP_015031696.1|DVIR
OG0000015	LOC111603762|XP_023177262.1|DHYD	LOC26531900|XP_015029004.1|DVIR, LOC26530539|XP_015028823.1|DVIR, LOC6629186|XP_002051591.1|DVIR
OG0000015	LOC111602215|XP_030080408.1|DHYD, LOC115483219|XP_030080406.1|DHYD	LOC6629069|XP_032293702.1|DVIR
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC6635889|XP_002059414.1|DVIR, LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC111600908|XP_023173032.2|DHYD	LOC6635873|XP_002059346.1|DVIR
OG0000017	LOC111600896|XP_023173004.2|DHYD	LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC111602301|XP_023175069.1|DHYD	LOC6628970|XP_032293497.1|DVIR
OG0000017	LOC111592321|XP_023160210.2|DHYD	LOC6623565|XP_032291328.1|DVIR
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC111592948|XP_023161193.2|DHYD	LOC6630620|XP_032292274.1|DVIR, LOC116650326|XP_032289604.1|DVIR, LOC26531549|XP_032289465.1|DVIR
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC111600522|XP_023172425.2|DHYD	LOC6623368|XP_002046143.1|DVIR
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC111600505|XP_023172401.2|DHYD, LOC111600499|XP_023172394.2|DHYD	LOC6623325|XP_002046139.1|DVIR, LOC6623363|XP_002046142.1|DVIR
OG0000018	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD	LOC6623104|XP_002046157.1|DVIR
OG0000019	LOC111598921|XP_023170159.1|DHYD	LOC6630453|XP_002053914.1|DVIR
OG0000019	LOC111603256|XP_023176531.2|DHYD	LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC111604565|XP_023178433.2|DHYD	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC111604510|XP_023178374.1|DHYD	LOC6624373|XP_002047473.1|DVIR
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC6627018|XP_002049728.2|DVIR
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC6625029|XP_002050452.1|DVIR
OG0000021	LOC111601220|XP_023173483.1|DHYD	LOC6627019|XP_002049729.1|DVIR
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC6629847|XP_002054468.1|DVIR
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC111596894|XP_023167111.1|DHYD, LOC115482988|XP_030079478.1|DHYD	LOC6622533|XP_002046430.1|DVIR
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD	LOC6622522|XP_002046428.1|DVIR
OG0000022	LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC111602703|XP_023175706.2|DHYD	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC115482764|XP_030078553.1|DHYD	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR
OG0000024	LOC111592147|XP_023159962.2|DHYD	LOC6625430|XP_002049267.1|DVIR
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC6625429|XP_002049266.1|DVIR
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC6625162|XP_002048929.1|DVIR
OG0000024	LOC111599681|XP_023171155.2|DHYD	LOC6626889|XP_002049423.1|DVIR
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC6635606|XP_002058949.1|DVIR
OG0000025	LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD	LOC6637233|XP_002060537.1|DVIR
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC111596716|XP_023166806.2|DHYD, LOC115482855|XP_030078964.1|DHYD, LOC111602869|XP_023175962.1|DHYD	LOC6631256|XP_002053244.1|DVIR, LOC6636025|XP_002059549.1|DVIR, LOC6636164|XP_002059550.1|DVIR
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR
OG0000028	LOC111605106|XP_023179215.2|DHYD	LOC6622560|XP_032290501.1|DVIR
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC111604160|XP_023177856.2|DHYD	LOC6625353|XP_002050320.1|DVIR
OG0000029	LOC111604075|XP_023177725.2|DHYD	LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC6634268|XP_002057550.2|DVIR
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC6634269|XP_002057551.2|DVIR
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC111598594|XP_023169681.2|DHYD	LOC6629978|XP_032294961.1|DVIR
OG0000032	LOC111598586|XP_023169670.2|DHYD	LOC6629977|XP_002054335.1|DVIR
OG0000032	LOC111598885|XP_023170120.2|DHYD	LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC6630607|XP_002054482.2|DVIR
OG0000036	LOC111605324|XP_023179557.2|DHYD	LOC6631850|XP_002055586.3|DVIR
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC6629970|XP_002053079.1|DVIR
OG0000037	LOC111599598|XP_023171051.2|DHYD	LOC6630819|XP_002054726.2|DVIR
OG0000037	LOC111592218|XP_023160061.2|DHYD	LOC26531412|XP_015030326.1|DVIR
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD	LOC6632395|XP_002056631.2|DVIR
OG0000039	LOC111600203|XP_023171988.2|DHYD	LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC115482741|XP_023177941.2|DHYD	LOC116651842|XP_032294845.1|DVIR
OG0000040	LOC111604209|XP_030080789.1|DHYD	LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC111604244|XP_023177997.1|DHYD	LOC6629627|XP_002054867.1|DVIR
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC111597538|XP_023168095.2|DHYD	LOC6630636|XP_002053634.1|DVIR
OG0000041	LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD	LOC6630746|XP_002053207.1|DVIR
OG0000041	LOC111597523|XP_023168066.2|DHYD	LOC6630637|XP_002053635.1|DVIR
OG0000041	LOC111604864|XP_023178867.2|DHYD	LOC6630744|XP_032290585.1|DVIR
OG0000041	LOC111604904|XP_023178911.2|DHYD	LOC116651238|XP_032293093.1|DVIR
OG0000041	LOC111604851|XP_023178852.2|DHYD	LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR
