Orthogroup	DHYD.longest_only	CCAP.longest_only
OG0000004	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD, LOC115483268|XP_030080473.1|DHYD, LOC115483296|XP_030080509.1|DHYD, LOC115483295|XP_030080508.1|DHYD	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC115483251|XP_030080456.1|DHYD	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC115482868|XP_030078978.1|DHYD	CCAP1982_LOCUS6242|CAD6997606.1|CCAP
OG0000006	LOC115482869|XP_030078979.1|DHYD, LOC115483254|XP_030080459.1|DHYD, LOC115482902|XP_030079009.1|DHYD, LOC115483281|XP_030080484.1|DHYD, LOC115482889|XP_030078998.1|DHYD	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	LOC111601090|XP_023173285.1|DHYD	CCAP1982_LOCUS12644|CAD7004225.1|CCAP, CCAP1982_LOCUS12645|CAD7004226.1|CCAP
OG0000007	LOC111601093|XP_023173297.2|DHYD	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
OG0000007	LOC111592429|XP_023160382.1|DHYD	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC111596952|XP_023167177.2|DHYD, LOC111596951|XP_023167176.2|DHYD, LOC111596954|XP_023167178.2|DHYD, LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC111604267|XP_023178033.1|DHYD	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC111598804|XP_023169992.1|DHYD	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC111599437|XP_023170859.2|DHYD	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC111600832|XP_023172904.2|DHYD	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC111600831|XP_023172902.2|DHYD	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC111600808|XP_023172870.1|DHYD	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC111600811|XP_023172873.1|DHYD	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC111604985|XP_023179049.1|DHYD	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD, LOC111593562|XP_023162191.2|DHYD, LOC111593549|XP_023162171.2|DHYD, LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC115483262|XP_030080467.1|DHYD	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC115482881|XP_030078991.1|DHYD	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC111603849|XP_023177406.2|DHYD	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC111603850|XP_023177409.2|DHYD	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC111603802|XP_023177320.1|DHYD	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC111603848|XP_023177404.2|DHYD	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD, LOC111597898|XP_023168600.2|DHYD, LOC111597903|XP_023168607.2|DHYD	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC111593737|XP_023162498.2|DHYD	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC111603010|XP_023176183.1|DHYD	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC111604413|XP_023178237.2|DHYD	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC111594553|XP_023163674.1|DHYD	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000016	LOC111605496|XP_023179814.1|DHYD, LOC111602093|XP_023174795.1|DHYD	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC111598341|XP_023169316.1|DHYD	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC111592540|XP_023160594.1|DHYD	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC111595218|XP_023164600.1|DHYD	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC111599234|XP_023170599.1|DHYD	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC111600492|XP_023172388.2|DHYD	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC111600507|XP_023172403.1|DHYD	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC111600522|XP_023172425.2|DHYD	CCAP1982_LOCUS12537|CAD7004116.1|CCAP
OG0000018	LOC111600497|XP_023172393.2|DHYD	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000018	LOC111600505|XP_023172401.2|DHYD, LOC111600499|XP_023172394.2|DHYD	CCAP1982_LOCUS12538|CAD7004117.1|CCAP, CCAP1982_LOCUS12539|CAD7004118.1|CCAP, CCAP1982_LOCUS12541|CAD7004120.1|CCAP
OG0000018	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD	CCAP1982_LOCUS12554|CAD7004133.1|CCAP
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD, LOC111598920|XP_023170158.2|DHYD, LOC111603248|XP_023176523.1|DHYD, LOC111598923|XP_023170162.2|DHYD	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC111594494|XP_030080618.1|DHYD	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC111598962|XP_023170216.2|DHYD	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC111596686|XP_023166760.2|DHYD	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC111598978|XP_030080535.1|DHYD	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC111601414|XP_023173744.1|DHYD	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC111595585|XP_023165164.2|DHYD	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000022	LOC111601208|XP_030081929.1|DHYD	CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP
OG0000023	LOC111602748|XP_023175768.2|DHYD, LOC111600543|XP_023172455.2|DHYD, LOC111602765|XP_023175792.2|DHYD	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC111602764|XP_023175791.1|DHYD	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC111602801|XP_023175861.1|DHYD	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC111602761|XP_023175787.2|DHYD	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC111602800|XP_023175857.2|DHYD	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD, LOC111592145|XP_023159959.2|DHYD	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000025	LOC115483211|XP_030080335.1|DHYD, LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD	CCAP1982_LOCUS6236|CAD6997600.1|CCAP
OG0000026	LOC111596716|XP_023166806.2|DHYD, LOC115482855|XP_030078964.1|DHYD, LOC111602869|XP_023175962.1|DHYD, LOC111602647|XP_023175583.2|DHYD	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC111599153|XP_023170492.2|DHYD	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC111595849|XP_023165527.1|DHYD	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC111599119|XP_023170448.2|DHYD	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD	CCAP1982_LOCUS11976|CAD7003526.1|CCAP
OG0000028	LOC111605106|XP_023179215.2|DHYD, LOC111605107|XP_023179216.2|DHYD	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000029	LOC111600747|XP_023172794.1|DHYD, LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD, LOC111599253|XP_023170620.2|DHYD	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC111603775|XP_023177278.2|DHYD	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC111596081|XP_023165908.2|DHYD, LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC111594664|XP_023163834.1|DHYD	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC111599037|XP_023170323.1|DHYD	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC111602472|XP_023175302.2|DHYD, LOC111602462|XP_023175290.2|DHYD, LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC111602683|XP_023175671.1|DHYD	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC111602776|XP_023175811.1|DHYD	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC111602665|XP_023175617.1|DHYD	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC111601529|XP_023173926.1|DHYD	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000036	LOC111605324|XP_023179557.2|DHYD	CCAP1982_LOCUS6228|CAD6997589.1|CCAP
OG0000037	LOC111604322|XP_030081296.1|DHYD	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC111601750|XP_023174255.2|DHYD, LOC111599598|XP_023171051.2|DHYD	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000037	LOC111592218|XP_023160061.2|DHYD	CCAP1982_LOCUS2611|CAD6993814.1|CCAP, CCAP1982_LOCUS2612|CAD6993816.1|CCAP
OG0000038	LOC111605099|XP_023179209.2|DHYD	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC111597538|XP_023168095.2|DHYD, LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD, LOC111598483|XP_023169509.2|DHYD, LOC111597534|XP_023168080.2|DHYD, LOC111597523|XP_023168066.2|DHYD, LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD, LOC111600264|XP_023172080.2|DHYD	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC111600256|XP_023172069.2|DHYD, LOC111600253|XP_023172066.2|DHYD	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC111604839|XP_023178838.2|DHYD	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC111604858|XP_023178860.2|DHYD, LOC111604849|XP_023178850.2|DHYD, LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD, LOC111604847|XP_023178847.2|DHYD	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC111592024|XP_023159785.2|DHYD	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC111597387|XP_023167819.1|DHYD	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC111597391|XP_023167823.1|DHYD	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC111597386|XP_023167816.1|DHYD	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC111597377|XP_023167802.1|DHYD	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC111595469|XP_023165002.1|DHYD	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC111604700|XP_023178641.1|DHYD, LOC111604676|XP_023178606.1|DHYD	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC111604701|XP_023178642.1|DHYD	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC111594529|XP_023163631.2|DHYD	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC111594475|XP_023163544.1|DHYD	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC111594476|XP_023163545.2|DHYD	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC111594581|XP_023163706.2|DHYD	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC111592220|XP_023160064.2|DHYD	CCAP1982_LOCUS13741|CAD7005381.1|CCAP
OG0000050	LOC111597562|XP_023168129.2|DHYD, LOC111597563|XP_023168130.1|DHYD, LOC111597557|XP_023168122.2|DHYD	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC111604842|XP_023178842.2|DHYD	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC115482777|XP_030078620.1|DHYD, LOC115482800|XP_030078769.1|DHYD, LOC115482799|XP_030078766.1|DHYD, LOC111598254|XP_023169188.2|DHYD	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD, LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD, LOC111604234|XP_023177982.1|DHYD	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC111602599|XP_023175526.2|DHYD, LOC111602600|XP_023175527.2|DHYD	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC111596382|XP_023166356.2|DHYD	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC111596381|XP_023166355.2|DHYD	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC111596379|XP_023166352.2|DHYD	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC111604826|XP_023178817.2|DHYD	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
OG0000054	LOC111593322|XP_023161796.2|DHYD, LOC111604856|XP_023178857.2|DHYD	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000058	LOC111602372|XP_023175155.1|DHYD, LOC111602373|XP_023175156.2|DHYD, LOC111602375|XP_023175159.2|DHYD, LOC111602371|XP_023175154.1|DHYD, LOC111602374|XP_023175158.2|DHYD, LOC111591894|XP_023159568.1|DHYD	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
OG0000059	LOC111595783|XP_030078737.1|DHYD, LOC111595875|XP_023165572.2|DHYD, LOC111595256|XP_023164673.2|DHYD, LOC111595830|XP_030078745.1|DHYD, LOC111595757|XP_023165402.2|DHYD, LOC111595792|XP_023165450.1|DHYD	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP
OG0000060	LOC111597837|XP_023168500.1|DHYD	CCAP1982_LOCUS3311|CAD6994573.1|CCAP
OG0000061	LOC111601172|XP_023173419.2|DHYD	CCAP1982_LOCUS7588|CAD6999041.1|CCAP
OG0000061	LOC111601168|XP_023173414.2|DHYD	CCAP1982_LOCUS7592|CAD6999045.1|CCAP
OG0000061	LOC111601143|XP_023173378.2|DHYD, LOC111601144|XP_023173379.1|DHYD	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP
