Orthogroup	DHYD.longest_only	DSUB.longest_only
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC117900835|XP_034667237.1|DSUB
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC117895169|XP_034658523.1|DSUB
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC117898631|XP_034664083.1|DSUB
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC117898287|XP_034663434.1|DSUB
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC117890282|XP_034650935.1|DSUB
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC117892376|XP_034654476.1|DSUB
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC117892374|XP_034654475.1|DSUB
OG0000010	LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD	LOC117899454|XP_034665355.1|DSUB
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC117897187|XP_034661778.1|DSUB
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC117892204|XP_034654190.1|DSUB
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC117892205|XP_034654193.1|DSUB
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC117892198|XP_034654182.1|DSUB
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC117892199|XP_034654185.1|DSUB
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC117890717|XP_034651649.1|DSUB
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC117896187|XP_034660170.1|DSUB
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC117896516|XP_034660775.1|DSUB
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC117895334|XP_034658799.1|DSUB
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC117898536|XP_034663901.1|DSUB
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC117899529|XP_034665488.1|DSUB
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC117889984|XP_034650458.1|DSUB
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC117898309|XP_034663475.1|DSUB
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC117892105|XP_034654005.1|DSUB
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC117903845|XP_034672195.1|DSUB
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC117890476|XP_034651231.1|DSUB
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC117898432|XP_034663715.1|DSUB
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC117893424|XP_034655932.1|DSUB
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC117891086|XP_034652156.1|DSUB
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC117890435|XP_034651155.1|DSUB
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC117895264|XP_034658678.1|DSUB
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC117895265|XP_034658679.1|DSUB
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC117895258|XP_034658670.1|DSUB
OG0000018	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD	LOC117895269|XP_034658684.1|DSUB
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC117899339|XP_034665171.1|DSUB
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC117899361|XP_034665230.1|DSUB
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC117892172|XP_034654141.1|DSUB
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC117902343|XP_034669534.1|DSUB
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC117898500|XP_034663833.1|DSUB
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC117898411|XP_034663671.1|DSUB
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB
OG0000021	LOC111604510|XP_023178374.1|DHYD	LOC117894607|XP_034657649.1|DSUB
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC117892038|XP_034653853.1|DSUB
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC117891478|XP_034652849.1|DSUB
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC117891531|XP_034652923.1|DSUB
OG0000021	LOC111601220|XP_023173483.1|DHYD	LOC117892040|XP_034653856.1|DSUB
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC117903672|XP_034671893.1|DSUB
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC117896843|XP_034661258.1|DSUB
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC117898591|XP_034664027.1|DSUB
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC117892309|XP_034654347.1|DSUB
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB
OG0000022	LOC111601208|XP_030081929.1|DHYD	LOC117892923|XP_034655129.1|DSUB
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC117896153|XP_034660122.1|DSUB
OG0000023	LOC111602703|XP_023175706.2|DHYD	LOC117896151|XP_034660118.1|DSUB
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC117896150|XP_034660117.1|DSUB
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC117891805|XP_034653377.1|DSUB
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC117896149|XP_034660116.1|DSUB
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC117898724|XP_034664233.1|DSUB
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC117898725|XP_034664234.1|DSUB
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC117889934|XP_034650356.1|DSUB
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC117901020|XP_034667512.1|DSUB
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC117889812|XP_034650181.1|DSUB
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC117891118|XP_034652213.1|DSUB
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC117890855|XP_034651836.1|DSUB
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC117889599|XP_034649905.1|DSUB
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC117901731|XP_034668504.1|DSUB
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC117899507|XP_034665449.1|DSUB
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC117902555|XP_034669887.1|DSUB
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC117902556|XP_034669889.1|DSUB
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC117902554|XP_034669886.1|DSUB
OG0000028	LOC111605093|XP_030081794.1|DHYD, LOC111605104|XP_030081807.1|DHYD	LOC117894268|XP_034657114.1|DSUB, LOC117894267|XP_034657113.1|DSUB
OG0000028	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD	LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB
OG0000028	LOC111605106|XP_023179215.2|DHYD, LOC111605107|XP_023179216.2|DHYD	LOC117894266|XP_034657112.1|DSUB
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC117898949|XP_034664564.1|DSUB
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC117893783|XP_034656418.1|DSUB
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC117901334|XP_034667933.1|DSUB
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC117901974|XP_034668869.1|DSUB
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC117903801|XP_034672130.1|DSUB
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC117903197|XP_034670973.1|DSUB
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC117900916|XP_034667369.1|DSUB
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC117898600|XP_034664039.1|DSUB
OG0000032	LOC111598628|XP_023169740.2|DHYD	LOC117898601|XP_034664041.1|DSUB
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC117898606|XP_034664047.1|DSUB, LOC117898607|XP_034664048.1|DSUB, LOC117899193|XP_034664947.1|DSUB, LOC117898595|XP_034664033.1|DSUB
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC117891426|XP_034652788.1|DSUB
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC117891425|XP_034652787.1|DSUB
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC117902583|XP_034669972.1|DSUB
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC117902582|XP_034669970.1|DSUB
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC117902353|XP_034669555.1|DSUB
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC117898005|XP_034663024.1|DSUB
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC117896918|XP_034661349.1|DSUB
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC117897457|XP_034662194.1|DSUB
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC117899046|XP_034664697.1|DSUB
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC117890311|XP_034650989.1|DSUB
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC117894264|XP_034657109.1|DSUB
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC117893334|XP_034655815.1|DSUB
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC117897419|XP_034662142.1|DSUB
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC117903895|XP_034672289.1|DSUB
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC117903896|XP_034672290.1|DSUB
OG0000039	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD, LOC111600203|XP_023171988.2|DHYD	LOC117903894|XP_034672287.1|DSUB
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC117892341|XP_034654394.1|DSUB
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC117897706|XP_034662619.1|DSUB, LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC117899278|XP_034665074.1|DSUB
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC117896008|XP_034659896.1|DSUB, LOC117899589|XP_034665598.1|DSUB
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC117899588|XP_034665597.1|DSUB
OG0000040	LOC111604244|XP_023177997.1|DHYD	LOC117896580|XP_034660876.1|DSUB
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC117899356|XP_034665219.1|DSUB
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC117891862|XP_034653515.1|DSUB, LOC117891861|XP_034653514.1|DSUB, LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC117891864|XP_034653517.1|DSUB
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC117898866|XP_034664435.1|DSUB
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC117898991|XP_034664623.1|DSUB
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC117895983|XP_034659856.1|DSUB
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB
OG0000044	LOC111592024|XP_023159785.2|DHYD	LOC117898153|XP_034663242.1|DSUB
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC117894865|XP_034658016.1|DSUB
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC117893502|XP_034656031.1|DSUB
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC117894637|XP_034657700.1|DSUB
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC117893875|XP_034656539.1|DSUB
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC117892077|XP_034653957.1|DSUB, LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC117891323|XP_034652630.1|DSUB
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC117891482|XP_034652852.1|DSUB
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC117892480|XP_034654625.1|DSUB
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC117891376|XP_034652704.1|DSUB
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC117894523|XP_034657528.1|DSUB
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC117894537|XP_034657548.1|DSUB
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC117898484|XP_034663812.1|DSUB
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC117898479|XP_034663805.1|DSUB
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC117899170|XP_034664920.1|DSUB
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC117898482|XP_034663809.1|DSUB
OG0000050	LOC111592220|XP_023160064.2|DHYD	LOC117892195|XP_034654177.1|DSUB
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB
OG0000050	LOC111597563|XP_023168130.1|DHYD	LOC117893225|XP_034655653.1|DSUB, LOC117894628|XP_034657684.1|DSUB
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC117893220|XP_034655645.1|DSUB
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC117896438|XP_034660657.1|DSUB
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC117898169|XP_034663268.1|DSUB, LOC117898249|XP_034663387.1|DSUB
OG0000052	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	LOC117892469|XP_034654613.1|DSUB
OG0000052	LOC111604234|XP_023177982.1|DHYD	LOC117892468|XP_034654612.1|DSUB
OG0000053	LOC111602600|XP_023175527.2|DHYD	LOC117890537|XP_034651353.1|DSUB
OG0000053	LOC111596382|XP_023166356.2|DHYD	LOC117890535|XP_034651347.1|DSUB
OG0000053	LOC111596381|XP_023166355.2|DHYD	LOC117890534|XP_034651344.1|DSUB
OG0000053	LOC111596379|XP_023166352.2|DHYD	LOC117890538|XP_034651354.1|DSUB
OG0000054	LOC111604826|XP_023178817.2|DHYD	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB
OG0000054	LOC111593322|XP_023161796.2|DHYD	LOC117898651|XP_034664113.1|DSUB
OG0000054	LOC111604856|XP_023178857.2|DHYD	LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	LOC117897281|XP_034661904.1|DSUB
OG0000056	LOC111599611|XP_023171068.2|DHYD	LOC117898462|XP_034663775.1|DSUB
OG0000056	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD	LOC117898461|XP_034663774.1|DSUB
OG0000056	LOC111600558|XP_023172478.1|DHYD	LOC117897244|XP_034661856.1|DSUB, LOC117897243|XP_034661853.1|DSUB
OG0000058	LOC111602372|XP_023175155.1|DHYD, LOC111602373|XP_023175156.2|DHYD	LOC117902360|XP_034669563.1|DSUB, LOC117902358|XP_034669561.1|DSUB, LOC117890151|XP_034650732.1|DSUB
OG0000058	LOC111602375|XP_023175159.2|DHYD, LOC111602371|XP_023175154.1|DHYD, LOC111602374|XP_023175158.2|DHYD	LOC117902359|XP_034669562.1|DSUB
OG0000058	LOC111591894|XP_023159568.1|DHYD	LOC117894861|XP_034658013.1|DSUB
OG0000059	LOC111595783|XP_030078737.1|DHYD	LOC117897005|XP_034661462.1|DSUB
OG0000059	LOC111595875|XP_023165572.2|DHYD	LOC117896653|XP_034660990.1|DSUB, LOC117899423|XP_034665309.1|DSUB
OG0000059	LOC111595256|XP_023164673.2|DHYD	LOC117896652|XP_034660989.1|DSUB
OG0000059	LOC111595830|XP_030078745.1|DHYD, LOC111595757|XP_023165402.2|DHYD, LOC111595792|XP_023165450.1|DHYD	LOC117896696|XP_034661039.1|DSUB
OG0000060	LOC111605118|XP_023179239.1|DHYD	LOC117903129|XP_034670852.1|DSUB
OG0000060	LOC111594203|XP_023163168.1|DHYD	LOC117901895|XP_034668749.1|DSUB
OG0000060	LOC115482748|XP_030081618.1|DHYD	LOC117896666|XP_034661004.1|DSUB
